sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,93067,0.0691,-0.2448,-1.0551,0.2188,0.0469,-1.9844,no_tremor
1,93071,0.0697,-0.2390,-1.0548,0.5312,-2.6562,0.4375,no_tremor
2,93076,0.0735,-0.2335,-1.0543,1.2656,-6.5781,0.5156,no_tremor
3,93081,0.0803,-0.2289,-1.0540,2.0781,-9.7969,-0.1875,no_tremor
4,93086,0.0897,-0.2252,-1.0537,2.8594,-12.4219,-0.2969,no_tremor
5,93091,0.1011,-0.2228,-1.0537,3.8438,-13.9219,-0.5938,no_tremor
6,93117,0.1494,-0.2198,-1.0604,5.8438,-13.4062,-1.0625,no_tremor
7,93131,0.1343,-0.2158,-1.0616,3.0156,-12.1094,1.9062,no_tremor
8,93136,0.1245,-0.2133,-1.0608,2.2188,-11.5625,1.5781,no_tremor
9,93141,0.1139,-0.2103,-1.0592,1.6719,-11.3438,1.8438,no_tremor
10,93146,0.1034,-0.2068,-1.0570,1.6562,-11.5625,2.3594,no_tremor
11,93151,0.0936,-0.2029,-1.0543,1.6094,-12.5781,1.8906,no_tremor
12,93155,0.0854,-0.1987,-1.0514,1.8281,-13.5156,1.5469,no_tremor
13,93160,0.0791,-0.1921,-1.0468,2.2969,-13.7500,2.1094,no_tremor
14,93165,0.0734,-0.1879,-1.0436,2.7344,-14.6250,2.1406,no_tremor
15,93170,0.0721,-0.1838,-1.0405,2.9688,-15.5312,1.4219,no_tremor
16,93175,0.0724,-0.1803,-1.0375,2.6875,-15.4375,0.7188,no_tremor
17,93180,0.0737,-0.1772,-1.0342,2.2969,-14.0938,0.1094,no_tremor
18,93184,0.0754,-0.1748,-1.0305,1.4844,-11.6562,-1.6094,no_tremor
19,93189,0.0767,-0.1732,-1.0265,-0.4531,-7.2969,-2.0156,no_tremor
20,93194,0.0768,-0.1725,-1.0221,-1.4062,-3.6875,-1.9375,no_tremor
21,93199,0.0753,-0.1726,-1.0156,-2.3750,0.7188,-1.3906,no_tremor
22,93209,0.0676,-0.1748,-1.0082,-3.8125,7.5781,0.7812,no_tremor
23,93214,0.0594,-0.1758,-1.0055,-4.1562,10.5156,1.7344,no_tremor
24,93238,0.0536,-0.1697,-1.0045,-1.7031,3.5156,4.3125,no_tremor
25,93243,0.0648,-0.1671,-1.0062,-1.3750,0.2969,4.9531,no_tremor
26,93248,0.0751,-0.1647,-1.0081,-1.2812,-2.9219,4.3750,no_tremor
27,93253,0.0865,-0.1626,-1.0103,-0.7031,-6.0469,3.7812,no_tremor
28,93258,0.0985,-0.1613,-1.0125,-0.3594,-8.8594,3.7500,no_tremor
29,93262,0.1099,-0.1608,-1.0148,-0.2500,-11.4844,4.1406,no_tremor
30,93267,0.1198,-0.1613,-1.0171,-0.8281,-13.9688,4.1562,no_tremor
31,93272,0.1274,-0.1628,-1.0193,-1.5625,-15.6562,3.7188,no_tremor
32,93277,0.1323,-0.1654,-1.0212,-1.7656,-16.5156,3.5000,no_tremor
33,93282,0.1343,-0.1688,-1.0229,-2.6094,-16.6875,3.5938,no_tremor
34,93286,0.1333,-0.1730,-1.0240,-2.8281,-17.9062,3.8438,no_tremor
35,93291,0.1296,-0.1776,-1.0244,-3.2344,-18.7188,4.5938,no_tremor
36,93296,0.1201,-0.1846,-1.0239,-3.7344,-19.2031,4.2188,no_tremor
37,93301,0.1117,-0.1887,-1.0229,-4.0312,-20.0469,2.3594,no_tremor
38,93306,0.1024,-0.1920,-1.0215,-3.7031,-20.0312,0.6875,no_tremor
