sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1683398,-0.6604,-0.2705,-0.9680,-26.7969,29.5625,45.4062,no_tremor
1,1683402,-0.6263,-0.2775,-0.9603,-29.2031,19.4688,45.0625,no_tremor
2,1683507,-0.8319,-0.1783,-1.1667,29.4844,1.9062,8.0781,no_tremor
3,1683517,-0.7543,-0.1990,-1.1196,31.4062,-26.4062,-2.2500,no_tremor
4,1683522,-0.7090,-0.2085,-1.0948,33.4219,-39.3906,-8.2969,no_tremor
5,1683541,-0.6112,-0.2024,-1.0459,48.4219,-51.5156,-46.2344,no_tremor
6,1683546,-0.6277,-0.1868,-1.0518,53.9844,-42.3906,-56.1719,no_tremor
7,1683578,-1.1030,-0.0931,-1.1732,98.6875,61.6719,-95.9219,no_tremor
8,1683587,-1.1990,-0.1238,-1.1805,111.2969,60.5625,-103.3594,no_tremor
9,1683612,-1.0439,-0.2888,-1.1243,126.3750,-9.7188,-129.4688,no_tremor
10,1683617,-0.9692,-0.3145,-1.1088,128.2031,-25.0156,-134.3594,no_tremor
11,1683622,-0.8917,-0.3354,-1.0924,129.3750,-37.4219,-139.3906,no_tremor
12,1683626,-0.8165,-0.3512,-1.0662,130.6562,-45.9062,-144.7188,no_tremor
13,1683636,-0.6664,-0.3668,-1.0264,133.9375,-50.7500,-154.8906,no_tremor
14,1683646,-0.6050,-0.3585,-0.9786,136.2656,-44.3594,-164.6875,no_tremor
15,1683656,-0.5942,-0.3398,-0.9194,138.0781,-29.4844,-171.9062,no_tremor
16,1683661,-0.6019,-0.3298,-0.8661,138.9062,-23.4844,-173.6406,no_tremor
17,1683666,-0.6139,-0.3173,-0.8265,139.1562,-18.8750,-175.0938,no_tremor
18,1683698,-0.5569,-0.3342,-0.5519,132.5781,-25.9844,-180.5000,no_tremor
19,1683708,-0.4711,-0.3566,-0.4994,125.6094,-38.2031,-180.6875,no_tremor
20,1683713,-0.4230,-0.3684,-0.4781,121.4062,-45.0469,-180.7656,no_tremor
21,1683717,-0.3743,-0.3801,-0.4596,117.8594,-54.0469,-181.1562,no_tremor
22,1683723,-0.3271,-0.3915,-0.4427,111.0000,-58.3281,-181.0781,no_tremor
23,1683732,-0.2445,-0.4131,-0.4025,100.0000,-64.1094,-178.6250,no_tremor
24,1683737,-0.2119,-0.4301,-0.3851,93.6562,-66.0156,-177.6250,no_tremor
25,1683747,-0.1606,-0.4586,-0.3455,80.0625,-69.2031,-176.3281,no_tremor
