sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2503631,-0.6482,-0.1609,-0.7822,4.5469,2.7188,-7.3125,no_tremor
1,2503636,-0.6475,-0.1609,-0.7822,4.7500,3.8594,-7.1719,no_tremor
2,2503641,-0.6475,-0.1610,-0.7823,4.8438,5.0938,-7.2500,no_tremor
3,2503656,-0.6494,-0.1630,-0.7841,3.7969,8.5625,-5.5781,no_tremor
4,2503665,-0.6521,-0.1659,-0.7842,3.0625,12.0312,-5.5625,no_tremor
5,2503670,-0.6539,-0.1687,-0.7831,2.6562,13.1406,-5.9688,no_tremor
6,2503675,-0.6571,-0.1707,-0.7817,2.6562,14.2812,-6.0781,no_tremor
7,2503744,-0.7137,-0.2046,-0.7881,-18.1094,34.4219,-18.5938,no_tremor
8,2503749,-0.7230,-0.2048,-0.7906,-18.7500,37.5469,-20.0938,no_tremor
9,2503754,-0.7327,-0.2020,-0.7928,-19.5469,40.0156,-23.6719,no_tremor
10,2503763,-0.7523,-0.1869,-0.7927,-27.0312,31.9062,-33.0625,no_tremor
11,2503773,-0.7805,-0.1561,-0.7749,-27.8906,19.4844,-47.2344,no_tremor
12,2503778,-0.7943,-0.1433,-0.7635,-28.3125,24.8281,-55.3594,no_tremor
13,2503783,-0.8090,-0.1313,-0.7526,-27.2500,30.3594,-59.5469,no_tremor
14,2503793,-0.8401,-0.1121,-0.7401,-23.1406,32.4375,-66.9844,no_tremor
15,2503797,-0.8564,-0.1052,-0.7415,-22.5781,33.2812,-71.9844,no_tremor
16,2503802,-0.8737,-0.1000,-0.7485,-21.3594,37.1094,-78.0781,no_tremor
17,2503807,-0.8926,-0.0962,-0.7611,-17.8125,43.4844,-82.0000,no_tremor
18,2503932,-0.9358,-0.1024,-1.1198,72.4688,-5.6562,-198.2031,no_tremor
19,2503942,-0.7787,-0.1302,-1.1036,78.7344,-21.6875,-202.1719,no_tremor
20,2503946,-0.7083,-0.1494,-1.0924,81.3281,-28.5625,-202.9688,no_tremor
21,2503974,-0.3931,-0.2626,-1.0336,107.5000,-14.4375,-196.3438,no_tremor
22,2503979,-0.3700,-0.2749,-1.0322,112.1094,-7.3281,-196.7344,no_tremor
23,2503984,-0.3538,-0.2842,-1.0337,119.6875,1.9062,-194.0938,no_tremor
24,2503989,-0.3420,-0.2900,-1.0372,124.6094,8.1875,-191.3750,no_tremor
25,2503993,-0.3328,-0.2924,-1.0416,129.6094,14.0469,-188.5625,no_tremor
26,2503998,-0.3237,-0.2914,-1.0457,134.8281,18.5000,-185.0938,no_tremor
27,2504003,-0.3129,-0.2848,-1.0480,139.3438,21.6719,-180.3906,no_tremor
28,2504008,-0.2899,-0.2783,-1.0450,142.5469,24.6562,-175.1250,no_tremor
29,2504013,-0.2686,-0.2719,-1.0375,145.2344,26.8125,-169.6406,no_tremor
30,2504032,-0.1362,-0.2670,-0.9584,154.0625,17.2344,-143.1250,no_tremor
31,2504037,-0.0964,-0.2786,-0.9137,153.4531,14.3906,-137.5938,no_tremor
32,2504048,-0.0010,-0.3040,-0.8492,151.7656,8.3438,-126.6875,no_tremor
33,2504062,0.0845,-0.3512,-0.7546,146.2656,-3.0781,-104.6719,no_tremor
34,2504067,0.1029,-0.3665,-0.7257,145.4844,-4.7500,-98.1406,no_tremor
35,2504098,0.1155,-0.4431,-0.5630,136.1406,13.1250,-47.5312,no_tremor
