sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,995867,-0.3341,-0.1290,-0.9806,-0.0625,7.0781,-2.6094,no_tremor
1,995871,-0.3330,-0.1290,-0.9814,-0.2031,6.5469,-2.2344,no_tremor
2,995876,-0.3319,-0.1290,-0.9824,-0.4531,6.7031,-2.0781,no_tremor
3,995881,-0.3307,-0.1290,-0.9840,-0.6875,6.8594,-2.0312,no_tremor
4,995886,-0.3295,-0.1292,-0.9852,-0.3906,6.3281,-2.6719,no_tremor
5,995891,-0.3276,-0.1293,-0.9863,0.0938,6.2344,-2.8750,no_tremor
6,995896,-0.3264,-0.1294,-0.9874,-0.0625,5.8438,-2.9531,no_tremor
7,995910,-0.3229,-0.1302,-0.9900,-1.2500,5.4375,-4.3438,no_tremor
8,995915,-0.3218,-0.1306,-0.9904,-0.0312,4.5312,-2.8906,no_tremor
9,995920,-0.3207,-0.1311,-0.9906,-0.5000,5.2812,-2.4531,no_tremor
10,995946,-0.3142,-0.1310,-0.9878,-0.5938,3.4062,-3.1875,no_tremor
11,995950,-0.3124,-0.1301,-0.9879,0.2344,2.4062,-3.1719,no_tremor
12,995955,-0.3115,-0.1289,-0.9889,0.5312,1.8750,-3.5938,no_tremor
13,995960,-0.3112,-0.1277,-0.9905,0.2344,1.9219,-3.9844,no_tremor
14,995965,-0.3113,-0.1263,-0.9926,0.7344,1.1562,-3.7188,no_tremor
15,995970,-0.3116,-0.1252,-0.9945,0.7812,-1.0156,-3.1875,no_tremor
16,995975,-0.3120,-0.1245,-0.9960,-0.2344,-2.8750,-2.8125,no_tremor
17,995980,-0.3123,-0.1243,-0.9969,0.4062,-4.6719,-1.7656,no_tremor
18,995985,-0.3121,-0.1246,-0.9973,1.7969,-5.7969,-0.8281,no_tremor
19,995999,-0.3116,-0.1281,-0.9961,0.0938,-4.0469,-2.2969,no_tremor
20,996013,-0.3146,-0.1334,-0.9954,-1.5781,-5.7188,-2.6406,no_tremor
21,996023,-0.3159,-0.1392,-0.9965,-5.1562,-9.5781,-2.4531,no_tremor
22,996028,-0.3153,-0.1429,-0.9977,-6.3750,-10.8594,-2.1094,no_tremor
23,996033,-0.3137,-0.1473,-1.0309,-7.2812,-12.1875,-1.4219,no_tremor
24,996037,-0.3109,-0.1547,-1.0039,-7.8750,-14.0312,-1.6719,no_tremor
25,996068,-0.3046,-0.1616,-1.0447,-6.4375,-18.5000,-11.1719,no_tremor
26,996072,-0.3125,-0.1560,-1.0509,-5.9219,-18.8906,-13.2500,no_tremor
27,996077,-0.3231,-0.1492,-1.0560,-5.2969,-18.5469,-15.4219,no_tremor
