sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,194336,-0.0999,-0.1696,-1.0272,-4.8750,-1.0625,-3.3594,no_tremor
1,194346,-0.0927,-0.1718,-1.0248,-6.3281,-1.7969,-2.3594,no_tremor
2,194350,-0.0896,-0.1721,-1.0243,-6.7500,-2.0156,-2.5312,no_tremor
3,194355,-0.0875,-0.1720,-1.0243,-6.8438,-1.5781,-3.0469,no_tremor
4,194360,-0.0865,-0.1711,-1.0250,-6.6719,-0.6719,-2.5938,no_tremor
5,194370,-0.0896,-0.1661,-1.0270,-6.3594,1.3438,-2.2188,no_tremor
6,194375,-0.0930,-0.1632,-1.0281,-6.5469,2.1094,-2.4844,no_tremor
7,194380,-0.0973,-0.1599,-1.0292,-6.3125,3.0625,-2.3438,no_tremor
8,194384,-0.1022,-0.1565,-1.0304,-5.7188,3.5156,-1.2656,no_tremor
9,194413,-0.1127,-0.1400,-1.0421,-2.2812,-3.2344,3.7500,no_tremor
10,194419,-0.1052,-0.1393,-1.0459,-1.8750,-5.0156,4.3438,no_tremor
11,194423,-0.0947,-0.1394,-1.0503,-1.2656,-6.1719,5.5312,no_tremor
12,194428,-0.0814,-0.1405,-1.0555,0.3594,-7.0312,6.9688,no_tremor
13,194443,-0.0208,-0.1499,-1.0787,7.6719,8.8594,17.4688,no_tremor
14,194448,-0.0024,-0.1525,-1.0869,11.0312,18.9062,21.5156,no_tremor
15,194453,0.0154,-0.1538,-1.0963,16.6406,28.5781,26.0000,no_tremor
16,194458,0.0328,-0.1533,-1.1072,24.8438,38.5312,34.1094,no_tremor
17,194463,0.0511,-0.1506,-1.1201,38.3438,42.2344,42.8750,no_tremor
18,194468,0.0715,-0.1456,-1.1354,45.8750,44.0625,54.4062,no_tremor
19,194472,0.0957,-0.1389,-1.1837,51.4219,43.5625,66.4062,no_tremor
20,194492,0.2606,-0.1102,-1.2319,67.3125,28.6406,113.8281,no_tremor
21,194506,0.3778,-0.1060,-1.2551,76.7500,14.4531,149.4219,no_tremor
22,194543,0.4122,-0.0656,-1.2186,94.9531,-10.4219,207.2656,no_tremor
23,194552,0.3608,-0.0443,-1.2084,98.6250,-8.2344,217.3281,no_tremor
24,194562,0.2906,-0.0264,-1.1893,100.0938,-3.5469,223.3750,no_tremor
25,194567,0.2490,-0.0197,-1.1746,100.1562,-0.9375,225.4531,no_tremor
26,194572,0.1724,-0.0129,-1.1450,99.8594,2.7188,225.7188,no_tremor
27,194576,0.1299,-0.0106,-1.1213,99.3750,6.5469,225.1875,no_tremor
28,194586,0.0259,-0.0105,-1.0685,96.6875,14.3906,222.4844,no_tremor
29,194591,-0.0255,-0.0126,-1.0415,94.8125,17.7812,221.0938,no_tremor
30,194596,-0.0741,-0.0162,-1.0155,92.3438,19.1875,217.7969,no_tremor
31,194600,-0.1183,-0.0215,-0.9913,90.0312,18.0469,215.9219,no_tremor
32,194606,-0.1562,-0.0286,-0.9694,83.7031,14.8125,215.6562,no_tremor
33,194610,-0.1868,-0.0374,-0.9404,78.2188,9.3438,216.2031,no_tremor
34,194615,-0.2087,-0.0542,-0.9232,73.3750,2.5469,216.7969,no_tremor
35,194620,-0.2257,-0.0671,-0.9070,69.2812,-4.4219,216.7812,no_tremor
36,194625,-0.2272,-0.0806,-0.8911,65.5156,-11.6562,216.2812,no_tremor
37,194635,-0.2146,-0.1041,-0.8625,60.7188,-31.0781,206.7812,no_tremor
38,194662,-0.2419,-0.0873,-0.8783,67.9844,-52.8281,176.5938,no_tremor
39,194667,-0.2728,-0.0759,-0.8994,66.6406,-53.6562,174.2344,no_tremor
40,194672,-0.3103,-0.0658,-0.9229,68.0469,-53.3750,173.0781,no_tremor
41,194677,-0.3524,-0.0564,-0.9573,69.9375,-52.3594,171.2500,no_tremor
42,194682,-0.4194,-0.0555,-0.9761,71.0781,-50.8594,168.3438,no_tremor
43,194687,-0.4637,-0.0601,-0.9891,71.6094,-49.3125,165.9688,no_tremor
44,194692,-0.5055,-0.0698,-0.9948,72.7031,-47.8281,163.5156,no_tremor
45,194696,-0.5433,-0.0848,-0.9921,72.9375,-44.9531,160.5625,no_tremor
46,194701,-0.5757,-0.1040,-0.9810,71.7812,-41.0781,157.9531,no_tremor
47,194706,-0.6017,-0.1260,-0.9623,70.3906,-38.2344,154.2188,no_tremor
48,194711,-0.6207,-0.1490,-0.9377,68.9688,-38.2812,152.2031,no_tremor
49,194715,-0.6327,-0.1711,-0.9092,68.9844,-39.2188,150.0312,no_tremor
50,194730,-0.6295,-0.2220,-0.8079,64.8281,-45.8594,145.7812,no_tremor
51,194735,-0.6133,-0.2271,-0.7865,63.8281,-50.3281,142.2812,no_tremor
52,194740,-0.6012,-0.2281,-0.7708,62.3906,-54.0625,138.4062,no_tremor
53,194754,-0.5820,-0.2175,-0.7579,57.3750,-58.8125,118.3906,no_tremor
54,194759,-0.5868,-0.2125,-0.7627,55.1875,-57.6250,111.8125,no_tremor
55,194786,-0.7137,-0.2184,-0.7965,43.2969,-36.5938,77.1250,no_tremor
56,194791,-0.7347,-0.2256,-0.7947,39.4375,-31.7812,71.9219,no_tremor
57,194796,-0.7507,-0.2332,-0.7902,36.6875,-27.4688,67.1094,no_tremor
58,194801,-0.7612,-0.2406,-0.7792,34.3906,-22.7031,62.0938,no_tremor
59,194806,-0.7657,-0.2501,-0.7701,32.3281,-18.4375,57.6094,no_tremor
60,194811,-0.7623,-0.2549,-0.7604,30.1094,-15.3906,52.7969,no_tremor
61,194815,-0.7543,-0.2583,-0.7509,28.0156,-12.7031,47.3594,no_tremor
62,194820,-0.7428,-0.2604,-0.7419,25.7656,-10.8438,42.5781,no_tremor
