sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1909509,-0.4376,-0.0315,-0.9545,-0.3438,2.0156,-1.1875,no_tremor
1,1909514,-0.4352,-0.0314,-0.9556,-0.0938,1.0469,-1.0469,no_tremor
2,1909519,-0.4326,-0.0312,-0.9564,0.4219,0.9844,-1.7031,no_tremor
3,1909523,-0.4299,-0.0311,-0.9572,0.0469,0.5156,-1.0312,no_tremor
4,1909528,-0.4272,-0.0311,-0.9575,-0.6406,-0.0625,-0.3750,no_tremor
5,1909533,-0.4247,-0.0312,-0.9578,0.0469,-0.3281,-0.1875,no_tremor
6,1909542,-0.4205,-0.0315,-0.9580,0.0000,-0.5156,0.0938,no_tremor
7,1909547,-0.4192,-0.0316,-0.9583,0.1719,-0.5781,-0.3438,no_tremor
8,1909552,-0.4185,-0.0319,-0.9586,0.6094,-0.6719,0.2188,no_tremor
9,1909557,-0.4188,-0.0320,-0.9591,0.1250,-1.1875,0.7031,no_tremor
10,1909562,-0.4199,-0.0322,-0.9596,-0.6719,-1.5156,0.0000,no_tremor
11,1909567,-0.4216,-0.0323,-0.9603,-1.1562,-1.5156,-1.3281,no_tremor
12,1909572,-0.4238,-0.0326,-0.9611,-1.6719,-0.7969,-1.4531,no_tremor
13,1909576,-0.4261,-0.0330,-0.9618,-2.7031,-0.3750,-1.4688,no_tremor
14,1909581,-0.4286,-0.0337,-0.9625,-3.2344,-0.5938,-1.6406,no_tremor
15,1909586,-0.4307,-0.0348,-0.9637,-2.8906,-0.2656,-1.6406,no_tremor
16,1909591,-0.4324,-0.0364,-0.9653,-3.0156,0.2969,-1.3438,no_tremor
17,1909596,-0.4335,-0.0382,-0.9695,-3.7969,0.2344,-0.5625,no_tremor
18,1909601,-0.4335,-0.0413,-0.9736,-4.7812,-0.2188,-0.2969,no_tremor
19,1909606,-0.4323,-0.0432,-0.9790,-5.2344,-0.6562,0.2344,no_tremor
20,1909632,-0.3954,-0.0376,-1.0265,-0.0156,-17.2500,8.2969,no_tremor
21,1909637,-0.3815,-0.0001,-1.0426,3.1406,-21.0469,6.7812,no_tremor
22,1909642,-0.3601,-0.0184,-1.0542,5.8125,-21.9375,4.3281,no_tremor
