sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2835641,0.0132,-0.7352,-0.6293,-6.0625,1.3906,7.1094,no_tremor
1,2835645,0.0176,-0.7378,-0.6295,-7.5938,-1.5000,8.3125,no_tremor
2,2835650,0.0229,-0.7415,-0.6283,-8.8438,-6.5312,8.7656,no_tremor
3,2835655,0.0291,-0.7460,-0.6260,-10.6719,-9.4375,9.1875,no_tremor
4,2835660,0.0353,-0.7509,-0.6230,-11.9062,-11.7969,9.7812,no_tremor
5,2835665,0.0408,-0.7559,-0.6183,-12.8906,-12.9531,9.9844,no_tremor
6,2835670,0.0446,-0.7605,-0.6156,-14.0156,-11.6094,9.9688,no_tremor
7,2835674,0.0447,-0.7659,-0.6141,-15.3438,-8.3438,10.7500,no_tremor
8,2835679,0.0402,-0.7681,-0.6144,-15.8594,-4.6094,11.4688,no_tremor
9,2835684,0.0317,-0.7687,-0.6167,-15.7031,-1.5312,11.5469,no_tremor
10,2835698,-0.0120,-0.7604,-0.6379,-15.3438,1.9375,11.8750,no_tremor
11,2835703,-0.0297,-0.7543,-0.6486,-15.2188,1.3594,11.5312,no_tremor
12,2835708,-0.0471,-0.7473,-0.6599,-15.2656,0.5156,11.8125,no_tremor
13,2835735,-0.1078,-0.7146,-0.7079,-14.1875,-3.7656,12.2969,no_tremor
14,2835739,-0.1096,-0.7137,-0.7101,-14.3906,-3.2812,11.3750,no_tremor
15,2835744,-0.1101,-0.7144,-0.7106,-15.0312,-3.1250,11.3750,no_tremor
16,2835749,-0.1095,-0.7159,-0.7094,-15.2344,-3.6562,11.6875,no_tremor
17,2835754,-0.1083,-0.7183,-0.7065,-15.0625,-3.6094,11.4844,no_tremor
18,2835758,-0.1068,-0.7211,-0.7024,-15.6719,-2.8750,12.0312,no_tremor
19,2835763,-0.1055,-0.7239,-0.6970,-15.6406,-1.1250,12.6875,no_tremor
20,2835768,-0.1041,-0.7266,-0.6912,-15.6250,0.2969,12.8594,no_tremor
21,2835773,-0.1031,-0.7286,-0.6820,-15.8906,1.0938,13.1562,no_tremor
22,2835778,-0.1022,-0.7303,-0.6765,-16.3594,2.2031,13.6406,no_tremor
23,2835782,-0.1010,-0.7303,-0.6718,-16.8125,3.5469,14.6250,no_tremor
24,2835787,-0.0999,-0.7294,-0.6680,-17.2969,3.9531,16.2812,no_tremor
25,2835792,-0.0984,-0.7275,-0.6652,-17.7031,3.7500,17.8125,no_tremor
26,2835797,-0.0961,-0.7250,-0.6631,-18.3438,3.5312,18.8750,no_tremor
27,2835802,-0.0929,-0.7218,-0.6616,-19.6719,2.3750,21.1875,no_tremor
28,2835806,-0.0884,-0.7184,-0.6605,-20.5156,-0.3125,23.2656,no_tremor
29,2835811,-0.0824,-0.7150,-0.6593,-20.2344,-2.1719,25.0000,no_tremor
30,2835816,-0.0748,-0.7120,-0.6578,-20.7969,-4.1406,27.0312,no_tremor
31,2835821,-0.0658,-0.7097,-0.6560,-22.5781,-5.9844,29.2969,no_tremor
32,2835825,-0.0554,-0.7083,-0.6536,-24.5156,-7.8906,31.8281,no_tremor
33,2835830,-0.0439,-0.7081,-0.6486,-25.6094,-9.3281,34.0000,no_tremor
34,2835857,0.0244,-0.7229,-0.6169,-36.8594,-12.4688,47.9062,no_tremor
35,2835862,0.0315,-0.7260,-0.6093,-40.7656,-12.9688,50.0781,no_tremor
36,2835867,0.0366,-0.7284,-0.5967,-43.9531,-13.4531,52.0000,no_tremor
37,2835872,0.0397,-0.7306,-0.5874,-47.4375,-14.4219,54.7812,no_tremor
38,2835876,0.0406,-0.7308,-0.5775,-50.8281,-16.0312,57.6250,no_tremor
39,2835882,0.0394,-0.7300,-0.5667,-54.5469,-17.7188,59.6250,no_tremor
40,2835886,0.0371,-0.7281,-0.5551,-57.8594,-19.5781,61.6406,no_tremor
41,2835891,0.0342,-0.7252,-0.5427,-61.1250,-21.2656,64.8750,no_tremor
42,2835896,0.0311,-0.7213,-0.5299,-65.2188,-22.1875,70.1094,no_tremor
43,2835901,0.0283,-0.7164,-0.5172,-71.0938,-22.6562,73.1406,no_tremor
44,2835906,0.0262,-0.7106,-0.5055,-74.2500,-22.9062,76.3594,no_tremor
45,2835911,0.0248,-0.6993,-0.4913,-77.5000,-22.7500,79.5625,no_tremor
46,2835916,0.0232,-0.6899,-0.4852,-81.0469,-21.8281,82.0938,no_tremor
47,2835920,0.0219,-0.6791,-0.4821,-84.5469,-19.5000,84.3438,no_tremor
48,2835926,0.0195,-0.6665,-0.4821,-87.7188,-12.3594,88.0000,no_tremor
49,2835931,0.0156,-0.6525,-0.4851,-92.8438,-12.4062,90.3125,no_tremor
50,2835935,0.0098,-0.6372,-0.4907,-96.6406,-9.2812,92.5469,no_tremor
51,2835940,0.0016,-0.6210,-0.4984,-99.7812,-7.6719,95.3125,no_tremor
52,2835945,-0.0085,-0.6044,-0.5126,-103.0000,-8.3906,97.6250,no_tremor
53,2835950,-0.0203,-0.5797,-0.5229,-106.4688,-10.5000,99.3438,no_tremor
54,2835955,-0.0403,-0.5638,-0.5338,-109.0000,-14.9375,101.2656,no_tremor
55,2835983,-0.1536,-0.4795,-0.6193,-121.6094,-68.5000,99.1562,no_tremor
56,2835988,-0.1807,-0.4651,-0.6398,-123.2500,-72.5625,98.2344,no_tremor
57,2835993,-0.2092,-0.4502,-0.6627,-123.3281,-72.7812,97.7500,no_tremor
58,2835998,-0.2384,-0.4351,-0.6884,-121.7500,-70.8906,96.9062,no_tremor
59,2836002,-0.2671,-0.4197,-0.7474,-121.0156,-66.4219,95.4531,no_tremor
60,2836007,-0.2946,-0.3972,-0.7611,-120.2969,-59.4062,93.0781,no_tremor
