sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,3296685,-0.5624,-0.0129,-0.8823,-5.0469,-7.6406,-5.1719,no_tremor
1,3296690,-0.5594,-0.0177,-0.8761,-6.5156,-9.7344,-5.6875,no_tremor
2,3296694,-0.5553,-0.0227,-0.8688,-7.1562,-12.1562,-5.8750,no_tremor
3,3296699,-0.5503,-0.0275,-0.8563,-8.1094,-15.3594,-6.1094,no_tremor
4,3296704,-0.5449,-0.0316,-0.8477,-9.2656,-19.7188,-7.2188,no_tremor
5,3296709,-0.5400,-0.0356,-0.8395,-9.7656,-24.4688,-10.0625,no_tremor
6,3296714,-0.5360,-0.0366,-0.8323,-10.3125,-28.5938,-12.8906,no_tremor
7,3296719,-0.5376,-0.0360,-0.8268,-10.8438,-30.8125,-19.2188,no_tremor
8,3296724,-0.5443,-0.0338,-0.8231,-11.1875,-28.5625,-19.7812,no_tremor
9,3296729,-0.5570,-0.0299,-0.8218,-12.1719,-24.1406,-23.0938,no_tremor
10,3296733,-0.5760,-0.0248,-0.8224,-13.8125,-19.5000,-26.6094,no_tremor
11,3296738,-0.6010,-0.0186,-0.8248,-15.0312,-15.6250,-30.0469,no_tremor
12,3296743,-0.6306,-0.0115,-0.8300,-15.8438,-11.4062,-33.1094,no_tremor
13,3296748,-0.6633,-0.0005,-0.8333,-16.9688,-8.2031,-36.6094,no_tremor
14,3296753,-0.7144,0.0067,-0.8357,-17.7344,-6.7500,-40.5938,no_tremor
15,3296758,-0.7469,0.0133,-0.8369,-18.0781,-6.1562,-44.5312,no_tremor
16,3296763,-0.7765,0.0193,-0.8367,-18.5156,-5.6719,-48.0469,no_tremor
17,3296795,-0.8679,0.0374,-0.8008,-28.0156,3.9531,-83.9531,no_tremor
18,3296799,-0.8711,0.0378,-0.7928,-30.0156,6.5781,-88.0000,no_tremor
19,3296805,-0.8741,0.0383,-0.7849,-31.2500,11.5312,-93.3125,no_tremor
20,3296809,-0.8776,0.0388,-0.7770,-32.7188,15.0938,-97.5938,no_tremor
21,3296814,-0.8816,0.0399,-0.7662,-34.4375,17.9062,-101.2031,no_tremor
22,3296819,-0.8879,0.0409,-0.7601,-35.7188,20.5156,-105.6562,no_tremor
23,3296824,-0.8918,0.0419,-0.7548,-36.3594,23.6250,-110.3594,no_tremor
24,3296829,-0.8950,0.0426,-0.7504,-37.8750,27.1562,-114.6875,no_tremor
25,3296834,-0.8966,0.0431,-0.7467,-40.3906,30.3594,-118.1250,no_tremor
26,3296838,-0.8964,0.0430,-0.7437,-42.6406,33.0312,-122.8750,no_tremor
27,3296843,-0.8938,0.0422,-0.7407,-44.7969,36.9531,-127.1562,no_tremor
28,3296848,-0.8889,0.0406,-0.7380,-46.5156,38.9844,-131.5312,no_tremor
29,3296853,-0.8816,0.0385,-0.7341,-48.3125,41.3438,-134.6562,no_tremor
30,3296858,-0.8719,0.0339,-0.7314,-49.8438,43.7969,-137.6875,no_tremor
31,3296863,-0.8534,0.0305,-0.7289,-51.7188,45.5156,-140.2969,no_tremor
32,3296868,-0.8381,0.0270,-0.7267,-53.1094,47.0781,-141.6094,no_tremor
33,3296872,-0.8207,0.0236,-0.7252,-54.2500,48.4062,-142.2969,no_tremor
34,3296877,-0.8005,0.0203,-0.7249,-55.5156,49.2500,-143.3281,no_tremor
35,3296882,-0.7778,0.0172,-0.7260,-56.7188,50.2031,-144.0312,no_tremor
36,3296887,-0.7524,0.0143,-0.7290,-57.6094,52.7969,-144.6250,no_tremor
37,3296892,-0.7249,0.0115,-0.7341,-58.4688,54.4531,-145.9688,no_tremor
38,3296925,-0.5280,-0.0071,-0.8226,-60.2656,67.6875,-150.7188,no_tremor
39,3296929,-0.5027,-0.0077,-0.8350,-59.6875,72.4375,-148.2656,no_tremor
40,3296934,-0.4901,-0.0074,-0.8463,-59.1094,76.7031,-145.2500,no_tremor
41,3296939,-0.4799,-0.0065,-0.8568,-58.2500,79.6094,-142.3438,no_tremor
42,3296944,-0.4703,-0.0050,-0.8667,-57.2188,80.9219,-138.1719,no_tremor
43,3296949,-0.4600,-0.0033,-0.8763,-56.1719,78.9531,-135.3281,no_tremor
44,3296954,-0.4468,-0.0016,-0.8862,-54.1719,75.0781,-131.7188,no_tremor
45,3296959,-0.4296,-0.0004,-0.8966,-53.1875,69.6406,-128.0781,no_tremor
46,3296964,-0.3759,0.0002,-0.9136,-52.3438,62.1406,-125.1250,no_tremor
47,3297045,-0.1115,-0.0068,-1.0612,-33.6250,29.2656,-67.6719,no_tremor
48,3297049,-0.1134,-0.0052,-1.0593,-31.4531,24.9375,-63.7969,no_tremor
49,3297054,-0.1108,-0.0039,-1.0597,-29.5625,20.5938,-59.1094,no_tremor
50,3297060,-0.1045,-0.0027,-1.0623,-27.4375,15.4844,-56.6094,no_tremor
51,3297064,-0.0959,-0.0017,-1.0671,-26.1719,13.8594,-54.8281,no_tremor
52,3297069,-0.0867,-0.0006,-1.0771,-25.0469,12.8906,-53.5781,no_tremor
53,3297074,-0.0757,0.0011,-1.0846,-24.0156,12.2656,-51.7344,no_tremor
54,3297079,-0.0721,0.0026,-1.0917,-22.3594,12.4375,-49.2031,no_tremor
55,3297084,-0.0728,0.0043,-1.0974,-21.8438,13.0000,-46.9688,no_tremor
56,3297089,-0.0774,0.0060,-1.1012,-21.8750,13.3125,-44.7188,no_tremor
