sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1488738,-0.8969,-0.0322,0.3734,5.4844,1.0000,-3.0781,no_tremor
1,1488749,-0.8954,-0.0343,0.3759,5.3281,1.2969,-3.1094,no_tremor
2,1488760,-0.8943,-0.0391,0.3771,5.5156,1.4375,-4.3906,no_tremor
3,1488771,-0.8971,-0.0454,0.3756,4.8125,-0.0312,-5.2656,no_tremor
4,1488804,-0.9292,-0.0493,0.3583,11.8281,-0.5000,-11.1406,no_tremor
5,1488815,-0.9397,-0.0426,0.3495,9.6875,-0.2500,-13.3594,no_tremor
6,1488826,-0.9441,-0.0345,0.3381,11.6875,-0.3125,-17.0312,no_tremor
7,1488837,-0.9462,-0.0266,0.3257,12.8906,-2.6406,-20.0781,no_tremor
8,1488848,-0.9540,-0.0205,0.3129,15.7031,-1.5781,-25.9062,no_tremor
9,1488860,-0.9720,-0.0154,0.2979,21.1875,-3.9844,-31.6562,no_tremor
10,1488871,-0.9910,-0.0083,0.2811,26.2812,-4.3906,-38.2969,no_tremor
11,1488882,-1.0098,-0.0006,0.2637,30.9062,-9.4531,-43.2500,no_tremor
12,1488893,-1.0145,0.0104,0.2506,36.2344,-18.8906,-50.7812,no_tremor
13,1488926,-1.0096,0.0243,0.2349,50.8750,-18.1406,-68.5625,no_tremor
14,1488938,-1.0168,0.0206,0.2355,59.8281,-17.8438,-74.5312,no_tremor
15,1488949,-1.0222,0.0170,0.2336,65.8750,-20.5781,-79.4219,no_tremor
16,1488960,-1.0167,0.0154,0.2301,71.9375,-23.9062,-85.3125,no_tremor
17,1488971,-0.9985,0.0126,0.2299,78.0156,-27.2812,-88.1250,no_tremor
18,1488982,-0.9695,0.0042,0.2374,82.5781,-32.2188,-90.3750,no_tremor
19,1488994,-0.9346,-0.0109,0.2535,87.4688,-41.0469,-93.9844,no_tremor
20,1489005,-0.9047,-0.0292,0.2743,91.0156,-44.8281,-99.6406,no_tremor
21,1489016,-0.8895,-0.0461,0.2970,94.1719,-46.9844,-106.6719,no_tremor
22,1489050,-0.9038,-0.0648,0.3776,103.8438,-47.5312,-118.7969,no_tremor
23,1489062,-0.8938,-0.0656,0.4037,105.7031,-45.8281,-118.9375,no_tremor
24,1489073,-0.8638,-0.0668,0.4261,106.7500,-48.6562,-120.7188,no_tremor
25,1489084,-0.8217,-0.0696,0.4429,106.7969,-50.6406,-123.5312,no_tremor
26,1489095,-0.7816,-0.0739,0.4655,106.5000,-48.4531,-123.9531,no_tremor
27,1489107,-0.7523,-0.0795,0.4917,105.3594,-47.2031,-123.8281,no_tremor
28,1489118,-0.7324,-0.0850,0.5206,104.5000,-48.7500,-122.5625,no_tremor
29,1489129,-0.7135,-0.0880,0.5497,102.1562,-49.2344,-121.3906,no_tremor
30,1489140,-0.6874,-0.0885,0.5746,101.2188,-54.3438,-119.2188,no_tremor
31,1489175,-0.5922,-0.1038,0.6249,96.3438,-54.3750,-112.8125,no_tremor
32,1489186,-0.5693,-0.1205,0.6476,91.5156,-51.7188,-106.2812,no_tremor
33,1489197,-0.5540,-0.1360,0.6780,86.1875,-48.2031,-99.1094,no_tremor
34,1489208,-0.5353,-0.1552,0.7059,77.7500,-45.6562,-89.6406,no_tremor
35,1489219,-0.5138,-0.1721,0.7422,68.8906,-41.4531,-79.2500,no_tremor
36,1489231,-0.4882,-0.1862,0.7762,61.6094,-38.7812,-69.2344,no_tremor
37,1489242,-0.4604,-0.1981,0.8053,52.4375,-35.4375,-56.6250,no_tremor
38,1489253,-0.4335,-0.2085,0.8278,43.5469,-29.5625,-49.0781,no_tremor
39,1489264,-0.4097,-0.2175,0.8445,35.0938,-24.3906,-38.2969,no_tremor
40,1489297,-0.3932,-0.2246,0.8599,16.4062,5.6875,-15.1406,no_tremor
