sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1157969,-0.9139,-0.1053,0.3187,-0.0312,-2.6250,-1.0625,no_tremor
1,1157974,-0.9142,-0.1045,0.3197,0.1719,-2.8281,-1.0781,no_tremor
2,1157978,-0.9141,-0.1034,0.3208,-0.1406,-3.0469,-1.2656,no_tremor
3,1157983,-0.9138,-0.1021,0.3220,-0.4219,-3.4375,-0.6094,no_tremor
4,1157988,-0.9135,-0.1005,0.3234,-0.1406,-3.5781,-0.5312,no_tremor
5,1158092,-0.9092,-0.0776,0.3247,-1.4531,-0.2812,0.5781,no_tremor
6,1158096,-0.9102,-0.0793,0.3247,-1.0625,0.7031,0.6094,no_tremor
7,1158106,-0.9136,-0.0868,0.3245,-1.2656,2.4531,1.6875,no_tremor
8,1158111,-0.9163,-0.0912,0.3243,-1.0156,3.2656,2.0938,no_tremor
9,1158115,-0.9210,-0.0964,0.3242,-1.6719,4.0625,1.7969,no_tremor
10,1158120,-0.9246,-0.1023,0.3242,-3.8594,4.6250,2.2188,no_tremor
11,1158150,-0.9288,-0.1320,0.3341,-14.9531,-16.7031,3.4375,no_tremor
12,1158155,-0.9243,-0.1312,0.3379,-17.9219,-23.6094,2.0781,no_tremor
13,1158159,-0.9191,-0.1287,0.3428,-20.7812,-30.0469,1.2812,no_tremor
14,1158164,-0.9143,-0.1243,0.3490,-24.0000,-36.2031,-0.3438,no_tremor
15,1158174,-0.9117,-0.1100,0.3678,-34.6406,-50.6406,-9.5312,no_tremor
16,1158183,-0.9276,-0.0890,0.3988,-41.4531,-59.1719,-20.3750,no_tremor
17,1158193,-0.9666,-0.0634,0.4554,-50.4219,-62.4844,-29.2656,no_tremor
18,1158198,-0.9932,-0.0499,0.4812,-53.7031,-62.9219,-34.5469,no_tremor
19,1158202,-1.0538,-0.0299,0.5072,-56.9062,-61.5312,-40.6719,no_tremor
20,1158207,-1.0680,-0.0167,0.5325,-60.3438,-60.0000,-47.1094,no_tremor
21,1158212,-1.0964,-0.0038,0.5569,-63.0938,-59.6719,-52.8125,no_tremor
22,1158217,-1.1217,0.0093,0.5800,-64.9688,-58.0469,-57.0469,no_tremor
23,1158222,-1.1427,0.0223,0.6016,-66.0781,-52.4844,-60.5156,no_tremor
24,1158231,-1.1710,0.0482,0.6401,-68.7969,-29.2969,-75.1406,no_tremor
25,1158236,-1.1804,0.0593,0.6578,-72.8125,-20.4688,-82.2656,no_tremor
26,1158241,-1.1890,0.0675,0.6754,-76.3594,-12.2188,-88.6250,no_tremor
27,1158267,-1.2634,-0.0140,0.8026,-98.8438,19.2969,-119.1406,no_tremor
28,1158272,-1.2748,-0.0488,0.8221,-102.2031,25.7344,-126.5156,no_tremor
29,1158277,-1.2827,-0.0858,0.8370,-105.1875,36.5781,-130.4375,no_tremor
30,1158287,-1.2845,-0.1591,0.8459,-109.3906,48.0938,-136.1094,no_tremor
31,1158292,-1.2773,-0.1920,0.8374,-110.6250,52.9219,-138.5312,no_tremor
32,1158296,-1.2648,-0.2209,0.8068,-111.7188,57.7969,-140.8750,no_tremor
33,1158301,-1.2472,-0.2554,0.7754,-112.6875,63.2656,-144.9844,no_tremor
34,1158306,-1.2137,-0.2719,0.7366,-112.5625,69.0938,-149.0000,no_tremor
35,1158311,-1.1888,-0.2837,0.6924,-113.0000,73.7812,-151.7344,no_tremor
36,1158316,-1.1632,-0.2913,0.6450,-114.6719,77.5781,-153.8594,no_tremor
37,1158321,-1.1382,-0.2958,0.5966,-115.8906,83.7656,-155.9531,no_tremor
38,1158326,-1.1143,-0.2985,0.5490,-117.6719,86.9844,-156.8281,no_tremor
39,1158335,-1.0701,-0.3024,0.4617,-119.9375,90.5781,-158.2656,no_tremor
