sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,695170,-0.5648,-0.2101,0.7965,2.9688,1.4688,5.2344,no_tremor
1,695175,-0.5640,-0.2040,0.8120,3.1875,-0.9531,6.4062,no_tremor
2,695180,-0.5625,-0.1959,0.8257,2.7969,-2.6406,7.8906,no_tremor
3,695185,-0.5602,-0.1862,0.8368,2.4375,-5.3438,9.9062,no_tremor
4,695210,-0.5211,-0.1395,0.8456,-5.6719,4.8750,17.8281,no_tremor
5,695214,-0.5109,-0.1384,0.8425,-8.4375,14.8281,21.1562,no_tremor
6,695219,-0.5006,-0.1405,0.8407,-13.5156,20.5469,24.2812,no_tremor
7,695224,-0.4908,-0.1453,0.8408,-17.1250,27.0938,27.6406,no_tremor
8,695229,-0.4814,-0.1520,0.8464,-20.6562,32.1875,31.1406,no_tremor
9,695234,-0.4675,-0.1630,0.8547,-22.9844,34.7812,34.2188,no_tremor
10,695239,-0.4573,-0.1692,0.8671,-24.9531,34.4375,37.2188,no_tremor
11,695244,-0.4456,-0.1731,0.8837,-27.9688,31.5938,40.7500,no_tremor
12,695259,-0.3961,-0.1666,0.9539,-42.3281,12.7656,55.1562,no_tremor
13,695263,-0.3750,-0.1584,0.9803,-46.8125,5.3750,58.7812,no_tremor
14,695268,-0.3215,-0.1423,1.0189,-51.1875,-2.5469,62.4375,no_tremor
15,695274,-0.3204,-0.1305,1.0428,-56.3125,-9.9375,65.5938,no_tremor
16,695288,-0.2791,-0.1019,1.1060,-80.9062,-18.5156,78.4844,no_tremor
17,695293,-0.2770,-0.0983,1.1251,-88.0312,-13.2188,83.2031,no_tremor
18,695298,-0.2819,-0.0986,1.1526,-95.2656,-5.7188,87.5781,no_tremor
19,695303,-0.2938,-0.1068,1.1699,-103.3125,2.9219,90.8594,no_tremor
20,695308,-0.3241,-0.1165,1.1864,-111.8281,12.6406,93.8438,no_tremor
21,695334,-0.4926,-0.1682,1.2476,-156.0625,61.5156,114.2344,no_tremor
22,695339,-0.5157,-0.1663,1.2490,-164.7812,64.6562,116.6875,no_tremor
23,695344,-0.5323,-0.1589,1.2461,-170.0469,66.1719,118.9219,no_tremor
24,695348,-0.5419,-0.1464,1.2323,-174.8438,66.9062,120.7500,no_tremor
25,695358,-0.5360,-0.0980,1.1967,-184.8438,65.4219,125.0312,no_tremor
26,695363,-0.5242,-0.0752,1.1720,-189.8125,65.0000,127.2812,no_tremor
27,695373,-0.4907,-0.0302,1.1128,-200.0781,61.5469,129.6406,no_tremor
28,695378,-0.4720,-0.0096,1.0801,-202.5625,60.0625,130.1094,no_tremor
29,695388,-0.4374,0.0312,0.9940,-205.5469,59.2031,132.1719,no_tremor
30,695393,-0.4187,0.0430,0.9585,-206.2344,59.0625,132.7344,no_tremor
31,695407,-0.4152,0.0613,0.8475,-208.4688,53.7500,128.6562,no_tremor
32,695412,-0.4263,0.0624,0.8090,-207.0312,47.5781,126.4062,no_tremor
33,695417,-0.4432,0.0614,0.7700,-206.2188,41.7031,124.5156,no_tremor
34,695422,-0.4652,0.0588,0.6996,-204.5312,35.8281,122.8438,no_tremor
35,695427,-0.5220,0.0529,0.6722,-201.7500,29.2812,121.2031,no_tremor
36,695432,-0.5322,0.0485,0.6338,-198.4062,21.2500,120.2031,no_tremor
37,695460,-0.6660,0.0366,0.4236,-179.9531,14.1875,119.3125,no_tremor
38,695465,-0.6804,0.0378,0.3933,-177.2344,18.3125,118.7344,no_tremor
39,695469,-0.6931,0.0396,0.3651,-174.5000,21.6875,117.8281,no_tremor
40,695474,-0.7043,0.0416,0.3392,-170.2500,23.2500,118.4062,no_tremor
41,695479,-0.7146,0.0439,0.2848,-167.1406,23.7656,118.0938,no_tremor
42,695484,-0.7242,0.0464,0.2853,-163.9531,22.2812,116.6875,no_tremor
43,695489,-0.7388,0.0502,0.2670,-161.4531,19.9375,114.8594,no_tremor
44,695494,-0.7493,0.0526,0.2495,-158.4688,17.8281,112.6719,no_tremor
45,695499,-0.7609,0.0547,0.2323,-154.7344,15.8750,110.8438,no_tremor
46,695504,-0.7736,0.0564,0.2150,-150.7969,9.0156,106.4688,no_tremor
47,695509,-0.7875,0.0577,0.1973,-144.1875,6.1250,103.1719,no_tremor
48,695513,-0.8024,0.0585,0.1791,-139.9062,0.8281,100.4375,no_tremor
49,695518,-0.8177,0.0588,0.1296,-135.8594,-4.5000,97.6094,no_tremor
50,695523,-0.8336,0.0588,0.1348,-131.9062,-9.9219,94.9688,no_tremor
51,695528,-0.8579,0.0586,0.1190,-127.0781,-13.9688,93.4531,no_tremor
52,695533,-0.8743,0.0582,0.1049,-121.6562,-14.8438,92.6094,no_tremor
53,695538,-0.8909,0.0577,0.0927,-116.4062,-13.9375,90.4531,no_tremor
54,695543,-0.9080,0.0569,0.0826,-111.5781,-13.4062,87.4844,no_tremor
55,695548,-0.9259,0.0554,0.0750,-104.3594,-13.1719,83.3438,no_tremor
56,695553,-0.9451,0.0529,0.0691,-98.3125,-11.1406,79.0781,no_tremor
57,695579,-1.1025,0.0105,0.0282,-70.1562,-2.6094,59.3281,no_tremor
58,695584,-1.1331,0.0004,0.0144,-64.7969,-1.2812,54.7969,no_tremor
59,695594,-1.1914,-0.0188,-0.0182,-52.5781,4.9219,43.5625,no_tremor
60,695599,-1.2178,-0.0270,-0.0355,-47.1406,8.1250,40.4062,no_tremor
61,695604,-1.2411,-0.0363,-0.0607,-41.0156,11.0781,37.3438,no_tremor
62,695608,-1.2688,-0.0404,-0.0756,-35.0938,13.8125,32.5938,no_tremor
63,695613,-1.2812,-0.0427,-0.0884,-29.6719,15.1094,27.9062,no_tremor
64,695618,-1.2882,-0.0435,-0.0981,-24.7031,13.9062,23.9375,no_tremor
65,695623,-1.2892,-0.0431,-0.1042,-16.5000,8.5156,17.5156,no_tremor
66,695628,-1.2838,-0.0420,-0.1060,-14.2969,3.4375,14.1875,no_tremor
67,695633,-1.2722,-0.0405,-0.1031,-9.9219,-1.5781,10.9688,no_tremor
68,695638,-1.2549,-0.0391,-0.0900,-6.4531,-5.6719,8.3281,no_tremor
69,695643,-1.2325,-0.0377,-0.0757,-3.7500,-8.9688,6.2500,no_tremor
70,695648,-1.1926,-0.0378,-0.0575,-0.4219,-11.9375,3.7188,no_tremor
71,695652,-1.1637,-0.0392,-0.0360,2.6562,-14.4688,1.1875,no_tremor
72,695657,-1.1349,-0.0420,-0.0117,4.8438,-15.7969,-0.8750,no_tremor
73,695662,-1.1079,-0.0463,0.0143,6.5781,-15.3594,-4.0312,no_tremor
74,695667,-1.0837,-0.0520,0.0413,10.0000,-12.4531,-5.2188,no_tremor
75,695677,-1.0472,-0.0668,0.1057,13.3281,-7.3594,-5.6875,no_tremor
76,695701,-1.0031,-0.1040,0.1874,22.3281,5.4375,-9.7812,no_tremor
77,695706,-0.9957,-0.1083,0.1957,24.5000,5.7344,-9.8438,no_tremor
78,695711,-0.9872,-0.1122,0.2026,25.4531,7.2188,-9.9531,no_tremor
79,695726,-0.9481,-0.1293,0.2281,28.4531,4.0469,-11.4531,no_tremor
80,695731,-0.9349,-0.1364,0.2384,29.1562,2.2969,-12.0938,no_tremor
81,695735,-0.9213,-0.1444,0.2504,29.5000,0.1250,-12.5312,no_tremor
82,695740,-0.9075,-0.1530,0.2642,29.5312,-1.7500,-13.2031,no_tremor
83,695745,-0.8938,-0.1619,0.2794,29.9062,-2.0625,-13.6250,no_tremor
84,695755,-0.8695,-0.1790,0.3207,30.1562,-3.2656,-13.2188,no_tremor
85,695760,-0.8558,-0.1898,0.3368,30.2344,-2.8125,-13.3594,no_tremor
86,695765,-0.8496,-0.1957,0.3516,29.9531,-1.8438,-13.7656,no_tremor
87,695770,-0.8457,-0.2002,0.3647,29.7500,-1.6719,-13.2500,no_tremor
88,695774,-0.8436,-0.2035,0.3761,28.6719,-2.7656,-8.3594,no_tremor
89,695779,-0.8431,-0.2053,0.3855,27.5625,-4.6406,-11.0312,no_tremor
90,695784,-0.8436,-0.2058,0.3931,27.8438,-4.5625,-10.2188,no_tremor
91,695789,-0.8446,-0.2054,0.3989,27.6719,-3.6250,-10.2969,no_tremor
92,695824,-0.8607,-0.2025,0.4083,21.8438,2.7500,-8.7188,no_tremor
93,695829,-0.8624,-0.2035,0.4088,21.9688,1.3125,-9.0000,no_tremor
94,695834,-0.8634,-0.2041,0.4097,21.9844,0.2656,-8.5781,no_tremor
95,695839,-0.8634,-0.2045,0.4110,21.8906,0.2656,-7.7812,no_tremor
96,695844,-0.8623,-0.2046,0.4130,21.5469,0.2500,-9.2812,no_tremor
97,695858,-0.8545,-0.2065,0.4247,19.2500,-2.8750,-9.3438,no_tremor
98,695863,-0.8501,-0.2100,0.4292,18.5469,-3.2344,-9.1406,no_tremor
99,695868,-0.8478,-0.2133,0.4333,17.7344,-2.3281,-9.1094,no_tremor
100,695873,-0.8464,-0.2174,0.4369,17.6250,-0.8906,-9.4062,no_tremor
101,695883,-0.8463,-0.2267,0.4399,18.4062,2.0000,-9.7656,no_tremor
102,695888,-0.8474,-0.2311,0.4390,18.1875,2.7188,-9.5312,no_tremor
103,695893,-0.8490,-0.2350,0.4364,18.2812,2.6562,-9.5781,no_tremor
104,695898,-0.8513,-0.2393,0.4302,17.6406,3.0312,-10.1406,no_tremor
105,695902,-0.8525,-0.2407,0.4249,16.9688,4.0000,-10.0156,no_tremor
