sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1992767,-0.6711,0.1576,0.6604,-1.0938,-0.6719,-0.1875,no_tremor
1,1992772,-0.6715,0.1566,0.6588,-0.7344,-0.7812,-0.1406,no_tremor
2,1992776,-0.6719,0.1562,0.6577,-0.5000,-0.0781,0.0781,no_tremor
3,1992781,-0.6722,0.1562,0.6565,0.1094,0.7188,-0.3906,no_tremor
4,1992786,-0.6726,0.1565,0.6552,0.3125,1.2656,-0.3281,no_tremor
5,1992791,-0.6733,0.1570,0.6539,-0.3125,1.8906,-0.4375,no_tremor
6,1992796,-0.6741,0.1577,0.6527,3.7812,1.4062,-0.5469,no_tremor
7,1992801,-0.6748,0.1587,0.6516,0.5469,0.5312,-0.1094,no_tremor
8,1992806,-0.6755,0.1597,0.6504,0.5938,-0.0938,-0.5938,no_tremor
9,1992811,-0.6760,0.1609,0.6500,0.8125,-0.0156,-1.4219,no_tremor
10,1992816,-0.6765,0.1616,0.6499,0.8438,-0.6875,-1.1250,no_tremor
11,1992821,-0.6766,0.1622,0.6501,0.5625,-1.3281,-0.2812,no_tremor
12,1992825,-0.6766,0.1628,0.6505,0.5469,-0.7188,0.1719,no_tremor
13,1992830,-0.6765,0.1633,0.6511,1.0000,-0.2500,-0.6094,no_tremor
14,1992835,-0.6765,0.1638,0.6519,0.3906,-0.5938,-0.9375,no_tremor
15,1992861,-0.6793,0.1658,0.6573,0.0312,0.8438,-0.9844,no_tremor
16,1992866,-0.6802,0.1659,0.6584,-0.0469,0.3281,-1.2969,no_tremor
17,1992871,-0.6814,0.1659,0.6589,0.6562,0.5938,-1.8125,no_tremor
18,1992875,-0.6821,0.1660,0.6591,0.7031,1.8906,-1.6250,no_tremor
19,1992880,-0.6830,0.1660,0.6588,0.5156,2.6094,-1.3594,no_tremor
20,1992885,-0.6840,0.1660,0.6584,1.2031,3.1719,-1.5469,no_tremor
21,1992890,-0.6849,0.1660,0.6577,1.5625,4.7656,-2.3438,no_tremor
22,1992895,-0.6859,0.1660,0.6570,1.5781,4.9375,-2.2500,no_tremor
23,1992900,-0.6869,0.1659,0.6560,1.6562,4.6250,-2.2344,no_tremor
24,1992905,-0.6876,0.1655,0.6547,2.0469,4.8438,-2.6406,no_tremor
25,1992910,-0.6882,0.1653,0.6537,2.0469,5.3906,-2.7812,no_tremor
26,1992915,-0.6882,0.1648,0.6528,2.2656,5.3750,-2.5312,no_tremor
27,1992919,-0.6877,0.1643,0.6521,2.8906,5.6406,-2.0781,no_tremor
28,1992924,-0.6868,0.1638,0.6515,2.7656,5.7969,-2.2188,no_tremor
29,1992929,-0.6854,0.1631,0.6511,2.1406,5.2500,-2.6250,no_tremor
30,1992934,-0.6838,0.1624,0.6511,2.5312,5.6562,-2.5625,no_tremor
31,1992939,-0.6823,0.1616,0.6515,2.1719,6.4219,-2.4531,no_tremor
32,1992944,-0.6809,0.1609,0.6522,1.9219,7.0156,-2.2656,no_tremor
33,1992948,-0.6801,0.1604,0.6541,1.9375,8.5156,-2.6094,no_tremor
34,1992953,-0.6796,0.1599,0.6555,2.0625,9.5469,-2.9531,no_tremor
35,1992958,-0.6796,0.1599,0.6571,2.2344,9.3281,-2.7188,no_tremor
36,1992983,-0.6857,0.1646,0.6637,2.3594,14.7188,-3.4531,no_tremor
37,1992988,-0.6877,0.1666,0.6643,2.0938,16.5781,-3.6406,no_tremor
38,1992992,-0.6910,0.1680,0.6643,2.0781,17.6250,-3.9219,no_tremor
39,1992997,-0.6931,0.1689,0.6638,1.9375,18.6250,-3.7031,no_tremor
40,1993002,-0.6949,0.1696,0.6627,1.5312,19.0000,-3.8438,no_tremor
41,1993007,-0.6964,0.1699,0.6611,1.9375,18.1562,-4.0781,no_tremor
42,1993012,-0.6974,0.1699,0.6589,3.1719,17.0000,-3.9219,no_tremor
43,1993017,-0.6975,0.1697,0.6565,2.9219,15.7500,-3.5781,no_tremor
44,1993022,-0.6970,0.1692,0.6537,2.6250,14.2500,-3.4219,no_tremor
45,1993027,-0.6959,0.1685,0.6494,2.7656,12.9688,-3.5938,no_tremor
46,1993031,-0.6940,0.1680,0.6467,2.7344,12.3125,-3.6719,no_tremor
47,1993036,-0.6929,0.1677,0.6444,2.4062,12.7188,-3.8594,no_tremor
48,1993041,-0.6925,0.1678,0.6423,2.2969,13.6250,-4.2344,no_tremor
49,1993046,-0.6930,0.1681,0.6406,2.3438,15.3594,-4.6562,no_tremor
50,1993051,-0.6946,0.1687,0.6393,2.8281,17.5000,-4.8906,no_tremor
51,1993055,-0.6971,0.1696,0.6381,3.1719,20.0000,-5.3438,no_tremor
52,1993060,-0.7004,0.1704,0.6370,3.4062,22.1094,-6.0469,no_tremor
53,1993065,-0.7041,0.1713,0.6359,3.6406,23.9688,-5.8750,no_tremor
54,1993070,-0.7079,0.1725,0.6342,4.0156,24.9062,-5.0938,no_tremor
55,1993075,-0.7130,0.1730,0.6328,4.8906,25.0156,-5.5156,no_tremor
56,1993080,-0.7162,0.1733,0.6315,6.0000,25.7500,-6.8281,no_tremor
57,1993105,-0.7457,0.1759,0.6310,9.7812,62.9531,-11.4688,no_tremor
58,1993110,-0.7563,0.1771,0.6326,11.1562,71.4219,-12.4531,no_tremor
59,1993115,-0.7686,0.1787,0.6342,12.1719,79.0625,-14.2031,no_tremor
60,1993120,-0.7816,0.1805,0.6353,13.0469,86.7344,-14.7188,no_tremor
61,1993125,-0.7949,0.1827,0.6357,14.7656,90.8125,-15.1875,no_tremor
62,1993130,-0.8076,0.1852,0.6351,15.9375,93.2656,-16.0781,no_tremor
63,1993134,-0.8190,0.1879,0.6322,16.3594,94.7500,-16.6250,no_tremor
64,1993139,-0.8323,0.1918,0.6289,16.3438,97.6719,-17.1406,no_tremor
65,1993144,-0.8386,0.1941,0.6249,16.7500,103.0000,-17.9688,no_tremor
66,1993149,-0.8430,0.1960,0.6207,17.8281,110.9375,-19.0312,no_tremor
67,1993154,-0.8467,0.1976,0.6173,18.1250,122.5625,-20.9688,no_tremor
68,1993164,-0.8579,0.1996,0.6158,19.2969,169.2812,-27.5312,no_tremor
69,1993169,-0.8690,0.2002,0.6210,20.4219,195.3125,-31.2812,no_tremor
70,1993174,-0.8964,0.2009,0.6272,22.3281,224.2188,-35.0312,no_tremor
71,1993179,-0.9222,0.2015,0.6348,25.4375,254.1719,-37.7969,no_tremor
72,1993184,-0.9536,0.2025,0.6426,29.1094,283.7500,-40.0469,no_tremor
73,1993188,-0.9891,0.2039,0.6492,32.7031,324.4219,-44.1562,no_tremor
74,1993193,-1.0269,0.2058,0.6532,38.0156,350.9375,-46.5000,no_tremor
75,1993199,-1.0646,0.2083,0.6536,41.9844,372.7812,-47.7969,no_tremor
76,1993203,-1.1001,0.2131,0.6450,44.4844,391.2188,-48.2188,no_tremor
77,1993230,-1.1652,0.2211,0.5225,40.2500,471.2188,-46.2031,no_tremor
78,1993235,-1.1455,0.2167,0.4919,39.0781,478.8750,-43.0312,no_tremor
79,1993240,-1.1201,0.2101,0.4470,38.9688,489.8594,-41.9062,no_tremor
80,1993245,-1.0770,0.1973,0.4185,38.5781,507.4531,-42.0938,no_tremor
81,1993250,-1.0488,0.1880,0.3910,39.7656,511.9844,-41.9688,no_tremor
82,1993255,-1.0243,0.1790,0.3643,42.6875,511.9844,-42.3438,no_tremor
83,1993260,-1.0054,0.1711,0.3374,47.6406,511.9844,-43.6250,no_tremor
84,1993265,-0.9933,0.1650,0.3094,63.3438,511.9844,-43.5312,no_tremor
85,1993270,-0.9883,0.1613,0.2793,72.3281,511.9844,-41.5156,no_tremor
86,1993274,-0.9894,0.1602,0.2461,87.4688,511.9844,-38.8594,no_tremor
87,1993279,-0.9952,0.1627,0.1912,102.4531,511.9844,-36.2656,no_tremor
88,1993284,-1.0093,0.1664,0.1521,114.7344,511.9844,-35.2500,no_tremor
89,1993289,-1.0198,0.1704,0.1133,124.0469,511.9844,-34.8125,no_tremor
90,1993294,-1.0297,0.1727,0.0770,128.9219,511.9844,-32.9531,no_tremor
91,1993299,-1.0376,0.1716,0.0463,128.4219,511.9844,-27.4062,no_tremor
92,1993304,-1.0421,0.1649,0.0233,120.5312,511.9844,-23.2969,no_tremor
93,1993309,-1.0416,0.1511,0.0101,109.0000,511.9844,-19.2188,no_tremor
94,1993314,-1.0339,0.1154,0.0093,94.0625,511.9844,-15.6406,no_tremor
95,1993319,-1.0033,0.0818,0.0194,76.5781,511.9844,-13.0781,no_tremor
96,1993323,-0.9661,0.0420,0.0344,53.2500,511.9844,-8.6406,no_tremor
97,1993328,-0.9117,-0.0021,0.0492,31.8438,511.9844,-0.5156,no_tremor
98,1993361,-0.0394,-0.1541,-0.2490,3.5625,0.4531,15.6562,no_tremor
99,1993365,0.1118,-0.1309,-0.3666,-9.8281,-67.1875,-0.0312,no_tremor
100,1993370,0.2483,-0.1024,-0.4917,-24.6719,-147.5625,-2.6719,no_tremor
101,1993375,0.3611,-0.0732,-0.6162,-28.5312,-175.6875,1.2031,no_tremor
102,1993380,0.4691,-0.0350,-0.7832,-28.6250,-181.7656,8.7031,no_tremor
103,1993385,0.4922,-0.0156,-0.8708,-28.9844,-171.3438,15.2812,no_tremor
104,1993390,0.4724,-0.0010,-0.9342,-30.0625,-150.9844,19.2500,no_tremor
105,1993395,0.4095,0.0099,-0.9719,-31.7500,-123.7656,21.7656,no_tremor
106,1993400,0.3063,0.0189,-0.9852,-33.3906,-92.4219,22.2344,no_tremor
107,1993405,0.1677,0.0283,-0.9779,-33.6406,-43.0781,17.6406,no_tremor
108,1993409,0.0022,0.0400,-0.9550,-31.2031,-10.8594,15.4219,no_tremor
109,1993414,-0.1799,0.0554,-0.9225,-29.0781,17.7969,14.1719,no_tremor
110,1993419,-0.3669,0.0748,-0.8691,-27.0000,40.6406,12.6406,no_tremor
111,1993424,-0.6304,0.1095,-0.8384,-24.4688,56.1719,11.2344,no_tremor
112,1993429,-0.7793,0.1338,-0.8164,-21.8438,65.3438,9.9062,no_tremor
113,1993434,-0.8981,0.1562,-0.8059,-19.3750,69.8594,4.3594,no_tremor
114,1993439,-0.9821,0.1744,-0.8080,-12.5469,71.7656,6.5000,no_tremor
115,1993444,-1.0303,0.1866,-0.8226,-12.3438,69.7031,5.0312,no_tremor
116,1993449,-1.0444,0.1914,-0.8480,-10.7656,65.6094,3.0156,no_tremor
117,1993454,-1.0287,0.1847,-0.9008,-9.5312,60.4219,0.9219,no_tremor
118,1993479,-0.6395,0.0825,-1.0807,-8.7500,-6.3281,-1.1875,no_tremor
119,1993484,-0.5724,0.0660,-1.0911,-7.9375,-20.7500,0.5781,no_tremor
120,1993489,-0.5122,0.0529,-1.0925,-7.0469,-33.6562,3.0781,no_tremor
121,1993501,-0.3986,0.0342,-1.0627,-6.1406,-50.3281,6.5781,no_tremor
122,1993512,-0.3505,0.0312,-1.0066,-2.6094,-41.6094,6.6875,no_tremor
123,1993523,-0.3828,0.0424,-0.9559,2.2031,-14.2344,2.2969,no_tremor
124,1993534,-0.4847,0.0681,-0.9313,6.7656,17.1094,1.1094,no_tremor
125,1993557,-0.6736,0.1282,-0.9475,10.1094,19.4219,-0.3438,no_tremor
126,1993568,-0.6869,0.1453,-0.9631,9.4688,0.5312,0.2188,no_tremor
127,1993610,-0.4260,0.0870,-0.8918,4.5625,-9.5938,1.0312,no_tremor
128,1993622,-0.4464,0.0856,-0.8632,3.9688,-0.5156,0.4531,no_tremor
