sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2521100,-0.6495,-0.0424,-0.8107,-0.6562,2.0156,-1.4844,no_tremor
1,2521105,-0.6483,-0.0431,-0.8099,-0.3281,1.3750,-1.8750,no_tremor
2,2521110,-0.6467,-0.0437,-0.8094,-0.4219,2.0938,-1.2969,no_tremor
3,2521115,-0.6449,-0.0443,-0.8092,-0.4062,2.4375,-0.7188,no_tremor
4,2521120,-0.6420,-0.0450,-0.8096,-0.1250,1.9531,-0.6875,no_tremor
5,2521125,-0.6401,-0.0454,-0.8103,0.0156,1.6875,-0.7344,no_tremor
6,2521130,-0.6388,-0.0458,-0.8114,0.1562,1.9375,-0.0469,no_tremor
7,2521135,-0.6378,-0.0460,-0.8126,0.7188,2.4062,-0.0312,no_tremor
8,2521140,-0.6372,-0.0464,-0.8140,0.9844,1.8750,-0.8281,no_tremor
9,2521145,-0.6372,-0.0468,-0.8159,1.3125,1.2188,-0.4688,no_tremor
10,2521149,-0.6375,-0.0472,-0.8171,2.4375,1.2812,-0.1406,no_tremor
11,2521154,-0.6387,-0.0475,-0.8181,3.0312,1.5469,-0.6719,no_tremor
12,2521180,-0.6456,-0.0465,-0.8171,1.0781,-0.1094,-1.0156,no_tremor
13,2521185,-0.6461,-0.0466,-0.8154,-0.0156,-0.1406,-0.4219,no_tremor
14,2521190,-0.6461,-0.0469,-0.8134,0.2031,0.1875,-1.0781,no_tremor
15,2521194,-0.6458,-0.0472,-0.8113,0.8281,-0.6094,-0.9688,no_tremor
16,2521199,-0.6451,-0.0477,-0.8096,1.7188,-0.5156,-0.7656,no_tremor
17,2521204,-0.6443,-0.0481,-0.8079,1.7812,-0.3125,-1.6094,no_tremor
18,2521209,-0.6437,-0.0482,-0.8077,1.2969,-0.2031,-1.9375,no_tremor
19,2521214,-0.6433,-0.0481,-0.8085,0.9688,-0.0156,-1.5469,no_tremor
20,2521219,-0.6436,-0.0477,-0.8098,1.0625,0.6719,-1.4375,no_tremor
21,2521224,-0.6443,-0.0471,-0.8118,0.8750,1.3906,-0.9688,no_tremor
22,2521229,-0.6454,-0.0464,-0.8140,0.7812,1.6406,-0.6562,no_tremor
23,2521234,-0.6464,-0.0458,-0.8159,0.7812,2.4062,-1.6562,no_tremor
24,2521239,-0.6471,-0.0452,-0.8175,0.6719,2.7969,-1.9688,no_tremor
25,2521243,-0.6471,-0.0448,-0.8187,0.3906,2.0469,-0.5469,no_tremor
26,2521248,-0.6462,-0.0447,-0.8185,0.2969,1.0625,0.0938,no_tremor
27,2521253,-0.6429,-0.0449,-0.8176,0.7656,0.4531,-0.3594,no_tremor
28,2521258,-0.6399,-0.0453,-0.8163,0.6875,-0.0469,0.0156,no_tremor
29,2521262,-0.6362,-0.0458,-0.8147,0.7344,-0.7188,0.5312,no_tremor
30,2521267,-0.6328,-0.0461,-0.8130,0.9219,-1.3125,0.6406,no_tremor
31,2521272,-0.6299,-0.0464,-0.8116,0.8906,-1.8438,0.2031,no_tremor
32,2521277,-0.6283,-0.0465,-0.8107,2.1406,-1.9844,-0.0625,no_tremor
33,2521303,-0.6472,-0.0449,-0.8146,0.5000,2.3594,-0.7812,no_tremor
34,2521308,-0.6530,-0.0448,-0.8148,-0.2812,2.3281,-1.0312,no_tremor
35,2521313,-0.6599,-0.0450,-0.8141,-0.1562,2.2812,-1.1094,no_tremor
36,2521318,-0.6627,-0.0454,-0.8125,-0.1250,1.7656,-0.6094,no_tremor
37,2521323,-0.6639,-0.0458,-0.8103,-0.2812,1.0469,-0.3906,no_tremor
38,2521328,-0.6635,-0.0461,-0.8076,-0.4688,0.4375,-0.8594,no_tremor
39,2521333,-0.6614,-0.0465,-0.8049,-0.1719,0.4844,-0.4844,no_tremor
40,2521337,-0.6582,-0.0466,-0.8026,0.1875,0.6250,-0.3438,no_tremor
41,2521342,-0.6543,-0.0464,-0.8005,0.6719,0.0469,-1.0312,no_tremor
42,2521347,-0.6482,-0.0460,-0.8004,0.7656,-0.3125,-0.7656,no_tremor
43,2521352,-0.6445,-0.0455,-0.8015,0.5625,0.3594,-0.4062,no_tremor
44,2521357,-0.6417,-0.0450,-0.8037,0.8594,0.3438,-1.2031,no_tremor
45,2521367,-0.6384,-0.0438,-0.8105,0.8594,0.4062,-1.1406,no_tremor
46,2521372,-0.6379,-0.0432,-0.8143,0.9531,0.2500,-0.7500,no_tremor
47,2521377,-0.6378,-0.0427,-0.8196,0.1250,0.5000,-1.1719,no_tremor
48,2521381,-0.6379,-0.0422,-0.8220,-0.7344,0.2969,-0.9219,no_tremor
