sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1065379,-0.5804,-0.2318,-0.8568,-8.9219,24.6875,7.2969,no_tremor
1,1065384,-0.5797,-0.2306,-0.8608,-11.1250,34.8906,5.1875,no_tremor
2,1065389,-0.5829,-0.2292,-0.8632,-12.7969,46.0469,3.0781,no_tremor
3,1065393,-0.5916,-0.2278,-0.8638,-14.8125,57.5625,1.0938,no_tremor
4,1065403,-0.6417,-0.2242,-0.8615,-20.1406,79.2344,-2.4531,no_tremor
5,1065408,-0.6724,-0.2229,-0.8607,-22.3750,90.6562,-4.7188,no_tremor
6,1065413,-0.7073,-0.2214,-0.8618,-24.5469,103.4375,-8.7344,no_tremor
7,1065418,-0.7443,-0.2200,-0.8657,-25.6875,123.5781,-12.4688,no_tremor
8,1065423,-0.7816,-0.2180,-0.8738,-25.4062,137.7344,-16.9062,no_tremor
9,1065428,-0.8176,-0.2155,-0.8866,-25.5000,152.8438,-22.1719,no_tremor
10,1065433,-0.8676,-0.2094,-0.9155,-26.5781,170.1406,-28.4375,no_tremor
11,1065438,-0.8972,-0.2032,-0.9402,-29.2031,189.2344,-35.6250,no_tremor
12,1065466,-0.9680,-0.1611,-1.0741,-47.3906,257.8750,-75.0156,no_tremor
13,1065471,-0.9456,-0.1595,-1.0781,-44.9219,251.4375,-73.8594,no_tremor
14,1065476,-0.9070,-0.1595,-1.0756,-41.7344,240.3438,-68.2969,no_tremor
15,1065481,-0.8502,-0.1604,-1.0625,-38.7500,223.0469,-60.5000,no_tremor
16,1065486,-0.7292,-0.1615,-1.0503,-35.7188,198.3594,-52.0625,no_tremor
17,1065491,-0.6261,-0.1608,-1.0382,-31.2812,164.2812,-43.6094,no_tremor
18,1065495,-0.5085,-0.1578,-1.0292,-25.1562,122.2188,-35.7656,no_tremor
19,1065500,-0.3818,-0.1521,-1.0258,-15.8594,53.9688,-24.4688,no_tremor
20,1065505,-0.2522,-0.1421,-1.0304,-0.3750,9.2031,-22.0625,no_tremor
