sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,7478154,-0.1832,-0.2498,-0.9950,0.4375,0.3594,-1.2500,no_tremor
1,7478158,-0.1804,-0.2495,-0.9951,0.0000,-0.1094,-0.6562,no_tremor
2,7478163,-0.1781,-0.2491,-0.9950,-0.7969,0.3438,-0.3906,no_tremor
3,7478168,-0.1763,-0.2489,-0.9948,-1.2500,1.4062,-0.2812,no_tremor
4,7478173,-0.1750,-0.2489,-0.9944,-0.9375,1.2344,-0.4219,no_tremor
5,7478183,-0.1753,-0.2490,-0.9932,-1.4844,2.6250,-0.5156,no_tremor
6,7478187,-0.1765,-0.2493,-0.9926,-2.3438,3.7500,-0.0781,no_tremor
7,7478192,-0.1783,-0.2496,-0.9917,-2.7812,4.1094,-0.2344,no_tremor
8,7478197,-0.1818,-0.2502,-0.9902,-2.7656,3.3281,-0.6406,no_tremor
9,7478202,-0.1842,-0.2509,-0.9890,-2.9062,3.1719,-0.5469,no_tremor
10,7478233,-0.1926,-0.2513,-0.9858,-3.3906,2.0469,-0.6562,no_tremor
11,7478237,-0.1920,-0.2504,-0.9874,-3.4219,2.1250,-0.1875,no_tremor
12,7478242,-0.1912,-0.2491,-0.9895,-3.2812,2.0625,-0.0469,no_tremor
13,7478247,-0.1899,-0.2477,-0.9921,-3.5156,2.3281,-0.0781,no_tremor
14,7478262,-0.1870,-0.2417,-1.0022,-2.4062,1.3594,-0.4688,no_tremor
15,7478267,-0.1871,-0.2400,-1.0048,-2.6094,2.2656,-0.9375,no_tremor
16,7478271,-0.1879,-0.2385,-1.0070,-2.7969,2.8438,-1.2500,no_tremor
17,7478276,-0.1890,-0.2373,-1.0088,-2.9062,3.3125,-1.7188,no_tremor
18,7478282,-0.1904,-0.2363,-1.0100,-3.5469,3.8125,-1.6406,no_tremor
19,7478287,-0.1923,-0.2357,-1.0109,-3.5625,4.0469,-1.5000,no_tremor
20,7478291,-0.1949,-0.2358,-1.0110,-3.0156,3.7500,-2.0000,no_tremor
21,7478296,-0.1965,-0.2362,-1.0106,-2.7188,3.3438,-1.9375,no_tremor
22,7478306,-0.1986,-0.2375,-1.0096,-2.7812,2.8125,-2.8750,no_tremor
23,7478310,-0.1987,-0.2383,-1.0092,-2.6562,1.9219,-2.7969,no_tremor
24,7478320,-0.1970,-0.2391,-1.0084,-2.1406,1.5312,-4.0469,no_tremor
25,7478325,-0.1952,-0.2394,-1.0081,-2.3125,1.7812,-4.1406,no_tremor
26,7478354,-0.1818,-0.2391,-1.0043,-2.9062,4.6719,-3.3438,no_tremor
27,7478359,-0.1812,-0.2390,-1.0037,-2.7188,5.5312,-3.6562,no_tremor
28,7478364,-0.1807,-0.2390,-1.0032,-2.7656,5.4844,-4.2031,no_tremor
29,7478373,-0.1798,-0.2388,-1.0027,-3.4219,4.3594,-3.0000,no_tremor
30,7478378,-0.1791,-0.2386,-1.0029,-2.9844,3.2656,-3.2812,no_tremor
31,7478383,-0.1770,-0.2384,-1.0032,-2.8906,2.6562,-3.4062,no_tremor
32,7478388,-0.1753,-0.2382,-1.0034,-2.9375,2.9219,-2.3281,no_tremor
33,7478393,-0.1732,-0.2380,-1.0035,-3.1094,3.3750,-1.2969,no_tremor
34,7478398,-0.1711,-0.2379,-1.0035,-3.6406,3.4844,-2.0781,no_tremor
35,7478403,-0.1694,-0.2379,-1.0034,-3.7188,3.3594,-1.9688,no_tremor
36,7478407,-0.1681,-0.2379,-1.0031,-3.7188,4.5781,-1.6562,no_tremor
37,7478413,-0.1675,-0.2379,-1.0023,-4.4688,6.1250,-1.6719,no_tremor
38,7478417,-0.1675,-0.2380,-1.0007,-5.6406,7.3281,-1.1875,no_tremor
39,7478422,-0.1686,-0.2382,-0.9994,-6.4688,7.7344,-0.5625,no_tremor
40,7478432,-0.1705,-0.2382,-0.9962,-6.7344,6.7969,-0.0625,no_tremor
41,7478437,-0.1708,-0.2378,-0.9948,-7.1094,5.7656,0.5625,no_tremor
42,7478441,-0.1700,-0.2373,-0.9935,-6.8750,4.5000,1.1875,no_tremor
43,7478446,-0.1683,-0.2365,-0.9927,-6.4531,2.9688,1.5781,no_tremor
44,7478481,-0.1525,-0.2231,-1.0022,-5.3906,6.6875,-0.0156,no_tremor
45,7478486,-0.1561,-0.2222,-1.0050,-5.9375,8.4844,-0.9062,no_tremor
46,7478500,-0.1753,-0.2224,-1.0144,-6.5156,10.2188,-1.5938,no_tremor
47,7478505,-0.1853,-0.2238,-1.0168,-5.5938,10.2500,-1.7500,no_tremor
48,7478510,-0.1906,-0.2246,-1.0189,-5.1094,9.8125,-2.3906,no_tremor
49,7478515,-0.1940,-0.2253,-1.0206,-5.4844,8.5938,-2.3125,no_tremor
50,7478519,-0.1953,-0.2257,-1.0221,-5.2969,6.5469,-2.5000,no_tremor
51,7478524,-0.1945,-0.2258,-1.0232,-5.0469,4.8438,-2.7500,no_tremor
52,7478529,-0.1914,-0.2253,-1.0240,-4.1875,4.1250,-2.3125,no_tremor
53,7478534,-0.1864,-0.2246,-1.0247,-2.7500,2.5625,-2.7500,no_tremor
54,7478543,-0.1727,-0.2224,-1.0258,-0.7031,-0.7188,-2.9688,no_tremor
