sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,7517897,-0.0106,-0.1317,-1.0458,-1.7969,-2.2500,1.8594,no_tremor
1,7517901,-0.0132,-0.1323,-1.0455,-1.5938,-1.7188,1.8125,no_tremor
2,7517906,-0.0149,-0.1324,-1.0457,-0.9062,-1.9219,1.4062,no_tremor
3,7517915,-0.0160,-0.1317,-1.0470,-0.5938,-0.0781,1.5625,no_tremor
4,7517931,-0.0143,-0.1289,-1.0516,0.3281,-1.4219,1.2500,no_tremor
5,7517935,-0.0131,-0.1281,-1.0535,0.9531,-2.4062,1.2969,no_tremor
6,7517940,-0.0116,-0.1274,-1.0554,0.9531,-3.4531,1.0781,no_tremor
7,7517945,-0.0099,-0.1271,-1.0573,0.8125,-4.3438,1.4375,no_tremor
8,7517949,-0.0079,-0.1268,-1.0588,1.3125,-5.2188,1.4531,no_tremor
9,7517975,-0.0016,-0.1289,-1.0592,2.2344,-3.3281,0.4844,no_tremor
10,7517979,-0.0029,-0.1299,-1.0571,1.5625,-1.9688,0.0156,no_tremor
11,7518014,-0.0283,-0.1417,-1.0298,-2.0000,0.5625,-0.9688,no_tremor
12,7518029,-0.0248,-0.1429,-1.0254,-1.0312,-1.2812,-0.1719,no_tremor
13,7518038,-0.0168,-0.1412,-1.0265,-0.5938,-1.2031,-0.8750,no_tremor
14,7518048,-0.0079,-0.1377,-1.0292,-1.5938,0.5781,-0.9688,no_tremor
15,7518058,-0.0052,-0.1353,-1.0319,-1.0625,0.2188,-1.3438,no_tremor
16,7518062,-0.0060,-0.1344,-1.0328,-2.0469,0.5938,-1.3125,no_tremor
17,7518067,-0.0077,-0.1340,-1.0334,-2.6406,0.8906,-1.1406,no_tremor
18,7518072,-0.0104,-0.1338,-1.0337,-2.6719,1.0781,-1.2969,no_tremor
19,7518076,-0.0134,-0.1339,-1.0333,-2.6094,1.4688,-1.2656,no_tremor
20,7518081,-0.0166,-0.1342,-1.0326,-3.0938,1.4844,-1.1719,no_tremor
21,7518085,-0.0193,-0.1346,-1.0315,-3.6875,1.1250,-1.4531,no_tremor
22,7518090,-0.0215,-0.1353,-1.0299,-3.9531,0.9375,-1.8750,no_tremor
23,7518105,-0.0216,-0.1381,-1.0236,-5.2188,1.4688,-1.9688,no_tremor
24,7518110,-0.0201,-0.1392,-1.0221,-5.7344,1.5312,-2.5625,no_tremor
25,7518136,-0.0144,-0.1417,-1.0255,-6.6719,2.8594,-4.3594,no_tremor
26,7518145,-0.0153,-0.1404,-1.0316,-6.1094,1.8594,-5.8438,no_tremor
27,7518150,-0.0161,-0.1394,-1.0354,-5.6562,1.0781,-6.5781,no_tremor
28,7518154,-0.0172,-0.1382,-1.0398,-5.6719,0.8594,-7.6719,no_tremor
29,7518174,-0.0220,-0.1326,-1.0635,-4.1875,-1.3906,-8.0781,no_tremor
30,7518179,-0.0222,-0.1315,-1.0690,-3.5625,-2.3750,-8.0312,no_tremor
31,7518184,-0.0221,-0.1305,-1.0746,-1.8750,-3.9375,-8.7500,no_tremor
32,7518198,-0.0190,-0.1270,-1.0929,3.2656,-8.3438,-9.1719,no_tremor
33,7518203,-0.0173,-0.1254,-1.1005,5.4219,-15.6250,-8.9062,no_tremor
34,7518207,-0.0156,-0.1235,-1.1094,8.1250,-21.1562,-8.8438,no_tremor
35,7518212,-0.0137,-0.1215,-1.1200,15.8438,-27.8594,-8.8281,no_tremor
36,7518217,-0.0116,-0.1191,-1.1327,17.4219,-37.3281,-8.3281,no_tremor
37,7518221,-0.0093,-0.1166,-1.1479,20.7812,-48.2969,-6.9531,no_tremor
38,7518257,0.0470,-0.0815,-1.3053,63.3594,-194.7344,5.2812,no_tremor
39,7518262,0.0585,-0.0760,-1.3199,71.5938,-219.2188,6.2344,no_tremor
40,7518266,0.0691,-0.0706,-1.3318,80.1562,-240.7500,7.1094,no_tremor
41,7518282,0.0842,-0.0542,-1.3408,109.4531,-303.2969,5.3594,no_tremor
42,7518287,0.0745,-0.0520,-1.3314,115.8750,-318.1719,2.5156,no_tremor
43,7518291,0.0581,-0.0524,-1.3163,121.3281,-330.1406,-0.7188,no_tremor
44,7518296,0.0326,-0.0560,-1.2954,124.7344,-340.5000,-4.5000,no_tremor
45,7518301,-0.0031,-0.0635,-1.2690,126.0000,-350.0781,-9.6094,no_tremor
46,7518305,-0.0488,-0.0752,-1.2380,126.2188,-357.8438,-14.8125,no_tremor
47,7518310,-0.1039,-0.0912,-1.2031,125.8438,-362.2656,-19.5156,no_tremor
48,7518315,-0.1663,-0.1113,-1.1656,124.2031,-363.8594,-24.4531,no_tremor
49,7518330,-0.3693,-0.1882,-1.0170,118.7969,-374.3438,-37.0156,no_tremor
50,7518345,-0.5442,-0.2814,-0.9362,116.8438,-420.1719,-48.2656,no_tremor
51,7518350,-0.5676,-0.3029,-0.9148,118.7812,-434.6719,-49.4844,no_tremor
52,7518355,-0.5768,-0.3207,-0.8987,121.8438,-450.0469,-50.7031,no_tremor
53,7518384,-0.3685,-0.3329,-0.8219,160.8125,-512.0000,-88.8594,no_tremor
54,7518389,-0.3184,-0.3220,-0.7936,164.8906,-512.0000,-96.4062,no_tremor
55,7518398,-0.2294,-0.2987,-0.7061,158.5469,-512.0000,-100.4219,no_tremor
56,7518413,-0.1604,-0.2904,-0.4495,138.2031,-512.0000,-99.6719,no_tremor
57,7518417,-0.1611,-0.3113,-0.3605,124.6406,-512.0000,-105.5625,no_tremor
58,7518422,-0.1862,-0.3363,-0.2704,108.4375,-512.0000,-110.6562,no_tremor
59,7518427,-0.2175,-0.3698,-0.1825,92.4844,-512.0000,-115.4219,no_tremor
60,7518432,-0.2594,-0.4103,-0.0997,78.4219,-512.0000,-121.5312,no_tremor
61,7518441,-0.3678,-0.5039,0.0427,57.0156,-512.0000,-135.3594,no_tremor
62,7518451,-0.4991,-0.5934,0.1456,42.0625,-479.2188,-150.4688,no_tremor
63,7518455,-0.5703,-0.6282,0.1809,39.4844,-439.0000,-153.5312,no_tremor
64,7518464,-0.7164,-0.6647,0.2194,48.7344,-383.0781,-153.9219,no_tremor
65,7518469,-0.7881,-0.6635,0.2233,46.2656,-353.0781,-149.3125,no_tremor
66,7518473,-0.8552,-0.6500,0.2169,28.6875,-336.8750,-147.9062,no_tremor
67,7518478,-0.9148,-0.6263,0.2010,26.7344,-283.8438,-153.3125,no_tremor
