sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,7766561,-0.3167,-0.2609,-0.9568,1.1250,67.3750,-15.7188,tremor
1,7766598,-0.3591,-0.2845,-0.9519,-4.4062,114.9375,-16.7969,tremor
2,7766603,-0.3616,-0.2897,-0.9554,-5.1875,118.9062,-16.8125,tremor
3,7766608,-0.3604,-0.2927,-0.9603,-5.4375,122.8438,-17.1250,tremor
4,7766613,-0.3568,-0.2953,-0.9669,-5.9844,125.2969,-16.6562,tremor
5,7766622,-0.3418,-0.2992,-0.9840,-9.0156,120.9375,-15.0156,tremor
6,7766632,-0.3134,-0.3013,-1.0031,-13.6250,109.6719,-12.6094,tremor
7,7766637,-0.2921,-0.3015,-1.0114,-14.8281,100.2500,-11.4219,tremor
8,7766641,-0.2654,-0.3013,-1.0195,-15.1562,88.5781,-11.4844,tremor
9,7766646,-0.2150,-0.2991,-1.0211,-14.5781,77.6719,-12.9219,tremor
10,7766651,-0.1757,-0.2963,-1.0190,-13.4844,67.8750,-15.2969,tremor
11,7766656,-0.1338,-0.2917,-1.0134,-12.1719,58.9844,-18.1250,tremor
12,7766661,-0.0923,-0.2854,-1.0046,-10.7188,51.6406,-20.1562,tremor
13,7766665,-0.0538,-0.2771,-0.9937,-9.7188,46.7969,-21.5312,tremor
14,7766670,-0.0212,-0.2668,-0.9814,-8.9062,43.4062,-22.5469,tremor
15,7766675,0.0033,-0.2548,-0.9694,-8.7188,38.5156,-22.3438,tremor
16,7766680,0.0187,-0.2415,-0.9589,-8.5469,36.0469,-22.2812,tremor
17,7766685,0.0249,-0.2274,-0.9490,-8.5156,32.8281,-22.4375,tremor
18,7766717,-0.0564,-0.1646,-1.0222,-4.8125,-2.3594,-17.6719,tremor
19,7766741,-0.0844,-0.1561,-1.1063,5.2188,-5.1562,-17.2344,tremor
20,7766751,-0.1010,-0.1527,-1.1088,6.9062,1.9219,-18.7969,tremor
21,7766756,-0.1134,-0.1520,-1.1046,6.6875,5.1094,-18.2812,tremor
22,7766761,-0.1284,-0.1523,-1.0981,5.9844,8.1406,-18.0625,tremor
23,7766770,-0.1613,-0.1567,-1.0811,4.4375,9.7500,-15.6875,tremor
24,7766775,-0.1757,-0.1608,-1.0680,4.0000,8.5156,-14.8594,tremor
25,7766784,-0.1904,-0.1733,-1.0542,2.0938,-3.0469,-12.1250,tremor
26,7766789,-0.1837,-0.1785,-1.0493,1.1094,-14.6562,-11.1719,tremor
27,7766794,-0.1682,-0.1831,-1.0459,0.5000,-29.5469,-10.2969,tremor
28,7766799,-0.1440,-0.1869,-1.0441,0.6875,-47.2812,-7.4062,tremor
29,7766804,-0.1117,-0.1893,-1.0439,1.7812,-79.3125,-5.4375,tremor
30,7766808,-0.0721,-0.1903,-1.0458,3.3594,-104.1562,-3.5625,tremor
31,7766813,-0.0271,-0.1897,-1.0496,4.5312,-131.2031,-2.7188,tremor
32,7766839,0.2225,-0.1613,-1.0961,24.1562,-300.2500,1.5938,tremor
33,7766844,0.2430,-0.1573,-1.0989,28.9531,-333.4219,2.1406,tremor
34,7766849,0.2554,-0.1549,-1.0963,34.2188,-366.5781,1.2188,tremor
35,7766859,0.2557,-0.1556,-1.0709,45.9688,-450.4375,-8.2188,tremor
