sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,9583797,-0.2938,-0.0723,0.8958,-0.7656,2.4375,-2.4062,no_tremor
1,9583899,-0.2743,-0.0653,0.8918,-0.3594,-2.3125,-2.5469,no_tremor
2,9583943,-0.2716,-0.0710,0.8823,-0.3438,-0.4219,-3.2500,no_tremor
3,9583948,-0.2755,-0.0723,0.8827,0.0938,1.4844,-3.1094,no_tremor
4,9583953,-0.2795,-0.0735,0.8832,0.2656,2.7031,-2.7812,no_tremor
5,9583957,-0.2834,-0.0748,0.8838,-0.0938,3.5625,-2.7969,no_tremor
6,9583962,-0.2869,-0.0760,0.8846,-0.2656,3.6875,-2.5000,no_tremor
7,9583988,-0.2878,-0.0826,0.8840,-0.0625,2.1562,-2.6875,no_tremor
8,9583993,-0.2848,-0.0830,0.8834,-0.4375,1.0312,-1.7344,no_tremor
9,9583997,-0.2810,-0.0833,0.8829,-0.5000,-0.0625,-1.4531,no_tremor
10,9584002,-0.2770,-0.0831,0.8826,-0.2969,-0.3906,-1.7812,no_tremor
11,9584007,-0.2728,-0.0829,0.8823,-0.2812,-0.7500,-1.2500,no_tremor
12,9584012,-0.2688,-0.0825,0.8822,-0.0469,-2.4062,-0.3750,no_tremor
13,9584022,-0.2621,-0.0817,0.8831,0.3438,-3.6562,-0.7812,no_tremor
14,9584036,-0.2594,-0.0814,0.8876,-0.8594,-4.0781,-1.4219,no_tremor
15,9584041,-0.2616,-0.0815,0.8894,-1.1250,-3.7969,-1.5625,no_tremor
16,9584056,-0.2744,-0.0817,0.8943,0.2188,-1.8594,-1.7969,no_tremor
17,9584060,-0.2797,-0.0814,0.8953,0.4219,-1.7344,-1.7344,no_tremor
18,9584065,-0.2847,-0.0812,0.8959,0.0156,-0.6406,-1.6406,no_tremor
19,9584110,-0.2870,-0.0804,0.8948,-1.3750,-1.2031,-0.8906,no_tremor
20,9584193,-0.3130,-0.0787,0.9026,-2.1250,4.0156,-4.1406,no_tremor
21,9584198,-0.3136,-0.0791,0.9026,-1.3906,3.9531,-3.6250,no_tremor
22,9584202,-0.3129,-0.0793,0.9022,-0.8906,3.5625,-2.6250,no_tremor
23,9584207,-0.3104,-0.0796,0.9014,-1.2031,2.3906,-2.3125,no_tremor
24,9584252,-0.2670,-0.0806,0.8829,-1.1562,-0.4375,-2.7344,no_tremor
25,9584271,-0.2896,-0.0784,0.8840,-1.0469,4.0156,-4.5312,no_tremor
26,9584276,-0.2966,-0.0779,0.8855,-0.9688,5.3594,-5.0938,no_tremor
27,9584281,-0.3033,-0.0775,0.8872,-1.5156,6.0625,-5.6406,no_tremor
28,9584290,-0.3147,-0.0770,0.8915,-1.0781,8.3906,-5.7656,no_tremor
29,9584427,-0.4905,-0.0872,0.9908,-10.9375,104.1875,-30.1406,no_tremor
30,9584479,-0.6407,-0.0961,0.9473,-16.8125,188.8281,-51.0000,no_tremor
31,9584508,-0.6909,-0.1187,0.9279,-21.6719,244.0312,-56.2812,no_tremor
32,9584547,-0.7804,-0.1606,0.9617,-28.6719,323.1719,-58.1562,no_tremor
33,9584557,-0.8085,-0.1718,0.9435,-29.1875,339.7188,-58.0625,no_tremor
34,9584609,-0.8149,-0.2289,0.7483,-39.9531,401.9219,-39.9219,no_tremor
35,9584638,-0.7603,-0.2284,0.5681,-40.6250,395.4219,-33.8906,no_tremor
36,9584767,-0.5886,-0.2437,-0.3695,8.9219,311.0781,-31.0156,no_tremor
37,9584791,-0.5393,-0.2734,-0.5093,9.6719,297.8750,-26.4062,no_tremor
38,9584984,-0.1118,-0.2709,-1.1171,-9.3125,-12.8438,0.0469,no_tremor
39,9584993,-0.1323,-0.2756,-1.0837,-8.9688,-15.2344,0.2656,no_tremor
40,9584998,-0.1434,-0.2778,-1.0699,-9.0000,-15.5781,0.3281,no_tremor
41,9585003,-0.1494,-0.2789,-1.0569,-8.4219,-14.0156,1.0312,no_tremor
42,9585008,-0.1547,-0.2800,-1.0452,-7.0625,-12.9844,1.0625,no_tremor
43,9585013,-0.1595,-0.2810,-1.0350,-6.0000,-13.2031,0.7031,no_tremor
44,9585018,-0.1644,-0.2821,-1.0270,-5.5000,-12.0000,0.9688,no_tremor
45,9585022,-0.1698,-0.2830,-1.0211,-4.7188,-9.3594,1.4062,no_tremor
46,9585027,-0.1755,-0.2838,-1.0175,-3.7969,-7.6875,1.6562,no_tremor
47,9585032,-0.1819,-0.2843,-1.0160,-3.4219,-5.6562,1.3125,no_tremor
48,9585037,-0.1884,-0.2845,-1.0172,-2.9688,-4.0938,1.1406,no_tremor
49,9585042,-0.1976,-0.2845,-1.0200,-2.8438,-2.4219,2.2031,no_tremor
50,9585056,-0.2089,-0.2839,-1.0336,-1.3438,-3.5312,2.5312,no_tremor
51,9585061,-0.2090,-0.2837,-1.0382,-0.9062,-3.7500,2.5781,no_tremor
52,9585149,-0.2042,-0.2864,-0.9873,2.3438,5.8281,-0.5469,no_tremor
