sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,9503047,-0.0057,-0.1591,0.9091,1.7812,-0.6562,0.1406,no_tremor
1,9503056,-0.0111,-0.1591,0.9071,1.8594,-1.4375,1.2656,no_tremor
2,9503061,-0.0131,-0.1592,0.9070,1.6406,-1.8906,1.0938,no_tremor
3,9503066,-0.0150,-0.1593,0.9073,1.6094,-2.0000,0.2188,no_tremor
4,9503071,-0.0167,-0.1593,0.9083,1.5156,-1.6094,-0.0312,no_tremor
5,9503096,-0.0243,-0.1581,0.9160,2.5000,-1.1094,0.2344,no_tremor
6,9503101,-0.0250,-0.1575,0.9169,2.1562,-1.6094,0.3750,no_tremor
7,9503106,-0.0253,-0.1566,0.9175,2.3125,-1.2969,0.0625,no_tremor
8,9503110,-0.0250,-0.1556,0.9180,2.8750,-1.0625,0.5312,no_tremor
9,9503115,-0.0243,-0.1547,0.9183,2.8594,-0.8594,1.1562,no_tremor
10,9503120,-0.0231,-0.1537,0.9187,2.5312,-0.8594,0.9375,no_tremor
11,9503125,-0.0214,-0.1527,0.9194,2.4062,-1.1719,1.0781,no_tremor
12,9503130,-0.0181,-0.1525,0.9203,2.2344,-1.5000,2.0625,no_tremor
13,9503135,-0.0156,-0.1526,0.9213,1.7344,-1.6719,2.0938,no_tremor
14,9503140,-0.0132,-0.1530,0.9226,1.5156,-2.1406,1.1719,no_tremor
15,9503144,-0.0109,-0.1537,0.9241,1.3594,-2.7656,1.3125,no_tremor
16,9503149,-0.0089,-0.1543,0.9257,0.7969,-1.8438,1.2500,no_tremor
17,9503154,-0.0073,-0.1550,0.9275,0.7812,-2.2188,1.0312,no_tremor
18,9503159,-0.0061,-0.1556,0.9299,0.9375,-3.3281,1.1094,no_tremor
19,9503164,-0.0055,-0.1561,0.9315,0.7031,-3.6094,1.0000,no_tremor
20,9503169,-0.0054,-0.1562,0.9327,0.2656,-3.0781,1.0156,no_tremor
21,9503174,-0.0060,-0.1560,0.9336,0.2031,-3.0781,0.5312,no_tremor
22,9503178,-0.0071,-0.1556,0.9341,0.1562,-2.7969,-0.3125,no_tremor
23,9503183,-0.0085,-0.1550,0.9341,-0.3594,-1.9531,0.0469,no_tremor
24,9503188,-0.0104,-0.1544,0.9337,0.3906,-2.1875,0.1094,no_tremor
25,9503218,-0.0273,-0.1492,0.9247,0.3906,0.6250,-0.9688,no_tremor
