sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,9762363,-0.3750,-0.1676,0.8455,-0.2188,8.1250,-1.2188,tremor
1,9762368,-0.3751,-0.1674,0.8412,-0.4062,7.4219,-1.4844,tremor
2,9762373,-0.3751,-0.1671,0.8376,-0.2188,5.9219,-1.9375,tremor
3,9762407,-0.3657,-0.1715,0.8324,0.2031,-1.5469,-0.3281,tremor
4,9762411,-0.3641,-0.1725,0.8335,0.2656,-1.2812,-0.8438,tremor
5,9762421,-0.3633,-0.1741,0.8361,-0.5781,-0.7812,-1.6406,tremor
6,9762430,-0.3668,-0.1750,0.8391,-0.5781,2.5000,-1.7188,tremor
7,9762435,-0.3700,-0.1753,0.8406,-0.7969,3.4062,-1.8125,tremor
8,9762440,-0.3739,-0.1753,0.8418,-0.7500,3.5938,-2.4375,tremor
9,9762445,-0.3781,-0.1752,0.8431,-0.3906,3.9531,-2.5156,tremor
10,9762449,-0.3822,-0.1748,0.8434,-0.6094,4.1875,-2.9375,tremor
11,9762478,-0.3901,-0.1714,0.8400,0.2188,5.5625,-2.6719,tremor
12,9762487,-0.3865,-0.1720,0.8397,-0.1250,5.0781,-3.5156,tremor
13,9762497,-0.3820,-0.1735,0.8411,-0.3750,4.7656,-2.5000,tremor
14,9762502,-0.3798,-0.1744,0.8422,-0.2188,4.0625,-2.6406,tremor
15,9762527,-0.3696,-0.1791,0.8459,-0.1406,3.1406,-1.6875,tremor
16,9762532,-0.3690,-0.1792,0.8459,-0.1719,2.8906,-1.5469,tremor
17,9762541,-0.3694,-0.1787,0.8453,-0.6875,3.3281,-1.8125,tremor
18,9762546,-0.3701,-0.1781,0.8450,-0.3750,3.8594,-1.8906,tremor
19,9762556,-0.3718,-0.1779,0.8441,-0.1875,3.4531,-1.2031,tremor
20,9762565,-0.3721,-0.1781,0.8436,-0.5625,2.7188,-0.9062,tremor
21,9762584,-0.3713,-0.1783,0.8439,-0.5625,3.4375,-1.3281,tremor
22,9762594,-0.3732,-0.1777,0.8442,-2.0625,5.0781,-1.1875,tremor
23,9762599,-0.4062,-0.1768,0.8439,-1.9844,5.3750,-1.1406,tremor
24,9762609,-0.3820,-0.1753,0.8423,-2.0469,6.2656,-2.7500,tremor
