sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,9766494,-0.8151,-0.2278,0.6068,-16.7344,251.0781,-29.9531,tremor
1,9766503,-0.6643,-0.2432,0.4536,-10.2812,127.0312,-18.7031,tremor
2,9766508,-0.5938,-0.2499,0.3716,-8.5469,64.7656,-12.7188,tremor
3,9766513,-0.5236,-0.2567,0.2889,-4.9844,7.8750,-7.2344,tremor
4,9766517,-0.4583,-0.2633,0.2090,-0.8750,-40.0625,-2.0469,tremor
5,9766551,-0.3986,-0.2649,-0.0243,4.2188,-163.2031,-3.5156,tremor
6,9766606,-0.9313,-0.3805,0.4176,-8.0938,-57.9844,-0.8594,tremor
7,9766611,-0.9420,-0.3453,0.4232,-5.2188,-51.8594,-2.2500,tremor
8,9766704,-0.7023,-0.1981,0.5907,3.3438,-12.1719,18.5312,tremor
9,9766787,-0.6405,-0.1774,0.2720,23.1406,-68.6094,18.7500,tremor
10,9766829,-0.6664,-0.3022,0.4365,-10.2656,-76.6406,-0.6094,tremor
11,9766843,-0.8169,-0.3816,0.5259,-6.3125,-78.9062,-1.5625,tremor
12,9766894,-0.6642,-0.2439,0.3668,20.2656,-160.0156,12.5625,tremor
13,9766899,-0.6423,-0.2311,0.3608,21.5156,-159.2656,8.2656,tremor
14,9766913,-0.6226,-0.2096,0.3906,23.5000,-143.7656,8.6094,tremor
15,9766950,-0.7399,-0.2522,0.6821,9.4219,-59.2500,4.7344,tremor
16,9766959,-0.7480,-0.2616,0.7465,7.0312,-19.5781,7.5000,tremor
17,9766974,-0.7476,-0.2451,0.8329,1.7812,55.5469,5.2500,tremor
18,9767077,-0.4077,-0.1947,0.3953,11.2656,-25.2812,16.3438,tremor
19,9767082,-0.3987,-0.1862,0.3928,8.4844,-6.3125,17.0938,tremor
20,9767091,-0.4685,-0.1807,0.4457,-0.8438,50.9375,11.8750,tremor
21,9767096,-0.5332,-0.1841,0.4938,-7.2344,86.6719,6.6094,tremor
22,9767105,-0.7095,-0.2097,0.6129,-20.0781,171.5625,-5.0156,tremor
23,9767110,-0.8098,-0.2325,0.6722,-26.4375,212.2344,-11.3906,tremor
24,9767125,-1.0807,-0.3241,0.7847,-42.6562,281.9531,-28.8281,tremor
25,9767296,-0.3082,-0.1091,-0.2565,12.2344,-185.4219,10.8750,tremor
26,9767367,-1.0060,-0.3396,0.2048,12.2656,-160.7344,7.3125,tremor
27,9767372,-0.9634,-0.3149,0.1973,14.6562,-164.8125,8.0625,tremor
28,9767381,-0.8663,-0.2672,0.1843,16.9062,-172.2500,10.8750,tremor
29,9767396,-0.7596,-0.2180,0.1953,19.1875,-178.3906,11.8750,tremor
30,9767411,-0.7520,-0.2037,0.2485,21.9219,-179.4219,13.6094,tremor
31,9767421,-0.7839,-0.2084,0.2980,23.1562,-182.7031,14.2188,tremor
32,9767462,-0.7473,-0.2108,0.5361,11.0312,-121.0938,31.6562,tremor
33,9767467,-0.7310,-0.2030,0.5693,4.4531,-85.3281,34.8594,tremor
34,9767471,-0.7229,-0.1932,0.6067,5.0938,-42.7656,37.8750,tremor
35,9767476,-0.7271,-0.1825,0.6486,1.4219,4.6406,37.5469,tremor
36,9767486,-0.7839,-0.1603,0.7655,-8.2500,111.8594,25.3594,tremor
37,9767495,-0.9467,-0.1617,0.8492,-20.4219,220.6719,5.3750,tremor
38,9767505,-1.1161,-0.1886,0.8956,-31.5938,297.0781,-13.9375,tremor
39,9767515,-1.2666,-0.2334,0.8878,-39.7969,318.8906,-33.2969,tremor
40,9767538,-1.2627,-0.3016,0.6603,-19.1719,154.3125,-13.2656,tremor
41,9767552,-0.9464,-0.2725,0.4518,6.6094,1.8750,16.0625,tremor
42,9767577,-0.3331,-0.1893,0.1539,27.1875,-41.8750,32.9844,tremor
43,9767582,-0.2999,-0.1785,0.1488,18.7031,-18.5000,32.0312,tremor
44,9767587,-0.3038,-0.1710,0.1853,10.2656,12.4531,29.5156,tremor
45,9767596,-0.4741,-0.1812,0.3077,-11.3438,111.1250,22.2500,tremor
46,9767611,-0.8972,-0.2714,0.5486,-46.0156,291.2656,-0.3125,tremor
47,9767615,-1.0560,-0.3173,0.6113,-58.5312,342.6875,-13.3281,tremor
48,9767620,-1.2076,-0.3654,0.6539,-70.2188,414.4844,-27.8906,tremor
49,9767630,-1.4525,-0.4473,0.6665,-84.7031,501.5625,-16.1406,tremor
50,9767639,-1.5739,-0.4749,0.5867,-64.6562,511.9844,-7.0156,tremor
51,9767644,-1.5807,-0.4592,0.5210,-47.7656,503.3438,-10.2500,tremor
52,9767649,-1.5535,-0.4232,0.4056,-30.0156,473.5469,-13.0312,tremor
53,9767659,-1.3628,-0.2649,0.2476,1.2969,391.2188,-13.0938,tremor
54,9767664,-1.2521,-0.1891,0.1749,12.7031,341.8438,-9.9531,tremor
55,9767705,-0.4199,-0.1736,-0.2153,-12.8906,145.5781,16.3438,tremor
56,9767715,-0.4412,-0.3093,-0.2048,-39.1875,200.4531,26.2969,tremor
57,9767735,-0.7908,-0.4736,-0.0638,-27.2656,433.7812,19.3906,tremor
58,9767749,-1.1289,-0.4125,-0.0675,-35.9219,511.9844,-12.8281,tremor
59,9767754,-1.2302,-0.3619,-0.0977,-25.2500,509.0312,-14.1875,tremor
60,9767759,-1.3120,-0.2690,-0.1512,-6.8594,474.8125,-13.6250,tremor
61,9767774,-1.3165,-0.0566,-0.2610,-1.4531,205.6875,5.4375,tremor
62,9767784,-1.0728,0.0344,-0.3699,-1.2812,6.3906,-4.4688,tremor
63,9767789,-0.8940,0.0487,-0.4752,4.1406,-68.3594,2.3125,tremor
64,9767798,-0.3744,-0.0170,-0.6517,0.4844,-167.2344,26.4375,tremor
65,9767826,0.1901,-0.3485,-0.8156,-2.1875,-133.7344,9.2969,tremor
66,9767835,-0.0765,-0.3844,-0.7472,-0.6094,-44.2031,-2.3125,tremor
67,9767859,-1.0771,-0.2308,-0.5397,-16.1250,213.4062,-25.2500,tremor
68,9767879,-1.4836,-0.1340,-0.4758,-27.9062,214.6094,-7.1562,tremor
69,9767884,-1.4406,-0.1313,-0.4818,-24.5781,190.4688,-1.0469,tremor
70,9767893,-1.2271,-0.1390,-0.5155,-23.5625,120.7500,3.1875,tremor
71,9767903,-0.9069,-0.1577,-0.5789,-17.7031,15.6094,8.3438,tremor
72,9767908,-0.7355,-0.1693,-0.6199,-9.3594,-20.0625,14.4219,tremor
73,9767912,-0.5720,-0.1813,-0.6648,-4.3438,-49.1562,18.3438,tremor
74,9767917,-0.4264,-0.1927,-0.7109,-1.1094,-71.0625,20.3125,tremor
75,9767949,-0.2856,-0.2112,-0.8881,8.6094,-19.7656,9.8750,tremor
76,9767954,-0.3760,-0.2045,-0.8800,10.5938,16.8594,6.9844,tremor
77,9767964,-0.5907,-0.1836,-0.8282,4.7344,81.8125,1.4062,tremor
78,9767987,-1.1133,-0.1617,-0.6652,-10.1875,238.1094,-10.1094,tremor
79,9767997,-1.1774,-0.1649,-0.6194,0.0156,261.8906,10.0312,tremor
80,9768007,-1.1429,-0.1644,-0.6046,14.2344,269.8594,14.9531,tremor
81,9768012,-1.0593,-0.1587,-0.6130,19.7812,274.6094,14.5312,tremor
82,9768022,-0.9016,-0.1492,-0.6375,25.9531,304.8281,13.5312,tremor
83,9768026,-0.8180,-0.1469,-0.6495,24.2031,328.2344,15.3594,tremor
84,9768031,-0.7404,-0.1482,-0.6586,21.9531,356.4062,17.2969,tremor
85,9768041,-0.6244,-0.1628,-0.6616,5.4844,433.7031,21.4844,tremor
86,9768046,-0.5907,-0.1752,-0.6548,-5.4844,454.1250,26.1875,tremor
87,9768073,-0.4492,-0.2378,-0.6088,-49.5312,263.5781,36.5469,tremor
88,9768078,-0.3774,-0.2386,-0.6364,-47.0000,191.9219,25.9531,tremor
89,9768082,-0.2867,-0.2365,-0.6827,-40.5781,125.3750,17.7344,tremor
90,9768087,-0.1810,-0.2318,-0.7468,-32.4844,67.0156,12.7656,tremor
91,9768092,-0.0667,-0.2247,-0.8561,-23.9219,16.7656,11.7812,tremor
92,9768111,0.3507,-0.1730,-1.1785,-0.6406,-94.7188,18.4688,tremor
93,9768116,0.3831,-0.1622,-1.2209,-4.3438,-98.4375,17.6719,tremor
94,9768121,0.3866,-0.1541,-1.2424,-9.8906,-93.5312,15.7344,tremor
95,9768130,0.3138,-0.1497,-1.2230,-27.1562,-54.8750,13.1094,tremor
96,9768140,0.1635,-0.1603,-1.1412,-35.0469,-24.3281,12.4062,tremor
97,9768150,-0.0590,-0.1803,-1.0157,-31.0469,-13.0938,17.4531,tremor
98,9768155,-0.1381,-0.1849,-0.9758,-27.2344,-14.2656,21.3594,tremor
99,9768170,-0.2797,-0.1736,-0.9298,-21.1406,-62.1562,33.2344,tremor
100,9768197,-0.1436,-0.1205,-1.0836,-15.1250,-161.3750,26.6250,tremor
101,9768202,-0.1113,-0.1201,-1.1094,-14.4219,-159.2656,24.1406,tremor
102,9768216,-0.1002,-0.1284,-1.1357,-16.8281,-112.8281,18.2188,tremor
103,9768221,-0.1544,-0.1292,-1.1234,-17.7188,-89.4062,15.7031,tremor
104,9768235,-0.3502,-0.1176,-1.0459,-24.2188,-10.2344,6.6250,tremor
105,9768245,-0.4989,-0.1000,-0.9772,-31.3594,45.4375,-4.0469,tremor
106,9768250,-0.5659,-0.0901,-0.9430,-34.2812,63.7969,-8.8906,tremor
107,9768265,-0.7126,-0.0618,-0.8491,-41.6094,105.0156,-19.0312,tremor
108,9768295,-0.6826,-0.0576,-0.8309,-42.3594,219.0938,-35.0156,tremor
109,9768323,-0.5520,-0.0460,-0.8610,-48.7031,186.8594,-1.7031,tremor
110,9768342,-0.1187,-0.0400,-0.9877,-18.5938,31.9844,-9.8594,tremor
111,9768351,0.1183,-0.0461,-1.0887,-15.2031,12.5000,-11.2500,tremor
112,9768356,0.2073,-0.0522,-1.1602,-15.8125,13.7500,-8.1719,tremor
113,9768365,0.2925,-0.0739,-1.2267,-20.8594,26.8750,2.6719,tremor
114,9768375,0.2284,-0.0917,-1.2479,-28.6406,35.2500,15.0938,tremor
115,9768385,0.1086,-0.1031,-1.2253,-31.0625,22.2812,27.7656,tremor
116,9768394,0.0121,-0.1064,-1.1720,-24.9688,-6.1250,30.5938,tremor
117,9768413,0.0172,-0.0931,-1.0430,-5.5781,-60.7812,27.0000,tremor
118,9768418,0.0432,-0.0817,-1.0272,-3.2344,-63.0469,28.5938,tremor
119,9768450,-0.0538,0.0122,-1.0613,4.1094,-30.6250,18.4844,tremor
120,9768455,-0.1141,0.0264,-1.0758,5.0781,-21.9219,14.7188,tremor
121,9768469,-0.3254,0.0500,-1.1052,-0.5156,5.0625,0.5469,tremor
122,9768489,-0.4583,0.0280,-1.0710,-14.6719,41.6562,-16.3281,tremor
123,9768494,-0.4653,0.0181,-1.0532,-17.4844,44.2344,-17.4531,tremor
124,9768498,-0.4617,0.0077,-1.0341,-19.3906,44.0312,-18.6562,tremor
125,9768503,-0.4479,-0.0023,-1.0055,-20.5781,41.7656,-20.0000,tremor
126,9768537,-0.1588,-0.0540,-0.9243,-29.0156,2.5312,-22.3125,tremor
127,9768542,-0.1299,-0.0593,-0.9178,-28.6250,7.5000,-18.0469,tremor
128,9768568,-0.0964,-0.0592,-0.9287,-14.2344,18.0156,16.7656,tremor
129,9768573,-0.0865,-0.0502,-0.9456,-10.9062,7.9375,23.2969,tremor
130,9768593,0.0126,0.0010,-1.0743,-6.5781,-22.9219,11.5469,tremor
131,9768598,0.0461,0.0107,-1.1062,-5.8750,-17.6094,9.7031,tremor
132,9768602,0.0564,0.0194,-1.1344,-6.0781,-8.5156,7.3281,tremor
133,9768626,-0.0773,0.0568,-1.1666,-13.9062,45.2500,-4.2188,tremor
134,9768631,-0.1257,0.0630,-1.1500,-16.1094,50.0469,-5.7344,tremor
135,9768641,-0.2119,0.0725,-1.0725,-19.0469,51.4375,-9.2031,tremor
136,9768655,-0.2632,0.0729,-1.0236,-23.4062,39.6406,-7.3125,tremor
137,9768665,-0.2205,0.0634,-0.9993,-23.5469,23.8594,2.7188,tremor
138,9768692,0.0403,0.0339,-1.0416,-8.7031,-31.6875,8.8594,tremor
139,9768697,0.0911,0.0342,-1.0586,-5.4531,-29.4219,9.7656,tremor
140,9768701,0.1084,0.0364,-1.0760,-3.1875,-24.6406,11.1406,tremor
141,9768711,0.0992,0.0468,-1.1083,3.8281,-0.0312,17.4062,tremor
142,9768731,-0.0624,0.0853,-1.1545,3.6562,11.9688,10.8281,tremor
143,9768736,-0.1029,0.0929,-1.1600,3.7969,11.4688,7.2969,tremor
144,9768741,-0.1393,0.0988,-1.1642,3.6719,11.6094,4.5625,tremor
145,9768779,-0.2192,0.0604,-1.0966,-9.4688,8.5000,-3.7188,tremor
146,9768784,-0.2048,0.0485,-1.0739,-11.5469,4.0781,-1.1094,tremor
147,9768789,-0.1853,0.0365,-1.0494,-12.5156,-1.0781,2.2344,tremor
148,9768814,-0.0032,-0.0012,-0.9431,2.2031,-13.8750,19.5781,tremor
149,9768819,0.0323,0.0017,-0.9398,5.8750,-12.4844,22.5781,tremor
150,9768823,0.0629,0.0079,-0.9440,9.1094,-10.7500,23.8281,tremor
151,9768828,0.0858,0.0173,-0.9553,12.0938,-4.8438,23.6406,tremor
152,9768833,0.0990,0.0291,-0.9734,14.3750,-4.2969,25.2656,tremor
153,9768842,0.0923,0.0560,-1.0254,15.3438,2.0781,26.6562,tremor
154,9768852,0.0455,0.0815,-1.1057,16.2344,0.2500,25.7188,tremor
155,9768857,-0.0187,0.0962,-1.1388,15.8906,-5.4375,23.3125,tremor
156,9768862,-0.0403,0.1031,-1.1709,16.5938,-13.1562,18.4375,tremor
157,9768872,-0.1044,0.1099,-1.2271,16.4531,-25.7812,6.5156,tremor
158,9768886,-0.1686,0.1024,-1.2637,6.9844,-24.3906,-6.2344,tremor
159,9768896,-0.1920,0.0862,-1.2026,-1.2188,-13.8125,-13.3281,tremor
160,9768900,-0.2009,0.0750,-1.1796,-5.0938,-7.1562,-15.5469,tremor
161,9768910,-0.2231,0.0424,-1.0759,-12.0312,6.4844,-14.5312,tremor
162,9768936,-0.2252,0.0192,-0.8206,-3.7656,18.3281,-4.4531,tremor
163,9768946,-0.1858,0.0416,-0.8070,0.1875,7.5312,-1.7344,tremor
164,9768965,-0.0748,0.1027,-0.9404,3.7969,-3.0000,6.0469,tremor
165,9768980,-0.0354,0.1150,-1.0687,7.4375,-12.1406,11.8750,tremor
166,9768984,-0.0311,0.1130,-1.1033,7.9844,-16.0469,7.7344,tremor
167,9768989,-0.0309,0.1086,-1.1306,8.3281,-17.3438,6.7656,tremor
168,9768995,-0.0343,0.1024,-1.1556,7.6094,-17.8125,5.5625,tremor
169,9769004,-0.0563,0.0817,-1.1588,5.5000,-15.4219,2.3125,tremor
170,9769009,-0.0692,0.0724,-1.1490,4.4844,-13.0625,0.8125,tremor
171,9769024,-0.1123,0.0474,-1.0909,0.0625,-5.1250,-1.8594,tremor
172,9769029,-0.1254,0.0413,-1.0367,0.1562,-3.3281,-2.9844,tremor
173,9769034,-0.1362,0.0350,-1.0361,0.1719,-2.4531,-3.2500,tremor
174,9769064,-0.1348,0.0460,-1.0045,2.4219,-3.2500,-4.6875,tremor
175,9769069,-0.1277,0.0496,-1.0148,2.6094,-3.4688,-5.0156,tremor
176,9769079,-0.1141,0.0543,-1.0397,2.5156,-5.2500,-5.6250,tremor
177,9769098,-0.0944,0.0514,-1.0868,3.5156,-7.5781,-3.7500,tremor
178,9769103,-0.0909,0.0488,-1.0919,4.0000,-8.6719,-3.0000,tremor
179,9769108,-0.0874,0.0458,-1.0948,4.7188,-9.7344,-2.0312,tremor
180,9769118,-0.0795,0.0392,-1.0952,4.9219,-9.4219,-1.2344,tremor
181,9769123,-0.0754,0.0356,-1.0933,5.8594,-9.0469,-0.9844,tremor
182,9769127,-0.0717,0.0322,-1.0905,6.1719,-8.7969,-0.6562,tremor
183,9769137,-0.0656,0.0236,-1.0817,5.3281,-7.4062,0.7344,tremor
184,9769152,-0.0703,0.0144,-1.0729,5.3906,-2.7344,0.7031,tremor
185,9769181,-0.1033,0.0100,-1.0615,3.8438,-2.2188,0.3594,tremor
186,9769191,-0.1058,0.0137,-1.0588,3.7031,-4.7812,-1.8594,tremor
187,9769196,-0.1055,0.0161,-1.0573,3.5312,-4.7969,-1.7188,tremor
188,9769201,-0.1045,0.0187,-1.0538,2.7344,-4.5625,-1.9375,tremor
189,9769206,-0.1029,0.0226,-1.0505,2.2031,-4.2344,-1.2344,tremor
190,9769216,-0.0996,0.0272,-1.0424,2.6406,-2.7656,-2.3281,tremor
191,9769220,-0.0994,0.0291,-1.0378,1.8594,-1.1875,-2.5469,tremor
192,9769230,-0.1016,0.0319,-1.0297,0.6562,1.0312,-2.9219,tremor
193,9769235,-0.1042,0.0326,-1.0266,-0.2031,1.4844,-3.1250,tremor
194,9769240,-0.1075,0.0330,-1.0245,-0.8125,2.4844,-3.2656,tremor
195,9769245,-0.1113,0.0328,-1.0236,-1.2812,2.5156,-3.4844,tremor
196,9769249,-0.1149,0.0323,-1.0239,-1.2188,1.5000,-3.2344,tremor
197,9769254,-0.1187,0.0310,-1.0253,-1.3125,0.7656,-2.9844,tremor
198,9769259,-0.1196,0.0299,-1.0272,-1.9219,0.3125,-2.9375,tremor
199,9769264,-0.1194,0.0287,-1.0295,-2.4844,0.0781,-2.7344,tremor
200,9769269,-0.1178,0.0275,-1.0321,-2.4844,-3.9531,-2.1719,tremor
201,9769274,-0.1154,0.0264,-1.0345,-2.2188,-0.9375,-2.1875,tremor
202,9769318,-0.1056,0.0363,-1.0333,-2.2500,1.7656,-1.3438,tremor
203,9769323,-0.1069,0.0409,-1.0344,-1.5938,0.6406,-1.5938,tremor
204,9769347,-0.1129,0.0555,-1.0508,0.0781,-1.3438,-1.7031,tremor
205,9769352,-0.1145,0.0573,-1.0544,-0.4062,-0.7969,-2.1406,tremor
206,9769381,-0.1293,0.0544,-1.0637,0.0469,-1.3281,-2.9062,tremor
207,9769386,-0.1296,0.0524,-1.0632,-0.0625,-2.0938,-2.4531,tremor
208,9769391,-0.1292,0.0502,-1.0624,-0.6250,-2.7188,-2.8438,tremor
209,9769396,-0.1277,0.0477,-1.0604,-0.2344,-3.5625,-2.7344,tremor
210,9769401,-0.0944,0.0439,-1.0588,-0.2031,-3.0938,-2.5000,tremor
211,9769427,-0.1113,0.0325,-1.0457,-1.3750,-1.5625,-2.4688,tremor
212,9769456,-0.1094,0.0291,-1.0413,-0.9688,-1.1562,-2.2812,tremor
213,9769461,-0.1099,0.0294,-1.0425,-1.0469,-1.0469,-1.9688,tremor
