sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,7165763,-0.2732,-0.1735,-1.0011,-5.9531,0.5000,-4.8750,no_tremor
1,7165768,-0.2721,-0.1735,-1.0023,-5.5156,1.0000,-5.8125,no_tremor
2,7165773,-0.2709,-0.1738,-1.0029,-4.5625,1.7500,-5.8125,no_tremor
3,7165778,-0.2688,-0.1741,-1.0034,-4.5000,1.7500,-5.1719,no_tremor
4,7165797,-0.2616,-0.1746,-1.0065,-4.8906,2.7188,-5.2188,no_tremor
5,7165807,-0.2562,-0.1742,-1.0095,-3.6719,3.0781,-4.4219,no_tremor
6,7165811,-0.2528,-0.1740,-1.0116,-3.1406,3.0781,-3.5625,no_tremor
7,7165816,-0.2488,-0.1737,-1.0159,-1.9219,3.3281,-2.9844,no_tremor
8,7165821,-0.2443,-0.1735,-1.0194,-1.2031,3.3906,-2.6250,no_tremor
9,7165826,-0.2394,-0.1731,-1.0236,-1.2656,2.9219,-2.6875,no_tremor
10,7165831,-0.2316,-0.1729,-1.0283,-1.0312,3.0000,-2.1094,no_tremor
11,7165855,-0.2067,-0.1722,-1.0530,2.8906,3.8438,3.7031,no_tremor
12,7165861,-0.1991,-0.1726,-1.0557,3.9688,3.9688,4.7969,no_tremor
13,7165866,-0.1937,-0.1731,-1.0574,4.1250,5.2812,6.5156,no_tremor
14,7165870,-0.1882,-0.1738,-1.0583,4.3438,6.3438,9.1875,no_tremor
15,7165875,-0.1824,-0.1744,-1.0587,5.4531,7.3281,10.0312,no_tremor
16,7165880,-0.1763,-0.1750,-1.0590,6.8281,7.8750,11.6250,no_tremor
17,7165885,-0.1698,-0.1754,-1.0592,7.4531,8.2031,13.2188,no_tremor
18,7165890,-0.1630,-0.1755,-1.0608,8.2969,9.0312,14.9062,no_tremor
19,7165895,-0.1556,-0.1746,-1.0634,9.7031,10.2500,17.1094,no_tremor
20,7165904,-0.1340,-0.1709,-1.0730,12.4844,12.5938,23.0469,no_tremor
21,7165909,-0.1234,-0.1680,-1.0802,13.2812,13.2656,25.6719,no_tremor
22,7165914,-0.1116,-0.1642,-1.0889,14.3438,14.8438,28.7031,no_tremor
23,7165919,-0.0983,-0.1597,-1.0985,15.5000,16.2344,33.2969,no_tremor
24,7165923,-0.0836,-0.1547,-1.1089,16.8438,14.6406,36.3281,no_tremor
25,7165929,-0.0677,-0.1489,-1.1196,18.1562,14.2031,39.6562,no_tremor
26,7165934,-0.0510,-0.1396,-1.1351,18.5781,15.9375,43.9844,no_tremor
27,7165938,-0.0248,-0.1328,-1.1445,19.2969,17.6406,48.6875,no_tremor
28,7165943,-0.0068,-0.1259,-1.1531,20.8438,17.5781,52.7344,no_tremor
29,7165948,0.0115,-0.1187,-1.1605,22.6562,17.9688,57.1719,no_tremor
30,7165953,0.0298,-0.1113,-1.1667,24.1875,19.5781,65.9844,no_tremor
31,7165979,0.1293,-0.0696,-1.1846,33.4844,31.0625,93.9688,no_tremor
32,7165984,0.1451,-0.0620,-1.1853,35.0156,33.5938,98.8750,no_tremor
33,7165989,0.1598,-0.0547,-1.1853,36.5156,36.8125,104.0000,no_tremor
34,7165993,0.1731,-0.0446,-1.1844,38.0625,40.6250,110.2656,no_tremor
35,7165998,0.1906,-0.0387,-1.1830,39.2344,44.1406,117.1562,no_tremor
36,7166003,0.2004,-0.0337,-1.1810,40.3594,47.0938,123.9062,no_tremor
37,7166013,0.2169,-0.0265,-1.1766,42.8594,54.0938,138.1875,no_tremor
38,7166018,0.2236,-0.0240,-1.1743,44.1250,58.2812,145.6094,no_tremor
39,7166022,0.2296,-0.0225,-1.1718,45.3906,61.5781,152.5781,no_tremor
40,7166032,0.2397,-0.0210,-1.1661,46.5625,69.0469,164.1719,no_tremor
41,7166037,0.2441,-0.0209,-1.1616,48.3281,70.8750,169.9062,no_tremor
42,7166046,0.2531,-0.0215,-1.1558,48.9219,73.6719,183.9219,no_tremor
43,7166051,0.2556,-0.0217,-1.1533,49.0156,74.5781,190.3594,no_tremor
