sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,7064183,-0.4865,-0.4373,-0.7943,-1.2500,0.2812,-2.8125,no_tremor
1,7064194,-0.4829,-0.4382,-0.7938,-0.9844,1.4844,-2.4688,no_tremor
2,7064206,-0.4791,-0.4387,-0.7921,-2.2188,1.4531,-2.1562,no_tremor
3,7064217,-0.4764,-0.4391,-0.7898,-1.7969,1.6562,-2.3594,no_tremor
4,7064259,-0.4729,-0.4403,-0.7988,-2.3906,0.4844,-1.2188,no_tremor
5,7064282,-0.4744,-0.4369,-0.8080,-2.8281,2.0312,-1.0938,no_tremor
6,7064293,-0.4734,-0.4347,-0.8097,-2.7969,3.4844,0.0938,no_tremor
7,7064304,-0.4702,-0.4325,-0.8104,-2.6719,2.9844,-0.2656,no_tremor
8,7064315,-0.4652,-0.4303,-0.8126,-1.2969,2.3125,0.6250,no_tremor
9,7064326,-0.4600,-0.4280,-0.8182,-0.2344,2.5312,0.7656,no_tremor
10,7064338,-0.4565,-0.4257,-0.8280,0.8906,3.3906,1.0938,no_tremor
11,7064369,-0.4386,-0.4187,-0.8610,5.4531,5.3750,3.9531,no_tremor
12,7064380,-0.4264,-0.4149,-0.8738,6.2188,5.7031,6.7344,no_tremor
13,7064391,-0.4120,-0.4110,-0.8877,7.9844,8.3594,10.2656,no_tremor
14,7064402,-0.3964,-0.4076,-0.9020,10.7031,11.9531,12.1094,no_tremor
15,7064413,-0.3840,-0.4043,-0.9133,12.7344,15.3281,14.8750,no_tremor
16,7064424,-0.3685,-0.3984,-0.9274,13.3906,21.0312,18.7500,no_tremor
17,7064435,-0.3512,-0.3907,-0.9421,15.2031,24.9844,22.8125,no_tremor
18,7064458,-0.3094,-0.3737,-0.9789,18.6875,34.0000,33.5469,no_tremor
19,7064469,-0.2864,-0.3656,-0.9995,20.5781,40.5625,40.3594,no_tremor
20,7064503,-0.1982,-0.3484,-1.0107,24.0938,59.4531,67.8750,no_tremor
21,7064514,-0.1591,-0.3430,-1.0040,29.2031,64.8906,74.6719,no_tremor
22,7064525,-0.1301,-0.3361,-1.0084,33.2656,72.5781,83.1250,no_tremor
23,7064536,-0.1257,-0.3259,-1.0317,36.6719,78.3281,87.9844,no_tremor
24,7064547,-0.1505,-0.3142,-1.0631,36.7969,88.0938,94.0312,no_tremor
25,7064558,-0.1918,-0.3060,-1.0851,33.8906,97.2188,104.3750,no_tremor
26,7064570,-0.2203,-0.3042,-1.0835,33.4844,96.2031,114.7812,no_tremor
27,7064581,-0.2303,-0.3057,-1.0546,35.4688,85.7969,124.2031,no_tremor
28,7064592,-0.2123,-0.3041,-1.0062,41.3438,75.4219,133.8906,no_tremor
29,7064625,-0.2192,-0.2899,-0.9227,45.5156,87.9531,139.0312,no_tremor
30,7064637,-0.3196,-0.2930,-0.9371,40.4844,105.6875,136.6094,no_tremor
31,7064648,-0.4508,-0.2999,-0.9558,33.4219,119.2812,134.7656,no_tremor
32,7064659,-0.5287,-0.3049,-0.9598,28.8594,119.6719,139.4219,no_tremor
33,7064670,-0.5781,-0.3083,-0.9417,30.0312,108.4375,144.4531,no_tremor
34,7064693,-0.4988,-0.2966,-0.8628,39.5625,84.3125,143.6719,no_tremor
35,7064704,-0.4592,-0.2797,-0.8370,41.2656,82.7344,136.7656,no_tremor
36,7064749,-0.7122,-0.2465,-0.8676,26.7344,61.8906,115.9062,no_tremor
37,7064761,-0.7321,-0.2477,-0.8551,25.8594,45.0156,110.8281,no_tremor
38,7064772,-0.7104,-0.2483,-0.8287,26.7344,34.1719,102.1406,no_tremor
39,7064783,-0.6842,-0.2487,-0.8036,24.8125,30.4219,91.6250,no_tremor
40,7064794,-0.6649,-0.2505,-0.7760,23.1094,27.9844,81.7031,no_tremor
41,7064805,-0.6732,-0.2545,-0.7620,20.5156,24.4844,71.0000,no_tremor
42,7064816,-0.7061,-0.2588,-0.7650,18.0000,23.0156,61.9844,no_tremor
43,7064827,-0.7483,-0.2614,-0.7798,17.3750,20.3594,52.2969,no_tremor
44,7064839,-0.7811,-0.2618,-0.7970,15.9375,14.0625,42.4375,no_tremor
45,7064882,-0.7507,-0.2517,-0.7999,17.3750,-8.2500,8.7500,no_tremor
46,7064894,-0.7412,-0.2504,-0.7842,16.6094,-12.1406,-0.8906,no_tremor
47,7064905,-0.7394,-0.2557,-0.7654,14.9219,-14.4531,-11.1562,no_tremor
48,7064916,-0.7416,-0.2657,-0.7484,11.6094,-16.0938,-21.7812,no_tremor
49,7064927,-0.7455,-0.2837,-0.7388,7.3438,-17.7344,-32.1719,no_tremor
50,7064939,-0.7482,-0.3032,-0.7321,2.2188,-20.1406,-41.6719,no_tremor
51,7064950,-0.7484,-0.3197,-0.7300,-1.2656,-22.9531,-51.5625,no_tremor
52,7064961,-0.7454,-0.3301,-0.7316,-4.2500,-25.8125,-61.3750,no_tremor
53,7065005,-0.7015,-0.3320,-0.7467,-17.5000,-36.1875,-91.5625,no_tremor
