sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,7226501,-0.2977,-0.2819,-0.9535,-0.6875,8.9219,-8.5469,tremor
1,7226506,-0.2954,-0.2814,-0.9548,-0.9844,9.8125,-8.6406,tremor
2,7226511,-0.2932,-0.2809,-0.9569,-1.0312,10.0938,-9.7344,tremor
3,7226521,-0.2877,-0.2795,-0.9626,-1.2812,10.7500,-10.3750,tremor
4,7226526,-0.2841,-0.2780,-0.9685,-1.1094,11.1562,-10.1875,tremor
5,7226531,-0.2762,-0.2764,-0.9730,-0.5781,10.9531,-10.5156,tremor
6,7226535,-0.2692,-0.2742,-0.9779,-0.5312,10.2656,-10.2969,tremor
7,7226540,-0.2603,-0.2715,-0.9829,-1.5156,8.6719,-9.4531,tremor
8,7226545,-0.2498,-0.2684,-0.9875,-2.1875,5.3438,-4.4375,tremor
9,7226550,-0.2382,-0.2654,-0.9912,-1.6562,-3.2344,-7.4219,tremor
10,7226575,-0.1942,-0.2714,-0.9794,-6.0000,-34.4844,4.2969,tremor
11,7226580,-0.1907,-0.2766,-0.9736,-5.7812,-39.0000,8.0000,tremor
12,7226585,-0.1860,-0.2815,-0.9684,-4.2031,-45.5625,11.5781,tremor
13,7226590,-0.1790,-0.2850,-0.9644,-1.8906,-53.1406,14.8594,tremor
14,7226595,-0.1687,-0.2856,-0.9618,0.9375,-61.8750,17.5312,tremor
15,7226600,-0.1466,-0.2822,-0.9630,4.3750,-70.8750,19.7031,tremor
16,7226605,-0.1282,-0.2756,-0.9666,8.1875,-79.4062,22.1406,tremor
17,7226609,-0.1082,-0.2665,-0.9723,11.8750,-87.4219,24.9688,tremor
18,7226614,-0.0881,-0.2552,-0.9801,19.1250,-98.5469,30.3594,tremor
19,7226624,-0.0551,-0.2318,-0.9984,21.0312,-111.0156,37.8750,tremor
20,7226629,-0.0452,-0.1906,-1.0109,22.4531,-116.8125,40.5781,tremor
21,7226634,-0.0417,-0.2114,-1.0168,23.3125,-121.6406,42.6562,tremor
22,7226639,-0.0475,-0.2084,-1.0203,23.7656,-125.1250,45.5156,tremor
23,7226648,-0.0763,-0.2111,-1.0183,27.2500,-128.7812,50.4844,tremor
24,7226658,-0.1212,-0.2213,-1.0071,30.5625,-128.7344,53.6250,tremor
25,7226668,-0.1742,-0.2330,-0.9905,33.5469,-122.7969,53.4688,tremor
26,7226673,-0.2026,-0.2380,-0.9813,34.5625,-115.4219,52.0781,tremor
27,7226705,-0.5522,-0.2780,-0.8772,12.1562,79.2500,-1.2188,tremor
28,7226710,-0.6388,-0.2902,-0.8530,-1.0781,125.3594,-10.9062,tremor
29,7226715,-0.7349,-0.3042,-0.8270,-14.4531,169.2656,-19.8438,tremor
30,7226720,-0.8357,-0.3193,-0.8005,-26.4688,227.6250,-34.7812,tremor
31,7226725,-0.9347,-0.3340,-0.7750,-45.5781,254.1094,-42.2656,tremor
32,7226730,-1.0231,-0.3464,-0.7521,-58.0156,274.5781,-45.1406,tremor
33,7226735,-1.0911,-0.3553,-0.7262,-67.7031,283.9531,-44.0156,tremor
34,7226739,-1.1289,-0.3589,-0.7167,-74.3438,283.0469,-38.2344,tremor
35,7226744,-1.1123,-0.3536,-0.7150,-77.6875,270.3125,-28.3594,tremor
36,7226749,-1.0454,-0.3424,-0.7216,-77.7656,243.9688,-17.1406,tremor
37,7226754,-0.9335,-0.3256,-0.7369,-74.2500,205.0000,-5.6719,tremor
38,7226759,-0.7805,-0.3040,-0.7610,-67.6719,158.5938,4.6875,tremor
39,7226764,-0.5942,-0.2787,-0.7933,-58.5000,86.6562,17.1875,tremor
40,7226768,-0.3851,-0.2506,-0.8329,-40.8594,40.8125,25.0156,tremor
41,7226773,-0.1656,-0.2211,-0.8781,-28.5469,-3.2031,33.6406,tremor
42,7226778,0.0509,-0.1909,-0.9523,-16.2188,-44.0156,41.5781,tremor
43,7226783,0.3420,-0.1466,-1.0029,-4.1094,-79.5156,48.5781,tremor
44,7226788,0.4980,-0.1190,-1.0520,7.1406,-107.8281,56.3125,tremor
45,7226793,0.6144,-0.0942,-1.0975,18.1719,-131.1094,63.4844,tremor
46,7226798,0.6873,-0.0730,-1.1382,28.4062,-152.0625,68.3125,tremor
47,7226824,0.3331,-0.0574,-1.2397,74.6562,-178.8281,84.4844,tremor
48,7226829,0.1953,-0.0734,-1.2346,80.7500,-161.5312,83.2344,tremor
49,7226834,0.0519,-0.0927,-1.2246,84.4375,-135.7344,80.7969,tremor
50,7226839,-0.0927,-0.1140,-1.2101,86.2031,-103.0312,77.8594,tremor
51,7226844,-0.2354,-0.1364,-1.1912,86.9531,-42.2500,70.8906,tremor
52,7226849,-0.3745,-0.1591,-1.1676,81.8750,3.2656,63.4688,tremor
53,7226854,-0.5090,-0.1813,-1.1229,74.0000,51.0000,55.5312,tremor
54,7226859,-0.7010,-0.2133,-1.0875,63.8438,99.5000,47.8438,tremor
55,7226864,-0.8202,-0.2334,-1.0483,51.9688,145.9688,41.0000,tremor
56,7226869,-0.9291,-0.2524,-1.0067,39.1406,187.0938,35.5000,tremor
57,7226874,-1.0237,-0.2705,-0.9644,26.3750,221.2344,29.4219,tremor
58,7226879,-1.0986,-0.2874,-0.9231,10.9688,253.3281,28.2188,tremor
59,7226883,-1.1486,-0.3025,-0.8853,-1.0000,258.8594,29.2969,tremor
60,7226888,-1.1680,-0.3156,-0.8527,-8.9375,252.0469,31.9531,tremor
61,7226893,-1.1527,-0.3260,-0.8275,-12.2656,236.2344,36.1094,tremor
62,7226898,-1.1002,-0.3331,-0.8075,-12.0312,211.1250,42.0625,tremor
63,7226902,-0.9480,-0.3361,-0.8070,-9.9375,175.7344,49.4062,tremor
64,7226907,-0.8119,-0.3319,-0.8162,-6.7031,133.1875,56.3125,tremor
65,7226917,-0.4620,-0.3087,-0.8540,4.2969,36.6250,68.0312,tremor
66,7226922,-0.2712,-0.2902,-0.8770,12.0000,-13.2031,72.0938,tremor
67,7226948,0.4910,-0.1475,-0.9269,53.0000,-252.6562,92.9844,tremor
68,7226953,0.5303,-0.1146,-0.9132,58.4688,-278.1250,95.3594,tremor
69,7226958,0.5261,-0.0992,-0.8947,63.2500,-297.7188,96.2969,tremor
70,7226963,0.4850,-0.0905,-0.8727,67.8594,-309.9062,96.5156,tremor
71,7226968,0.4174,-0.0889,-0.8488,72.0469,-314.1562,96.3906,tremor
72,7226973,0.3270,-0.0948,-0.8241,74.3125,-310.1562,95.5000,tremor
73,7226978,0.2183,-0.1080,-0.8003,75.1875,-300.4375,93.9375,tremor
74,7226983,0.0957,-0.1278,-0.7692,74.7656,-280.8906,91.3125,tremor
75,7226988,-0.1045,-0.1671,-0.7533,74.4062,-251.0000,88.0000,tremor
76,7226992,-0.2429,-0.1971,-0.7428,74.6250,-212.8281,84.2656,tremor
