sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,5793668,-0.4777,-0.0520,-0.9276,-2.8750,2.1406,-0.0938,no_tremor
1,5793673,-0.4779,-0.0526,-0.9271,-3.5625,1.7812,-0.0156,no_tremor
2,5793678,-0.4785,-0.0535,-0.9265,-3.5938,1.9688,-0.0312,no_tremor
3,5793682,-0.4791,-0.0543,-0.9258,-4.2188,1.8594,0.2188,no_tremor
4,5793687,-0.4796,-0.0552,-0.9249,-4.8594,0.7500,0.5312,no_tremor
5,5793697,-0.4789,-0.0571,-0.9227,-5.2188,0.0469,0.7969,no_tremor
6,5793706,-0.4755,-0.0587,-0.9202,-4.5469,-1.7188,0.8906,no_tremor
7,5793717,-0.4684,-0.0599,-0.9170,-5.3594,-1.8906,1.7500,no_tremor
8,5793742,-0.4595,-0.0597,-0.9135,-7.2031,0.3906,2.3594,no_tremor
9,5793746,-0.4606,-0.0594,-0.9142,-7.8125,1.2344,2.9688,no_tremor
10,5793751,-0.4624,-0.0591,-0.9155,-7.0000,2.3438,2.3906,no_tremor
11,5793756,-0.4648,-0.0586,-0.9176,-6.8125,3.0000,2.5781,no_tremor
12,5793761,-0.4678,-0.0577,-0.9202,-7.4219,2.7031,2.9844,no_tremor
13,5793765,-0.4711,-0.0566,-0.9233,-7.8125,2.7500,2.3594,no_tremor
14,5793770,-0.4744,-0.0552,-0.9269,-8.0938,4.3125,1.8438,no_tremor
15,5793775,-0.4777,-0.0533,-0.9307,-7.9062,4.5625,2.0312,no_tremor
16,5793780,-0.4807,-0.0511,-0.9343,-7.8750,4.3750,1.6562,no_tremor
17,5793785,-0.4833,-0.0488,-0.9376,-8.4531,4.0781,1.7344,no_tremor
18,5793794,-0.4861,-0.0442,-0.9427,-9.6875,2.3125,2.2812,no_tremor
19,5793799,-0.4852,-0.0432,-0.9432,-9.8438,0.6406,2.2812,no_tremor
20,5793804,-0.4830,-0.0430,-0.9429,-9.0312,-0.4688,1.8750,no_tremor
21,5793823,-0.4669,-0.0453,-0.9397,-6.4062,-6.3125,0.4844,no_tremor
22,5793828,-0.4631,-0.0458,-0.9406,-5.4531,-5.6250,0.0312,no_tremor
23,5793838,-0.4595,-0.0453,-0.9485,-3.8125,-4.2500,-1.9531,no_tremor
24,5793869,-0.4983,-0.0356,-1.0101,-1.7031,9.3906,-6.2656,no_tremor
25,5793873,-0.5051,-0.0343,-1.0229,0.0312,10.2031,-8.5312,no_tremor
26,5793878,-0.5103,-0.0327,-1.0364,2.3906,13.4688,-9.0156,no_tremor
27,5793883,-0.5133,-0.0308,-1.0507,7.1562,16.3125,-9.6250,no_tremor
28,5793888,-0.5144,-0.0282,-1.0662,11.5000,17.4531,-11.0469,no_tremor
29,5793893,-0.5140,-0.0221,-1.0927,16.2188,17.6406,-13.2500,no_tremor
30,5793898,-0.5129,-0.0164,-1.1129,20.7344,18.5156,-15.0938,no_tremor
31,5793903,-0.5133,-0.0090,-1.1353,25.0156,20.3750,-16.1875,no_tremor
32,5793908,-0.5159,-0.0004,-1.1595,29.1875,22.3750,-18.5625,no_tremor
33,5793912,-0.5208,0.0095,-1.1853,33.3281,23.6250,-20.9688,no_tremor
34,5793917,-0.5281,0.0198,-1.2119,37.0000,23.9219,-21.6094,no_tremor
35,5793922,-0.5372,0.0298,-1.2388,42.9219,19.8281,-22.8906,no_tremor
36,5793927,-0.5471,0.0388,-1.2651,47.4219,12.1719,-24.9219,no_tremor
37,5793932,-0.5564,0.0460,-1.2905,53.0000,0.7188,-25.9219,no_tremor
38,5793936,-0.5638,0.0509,-1.3267,59.3438,-14.7969,-26.0469,no_tremor
39,5793946,-0.5656,0.0516,-1.3707,72.5625,-52.9062,-27.8125,no_tremor
40,5793951,-0.5573,0.0476,-1.3911,80.5625,-74.6094,-28.3594,no_tremor
41,5793956,-0.5438,0.0416,-1.4104,90.3125,-97.9688,-29.6094,no_tremor
42,5793988,-0.4995,0.0039,-1.5117,176.3438,-95.3906,-75.2812,no_tremor
43,5793993,-0.5428,0.0027,-1.5150,180.2656,-60.8438,-83.9844,no_tremor
44,5793998,-0.6063,0.0002,-1.5128,180.0938,-24.8281,-92.7031,no_tremor
45,5794003,-0.6890,-0.0049,-1.5045,176.2812,10.1719,-100.4375,no_tremor
46,5794008,-0.7875,-0.0143,-1.4805,169.4688,41.0781,-107.5312,no_tremor
47,5794012,-0.9591,-0.0389,-1.4572,160.9375,66.5625,-113.7344,no_tremor
48,5794017,-1.0641,-0.0626,-1.4287,153.0156,85.6250,-118.5000,no_tremor
49,5794022,-1.1656,-0.0913,-1.3964,147.7031,98.6562,-120.7500,no_tremor
50,5794027,-1.2491,-0.1232,-1.3613,145.3438,104.5625,-120.5000,no_tremor
51,5794032,-1.3071,-0.1560,-1.3248,145.2812,104.9219,-119.5156,no_tremor
52,5794036,-1.3344,-0.1874,-1.2883,147.8750,102.2969,-117.7656,no_tremor
53,5794041,-1.3280,-0.2148,-1.2531,153.5000,95.6094,-115.6406,no_tremor
54,5794046,-1.2887,-0.2362,-1.2198,164.5625,90.3438,-113.3594,no_tremor
55,5794051,-1.2201,-0.2505,-1.1895,172.1875,83.9219,-113.5781,no_tremor
56,5794056,-1.1284,-0.2572,-1.1312,179.7969,78.2812,-115.5938,no_tremor
57,5794061,-1.0217,-0.2542,-1.1277,186.3125,75.3594,-117.5938,no_tremor
58,5794065,-0.8533,-0.2450,-1.1077,191.9844,75.8906,-119.7656,no_tremor
59,5794070,-0.7477,-0.2322,-1.0890,196.0469,79.4062,-121.7500,no_tremor
60,5794080,-0.5820,-0.2034,-1.0508,195.9375,86.8281,-127.9531,no_tremor
61,5794113,-0.5206,-0.2084,-0.8062,182.2812,99.5312,-128.2500,no_tremor
62,5794118,-0.5287,-0.2241,-0.7269,182.6875,97.3125,-126.4844,no_tremor
63,5794122,-0.5287,-0.2411,-0.6860,182.1875,93.5156,-124.5312,no_tremor
64,5794127,-0.5193,-0.2665,-0.6398,180.3438,88.2812,-123.7031,no_tremor
65,5794132,-0.4875,-0.2822,-0.5961,178.2344,84.2500,-123.3281,no_tremor
66,5794137,-0.4563,-0.2963,-0.5555,176.2188,82.3594,-121.9062,no_tremor
67,5794142,-0.4192,-0.3087,-0.5184,174.6875,81.4531,-120.0781,no_tremor
68,5794146,-0.3787,-0.3195,-0.4847,172.8750,80.3906,-119.4219,no_tremor
69,5794151,-0.3373,-0.3289,-0.4545,169.8594,78.3750,-118.8594,no_tremor
70,5794161,-0.2605,-0.3448,-0.4027,157.5156,76.0938,-114.6719,no_tremor
71,5794166,-0.2280,-0.3524,-0.3799,155.4531,76.6094,-112.8750,no_tremor
72,5794171,-0.2007,-0.3601,-0.3477,150.6875,76.6875,-111.4688,no_tremor
73,5794176,-0.1689,-0.3729,-0.3267,145.4844,77.4219,-108.8281,no_tremor
74,5794180,-0.1531,-0.3826,-0.3053,140.1875,79.3438,-105.8281,no_tremor
75,5794190,-0.1304,-0.4052,-0.2609,129.2812,83.0625,-98.1250,no_tremor
76,5794195,-0.1212,-0.4181,-0.2378,119.6719,80.8125,-94.5312,no_tremor
77,5794205,-0.1027,-0.4463,-0.1802,108.6562,76.3594,-87.6875,no_tremor
78,5794210,-0.0847,-0.4684,-0.1580,103.2500,73.3594,-83.6719,no_tremor
79,5794237,0.0544,-0.5480,-0.0646,71.0938,43.5469,-59.6562,no_tremor
80,5794242,0.0568,-0.5586,-0.0585,66.1250,38.7188,-55.3594,no_tremor
81,5794247,0.0776,-0.5685,-0.0552,61.1094,33.0156,-50.7031,no_tremor
82,5794257,0.1136,-0.5868,-0.0549,50.7344,18.5625,-39.7344,no_tremor
83,5794262,0.1282,-0.5952,-0.0566,40.5781,13.3594,-36.1250,no_tremor
84,5794266,0.1401,-0.6035,-0.0586,36.6875,6.8906,-32.1719,no_tremor
85,5794272,0.1499,-0.6117,-0.0601,31.2344,0.8750,-27.7188,no_tremor
86,5794276,0.1572,-0.6200,-0.0602,24.8594,-4.0781,-22.9531,no_tremor
87,5794291,0.1696,-0.6509,-0.0507,5.6719,-16.8125,-11.5156,no_tremor
88,5794296,0.1707,-0.6604,-0.0449,-1.4531,-20.2188,-7.1250,no_tremor
89,5794300,0.1715,-0.6700,-0.0385,-8.6094,-23.5781,-2.4375,no_tremor
90,5794305,0.1722,-0.6797,-0.0317,-17.3750,-29.0781,3.7656,no_tremor
91,5794310,0.1732,-0.6892,-0.0251,-22.9062,-31.8125,7.0938,no_tremor
92,5794315,0.1741,-0.6982,-0.0194,-28.3438,-34.5000,10.4531,no_tremor
93,5794325,0.1747,-0.7162,-0.0117,-38.3438,-39.2656,16.7656,no_tremor
94,5794330,0.1732,-0.7205,-0.0129,-43.0469,-40.2969,20.8125,no_tremor
95,5794335,0.1705,-0.7228,-0.0175,-48.1875,-40.3438,24.9531,no_tremor
96,5794362,0.1311,-0.7013,-0.1232,-71.3438,-43.1719,45.5938,no_tremor
97,5794367,0.1219,-0.6953,-0.1525,-75.0000,-43.8750,47.7188,no_tremor
98,5794372,0.1122,-0.6896,-0.1833,-77.8438,-45.1719,49.7500,no_tremor
99,5794376,0.1018,-0.6843,-0.2152,-79.8750,-46.1406,54.5312,no_tremor
100,5794381,0.0908,-0.6798,-0.2471,-83.0000,-46.4688,57.4062,no_tremor
101,5794386,0.0795,-0.6761,-0.2777,-85.7812,-47.5312,60.2812,no_tremor
102,5794391,0.0681,-0.6737,-0.3190,-89.1250,-49.5625,63.2500,no_tremor
103,5794396,0.0571,-0.6726,-0.3419,-92.0625,-52.7188,66.2812,no_tremor
104,5794401,0.0430,-0.6738,-0.3600,-95.0156,-56.7031,68.4219,no_tremor
105,5794406,0.0359,-0.6766,-0.3728,-97.9844,-60.2812,70.0156,no_tremor
106,5794410,0.0312,-0.6808,-0.3800,-100.5781,-62.8906,71.9844,no_tremor
107,5794415,0.0293,-0.6860,-0.3823,-103.3906,-65.8438,78.5156,no_tremor
108,5794420,0.0299,-0.6918,-0.3801,-106.6094,-69.5938,79.0312,no_tremor
109,5794425,0.0328,-0.6975,-0.3745,-110.4844,-75.5156,81.8281,no_tremor
110,5794435,0.0432,-0.7053,-0.3535,-114.6562,-81.5000,85.5781,no_tremor
111,5794440,0.0488,-0.7054,-0.3457,-115.1250,-84.7344,87.0469,no_tremor
112,5794449,0.0549,-0.6953,-0.3373,-116.9688,-90.7969,90.2344,no_tremor
113,5794454,0.0510,-0.6857,-0.3383,-118.5781,-90.8906,90.9844,no_tremor
114,5794459,0.0422,-0.6731,-0.3433,-119.4688,-89.3906,92.1094,no_tremor
115,5794486,-0.0969,-0.5747,-0.4565,-131.7500,-71.1562,102.3594,no_tremor
116,5794491,-0.1251,-0.5608,-0.4847,-134.6406,-67.2500,104.1562,no_tremor
117,5794501,-0.1746,-0.5388,-0.5386,-142.0938,-62.2031,108.0000,no_tremor
