sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,5777999,-0.4353,-0.0812,-0.9438,-3.2344,-0.3906,0.0000,no_tremor
1,5778004,-0.4349,-0.0806,-0.9443,-2.8281,-1.1562,-0.2031,no_tremor
2,5778008,-0.4333,-0.0796,-0.9453,-2.9219,-1.5625,-0.1562,no_tremor
3,5778013,-0.4323,-0.0782,-0.9467,-2.9531,-1.1250,0.1719,no_tremor
4,5778018,-0.4315,-0.0769,-0.9485,-2.4844,0.0469,-0.2969,no_tremor
5,5778038,-0.4354,-0.0720,-0.9589,-4.4688,1.3438,0.0469,no_tremor
6,5778042,-0.4376,-0.0718,-0.9612,-3.9062,1.3125,-0.0625,no_tremor
7,5778047,-0.4397,-0.0718,-0.9639,-3.2031,1.1094,-0.7188,no_tremor
8,5778078,-0.4369,-0.0760,-0.9623,-1.9219,-0.6250,-1.7500,no_tremor
9,5778082,-0.4346,-0.0759,-0.9613,-1.5781,-0.6094,-1.7969,no_tremor
10,5778087,-0.4325,-0.0756,-0.9604,-1.9219,0.4688,-1.2969,no_tremor
11,5778097,-0.4293,-0.0745,-0.9589,-2.7344,-0.0156,-0.4844,no_tremor
12,5778106,-0.4277,-0.0734,-0.9578,-3.1719,1.5938,-0.1875,no_tremor
13,5778111,-0.4275,-0.0731,-0.9573,-3.7812,1.0312,-0.9688,no_tremor
14,5778115,-0.4274,-0.0729,-0.9570,-3.2031,1.0938,-0.7344,no_tremor
15,5778135,-0.4261,-0.0719,-0.9578,-2.9844,-0.2656,0.1875,no_tremor
16,5778160,-0.4237,-0.0676,-0.9561,-2.4688,1.2812,0.0781,no_tremor
17,5778164,-0.4242,-0.0671,-0.9546,-3.2500,2.1875,0.2656,no_tremor
18,5778169,-0.4249,-0.0668,-0.9529,-4.0312,2.4219,-0.4375,no_tremor
19,5778199,-0.4264,-0.0703,-0.9425,-4.9062,-0.6875,1.2656,no_tremor
20,5778204,-0.4240,-0.0712,-0.9417,-5.2031,-0.8438,1.5000,no_tremor
21,5778214,-0.4181,-0.0723,-0.9404,-5.3125,-0.5625,2.1875,no_tremor
22,5778219,-0.4153,-0.0726,-0.9399,-5.9688,0.1562,1.8281,no_tremor
23,5778223,-0.4132,-0.0728,-0.9391,-6.2031,0.3438,1.9375,no_tremor
24,5778228,-0.4117,-0.0728,-0.9381,-7.0781,0.9062,2.9844,no_tremor
25,5778243,-0.4122,-0.0731,-0.9323,-8.6562,0.9062,3.1094,no_tremor
26,5778248,-0.4127,-0.0737,-0.9301,-9.7188,0.2500,4.0938,no_tremor
27,5778252,-0.4128,-0.0745,-0.9279,-10.3906,-1.4062,4.4062,no_tremor
28,5778326,-0.4281,-0.0753,-0.9587,-14.2344,6.7344,7.4219,no_tremor
29,5778345,-0.4353,-0.0709,-0.9752,-15.1875,-1.0625,7.7500,no_tremor
30,5778360,-0.4175,-0.0648,-0.9818,-15.2812,-6.1250,4.5312,no_tremor
31,5778365,-0.4111,-0.0627,-0.9825,-14.2969,-6.8594,3.4375,no_tremor
32,5778370,-0.4058,-0.0605,-0.9832,-13.7969,-6.9219,3.0938,no_tremor
33,5778406,-0.4332,-0.0298,-1.0175,-9.0000,-6.8281,-3.0312,no_tremor
34,5778411,-0.4406,-0.0243,-1.0264,-7.3125,-4.3281,-4.5312,no_tremor
35,5778452,-0.5632,0.0671,-1.1753,35.2344,57.2812,-32.0938,no_tremor
36,5778456,-0.6174,0.0825,-1.2102,39.4375,63.3750,-34.1562,no_tremor
37,5778461,-0.6564,0.0977,-1.2489,44.1094,69.6250,-37.8125,no_tremor
38,5778466,-0.6952,0.1117,-1.2900,49.6875,74.3906,-41.0000,no_tremor
39,5778471,-0.7321,0.1240,-1.3322,55.2344,76.9688,-43.7031,no_tremor
40,5778481,-0.7927,0.1420,-1.4135,68.8438,78.6719,-50.0469,no_tremor
41,5778485,-0.8137,0.1471,-1.4495,74.3125,77.1094,-51.4531,no_tremor
42,5778491,-0.8267,0.1497,-1.4940,79.8438,73.3594,-52.7500,no_tremor
43,5778495,-0.8282,0.1478,-1.5159,85.7969,67.4844,-53.2656,no_tremor
44,5778500,-0.8162,0.1431,-1.5303,92.0938,59.8125,-53.0312,no_tremor
45,5778505,-0.7932,0.1354,-1.5370,99.0000,51.2969,-53.1094,no_tremor
46,5778510,-0.7595,0.1251,-1.5359,106.5000,41.7188,-53.2656,no_tremor
47,5778515,-0.7164,0.1123,-1.5278,113.6719,27.3438,-52.7969,no_tremor
48,5778519,-0.6659,0.0974,-1.5134,120.6094,18.1250,-53.5000,no_tremor
49,5778524,-0.6108,0.0811,-1.4940,127.7812,12.3906,-53.9375,no_tremor
50,5778543,-0.4164,0.0134,-1.3949,155.1406,0.6250,-59.4531,no_tremor
51,5778547,-0.3909,-0.0011,-1.3707,158.2031,2.2500,-63.1562,no_tremor
52,5778574,-0.4647,-0.0785,-1.2726,160.1094,27.4219,-73.1875,no_tremor
53,5778579,-0.4901,-0.0945,-1.2643,159.6406,29.6719,-72.7188,no_tremor
54,5778584,-0.5104,-0.1117,-1.2565,159.4688,33.2344,-71.8750,no_tremor
55,5778588,-0.5233,-0.1295,-1.2480,160.4219,39.5938,-72.4062,no_tremor
56,5778593,-0.5276,-0.1475,-1.2380,162.1250,42.1562,-73.3125,no_tremor
57,5778598,-0.5233,-0.1648,-1.2253,164.7500,43.8906,-74.3594,no_tremor
58,5778611,-0.4719,-0.2086,-1.1669,167.3906,52.7812,-80.7656,no_tremor
59,5778616,-0.4479,-0.2197,-1.1403,168.0781,56.0156,-81.0625,no_tremor
60,5778636,-0.3445,-0.2534,-0.9930,164.0469,57.5312,-81.0781,no_tremor
61,5778662,-0.2539,-0.2987,-0.8096,158.6094,44.1875,-78.1406,no_tremor
62,5778709,-0.1257,-0.4148,-0.5740,137.9844,30.7188,-67.7969,no_tremor
63,5778713,-0.1205,-0.4244,-0.5530,134.1094,31.4062,-67.2344,no_tremor
64,5778718,-0.1166,-0.4343,-0.5312,129.6562,32.8438,-66.3125,no_tremor
65,5778723,-0.1135,-0.4448,-0.5085,124.9062,34.3438,-64.9375,no_tremor
66,5778733,-0.1082,-0.4681,-0.4608,114.6250,35.2812,-62.1562,no_tremor
67,5778737,-0.1047,-0.4810,-0.4364,110.3906,35.3906,-60.1875,no_tremor
68,5778742,-0.1003,-0.4943,-0.4119,101.9375,35.6562,-58.7500,no_tremor
69,5778747,-0.0947,-0.5081,-0.3878,98.3281,33.8125,-56.5156,no_tremor
70,5778752,-0.0876,-0.5219,-0.3644,92.5938,31.5938,-54.3281,no_tremor
71,5778756,-0.0790,-0.5355,-0.3418,87.2656,30.6250,-52.8594,no_tremor
72,5778761,-0.0688,-0.5487,-0.3204,83.0781,29.4375,-50.8750,no_tremor
73,5778781,-0.0128,-0.5981,-0.2463,65.4531,21.7188,-42.2500,no_tremor
74,5778829,0.0421,-0.6554,-0.2307,13.0469,11.4688,-16.1562,no_tremor
75,5778843,0.0447,-0.6703,-0.2347,-4.0781,-1.0469,-7.3906,no_tremor
76,5778848,0.0480,-0.6752,-0.2345,-7.9219,-6.4375,-4.2031,no_tremor
77,5778853,0.0531,-0.6798,-0.2335,-12.2031,-11.8281,-1.0469,no_tremor
78,5778858,0.0599,-0.6843,-0.2306,-16.2812,-17.3750,1.6250,no_tremor
79,5778862,0.0684,-0.6885,-0.2280,-19.6562,-22.2656,4.1250,no_tremor
80,5778867,0.0776,-0.6923,-0.2256,-23.1406,-26.0000,6.9219,no_tremor
81,5778872,0.0916,-0.6970,-0.2238,-26.5781,-28.2812,9.7031,no_tremor
82,5778877,0.0995,-0.6996,-0.2230,-29.8906,-29.9844,11.7812,no_tremor
83,5778882,0.1055,-0.7014,-0.2239,-33.1719,-31.1719,13.6562,no_tremor
84,5778887,0.1086,-0.7024,-0.2272,-37.2812,-30.8594,17.2344,no_tremor
85,5778892,0.1086,-0.7023,-0.2335,-40.0000,-28.7812,19.3906,no_tremor
86,5778896,0.1051,-0.7010,-0.2433,-42.6562,-26.1875,21.4219,no_tremor
87,5778901,0.0984,-0.6985,-0.2567,-45.3438,-24.4219,23.2500,no_tremor
88,5778906,0.0886,-0.6948,-0.2837,-48.2344,-22.7812,24.6406,no_tremor
89,5778915,0.0627,-0.6852,-0.3175,-53.2188,-18.7656,29.8125,no_tremor
90,5778952,-0.0222,-0.6682,-0.5265,-66.4219,-31.6406,43.4531,no_tremor
91,5778957,-0.0222,-0.6711,-0.5414,-67.9375,-35.2812,45.2344,no_tremor
92,5778962,-0.0201,-0.6748,-0.5525,-69.7500,-38.3438,47.1406,no_tremor
93,5778966,-0.0161,-0.6787,-0.5593,-71.4375,-41.8750,49.3125,no_tremor
94,5778971,-0.0105,-0.6826,-0.5619,-72.8906,-45.8906,51.5938,no_tremor
95,5778976,-0.0035,-0.6864,-0.5598,-74.1250,-49.3906,53.3281,no_tremor
96,5778980,0.0046,-0.6897,-0.5536,-76.0625,-51.5625,54.3125,no_tremor
97,5778985,0.0135,-0.6923,-0.5436,-78.2500,-54.4375,55.7812,no_tremor
98,5779011,0.0538,-0.6813,-0.4695,-84.3906,-71.9219,63.1875,no_tremor
99,5779015,0.0538,-0.6735,-0.4635,-84.5469,-74.1250,63.1094,no_tremor
100,5779030,0.0145,-0.6333,-0.4884,-86.9375,-73.3125,67.3594,no_tremor
101,5779035,-0.0084,-0.6194,-0.5072,-88.6250,-68.0781,68.9844,no_tremor
102,5779040,-0.0353,-0.6052,-0.5291,-91.7031,-62.2656,69.8750,no_tremor
103,5779044,-0.0648,-0.5917,-0.5524,-95.1875,-58.2031,70.4375,no_tremor
104,5779049,-0.0957,-0.5792,-0.5757,-99.1562,-54.7812,72.2188,no_tremor
105,5779076,-0.2214,-0.5421,-0.6514,-118.6719,-40.7188,81.6875,no_tremor
106,5779081,-0.2253,-0.5388,-0.6520,-120.0000,-42.8125,81.8438,no_tremor
107,5779110,-0.2133,-0.4745,-0.6859,-116.3438,-41.4844,84.0625,no_tremor
108,5779115,-0.2172,-0.4550,-0.6642,-116.0781,-36.1250,84.4531,no_tremor
109,5779119,-0.2247,-0.4342,-0.6683,-116.5781,-29.7656,84.3438,no_tremor
110,5779124,-0.2362,-0.4130,-0.6835,-117.3906,-23.8906,84.4062,no_tremor
111,5779204,-0.4402,-0.2029,-0.9072,-111.9844,-19.6719,74.1250,no_tremor
112,5779209,-0.4431,-0.1898,-0.9221,-98.7344,-11.8281,67.7500,no_tremor
113,5779213,-0.4519,-0.1768,-0.9397,-96.2656,-6.0781,63.2812,no_tremor
114,5779218,-0.4673,-0.1635,-0.9603,-99.5469,-0.0781,62.1094,no_tremor
115,5779222,-0.4894,-0.1499,-0.9836,-101.1719,7.4844,62.7812,no_tremor
116,5779253,-0.6837,-0.0931,-1.1453,-105.9062,40.2500,42.7656,no_tremor
117,5779268,-0.6792,-0.0920,-1.1786,-93.2656,24.6719,38.8906,no_tremor
118,5779283,-0.5796,-0.0708,-1.2185,-73.2188,5.7656,35.3906,no_tremor
119,5779288,-0.5474,-0.0579,-1.2330,-67.2812,3.1562,34.2812,no_tremor
120,5779293,-0.5179,-0.0424,-1.2479,-61.5938,2.7656,33.0312,no_tremor
121,5779298,-0.4933,-0.0254,-1.2623,-52.5000,0.9844,29.5156,no_tremor
122,5779324,-0.4865,0.0465,-1.3101,-33.6250,-4.8594,21.1250,no_tremor
123,5779334,-0.5214,0.0474,-1.3143,-24.9531,-8.2188,20.0156,no_tremor
124,5779343,-0.5535,0.0416,-1.3199,-17.4219,-12.4219,17.3906,no_tremor
125,5779348,-0.5647,0.0378,-1.3236,-12.3594,-15.8906,16.3438,no_tremor
126,5779357,-0.5737,0.0311,-1.3311,-4.4219,-20.7188,15.4688,no_tremor
127,5779372,-0.5588,0.0228,-1.3314,6.0469,-21.5469,8.7188,no_tremor
128,5779377,-0.5500,0.0195,-1.3259,7.9688,-20.6719,7.5000,no_tremor
129,5779381,-0.5414,0.0153,-1.3171,9.5312,-19.1250,6.3438,no_tremor
130,5779386,-0.5337,0.0099,-1.3048,10.9219,-16.9688,5.0625,no_tremor
131,5779401,-0.5188,-0.0182,-1.2394,13.7656,-9.6250,2.2656,no_tremor
132,5779410,-0.5164,-0.0382,-1.1938,14.4531,-6.9844,0.3594,no_tremor
133,5779447,-0.4707,-0.0895,-1.0505,16.8750,-2.9688,-1.4531,no_tremor
134,5779456,-0.4506,-0.0930,-1.0295,17.0469,-1.7500,-2.7812,no_tremor
135,5779466,-0.4333,-0.0950,-1.0122,15.0938,0.7656,-2.7344,no_tremor
136,5779470,-0.4268,-0.0956,-1.0044,15.0156,1.0469,-3.4062,no_tremor
137,5779485,-0.4161,-0.0968,-0.9786,13.6875,3.1562,-4.4844,no_tremor
138,5779495,-0.4171,-0.0964,-0.9646,12.3906,3.6875,-5.4375,no_tremor
139,5779499,-0.4187,-0.0959,-0.9580,12.6406,3.8906,-5.5000,no_tremor
140,5779508,-0.4218,-0.0944,-0.9454,10.5312,3.5938,-5.2031,no_tremor
141,5779518,-0.4237,-0.0923,-0.9344,10.2969,3.4062,-5.0000,no_tremor
142,5779523,-0.4240,-0.0913,-0.9294,8.8281,4.1406,-4.7656,no_tremor
143,5779527,-0.4237,-0.0903,-0.9248,7.8594,4.8750,-4.4531,no_tremor
144,5779532,-0.4232,-0.0894,-0.9203,7.8750,4.7500,-4.8594,no_tremor
145,5779541,-0.4219,-0.0880,-0.9122,7.0938,4.4844,-5.7656,no_tremor
146,5779576,-0.4233,-0.0883,-0.8918,3.3125,5.7812,-4.4062,no_tremor
147,5779581,-0.4244,-0.0883,-0.8912,3.2344,5.2344,-4.7656,no_tremor
