sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,6049585,-0.5541,-0.2426,-0.8612,-2.4375,4.5625,-0.4844,tremor
1,6049595,-0.5585,-0.2402,-0.8661,-1.0625,13.2812,-3.4375,tremor
2,6049604,-0.5730,-0.2363,-0.8733,0.2031,29.7500,-9.3281,tremor
3,6049609,-0.5836,-0.2344,-0.8783,0.1250,41.4219,-11.5312,tremor
4,6049619,-0.6156,-0.2306,-0.8914,0.3750,68.7500,-18.5469,tremor
5,6049624,-0.6372,-0.2291,-0.8997,-0.5312,83.7969,-27.0469,tremor
6,6049628,-0.6622,-0.2283,-0.9092,-1.6875,106.9375,-28.6875,tremor
7,6049633,-0.6899,-0.2285,-0.9197,-3.4219,116.0156,-31.4375,tremor
8,6049643,-0.7482,-0.2333,-0.9458,-12.1562,127.8125,-37.7969,tremor
9,6049675,-0.7700,-0.3008,-0.9539,-35.3438,63.1250,-36.3906,tremor
10,6049685,-0.6337,-0.3120,-0.9240,-39.9531,32.4688,-27.1719,tremor
11,6049690,-0.5551,-0.3124,-0.9016,-41.2031,11.0469,-19.4531,tremor
12,6049695,-0.4656,-0.3083,-0.8740,-40.7656,-12.5312,-10.4844,tremor
13,6049705,-0.2687,-0.2858,-0.8036,-33.3281,-76.5625,2.5312,tremor
14,6049710,-0.1082,-0.2571,-0.7437,-26.3750,-109.6094,5.1719,tremor
15,6049729,0.1119,-0.1562,-0.6359,16.2812,-231.6406,11.8906,tremor
16,6049739,0.0984,-0.1130,-0.6532,40.7812,-275.9844,13.0469,tremor
17,6049744,0.0563,-0.0986,-0.7029,48.3438,-280.7031,12.7656,tremor
18,6049754,-0.1326,-0.0931,-0.8051,54.9062,-267.1719,11.5312,tremor
19,6049796,-1.1067,-0.3458,-1.1190,10.3594,136.8906,-54.0312,tremor
20,6049806,-1.2803,-0.3927,-1.0875,-10.9062,202.8594,-66.2188,tremor
21,6049835,-1.1478,-0.4183,-0.8954,-50.5625,162.8906,-43.2969,tremor
22,6049874,0.0797,-0.2274,-0.7588,51.6250,-231.9062,-13.0000,tremor
23,6049879,0.1326,-0.2000,-0.7963,68.1875,-287.3125,-8.0000,tremor
24,6049883,0.1541,-0.1763,-0.8440,89.8125,-315.6719,-5.8906,tremor
25,6049888,0.1455,-0.1582,-0.8976,101.3125,-335.9062,-5.5625,tremor
26,6049893,0.1093,-0.1470,-0.9525,107.9688,-347.2344,-6.7031,tremor
27,6049950,-1.0272,-0.4508,-0.5769,72.3750,-431.4688,-46.0312,tremor
28,6049955,-1.0441,-0.4696,-0.4570,73.8594,-444.1250,-48.7344,tremor
29,6049979,-0.9141,-0.4674,-0.1887,79.4844,-237.1562,-74.9375,tremor
30,6049989,-0.9232,-0.4351,-0.2076,81.9844,44.8438,-87.6406,tremor
31,6050004,-1.1886,-0.3668,-0.4049,-7.2812,352.1719,-108.0312,tremor
32,6050013,-1.6310,-0.3499,-0.5153,-55.6562,444.5938,-152.5625,tremor
33,6050018,-1.8182,-0.3511,-0.5420,-67.7031,467.0625,-161.5000,tremor
34,6050046,-1.9082,-0.3773,-0.1775,-64.4844,390.2188,-114.8125,tremor
35,6050055,-1.4556,-0.3699,0.0070,-48.0312,358.3125,-108.9688,tremor
36,6050065,-0.9198,-0.3673,0.1133,-27.7031,284.9844,-114.9688,tremor
37,6050070,-0.6667,-0.3700,0.1248,-20.7344,240.3438,-113.6250,tremor
38,6050075,-0.4435,-0.3746,0.0864,-14.1094,188.3594,-108.7500,tremor
