sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,5896403,-0.2220,0.0770,-1.0654,7.6094,9.0156,0.8125,tremor
1,5896408,-0.2253,0.0756,-1.0635,7.7812,8.7812,0.3750,tremor
2,5896413,-0.2286,0.0741,-1.0614,7.7188,8.0000,0.1406,tremor
3,5896423,-0.2324,0.0712,-1.0568,7.2969,5.6094,0.5781,tremor
4,5896428,-0.2324,0.0691,-1.0552,6.7031,4.5000,0.7188,tremor
5,5896432,-0.2295,0.0677,-1.0537,6.8281,3.5625,1.3594,tremor
6,5896442,-0.2205,0.0654,-1.0507,7.3594,-0.4688,1.3906,tremor
7,5896447,-0.2146,0.0646,-1.0490,7.3125,-1.9219,0.5469,tremor
8,5896452,-0.2084,0.0640,-1.0469,7.2188,-4.0469,0.1094,tremor
9,5896476,-0.1824,0.0663,-1.0353,3.1406,-37.2812,0.0781,tremor
10,5896481,-0.1788,0.0673,-1.0342,3.1562,-49.8281,1.1719,tremor
11,5896486,-0.1744,0.0686,-1.0339,3.2969,-63.2188,2.4375,tremor
12,5896491,-0.1682,0.0702,-1.0347,3.9844,-77.4844,3.3594,tremor
13,5896510,-0.1208,0.0829,-1.0472,17.2500,-135.3438,2.9062,tremor
14,5896515,-0.1062,0.0878,-1.0540,21.5938,-141.7344,2.3906,tremor
15,5896520,-0.0874,0.0958,-1.0586,26.4531,-143.1406,1.7812,tremor
16,5896530,-0.0782,0.1064,-1.0677,35.7500,-130.4375,0.2969,tremor
17,5896534,-0.0851,0.1110,-1.0724,38.9062,-104.8125,0.8750,tremor
18,5896544,-0.1316,0.1162,-1.0811,44.8906,-57.0000,-2.0781,tremor
19,5896549,-0.1749,0.1161,-1.0847,44.9531,-20.5781,-4.1406,tremor
20,5896554,-0.2338,0.1136,-1.0884,42.8438,24.4375,-6.5625,tremor
21,5896559,-0.3514,0.1051,-1.0883,37.1406,78.6250,-9.5000,tremor
22,5896564,-0.4478,0.0958,-1.0847,28.3906,139.9219,-15.1406,tremor
23,5896568,-0.5549,0.0834,-1.0769,17.0312,202.0469,-24.6406,tremor
24,5896573,-0.6680,0.0676,-1.0640,1.7500,256.1406,-35.3281,tremor
25,5896600,-0.9962,-0.0533,-0.9305,-67.7812,281.5781,-24.1250,tremor
26,5896605,-0.9174,-0.0615,-0.9178,-63.3750,244.4219,-13.7031,tremor
27,5896614,-0.6318,-0.0514,-0.9236,-40.8281,154.9688,5.1094,tremor
28,5896619,-0.4409,-0.0321,-0.9454,-22.3906,106.8906,15.9219,tremor
29,5896634,0.1770,0.0717,-1.0824,58.4531,-35.5156,27.4375,tremor
30,5896649,0.6313,0.2155,-1.2885,98.3750,-96.1406,24.4844,tremor
31,5896658,0.6615,0.2623,-1.3699,101.9062,-122.2031,21.5000,tremor
32,5896668,0.5499,0.2620,-1.4034,94.6562,-146.8125,23.4219,tremor
33,5896688,0.1105,0.1195,-1.3221,85.7344,-175.0938,24.5312,tremor
34,5896693,0.0287,0.0795,-1.2872,86.1875,-181.6250,20.1719,tremor
35,5896725,-0.1442,-0.0431,-1.0707,94.0000,-220.0156,6.8594,tremor
36,5896730,-0.1484,-0.0392,-1.0527,94.9219,-221.3906,-3.0469,tremor
37,5896734,-0.1609,-0.0339,-1.0380,94.7969,-213.5469,-9.2031,tremor
38,5896739,-0.1844,-0.0291,-1.0258,93.2188,-202.4219,-14.6562,tremor
39,5896744,-0.2206,-0.0262,-1.0153,91.5312,-186.8281,-19.5156,tremor
40,5896749,-0.2694,-0.0267,-1.0060,88.8125,-164.4844,-24.9531,tremor
41,5896754,-0.3298,-0.0316,-0.9938,85.7969,-134.1094,-31.1719,tremor
42,5896758,-0.4624,-0.0475,-0.9867,83.6875,-95.9844,-37.6719,tremor
43,5896763,-0.5181,-0.0636,-0.9806,80.7969,-51.6562,-42.6562,tremor
44,5896768,-0.6027,-0.0831,-0.9758,77.5156,-0.1875,-46.7188,tremor
45,5896773,-0.6902,-0.1052,-0.9728,74.4219,60.7500,-51.5156,tremor
46,5896778,-0.7798,-0.1284,-0.9714,68.5156,160.2656,-56.8438,tremor
47,5896783,-0.8711,-0.1515,-0.9711,54.2344,234.1094,-60.8750,tremor
48,5896793,-1.0555,-0.1937,-0.9657,27.6250,363.1562,-79.1719,tremor
49,5896797,-1.1451,-0.2201,-0.9580,8.6094,410.2969,-89.9531,tremor
50,5896802,-1.2590,-0.2349,-0.9452,-9.4219,443.3125,-98.1250,tremor
