sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,6256421,-0.2618,-0.5839,-0.8071,-0.7969,1.0625,-1.7344,no_tremor
1,6256426,-0.2627,-0.5836,-0.8074,-0.5781,-0.1875,-1.8594,no_tremor
2,6256435,-0.2654,-0.5839,-0.8076,-1.1406,1.4844,-1.5625,no_tremor
3,6256450,-0.2694,-0.5861,-0.8075,0.5469,-0.4219,-1.1719,no_tremor
4,6256455,-0.2698,-0.5870,-0.8075,0.2656,-0.0938,-1.5312,no_tremor
5,6256459,-0.2698,-0.5879,-0.8076,-0.2188,0.5469,-2.3281,no_tremor
6,6256464,-0.2695,-0.5886,-0.8076,0.0000,0.7969,-1.9688,no_tremor
7,6256469,-0.2690,-0.5892,-0.8077,-0.2969,1.4062,-1.5000,no_tremor
8,6256474,-0.2684,-0.5896,-0.8079,-0.3125,1.9219,-1.7188,no_tremor
9,6256479,-0.2677,-0.5896,-0.8081,-0.1719,2.0156,-1.7344,no_tremor
10,6256489,-0.2655,-0.5891,-0.8081,0.0000,1.1719,-1.7031,no_tremor
11,6256503,-0.2611,-0.5878,-0.8066,-0.5625,0.3906,-1.3906,no_tremor
12,6256508,-0.2593,-0.5872,-0.8058,0.2656,-0.6250,-0.8594,no_tremor
13,6256534,-0.2524,-0.5819,-0.8022,0.6875,0.8281,-0.1875,no_tremor
14,6256549,-0.2545,-0.5803,-0.8029,0.0000,1.3125,0.3750,no_tremor
15,6256553,-0.2555,-0.5802,-0.8029,-0.1406,1.7812,0.5156,no_tremor
16,6256558,-0.2566,-0.5803,-0.8026,-0.2344,1.7344,0.5312,no_tremor
17,6256563,-0.2576,-0.5804,-0.8022,-0.2812,1.1875,0.4531,no_tremor
18,6256568,-0.2585,-0.5806,-0.8015,-0.2812,1.0781,0.3125,no_tremor
19,6256578,-0.2600,-0.5804,-0.7996,-0.6094,0.4688,0.3125,no_tremor
20,6256583,-0.2604,-0.5802,-0.7974,-0.9844,0.7188,0.3906,no_tremor
21,6256587,-0.2605,-0.5800,-0.7955,-1.0625,0.9688,0.6875,no_tremor
22,6256597,-0.2598,-0.5795,-0.7910,-1.4219,0.1250,0.8750,no_tremor
23,6256602,-0.2590,-0.5792,-0.7883,-1.7969,-0.4062,0.6719,no_tremor
24,6256607,-0.2583,-0.5787,-0.7856,-1.5000,-0.9375,1.7188,no_tremor
25,6256612,-0.2574,-0.5781,-0.7828,-1.7188,-0.6250,2.0156,no_tremor
26,6256616,-0.2566,-0.5775,-0.7800,-2.2500,-0.4844,1.8281,no_tremor
27,6256621,-0.2559,-0.5768,-0.7775,-2.3906,-0.6094,1.8281,no_tremor
28,6256631,-0.2549,-0.5746,-0.7719,-3.4375,-0.6875,3.4531,no_tremor
29,6256656,-0.2532,-0.5706,-0.7606,-5.8594,0.8594,5.1094,no_tremor
30,6256661,-0.2515,-0.5697,-0.7579,-6.2188,-0.2656,6.4219,no_tremor
31,6256666,-0.2498,-0.5686,-0.7551,-7.2969,-0.7031,7.5781,no_tremor
32,6256671,-0.2474,-0.5674,-0.7520,-8.2656,-0.6562,7.2812,no_tremor
33,6256675,-0.2446,-0.5658,-0.7485,-8.7188,-0.6406,7.9062,no_tremor
34,6256680,-0.2413,-0.5641,-0.7449,-8.8906,-0.4531,8.5938,no_tremor
35,6256685,-0.2375,-0.5620,-0.7410,-9.7188,-0.5156,9.7031,no_tremor
36,6256690,-0.2334,-0.5599,-0.7366,-10.9688,-0.5625,10.9531,no_tremor
37,6256695,-0.2290,-0.5577,-0.7290,-12.7656,0.3281,11.9844,no_tremor
38,6256700,-0.2222,-0.5543,-0.7231,-14.4531,1.6250,13.3906,no_tremor
39,6256709,-0.2126,-0.5502,-0.7089,-17.6094,2.2500,15.8750,no_tremor
40,6256714,-0.2074,-0.5483,-0.7006,-19.9688,2.5938,17.7656,no_tremor
41,6256719,-0.2014,-0.5468,-0.6913,-22.6875,3.1406,21.8750,no_tremor
42,6256733,-0.1769,-0.5422,-0.6589,-31.1719,0.9375,28.8125,no_tremor
43,6256738,-0.1655,-0.5406,-0.6467,-33.2656,-0.4688,31.9375,no_tremor
