sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,6297809,-0.2162,-0.5786,-0.8029,-1.3125,1.3281,-0.1719,no_tremor
1,6297814,-0.2158,-0.5793,-0.8019,-0.8438,1.0781,0.0781,no_tremor
2,6297819,-0.2152,-0.5800,-0.8009,-1.0781,0.9062,0.3906,no_tremor
3,6297823,-0.2146,-0.5803,-0.8000,-1.6406,-0.0469,1.4062,no_tremor
4,6297854,-0.2115,-0.5784,-0.8010,-1.4062,2.1250,1.7344,no_tremor
5,6297859,-0.2124,-0.5784,-0.8022,-2.0781,2.9531,2.0312,no_tremor
6,6297873,-0.2179,-0.5796,-0.8066,-2.6094,2.2031,2.8281,no_tremor
7,6297897,-0.2209,-0.5830,-0.8105,-1.7188,-0.2031,3.2031,no_tremor
8,6297902,-0.2205,-0.5835,-0.8108,-1.1719,-0.0938,3.1719,no_tremor
9,6297908,-0.2198,-0.5840,-0.8108,-0.2344,-0.2500,4.0156,no_tremor
10,6297917,-0.2202,-0.5842,-0.8107,-0.7500,1.1250,2.2344,no_tremor
11,6297926,-0.2228,-0.5844,-0.8110,0.2031,1.5000,1.9844,no_tremor
12,6297936,-0.2275,-0.5852,-0.8124,-0.0781,3.1094,1.9688,no_tremor
13,6297941,-0.2303,-0.5861,-0.8131,0.0469,3.6562,1.0469,no_tremor
14,6297946,-0.2332,-0.5873,-0.8138,0.7344,3.0469,0.1719,no_tremor
15,6297971,-0.2429,-0.5989,-0.8147,1.9531,2.5312,-0.5781,no_tremor
16,6297976,-0.2427,-0.6011,-0.8143,1.8750,1.6094,-0.0625,no_tremor
17,6297981,-0.2417,-0.6030,-0.8136,2.0469,0.3125,1.0000,no_tremor
18,6297985,-0.2402,-0.6056,-0.8129,2.5469,-0.2031,1.2344,no_tremor
19,6298000,-0.2334,-0.6091,-0.8107,2.2656,1.3438,-0.3906,no_tremor
20,6298010,-0.2311,-0.6105,-0.8092,3.4688,2.2969,-1.2812,no_tremor
21,6298015,-0.2307,-0.6110,-0.8087,3.0312,2.3594,-2.1875,no_tremor
22,6298020,-0.2308,-0.6113,-0.8082,2.1875,2.1094,-2.1875,no_tremor
23,6298024,-0.2314,-0.6117,-0.8079,1.7500,2.0156,-2.0469,no_tremor
24,6298029,-0.2327,-0.6122,-0.8077,2.1094,1.9375,-2.4688,no_tremor
25,6298034,-0.2332,-0.6125,-0.8077,2.9531,1.3438,-2.8438,no_tremor
26,6298039,-0.2334,-0.6129,-0.8077,3.3125,0.6406,-2.7344,no_tremor
27,6298044,-0.2333,-0.6132,-0.8079,3.2031,0.3438,-2.0156,no_tremor
28,6298049,-0.2327,-0.6133,-0.8080,2.9219,0.3594,-1.8438,no_tremor
29,6298053,-0.2317,-0.6134,-0.8081,2.7812,0.1250,-2.7188,no_tremor
30,6298059,-0.2305,-0.6133,-0.8082,3.2031,-0.5625,-3.0938,no_tremor
31,6298068,-0.2279,-0.6125,-0.8086,3.6875,-0.0938,-3.6875,no_tremor
32,6298103,-0.2247,-0.6090,-0.8086,3.3594,-0.0469,-4.2500,no_tremor
33,6298108,-0.2246,-0.6085,-0.8085,4.4531,-0.0781,-4.2344,no_tremor
34,6298113,-0.2244,-0.6080,-0.8083,4.7344,0.2812,-3.9531,no_tremor
35,6298117,-0.2241,-0.6074,-0.8083,4.3125,0.4531,-4.8594,no_tremor
36,6298122,-0.2238,-0.6067,-0.8082,3.8906,0.4688,-5.0781,no_tremor
37,6298137,-0.2223,-0.6046,-0.8082,4.0156,1.4062,-5.3594,no_tremor
38,6298157,-0.2168,-0.6021,-0.8082,3.9375,-0.6562,-5.1250,no_tremor
39,6298161,-0.2150,-0.6017,-0.8083,3.4375,-0.3125,-4.7500,no_tremor
40,6298166,-0.2131,-0.6013,-0.8083,3.8125,-1.0469,-4.5781,no_tremor
41,6298171,-0.2112,-0.6010,-0.8083,4.6094,-2.0000,-4.2656,no_tremor
42,6298176,-0.2096,-0.6006,-0.8083,4.9062,-2.4531,-3.7812,no_tremor
43,6298185,-0.2075,-0.5999,-0.8083,3.6406,-0.2500,-3.9688,no_tremor
44,6298190,-0.2078,-0.5996,-0.8082,3.6094,1.1406,-5.0938,no_tremor
45,6298215,-0.2174,-0.6006,-0.8058,1.5469,2.1406,-4.5938,no_tremor
46,6298225,-0.2214,-0.6012,-0.8027,2.4844,1.4062,-3.9531,no_tremor
47,6298239,-0.2196,-0.6010,-0.7987,2.9844,-1.4219,-4.3125,no_tremor
48,6298244,-0.2173,-0.6007,-0.7976,2.9375,-1.9531,-4.6094,no_tremor
49,6298249,-0.2146,-0.6003,-0.7969,2.6094,-2.1250,-3.8438,no_tremor
50,6298259,-0.2087,-0.5991,-0.7958,1.8281,-2.2969,-2.8594,no_tremor
51,6298264,-0.2053,-0.5986,-0.7953,1.9688,-1.6562,-3.1875,no_tremor
52,6298268,-0.2040,-0.5981,-0.7947,1.7656,-1.4375,-3.2812,no_tremor
53,6298283,-0.2045,-0.5975,-0.7903,0.4062,0.4219,-2.3281,no_tremor
54,6298288,-0.2058,-0.5974,-0.7880,-0.4531,0.6562,-1.8906,no_tremor
55,6298293,-0.2073,-0.5973,-0.7852,-1.1406,0.4688,-1.2812,no_tremor
56,6298298,-0.2092,-0.5967,-0.7804,-0.5938,0.2812,-1.2031,no_tremor
57,6298303,-0.2098,-0.5959,-0.7770,-0.4375,-0.3125,-1.2969,no_tremor
58,6298313,-0.2089,-0.5935,-0.7699,-2.3281,-2.1875,0.7812,no_tremor
59,6298338,-0.1943,-0.5822,-0.7517,-4.8906,-2.0312,4.7344,no_tremor
60,6298348,-0.1898,-0.5774,-0.7449,-7.0312,-2.0312,5.6562,no_tremor
61,6298358,-0.1870,-0.5723,-0.7355,-8.6875,-2.4375,7.4688,no_tremor
62,6298367,-0.1858,-0.5690,-0.7278,-10.4062,-2.8750,8.9844,no_tremor
63,6298382,-0.1820,-0.5649,-0.7156,-15.0156,-7.2188,13.5781,no_tremor
64,6298387,-0.1796,-0.5634,-0.7087,-15.5469,-7.7812,15.3906,no_tremor
65,6298392,-0.1764,-0.5605,-0.7036,-15.9531,-9.8125,15.8438,no_tremor
66,6298397,-0.1702,-0.5583,-0.6978,-17.5938,-12.0781,16.7188,no_tremor
67,6298402,-0.1652,-0.5558,-0.6912,-19.5625,-13.2031,18.3594,no_tremor
68,6298407,-0.1595,-0.5531,-0.6836,-20.6094,-14.1562,19.7344,no_tremor
69,6298412,-0.1538,-0.5504,-0.6749,-22.0312,-14.6250,21.2812,no_tremor
70,6298426,-0.1371,-0.5424,-0.6382,-27.1719,-15.0938,26.5938,no_tremor
71,6298431,-0.1329,-0.5387,-0.6273,-28.7656,-15.4688,27.8750,no_tremor
72,6298436,-0.1295,-0.5363,-0.6174,-30.6562,-16.3594,28.5781,no_tremor
73,6298463,-0.1567,-0.5145,-0.6027,-42.2812,-19.1719,35.4219,no_tremor
74,6298468,-0.1671,-0.5052,-0.6067,-44.7500,-20.1094,36.8906,no_tremor
75,6298473,-0.1833,-0.4984,-0.6107,-47.2812,-20.7031,38.1094,no_tremor
76,6298477,-0.1937,-0.4915,-0.6143,-50.5625,-20.2031,39.1875,no_tremor
77,6298492,-0.2169,-0.4705,-0.6136,-58.8906,-23.3125,47.7500,no_tremor
78,6298502,-0.2224,-0.4568,-0.6012,-64.9062,-27.5312,48.8438,no_tremor
79,6298512,-0.2189,-0.4406,-0.5760,-67.4531,-34.6250,51.9062,no_tremor
80,6298521,-0.2141,-0.4282,-0.5574,-69.5469,-42.7344,54.9062,no_tremor
81,6298527,-0.2139,-0.4224,-0.5515,-69.9688,-45.0312,56.6250,no_tremor
82,6298531,-0.2161,-0.4161,-0.5492,-69.8594,-44.6562,58.8750,no_tremor
83,6298536,-0.2213,-0.4095,-0.5510,-70.0938,-42.3438,60.9688,no_tremor
84,6298542,-0.2343,-0.3983,-0.5616,-72.1094,-39.1562,62.3906,no_tremor
85,6298551,-0.2574,-0.3809,-0.5883,-75.8281,-32.6250,65.2812,no_tremor
86,6298556,-0.2688,-0.3715,-0.6047,-77.3125,-29.7188,68.6094,no_tremor
87,6298593,-0.2397,-0.3242,-0.6769,-97.3281,-22.5000,87.1875,no_tremor
88,6298603,-0.2067,-0.3242,-0.6591,-101.6250,-21.5625,90.1719,no_tremor
89,6298608,-0.1849,-0.3253,-0.6500,-103.7031,-20.3438,91.9375,no_tremor
90,6298618,-0.1660,-0.3246,-0.6339,-109.1406,-13.3438,95.4219,no_tremor
91,6298623,-0.1622,-0.3221,-0.6284,-111.8125,-9.5938,97.0312,no_tremor
92,6298627,-0.1626,-0.3176,-0.6252,-114.7969,-5.2500,98.7188,no_tremor
93,6298632,-0.1666,-0.3110,-0.6248,-119.6406,-1.7344,99.7656,no_tremor
94,6298637,-0.1741,-0.3022,-0.6268,-122.9531,1.7500,100.7344,no_tremor
95,6298642,-0.1838,-0.2914,-0.6313,-126.6875,4.6562,102.8906,no_tremor
