sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,6529483,-0.1520,-0.4427,-0.9352,-1.1406,-9.2656,-5.9062,tremor
1,6529488,-0.1494,-0.4432,-0.9402,-1.6562,-11.1094,-5.5469,tremor
2,6529493,-0.1459,-0.4438,-0.9449,-1.7344,-13.6719,-5.5469,tremor
3,6529498,-0.1411,-0.4445,-0.9490,-2.1719,-18.4688,-5.4375,tremor
4,6529512,-0.1218,-0.4454,-0.9529,-3.4219,-39.4219,-4.3594,tremor
5,6529517,-0.1097,-0.4446,-0.9510,-3.5000,-46.7344,-4.3125,tremor
6,6529548,-0.0371,-0.4224,-0.9294,-0.7656,-138.8438,3.3125,tremor
7,6529557,-0.0039,-0.4104,-0.9275,1.7031,-183.3906,6.8594,tremor
8,6529562,0.0135,-0.4042,-0.9271,3.5312,-200.0000,7.6719,tremor
9,6529577,0.0505,-0.3865,-0.9148,6.2031,-230.6719,6.5312,tremor
10,6529591,0.0112,-0.3848,-0.8694,3.7031,-204.0156,-0.2031,tremor
11,6529596,-0.0249,-0.3885,-0.8453,2.1562,-173.4062,-2.1875,tremor
12,6529601,-0.0751,-0.3950,-0.8177,0.0625,-130.7188,-4.2969,tremor
13,6529606,-0.1412,-0.4041,-0.7878,-1.9375,-75.2500,-6.4688,tremor
14,6529611,-0.2253,-0.4153,-0.7577,-5.6094,32.5781,-4.8281,tremor
15,6529630,-0.8279,-0.4729,-0.6598,-47.2031,268.8906,-26.2188,tremor
16,6529635,-0.9894,-0.4805,-0.6497,-58.9531,310.7031,-36.6406,tremor
17,6529640,-1.1414,-0.4839,-0.6431,-69.5781,350.8750,-42.5312,tremor
18,6529672,-0.9703,-0.3760,-0.6025,-102.6094,254.4688,-6.3125,tremor
19,6529677,-0.7175,-0.3497,-0.5953,-95.8594,185.7812,4.9844,tremor
20,6529682,-0.4257,-0.3235,-0.5939,-85.8125,114.0312,14.3750,tremor
21,6529692,0.2119,-0.2601,-0.6321,-59.9844,-31.1562,29.9844,tremor
22,6529706,1.1400,-0.1864,-0.7633,-8.8750,-236.2188,38.2188,tremor
23,6529711,1.2913,-0.1619,-0.8195,8.0000,-292.5938,37.7812,tremor
24,6529716,1.3778,-0.1377,-0.8759,32.6094,-362.9062,34.2812,tremor
25,6529721,1.3987,-0.1150,-0.9279,46.5312,-397.8438,31.8281,tremor
26,6529726,1.3574,-0.0636,-0.9894,57.7344,-421.4219,29.4531,tremor
27,6529740,0.8392,-0.0652,-1.0170,67.1562,-396.5156,29.3125,tremor
28,6529745,0.6245,-0.0746,-0.9918,63.2500,-349.3438,34.2031,tremor
29,6529760,-0.0869,-0.1658,-0.7944,23.7969,-50.7188,41.6562,tremor
30,6529787,-1.5442,-0.4536,-0.5249,-88.6094,290.1094,-18.4688,tremor
31,6529802,-1.7451,-0.4404,-0.5527,-118.2188,269.1562,0.5312,tremor
32,6529812,-1.4022,-0.3766,-0.5953,-123.2656,193.2188,31.1875,tremor
33,6529816,-1.1174,-0.3413,-0.6187,-119.6094,134.2031,44.0469,tremor
34,6529821,-0.7799,-0.3075,-0.6433,-111.9062,28.8594,52.2812,tremor
35,6529826,-0.4131,-0.2766,-0.6698,-93.7500,-35.2500,51.8594,tremor
36,6529831,-0.0430,-0.2489,-0.6981,-76.7344,-97.8906,48.6719,tremor
37,6529845,0.8463,-0.1644,-0.8086,-9.3594,-249.2031,32.3750,tremor
