sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,6449245,-0.5122,-0.2612,-0.7865,-3.4531,-18.5156,5.1562,tremor
1,6449260,-0.5060,-0.2654,-0.7920,-3.6094,-35.4531,4.0312,tremor
2,6449265,-0.5088,-0.2695,-0.7926,-2.5625,-41.9219,3.7812,tremor
3,6449290,-0.5247,-0.2911,-0.8058,5.7812,-72.2656,6.7812,tremor
4,6449305,-0.5135,-0.2869,-0.8191,9.6875,-83.2031,6.6094,tremor
5,6449314,-0.5084,-0.2826,-0.8240,11.9062,-77.0781,7.8281,tremor
6,6449319,-0.5092,-0.2815,-0.8247,12.8750,-69.5938,7.6875,tremor
7,6449324,-0.5131,-0.2815,-0.8240,14.2969,-55.5156,6.4062,tremor
8,6449344,-0.6036,-0.2931,-0.8085,13.4531,42.0938,0.2969,tremor
9,6449349,-0.6459,-0.2970,-0.8043,10.5312,74.0625,-3.5156,tremor
10,6449358,-0.7540,-0.3049,-0.7986,-3.4531,151.7500,-9.3125,tremor
11,6449424,-0.4442,-0.3096,-0.6904,-27.0312,60.5000,-5.9531,tremor
12,6449429,-0.3634,-0.2950,-0.6869,-24.5938,38.3594,-5.0312,tremor
13,6449433,-0.2960,-0.2775,-0.6899,-21.8281,15.0156,-3.4531,tremor
14,6449438,-0.2435,-0.2574,-0.7006,-18.1406,-8.2344,-1.1406,tremor
15,6449443,-0.2059,-0.2360,-0.7186,-13.6719,-30.7031,1.3438,tremor
16,6449447,-0.1823,-0.2137,-0.7437,-8.2500,-52.9531,3.3906,tremor
17,6449452,-0.1707,-0.1923,-0.7748,-1.7031,-75.2969,5.1250,tremor
18,6449457,-0.1693,-0.1724,-0.8103,4.7812,-107.7188,6.0469,tremor
19,6449461,-0.1763,-0.1554,-0.8486,10.3906,-121.6562,5.2344,tremor
20,6449476,-0.2467,-0.1292,-0.9736,20.9844,-152.5625,8.7500,tremor
21,6449486,-0.3093,-0.1401,-1.0157,21.7500,-154.0938,10.7500,tremor
22,6449506,-0.4713,-0.2000,-1.0017,18.7812,-111.0938,6.5625,tremor
23,6449510,-0.5173,-0.2173,-0.9683,17.1875,-95.0000,5.2656,tremor
