sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,6702220,-0.4224,-0.4462,-0.8181,-4.6562,-2.4844,-3.5938,no_tremor
1,6702225,-0.4218,-0.4463,-0.8186,-5.3750,-2.1875,-3.6562,no_tremor
2,6702230,-0.4219,-0.4463,-0.8188,-5.7188,-1.9062,-3.5312,no_tremor
3,6702240,-0.4252,-0.4458,-0.8177,-5.2812,-0.8750,-2.7031,no_tremor
4,6702245,-0.4274,-0.4457,-0.8169,-5.7969,-1.0938,-3.2500,no_tremor
5,6702254,-0.4316,-0.4454,-0.8152,-6.0000,-0.3594,-3.4688,no_tremor
6,6702259,-0.4332,-0.4453,-0.8148,-6.0312,-0.2031,-3.0781,no_tremor
7,6702264,-0.4343,-0.4451,-0.8148,-5.8125,-1.0312,-2.7656,no_tremor
8,6702294,-0.4238,-0.4430,-0.8247,-5.6250,-2.2031,-2.3750,no_tremor
9,6702299,-0.4202,-0.4420,-0.8271,-5.6406,-1.8750,-1.9844,no_tremor
10,6702304,-0.4183,-0.4414,-0.8284,-5.7344,-1.2812,-1.4219,no_tremor
11,6702314,-0.4167,-0.4403,-0.8298,-5.5312,-0.7500,-0.5000,no_tremor
12,6702319,-0.4174,-0.4401,-0.8301,-5.7500,3.8281,-0.9688,no_tremor
13,6702324,-0.4186,-0.4399,-0.8301,-5.5000,0.8438,-1.6875,no_tremor
14,6702328,-0.4205,-0.4401,-0.8300,-6.0000,0.7969,-1.1875,no_tremor
15,6702343,-0.4286,-0.4424,-0.8287,-6.4062,1.3125,-0.5312,no_tremor
16,6702348,-0.4303,-0.4437,-0.8284,-6.2656,1.1250,-0.7812,no_tremor
17,6702353,-0.4315,-0.4452,-0.8281,-5.9844,0.5469,-0.6406,no_tremor
18,6702358,-0.4323,-0.4469,-0.8276,-5.9844,0.3750,0.0156,no_tremor
19,6702363,-0.4329,-0.4487,-0.8273,-6.0156,1.2031,-0.4062,no_tremor
20,6702368,-0.4335,-0.4506,-0.8267,-6.2812,1.8281,-1.3594,no_tremor
21,6702372,-0.4342,-0.4523,-0.8260,-5.9375,2.0781,-2.3125,no_tremor
22,6702377,-0.4352,-0.4540,-0.8250,-6.3125,1.7656,-2.7344,no_tremor
23,6702387,-0.4396,-0.4580,-0.8226,-6.7656,-0.0938,-2.3125,no_tremor
24,6702392,-0.4420,-0.4596,-0.8212,-6.3906,-0.5781,-2.4375,no_tremor
25,6702418,-0.4614,-0.4730,-0.8110,-5.4219,-1.2188,-5.3906,no_tremor
26,6702423,-0.4663,-0.4766,-0.8094,-5.9688,-1.5312,-6.0938,no_tremor
27,6702428,-0.4718,-0.4806,-0.8079,-4.8750,-1.6719,-7.7031,no_tremor
28,6702451,-0.5211,-0.5082,-0.7952,-5.6250,-0.9688,-17.1875,no_tremor
29,6702456,-0.5338,-0.5135,-0.7908,-5.8438,-0.2188,-23.5469,no_tremor
30,6702461,-0.5475,-0.5188,-0.7853,-7.4531,0.5000,-23.8125,no_tremor
31,6702466,-0.5620,-0.5239,-0.7786,-8.8281,0.8281,-27.2812,no_tremor
32,6702485,-0.6549,-0.5437,-0.7368,-14.3125,-1.7188,-41.8594,no_tremor
33,6702495,-0.6578,-0.5494,-0.7169,-16.8906,-4.7812,-50.1094,no_tremor
34,6702504,-0.6791,-0.5516,-0.7006,-19.0156,-9.7812,-58.2500,no_tremor
35,6702509,-0.6873,-0.5509,-0.6945,-20.1094,-14.7188,-64.6719,no_tremor
36,6702547,-0.7140,-0.5092,-0.6877,-32.8438,-48.1562,-95.6094,no_tremor
37,6702562,-0.7112,-0.4946,-0.6854,-39.5312,-55.5469,-107.4688,no_tremor
38,6702567,-0.7100,-0.4905,-0.6832,-40.5625,-57.0000,-114.9062,no_tremor
39,6702572,-0.7089,-0.4865,-0.6807,-42.6875,-58.2031,-116.9531,no_tremor
40,6702577,-0.7081,-0.4825,-0.6779,-44.5625,-59.5156,-121.1250,no_tremor
41,6702581,-0.7079,-0.4786,-0.6752,-46.3281,-60.7344,-125.4844,no_tremor
42,6702591,-0.7091,-0.4681,-0.6715,-51.2812,-62.3125,-132.2500,no_tremor
