sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,6739744,-0.2924,-0.2662,-0.9615,0.5156,1.7969,1.9062,no_tremor
1,6739755,-0.2948,-0.2659,-0.9595,-0.1094,2.2188,1.1094,no_tremor
2,6739766,-0.2998,-0.2654,-0.9578,-0.6719,1.2656,0.5469,no_tremor
3,6739777,-0.3035,-0.2646,-0.9562,-0.5156,0.4062,1.1250,no_tremor
4,6739788,-0.3042,-0.2635,-0.9561,-0.9688,2.0938,1.3594,no_tremor
5,6739820,-0.3077,-0.2584,-0.9640,-2.4219,2.9531,0.6875,no_tremor
6,6739831,-0.3091,-0.2565,-0.9686,-1.2812,1.1875,-0.2188,no_tremor
7,6739853,-0.2998,-0.2550,-0.9734,-0.3594,-0.5938,-0.1250,no_tremor
8,6739864,-0.2933,-0.2562,-0.9729,-0.1406,1.4062,0.5469,no_tremor
9,6739876,-0.2911,-0.2589,-0.9716,-1.2969,2.2812,1.0625,no_tremor
10,6739887,-0.2924,-0.2626,-0.9705,-0.7812,2.3125,0.5156,no_tremor
11,6739898,-0.2927,-0.2659,-0.9692,-0.2500,0.8750,1.2031,no_tremor
12,6739921,-0.2838,-0.2692,-0.9664,0.1406,0.2656,2.1875,no_tremor
13,6739952,-0.2773,-0.2697,-0.9664,1.2344,1.8125,2.6875,no_tremor
14,6739974,-0.2825,-0.2695,-0.9685,1.0156,1.7969,3.3281,no_tremor
15,6739985,-0.2850,-0.2686,-0.9689,1.9688,1.1094,2.7031,no_tremor
16,6740008,-0.2885,-0.2659,-0.9708,1.5312,2.0156,3.5312,no_tremor
17,6740019,-0.2913,-0.2649,-0.9717,1.8125,1.9219,2.2969,no_tremor
18,6740030,-0.2938,-0.2644,-0.9712,0.7812,1.6562,2.8438,no_tremor
19,6740041,-0.2954,-0.2642,-0.9700,0.7969,0.6719,3.3125,no_tremor
20,6740053,-0.2935,-0.2645,-0.9679,0.3906,-1.3594,4.0625,no_tremor
21,6740084,-0.2870,-0.2654,-0.9630,-1.4844,2.2812,3.0156,no_tremor
22,6740095,-0.2891,-0.2662,-0.9598,-1.9844,2.9375,3.2812,no_tremor
23,6740106,-0.2892,-0.2675,-0.9561,-2.3438,0.6719,3.9062,no_tremor
24,6740117,-0.2850,-0.2682,-0.9525,-1.7188,-0.1094,4.6094,no_tremor
25,6740129,-0.2780,-0.2688,-0.9500,-3.6719,-0.0625,4.3281,no_tremor
26,6740140,-0.2731,-0.2692,-0.9463,-3.3750,2.9844,4.3750,no_tremor
27,6740151,-0.2745,-0.2697,-0.9438,-4.5312,2.9844,3.9688,no_tremor
28,6740162,-0.2803,-0.2698,-0.9449,-4.1094,1.8125,5.2656,no_tremor
29,6740173,-0.2843,-0.2694,-0.9491,-5.6562,1.2969,6.4375,no_tremor
30,6740184,-0.2836,-0.2684,-0.9520,-5.4531,0.8906,7.0312,no_tremor
31,6740227,-0.2885,-0.2632,-0.9478,-4.4531,0.6094,8.1406,no_tremor
32,6740238,-0.2960,-0.2609,-0.9513,-0.0781,-0.5156,9.3750,no_tremor
33,6740261,-0.3169,-0.2578,-0.9603,-1.0781,0.2656,8.3750,no_tremor
34,6740305,-0.3984,-0.2764,-0.9714,4.4844,-5.1719,-1.0781,no_tremor
35,6740337,-0.5120,-0.3175,-0.9326,2.7656,-7.1562,-23.3906,no_tremor
36,6740359,-0.6104,-0.3583,-0.8810,-4.0781,-8.5469,-44.9062,no_tremor
37,6740393,-0.7551,-0.3932,-0.8192,-19.7500,-10.2188,-90.0000,no_tremor
38,6740404,-0.7992,-0.3879,-0.8073,-24.9375,-20.0781,-104.2812,no_tremor
39,6740415,-0.8206,-0.3727,-0.7939,-26.9531,-34.2344,-116.2500,no_tremor
40,6740426,-0.8146,-0.3510,-0.7844,-27.2656,-46.8750,-131.5156,no_tremor
41,6740460,-0.7708,-0.2863,-0.7917,-41.0156,-59.8281,-167.3438,no_tremor
42,6740483,-0.7921,-0.2505,-0.8147,-49.7656,-67.1719,-189.9062,no_tremor
43,6740494,-0.7910,-0.2314,-0.8311,-52.0469,-72.3281,-200.2969,no_tremor
44,6740505,-0.7734,-0.2024,-0.8461,-55.6250,-75.9062,-210.1562,no_tremor
45,6740516,-0.7410,-0.1715,-0.8654,-56.6094,-76.1094,-218.5781,no_tremor
46,6740527,-0.7010,-0.1421,-0.8848,-54.1719,-80.4531,-232.1250,no_tremor
47,6740538,-0.6552,-0.1122,-0.9073,-50.5312,-87.3906,-236.2344,no_tremor
48,6740550,-0.6007,-0.0823,-0.9376,-54.2344,-84.8594,-234.7812,no_tremor
49,6740583,-0.4077,-0.0045,-1.0740,-48.3281,-76.2656,-223.4844,no_tremor
50,6740588,-0.3717,0.0072,-1.0981,-47.8281,-76.1250,-217.4375,no_tremor
