sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,6963732,-0.4464,-0.3533,-0.8800,5.7500,5.7344,-1.0469,tremor
1,6963737,-0.4460,-0.3533,-0.8815,5.9531,4.8594,-0.8281,tremor
2,6963741,-0.4448,-0.3534,-0.8832,5.5469,4.1094,-0.6406,tremor
3,6963746,-0.4429,-0.3534,-0.8848,5.3906,3.9062,-0.9062,tremor
4,6963750,-0.4402,-0.3534,-0.8861,5.6094,3.5938,-1.1094,tremor
5,6963755,-0.4371,-0.3534,-0.8868,5.2500,3.0469,-1.5625,tremor
6,6963775,-0.4248,-0.3539,-0.8820,3.6250,2.2812,-1.9062,tremor
7,6963800,-0.4210,-0.3573,-0.8641,1.4219,3.1406,-1.6406,tremor
8,6963805,-0.4221,-0.3589,-0.8629,1.7812,3.4062,-1.9375,tremor
9,6963819,-0.4226,-0.3615,-0.8640,2.2656,2.4531,-2.0156,tremor
10,6963824,-0.4219,-0.3618,-0.8654,2.4844,2.2969,-1.6719,tremor
11,6963829,-0.4210,-0.3621,-0.8666,3.0469,2.6562,-2.0938,tremor
12,6963838,-0.4198,-0.3623,-0.8679,1.1250,4.0000,-3.0000,tremor
13,6963858,-0.4215,-0.3639,-0.8647,-0.9219,7.5000,-1.7656,tremor
14,6963888,-0.4028,-0.3605,-0.8645,1.9531,-0.3125,0.1562,tremor
15,6963893,-0.3979,-0.3593,-0.8660,1.9688,-0.9844,0.4219,tremor
16,6963898,-0.3934,-0.3580,-0.8676,2.2188,-1.4531,1.1562,tremor
17,6963927,-0.3873,-0.3571,-0.8716,0.7969,3.6875,1.8906,tremor
18,6963937,-0.3959,-0.3588,-0.8699,1.3281,4.0312,2.1094,tremor
19,6963946,-0.4058,-0.3610,-0.8685,1.9688,5.2344,2.0781,tremor
20,6963955,-0.4131,-0.3629,-0.8690,1.5312,4.9844,3.0938,tremor
21,6963970,-0.4149,-0.3630,-0.8756,2.5156,7.0781,2.2344,tremor
22,6963984,-0.4094,-0.3602,-0.8828,2.5000,10.1094,1.8750,tremor
23,6963989,-0.4081,-0.3595,-0.8845,2.9375,11.8906,1.4062,tremor
24,6964004,-0.4120,-0.3591,-0.8878,2.0469,19.8750,-0.2031,tremor
25,6964009,-0.4156,-0.3599,-0.8888,1.5000,22.5625,0.5781,tremor
26,6964044,-0.4375,-0.3770,-0.8811,-7.4688,37.1250,2.9062,tremor
27,6964049,-0.4343,-0.3789,-0.8785,-6.6875,37.0000,3.6406,tremor
28,6964064,-0.4186,-0.3792,-0.8740,4.1562,41.7656,-0.9688,tremor
29,6964069,-0.4144,-0.3772,-0.8743,5.3594,46.7344,-2.6406,tremor
30,6964073,-0.4128,-0.3745,-0.8754,5.7969,54.2344,-5.0781,tremor
31,6964088,-0.4417,-0.3650,-0.8828,2.8125,79.6562,-10.9219,tremor
32,6964103,-0.4951,-0.3677,-0.8912,-2.4531,92.2031,-12.4531,tremor
33,6964107,-0.5093,-0.3712,-0.8950,-3.8750,89.1094,-11.6250,tremor
34,6964117,-0.5171,-0.3799,-0.9042,-3.2500,71.0000,-7.9688,tremor
35,6964126,-0.4858,-0.3867,-0.9189,-0.6875,33.3281,-2.7344,tremor
36,6964131,-0.4343,-0.3879,-0.9263,2.2500,8.9531,0.6250,tremor
37,6964136,-0.3884,-0.3861,-0.9346,4.7812,-20.5000,4.7969,tremor
38,6964141,-0.3356,-0.3820,-0.9441,8.7656,-53.0000,9.2656,tremor
39,6964171,0.0021,-0.3207,-1.0247,43.4844,-265.9688,32.0312,tremor
40,6964181,0.0383,-0.3051,-1.0284,46.6719,-307.8438,28.4375,tremor
41,6964186,0.0353,-0.3014,-1.0105,45.3594,-320.5000,27.1406,tremor
42,6964200,-0.0869,-0.3193,-0.9147,32.7969,-332.6094,20.4844,tremor
43,6964210,-0.2196,-0.3490,-0.8116,24.4375,-315.2344,13.4219,tremor
44,6964215,-0.2982,-0.3669,-0.7517,19.7188,-298.3906,4.1406,tremor
45,6964224,-0.4774,-0.4047,-0.6230,11.2656,-236.2344,-11.7656,tremor
46,6964234,-0.6882,-0.4393,-0.4968,-5.3750,-104.7031,-32.6406,tremor
47,6964243,-0.9338,-0.4652,-0.3885,-26.5312,23.4531,-57.4844,tremor
48,6964248,-1.0673,-0.4740,-0.3447,-38.9062,87.2656,-70.1250,tremor
49,6964252,-1.2034,-0.4801,-0.3092,-51.1406,147.0781,-80.2969,tremor
50,6964257,-1.3365,-0.4836,-0.2823,-63.7344,201.1875,-88.4219,tremor
51,6964262,-1.4591,-0.4854,-0.2588,-75.4062,247.9219,-95.4844,tremor
52,6964290,-1.4814,-0.4458,-0.3202,-90.2812,308.6406,-104.5781,tremor
53,6964294,-1.3353,-0.4305,-0.3481,-86.2500,290.4375,-101.5469,tremor
54,6964299,-1.1599,-0.4131,-0.3802,-79.9062,266.1719,-97.6875,tremor
55,6964304,-0.9641,-0.3942,-0.4163,-73.5000,235.8906,-92.7656,tremor
56,6964308,-0.7577,-0.3741,-0.4562,-67.7188,200.6875,-86.3438,tremor
57,6964323,-0.1643,-0.3169,-0.5962,-57.2812,50.0625,-47.2969,tremor
58,6964328,-0.0007,-0.3024,-0.6489,-50.9062,7.2812,-38.2188,tremor
59,6964333,0.1366,-0.2913,-0.7322,-40.3438,-35.9062,-31.7656,tremor
60,6964338,0.3069,-0.2803,-0.7892,-28.2344,-80.5156,-28.4219,tremor
61,6964353,0.3842,-0.2715,-0.9496,8.9531,-226.0469,-20.4688,tremor
62,6964373,0.1750,-0.2892,-1.0624,21.3281,-333.7656,-11.6562,tremor
63,6964410,-0.4628,-0.4554,-0.6820,-29.8906,-247.2812,-41.7188,tremor
64,6964415,-0.5475,-0.4741,-0.6080,-33.7188,-216.4531,-48.6719,tremor
65,6964420,-0.6339,-0.4896,-0.5371,-43.1875,-179.3438,-53.8750,tremor
66,6964424,-0.7225,-0.5018,-0.4729,-52.1875,-132.6562,-56.1562,tremor
67,6964429,-0.8129,-0.5106,-0.4188,-61.3906,-78.5000,-58.8125,tremor
68,6964433,-0.9045,-0.5161,-0.3776,-68.7188,-21.2344,-64.1719,tremor
69,6964452,-1.2588,-0.5063,-0.3541,-91.7656,192.8750,-100.1875,tremor
70,6964457,-1.3320,-0.4962,-0.3790,-95.6406,238.0781,-106.2188,tremor
71,6964467,-1.4447,-0.4590,-0.4669,-101.8281,307.7500,-116.3594,tremor
72,6964472,-1.4503,-0.4406,-0.5050,-103.6094,330.6094,-119.3281,tremor
73,6964477,-1.4282,-0.4209,-0.5415,-105.8438,344.5938,-120.9844,tremor
74,6964481,-1.3770,-0.4003,-0.5751,-107.4062,349.6406,-116.4375,tremor
75,6964486,-1.2960,-0.3790,-0.6050,-106.2344,345.9375,-118.5938,tremor
76,6964501,-0.8912,-0.3007,-0.6895,-85.0469,270.1875,-98.6562,tremor
77,6964534,0.4302,-0.1426,-0.9468,-6.5781,-71.2344,-29.9531,tremor
78,6964539,0.5320,-0.1306,-0.9995,3.1094,-113.5938,-20.6719,tremor
79,6964544,0.6003,-0.1241,-1.0525,13.1406,-170.6406,-15.2812,tremor
80,6964549,0.6344,-0.1235,-1.1033,17.3750,-203.4688,-10.5469,tremor
81,6964558,0.5754,-0.1453,-1.2058,23.2188,-255.2344,-3.2969,tremor
82,6964563,0.5173,-0.1615,-1.2311,25.0938,-275.3594,-0.4531,tremor
83,6964568,0.4353,-0.1804,-1.2445,25.4062,-291.8281,2.0938,tremor
84,6964573,0.3422,-0.2010,-1.2450,24.5938,-304.1406,3.3438,tremor
85,6964578,0.2438,-0.2220,-1.2323,23.3125,-312.1875,3.6250,tremor
86,6964583,0.1447,-0.2428,-1.2064,16.4688,-319.8594,3.2188,tremor
87,6964592,-0.0420,-0.2810,-1.1178,8.5156,-323.8125,1.0781,tremor
88,6964597,-0.1265,-0.2983,-1.0262,4.5938,-316.0938,-0.8594,tremor
89,6964602,-0.2053,-0.3220,-0.9534,0.0781,-300.1406,-3.9688,tremor
90,6964607,-0.3165,-0.3362,-0.8792,-5.6875,-275.4062,-7.7344,tremor
91,6964611,-0.3898,-0.3486,-0.8048,-11.0469,-241.7344,-11.5469,tremor
92,6964616,-0.4655,-0.3589,-0.7341,-15.1094,-199.6719,-17.0156,tremor
93,6964621,-0.5463,-0.3661,-0.6707,-19.2031,-149.4531,-24.7656,tremor
94,6964626,-0.6342,-0.3699,-0.6173,-23.7812,-92.1719,-32.9219,tremor
95,6964631,-0.7302,-0.3698,-0.5760,-28.5469,1.2969,-45.3906,tremor
96,6964657,-1.3801,-0.3289,-0.5565,-65.5781,315.0781,-97.0156,tremor
97,6964662,-1.4532,-0.3260,-0.5741,-74.2656,352.2969,-99.8750,tremor
98,6964667,-1.4969,-0.3260,-0.5922,-83.0000,377.9062,-99.9375,tremor
99,6964672,-1.5050,-0.3284,-0.6093,-88.9688,391.7500,-99.5469,tremor
100,6964676,-1.4729,-0.3323,-0.6245,-92.5469,395.7969,-98.7344,tremor
101,6964681,-1.3990,-0.3362,-0.6378,-93.4844,387.0156,-93.5312,tremor
102,6964691,-1.1324,-0.3376,-0.6658,-81.2656,326.8281,-79.9062,tremor
103,6964701,-0.6351,-0.3130,-0.6962,-63.2344,234.7031,-60.1875,tremor
104,6964711,-0.1899,-0.2683,-0.7545,-41.5312,133.5938,-36.6562,tremor
105,6964730,0.5256,-0.1533,-1.0214,14.0469,-83.7656,9.5469,tremor
106,6964740,0.7150,-0.1104,-1.1588,31.6562,-151.3125,20.8125,tremor
107,6964744,0.7262,-0.1063,-1.2174,38.0469,-177.1562,24.5781,tremor
108,6964749,0.7035,-0.1102,-1.2648,42.2969,-197.8906,27.5000,tremor
109,6964754,0.6514,-0.1216,-1.2985,44.8750,-213.7344,29.0781,tremor
110,6964780,0.1211,-0.2415,-1.2305,46.8438,-249.0312,37.4844,tremor
111,6964806,-0.2367,-0.3123,-0.9420,18.8438,-226.3906,39.5156,tremor
112,6964815,-0.3052,-0.3270,-0.8126,20.9219,-191.2188,31.5312,tremor
113,6964820,-0.3374,-0.3319,-0.7838,22.2188,-164.1562,26.8594,tremor
114,6964824,-0.3722,-0.3342,-0.7518,24.0312,-130.7812,22.9062,tremor
115,6964840,-0.5521,-0.3165,-0.6960,25.8438,29.5312,1.7812,tremor
116,6964844,-0.6284,-0.3062,-0.6887,22.7188,82.5781,-6.5312,tremor
117,6964849,-0.7168,-0.2959,-0.6853,11.1094,136.0938,-13.7656,tremor
118,6964854,-0.8151,-0.2877,-0.6847,0.1875,189.3906,-19.5312,tremor
119,6964874,-1.2228,-0.3042,-0.6992,-31.5000,335.5469,-31.3594,tremor
120,6964878,-1.2563,-0.3174,-0.7040,-34.6719,339.3438,-25.0938,tremor
121,6964906,-0.6464,-0.3507,-0.7886,-10.9062,192.0625,24.7188,tremor
122,6964911,-0.4463,-0.3406,-0.8204,-0.1875,150.5000,37.1094,tremor
123,6964915,-0.2430,-0.3260,-0.8583,10.7031,89.5156,45.6406,tremor
124,6964920,-0.0483,-0.3079,-0.9016,20.7969,49.2969,53.4375,tremor
125,6964939,0.4613,-0.2253,-1.0928,57.0625,-65.5156,71.4375,tremor
126,6964943,0.4955,-0.2098,-1.1333,60.3594,-84.1719,73.9844,tremor
127,6964969,0.1545,-0.2151,-1.1775,61.4062,-134.8750,76.5625,tremor
128,6964974,-0.0017,-0.2377,-1.1503,61.5781,-136.6094,74.8594,tremor
129,6964979,-0.0996,-0.2535,-1.1166,61.5781,-136.2656,73.6406,tremor
130,6964984,-0.1877,-0.2679,-1.0786,61.5000,-132.7812,71.6250,tremor
131,6964993,-0.3271,-0.2882,-0.9989,61.5938,-120.5000,65.4844,tremor
132,6964998,-0.3784,-0.2927,-0.9613,61.2812,-108.1875,63.0000,tremor
133,6965027,-0.5654,-0.2782,-0.8156,44.4375,-15.6406,34.5156,tremor
134,6965031,-0.5988,-0.2809,-0.8063,33.8906,-2.8281,32.5469,tremor
135,6965036,-0.6532,-0.2878,-0.7964,21.7812,5.2188,33.7031,tremor
136,6965041,-0.6893,-0.2997,-0.7832,12.5156,9.7344,36.0625,tremor
137,6965046,-0.7224,-0.3168,-0.7649,6.0625,11.3906,38.0469,tremor
138,6965051,-0.7498,-0.3386,-0.7408,-1.8906,11.3281,36.5000,tremor
139,6965056,-0.7692,-0.3640,-0.6952,-6.1406,13.6250,34.2969,tremor
140,6965061,-0.7806,-0.4037,-0.6605,-7.7656,21.1875,34.3438,tremor
141,6965066,-0.7765,-0.4274,-0.6250,-6.8281,34.0000,35.5938,tremor
142,6965071,-0.7639,-0.4454,-0.5907,-5.1562,48.5000,36.1406,tremor
143,6965076,-0.7452,-0.4556,-0.5597,-3.2031,72.1875,35.6875,tremor
144,6965081,-0.7229,-0.4565,-0.5331,-0.5625,93.6719,32.8750,tremor
145,6965086,-0.7001,-0.4482,-0.5118,1.7969,114.9219,29.6250,tremor
146,6965090,-0.6798,-0.4319,-0.4966,2.0312,135.1719,26.2344,tremor
147,6965095,-0.6644,-0.4099,-0.4877,1.3125,155.2656,22.6562,tremor
148,6965100,-0.6532,-0.3733,-0.4867,-0.4375,175.2188,19.0625,tremor
149,6965105,-0.6533,-0.3514,-0.4951,-1.6875,193.9375,16.4062,tremor
150,6965110,-0.6573,-0.3347,-0.5116,-1.9844,209.9375,15.7500,tremor
151,6965115,-0.6624,-0.3252,-0.5365,-2.7500,219.9531,16.6406,tremor
152,6965120,-0.6643,-0.3234,-0.5702,-3.4688,223.4062,21.2812,tremor
153,6965147,-0.4617,-0.4049,-0.9042,14.7344,163.2344,46.5781,tremor
154,6965151,-0.3925,-0.4152,-0.9630,18.8594,145.9062,50.1406,tremor
155,6965156,-0.3214,-0.4205,-1.0165,22.7969,128.1562,55.6250,tremor
156,6965162,-0.2531,-0.4210,-1.0626,26.7188,101.5312,58.4062,tremor
157,6965167,-0.1914,-0.4135,-1.1156,29.3281,82.3281,60.7188,tremor
158,6965172,-0.1177,-0.4045,-1.1390,31.9375,62.1562,63.2031,tremor
159,6965177,-0.0831,-0.3939,-1.1531,33.9062,41.2188,65.1250,tremor
160,6965182,-0.0599,-0.3827,-1.1580,36.4375,9.8906,67.2500,tremor
161,6965187,-0.0468,-0.3718,-1.1545,38.6875,-8.8750,69.1719,tremor
162,6965192,-0.0415,-0.3619,-1.1434,41.3125,-26.4375,71.3594,tremor
163,6965196,-0.0420,-0.3531,-1.1151,43.8906,-44.7812,73.0312,tremor
164,6965201,-0.0496,-0.3419,-1.0894,45.6406,-63.3750,73.9688,tremor
165,6965206,-0.0575,-0.3353,-1.0590,45.5000,-80.6562,75.1406,tremor
166,6965211,-0.0673,-0.3298,-1.0242,43.7812,-96.7344,76.1094,tremor
167,6965217,-0.0796,-0.3256,-0.9852,41.9375,-114.9375,76.0625,tremor
168,6965221,-0.0953,-0.3230,-0.9432,42.2344,-119.9844,73.4688,tremor
169,6965226,-0.1161,-0.3226,-0.8993,42.2812,-117.5938,68.7031,tremor
170,6965231,-0.1608,-0.3258,-0.8331,41.5312,-107.1094,63.4688,tremor
171,6965236,-0.2020,-0.3301,-0.7909,41.6719,-90.0000,58.7500,tremor
172,6965241,-0.2543,-0.3356,-0.7516,41.3750,-67.5000,52.9688,tremor
