sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,10057610,-0.1588,-0.1188,-1.0265,0.0938,0.5625,-0.9688,no_tremor
1,10057697,-0.1520,-0.1128,-1.0360,0.0781,0.7812,-0.5156,no_tremor
2,10057708,-0.1516,-0.1140,-1.0364,0.1250,0.2969,-0.6875,no_tremor
3,10057731,-0.1526,-0.1178,-1.0364,0.5625,0.1250,-1.0781,no_tremor
4,10057762,-0.1550,-0.1182,-1.0317,0.0156,2.8281,0.2188,no_tremor
5,10057773,-0.1567,-0.1178,-1.0304,0.2812,2.0312,1.5312,no_tremor
6,10057795,-0.1572,-0.1176,-1.0323,-0.0156,0.2188,-0.8594,no_tremor
7,10057806,-0.1559,-0.1162,-1.0355,0.0781,0.3594,-0.5312,no_tremor
8,10057829,-0.1567,-0.1108,-1.0391,0.5625,1.1094,-0.9062,no_tremor
9,10057862,-0.1621,-0.1118,-1.0366,0.5625,1.2812,-0.4688,no_tremor
10,10057905,-0.1486,-0.1176,-1.0358,1.0469,0.4844,0.3906,no_tremor
11,10057950,-0.1538,-0.1144,-1.0314,-0.5000,0.5781,0.3438,no_tremor
12,10057961,-0.1562,-0.1140,-1.0325,1.6875,1.8750,0.7344,no_tremor
13,10057972,-0.1578,-0.1143,-1.0333,-0.1250,1.2500,0.4375,no_tremor
14,10057983,-0.1583,-0.1150,-1.0337,0.5625,0.2031,-0.2344,no_tremor
15,10057994,-0.1581,-0.1156,-1.0337,0.8438,-0.1875,0.2188,no_tremor
16,10058026,-0.1582,-0.1143,-1.0337,0.1406,1.2344,-0.7344,no_tremor
17,10058037,-0.1589,-0.1141,-1.0331,0.3906,1.4219,-0.1719,no_tremor
18,10058060,-0.1586,-0.1168,-1.0323,-0.4375,1.7656,0.1406,no_tremor
19,10058071,-0.1560,-0.1188,-1.0327,0.3438,-0.1719,0.4531,no_tremor
20,10058082,-0.1533,-0.1200,-1.0336,-0.3281,0.5312,0.6562,no_tremor
21,10058093,-0.1522,-0.1201,-1.0347,0.1562,1.2344,0.6719,no_tremor
22,10058105,-0.1532,-0.1194,-1.0355,0.9531,0.2969,0.1875,no_tremor
23,10058116,-0.1560,-0.1183,-1.0366,0.6719,1.5781,-0.0156,no_tremor
24,10058158,-0.1631,-0.1156,-1.0391,1.2500,0.5000,0.0625,no_tremor
25,10058169,-0.1624,-0.1166,-1.0387,0.3281,0.1875,-0.0625,no_tremor
26,10058180,-0.1617,-0.1178,-1.0381,1.1875,0.4062,-0.9531,no_tremor
27,10058192,-0.1615,-0.1189,-1.0370,0.7500,1.2969,0.2031,no_tremor
28,10058203,-0.1615,-0.1198,-1.0356,0.8281,1.6406,0.3281,no_tremor
29,10058214,-0.1614,-0.1204,-1.0338,1.0469,1.1094,-0.0312,no_tremor
30,10058225,-0.1605,-0.1208,-1.0322,0.4531,1.5000,-0.4688,no_tremor
31,10058237,-0.1587,-0.1212,-1.0309,0.2656,1.2969,-0.0469,no_tremor
32,10058268,-0.1556,-0.1222,-1.0297,0.4844,1.7969,-0.4688,no_tremor
33,10058279,-0.1569,-0.1219,-1.0299,0.0312,1.2344,-1.3281,no_tremor
34,10058291,-0.1583,-0.1213,-1.0308,0.0156,0.9531,-0.4688,no_tremor
35,10058302,-0.1597,-0.1202,-1.0322,-0.1406,2.0781,-1.6562,no_tremor
36,10058324,-0.1620,-0.1163,-1.0358,0.5469,1.3438,-0.7500,no_tremor
37,10058389,-0.1553,-0.1185,-1.0303,0.1719,0.7656,-1.3125,no_tremor
38,10058400,-0.1550,-0.1194,-1.0281,0.4688,0.7812,-0.9531,no_tremor
39,10058434,-0.1559,-0.1194,-1.0288,-1.7031,1.2969,-1.0000,no_tremor
40,10058446,-0.1588,-0.1193,-1.0311,-1.8594,1.6094,-0.3594,no_tremor
41,10058457,-0.1621,-0.1180,-1.0341,-1.1250,0.9375,-1.5625,no_tremor
42,10058468,-0.1642,-0.1155,-1.0365,-0.7188,-0.0625,-1.2969,no_tremor
43,10058479,-0.1643,-0.1124,-1.0378,-0.9062,-0.6719,-0.7500,no_tremor
44,10058511,-0.1595,-0.1106,-1.0388,0.2344,0.1406,-1.2188,no_tremor
45,10058522,-0.1581,-0.1129,-1.0398,1.3594,0.9688,-1.0000,no_tremor
46,10058534,-0.1561,-0.1162,-1.0403,0.5469,0.3281,-0.4219,no_tremor
47,10058545,-0.1539,-0.1196,-1.0399,0.5938,0.4375,-0.0156,no_tremor
48,10058556,-0.1521,-0.1221,-1.0387,0.7031,0.5000,0.0312,no_tremor
49,10058568,-0.1516,-0.1227,-1.0367,1.1094,0.9062,-0.5000,no_tremor
50,10058579,-0.1521,-0.1219,-1.0353,0.8125,0.9219,0.5312,no_tremor
51,10058590,-0.1537,-0.1199,-1.0339,0.6719,0.0312,-0.3438,no_tremor
52,10058601,-0.1555,-0.1176,-1.0336,0.9844,0.2656,-0.6875,no_tremor
53,10058632,-0.1594,-0.1152,-1.0338,0.5781,0.6406,-0.5625,no_tremor
54,10058643,-0.1615,-0.1158,-1.0336,-0.7344,2.0938,-0.4844,no_tremor
55,10058666,-0.1669,-0.1166,-1.0326,-0.6250,1.6875,-0.4375,no_tremor
56,10058677,-0.1660,-0.1156,-1.0315,-0.2031,0.7500,-1.1406,no_tremor
57,10058688,-0.1620,-0.1144,-1.0300,-0.1875,0.2812,-1.7656,no_tremor
58,10058710,-0.1537,-0.1145,-1.0284,0.0000,0.7969,-0.5156,no_tremor
59,10058733,-0.1537,-0.1176,-1.0302,-0.3594,2.0312,-0.2344,no_tremor
60,10058765,-0.1603,-0.1185,-1.0331,-0.3594,-0.6875,-0.5938,no_tremor
61,10058776,-0.1617,-0.1172,-1.0338,-0.1875,0.3750,-0.5000,no_tremor
62,10058787,-0.1628,-0.1158,-1.0341,-0.5469,0.7344,-0.1250,no_tremor
63,10058799,-0.1642,-0.1150,-1.0336,-0.1094,0.2812,-0.7969,no_tremor
64,10058821,-0.1650,-0.1157,-1.0332,-0.0156,-0.5156,-1.2500,no_tremor
65,10058832,-0.1638,-0.1168,-1.0337,0.3281,-0.8750,-0.4688,no_tremor
66,10058921,-0.1631,-0.1180,-1.0344,-0.6250,0.1250,-2.8438,no_tremor
67,10058943,-0.1664,-0.1190,-1.0350,-0.5469,1.6719,-2.4219,no_tremor
68,10058955,-0.1686,-0.1182,-1.0347,-0.7344,0.3125,-2.3438,no_tremor
69,10058966,-0.1688,-0.1166,-1.0342,-1.0469,-0.1406,-3.0781,no_tremor
70,10059009,-0.1580,-0.1140,-1.0360,0.2344,1.3281,-3.1094,no_tremor
71,10059031,-0.1589,-0.1145,-1.0341,-0.0938,1.3750,-2.4531,no_tremor
72,10059043,-0.1583,-0.1145,-1.0333,-0.3594,0.7500,-1.8125,no_tremor
73,10059054,-0.1565,-0.1140,-1.0325,-0.4062,1.3438,-1.9688,no_tremor
74,10059065,-0.1545,-0.1135,-1.0314,-0.4844,1.2969,-1.4531,no_tremor
75,10059076,-0.1536,-0.1135,-1.0308,-0.9062,2.1250,-1.0938,no_tremor
76,10059088,-0.1548,-0.1139,-1.0315,-0.7031,2.7812,-0.7969,no_tremor
77,10059099,-0.1583,-0.1138,-1.0338,-1.2031,3.4219,-1.4062,no_tremor
78,10059141,-0.1669,-0.1051,-1.0431,1.3281,0.3281,-1.2500,no_tremor
79,10059152,-0.1648,-0.1040,-1.0431,0.9219,0.8281,-1.2188,no_tremor
80,10059163,-0.1627,-0.1049,-1.0422,0.9844,1.7031,-1.7969,no_tremor
81,10059174,-0.1614,-0.1077,-1.0408,0.4688,1.7656,-1.0469,no_tremor
82,10059197,-0.1582,-0.1149,-1.0381,1.8594,2.4531,-0.1406,no_tremor
83,10059219,-0.1539,-0.1178,-1.0342,1.2031,1.5781,-0.3750,no_tremor
84,10059231,-0.1520,-0.1179,-1.0314,0.7656,0.5469,-0.5156,no_tremor
85,10059262,-0.1554,-0.1146,-1.0275,0.6719,2.4531,-0.1250,no_tremor
86,10059274,-0.1591,-0.1134,-1.0292,-0.6250,2.1406,-0.7031,no_tremor
87,10059285,-0.1624,-0.1133,-1.0316,0.3750,1.7188,-0.5781,no_tremor
88,10059296,-0.1643,-0.1136,-1.0333,0.3750,1.7031,-0.3750,no_tremor
89,10059307,-0.1643,-0.1134,-1.0338,0.6250,0.9688,-0.4219,no_tremor
90,10059319,-0.1630,-0.1128,-1.0333,1.2656,0.2656,-1.7031,no_tremor
91,10059341,-0.1620,-0.1123,-1.0316,0.1406,2.7188,-0.9688,no_tremor
92,10059352,-0.1628,-0.1138,-1.0310,0.0625,2.3281,-0.9375,no_tremor
93,10059383,-0.1591,-0.1176,-1.0326,0.9844,1.9375,-0.6562,no_tremor
94,10059395,-0.1566,-0.1177,-1.0328,0.4375,1.5625,-0.9219,no_tremor
95,10059406,-0.1550,-0.1174,-1.0327,0.3594,1.9062,-0.9688,no_tremor
96,10059417,-0.1541,-0.1172,-1.0328,1.6250,0.2188,-0.9375,no_tremor
97,10059429,-0.1533,-0.1171,-1.0338,0.9688,-0.5625,0.1719,no_tremor
98,10059440,-0.1536,-0.1172,-1.0348,1.2969,2.0312,0.1094,no_tremor
99,10059451,-0.1555,-0.1180,-1.0356,0.1875,1.4531,-0.1250,no_tremor
100,10059462,-0.1589,-0.1196,-1.0354,0.0312,2.1094,0.4219,no_tremor
101,10059474,-0.1619,-0.1210,-1.0347,0.9219,1.0781,-0.8281,no_tremor
102,10059516,-0.1588,-0.1178,-1.0331,0.7969,2.6406,-0.9062,no_tremor
103,10059539,-0.1621,-0.1178,-1.0309,0.2344,1.1719,-1.1719,no_tremor
104,10059550,-0.1619,-0.1187,-1.0308,1.1094,0.2969,-1.0469,no_tremor
105,10059572,-0.1582,-0.1194,-1.0322,-0.0469,0.0000,-0.6094,no_tremor
106,10059584,-0.1577,-0.1190,-1.0327,-0.4219,1.9062,-1.2812,no_tremor
107,10059595,-0.1583,-0.1178,-1.0328,0.2969,1.6094,-1.5469,no_tremor
108,10059626,-0.1576,-0.1133,-1.0327,-0.3906,0.0625,-1.5938,no_tremor
109,10059637,-0.1548,-0.1123,-1.0331,0.3125,0.0781,-0.6562,no_tremor
110,10059648,-0.1519,-0.1121,-1.0333,0.3750,0.8125,-0.8125,no_tremor
111,10059659,-0.1504,-0.1129,-1.0331,0.4062,1.1875,-0.6562,no_tremor
112,10059682,-0.1517,-0.1162,-1.0298,-0.0625,1.2656,-0.4219,no_tremor
113,10059694,-0.1523,-0.1171,-1.0280,0.8594,1.1250,0.6719,no_tremor
114,10059705,-0.1522,-0.1171,-1.0275,-0.6406,1.1562,0.9375,no_tremor
115,10059716,-0.1522,-0.1168,-1.0289,-0.4844,1.0781,1.1250,no_tremor
116,10059758,-0.1633,-0.1124,-1.0356,-0.2188,0.9219,0.3125,no_tremor
117,10059780,-0.1621,-0.1099,-1.0371,0.9219,0.1562,-1.3750,no_tremor
118,10059791,-0.1600,-0.1100,-1.0378,1.0938,0.7500,-0.1562,no_tremor
119,10059803,-0.1591,-0.1118,-1.0375,0.6406,1.1719,-0.6094,no_tremor
120,10059814,-0.1593,-0.1150,-1.0363,0.3750,0.7812,-0.0938,no_tremor
121,10059837,-0.1573,-0.1205,-1.0312,1.0312,-1.2188,0.6719,no_tremor
122,10059868,-0.1559,-0.1191,-1.0265,-0.3438,1.4062,-0.6875,no_tremor
123,10059879,-0.1581,-0.1176,-1.0264,0.0469,0.1562,0.5625,no_tremor
124,10059902,-0.1606,-0.1158,-1.0286,-0.3281,0.0156,-0.2188,no_tremor
125,10059924,-0.1624,-0.1150,-1.0326,-0.7188,0.8438,-0.7969,no_tremor
126,10059958,-0.1572,-0.1147,-1.0378,-0.3281,0.0312,-0.6250,no_tremor
127,10059990,-0.1498,-0.1177,-1.0374,0.4531,1.7344,0.1562,no_tremor
128,10060001,-0.1501,-0.1188,-1.0372,0.2031,2.2500,0.4375,no_tremor
129,10060012,-0.1519,-0.1193,-1.0377,0.4531,1.5625,0.6562,no_tremor
