sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,10022371,-0.0220,-0.1036,-1.0508,2.9531,4.1406,-2.2031,no_tremor
1,10022376,-0.0194,-0.1022,-1.0509,3.5156,1.4219,-1.7188,no_tremor
2,10022395,0.0012,-0.0977,-1.0483,3.0000,-3.8438,-0.8594,no_tremor
3,10022414,0.0092,-0.0970,-1.0452,3.2344,-2.4531,-0.4062,no_tremor
4,10022419,0.0061,-0.0973,-1.0450,3.3906,-2.0781,-0.1250,no_tremor
5,10022428,-0.0035,-0.0979,-1.0459,1.7812,-2.9219,1.6562,no_tremor
6,10022433,-0.0090,-0.0984,-1.0468,1.5781,-3.2500,1.7812,no_tremor
7,10022438,-0.0144,-0.0988,-1.0480,1.6250,-3.7500,1.8594,no_tremor
8,10022443,-0.0193,-0.0990,-1.0493,1.4062,-3.7500,2.0625,no_tremor
9,10022448,-0.0233,-0.0991,-1.0514,1.8438,-3.5000,1.7812,no_tremor
10,10022472,-0.0305,-0.0974,-1.0547,0.5938,-2.6719,0.4219,no_tremor
11,10022482,-0.0302,-0.0964,-1.0524,0.1250,-0.4688,-0.7344,no_tremor
12,10022487,-0.0299,-0.0959,-1.0507,0.3594,-0.6250,-1.8594,no_tremor
13,10022492,-0.0297,-0.0957,-1.0487,0.3594,-0.4062,-1.4688,no_tremor
14,10022496,-0.0294,-0.0958,-1.0466,0.2812,0.3438,-1.0781,no_tremor
15,10022506,-0.0286,-0.0968,-1.0427,0.9688,0.0781,-0.9219,no_tremor
16,10022516,-0.0270,-0.0986,-1.0397,2.0625,0.9688,-0.1250,no_tremor
17,10022521,-0.0259,-0.0997,-1.0387,2.2969,0.2500,0.3438,no_tremor
18,10022535,-0.0211,-0.1027,-1.0377,2.1875,-0.5156,0.2656,no_tremor
19,10022540,-0.0190,-0.1035,-1.0378,2.3906,-1.1719,0.3750,no_tremor
20,10022544,-0.0156,-0.1040,-1.0381,1.9688,-0.9844,-0.0156,no_tremor
21,10022554,-0.0110,-0.1045,-1.0389,3.1875,-2.6094,0.3438,no_tremor
22,10022559,-0.0088,-0.1047,-1.0396,2.4375,-4.1719,-0.6875,no_tremor
23,10022593,-0.0044,-0.1050,-1.0387,-0.2344,-3.7188,1.7031,no_tremor
24,10022598,-0.0056,-0.1046,-1.0367,-0.1875,-2.7656,1.2812,no_tremor
25,10022612,-0.0104,-0.1028,-1.0299,-0.8906,-3.7969,1.2656,no_tremor
26,10022651,-0.0221,-0.1044,-1.0255,-3.0938,-1.3594,1.2344,no_tremor
27,10022656,-0.0242,-0.1053,-1.0275,-2.3438,-0.6250,1.1094,no_tremor
28,10022661,-0.0262,-0.1066,-1.0299,-2.3438,-0.3438,1.5156,no_tremor
29,10022666,-0.0284,-0.1075,-1.0327,-2.0781,-0.0938,1.7656,no_tremor
30,10022685,-0.0369,-0.1099,-1.0450,-2.4844,1.7188,0.6875,no_tremor
31,10022725,-0.0376,-0.0985,-1.0500,0.0781,0.0781,1.0781,no_tremor
32,10022730,-0.0364,-0.0972,-1.0502,-0.0938,-0.4062,1.1875,no_tremor
33,10022745,-0.0309,-0.0958,-1.0514,0.0938,-2.5781,0.6562,no_tremor
34,10022764,-0.0276,-0.1007,-1.0522,0.9531,0.2812,0.4375,no_tremor
35,10022769,-0.0275,-0.1025,-1.0519,0.9688,-0.1875,0.6406,no_tremor
36,10022803,-0.0200,-0.1188,-1.0486,0.0625,-2.8438,1.5156,no_tremor
37,10022812,-0.0164,-0.1216,-1.0486,0.2812,-1.8750,1.2656,no_tremor
38,10022837,-0.0170,-0.1232,-1.0482,0.1562,1.9219,0.3594,no_tremor
39,10022842,-0.0183,-0.1228,-1.0485,-0.4688,1.3438,0.5469,no_tremor
40,10022847,-0.0195,-0.1226,-1.0488,-1.0312,1.3594,0.0469,no_tremor
41,10022852,-0.0204,-0.1222,-1.0493,-0.7812,0.4531,0.0312,no_tremor
42,10022856,-0.0206,-0.1219,-1.0503,-0.5156,-0.2812,0.3594,no_tremor
43,10022862,-0.0199,-0.1215,-1.0509,-0.9688,-0.3594,0.5625,no_tremor
44,10022866,-0.0184,-0.1211,-1.0511,-1.0938,-0.6562,0.5000,no_tremor
45,10022871,-0.0165,-0.1206,-1.0511,-0.8906,-0.7656,0.3281,no_tremor
