sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,10300158,-0.3491,-0.1372,0.8030,4.9688,-71.7344,3.4688,tremor
1,10300169,-0.3398,-0.1509,0.8027,4.8125,-77.6875,4.9219,tremor
2,10300181,-0.3464,-0.1577,0.8074,4.9219,-76.3594,5.1094,tremor
3,10300192,-0.3678,-0.1578,0.8146,5.0938,-64.4219,3.6250,tremor
4,10300203,-0.3993,-0.1542,0.8218,5.6094,-46.4375,3.4844,tremor
5,10300214,-0.4330,-0.1511,0.8313,3.2969,-14.1719,5.8125,tremor
6,10300226,-0.4645,-0.1503,0.8519,-1.3125,29.4531,5.0938,tremor
7,10300237,-0.4910,-0.1514,0.8915,-7.1406,100.4688,7.9062,tremor
8,10300248,-0.5363,-0.1537,0.9519,-16.0625,179.4844,7.1719,tremor
9,10300281,-0.8265,-0.2054,1.1152,-49.5625,404.6094,2.7344,tremor
10,10300292,-0.8733,-0.2273,1.0979,-57.7188,450.5625,7.9688,tremor
11,10300303,-0.8861,-0.2300,1.0302,-59.4062,467.3594,10.7969,tremor
12,10300315,-0.8176,-0.2058,0.9540,-47.2812,424.6562,5.5156,tremor
13,10300326,-0.6876,-0.1547,0.8455,-25.6094,317.3438,-8.0938,tremor
14,10300360,-0.3154,-0.0409,0.4019,16.5469,-54.6094,-11.8281,tremor
15,10300371,-0.2689,-0.0623,0.2411,14.1562,-146.9062,-10.5469,tremor
16,10300416,-0.5948,-0.2196,0.3524,11.5156,-248.2500,-20.0938,tremor
17,10300428,-0.6968,-0.2192,0.4679,17.9219,-257.8906,-19.3906,tremor
18,10300439,-0.7406,-0.2059,0.5476,26.0625,-265.5938,-14.4531,tremor
19,10300450,-0.7240,-0.1798,0.5835,35.3125,-264.3906,-7.0000,tremor
20,10300473,-0.6174,-0.1296,0.6292,43.4844,-219.8594,1.2500,tremor
21,10300484,-0.5951,-0.1232,0.6699,38.9688,-185.1094,-1.0625,tremor
22,10300495,-0.6093,-0.1371,0.7349,29.0938,-159.3750,-3.3281,tremor
23,10300528,-0.6038,-0.2098,0.9116,8.2031,-88.2969,7.4062,tremor
24,10300539,-0.5316,-0.1925,0.9235,12.2812,-82.9844,5.4844,tremor
25,10300573,-0.3470,-0.0651,0.8875,15.8906,-96.1719,9.9688,tremor
26,10300585,-0.3173,-0.0627,0.8717,15.0156,-101.1094,12.5781,tremor
27,10300596,-0.2922,-0.0768,0.8563,14.4844,-108.7656,8.2812,tremor
28,10300607,-0.2667,-0.0935,0.8472,5.6250,-115.8438,0.1094,tremor
29,10300618,-0.2368,-0.1106,0.8478,-0.3750,-115.4531,-1.7812,tremor
30,10300662,-0.3147,-0.1244,1.0306,-2.9844,97.0000,5.9062,tremor
31,10300673,-0.4432,-0.1343,1.1383,-17.6875,208.5469,0.3125,tremor
32,10300684,-0.5656,-0.1609,1.2274,-32.1562,322.4688,-3.7344,tremor
33,10300696,-0.7185,-0.2152,1.3074,-49.0469,415.0625,-2.7969,tremor
34,10300707,-0.8074,-0.2720,1.3221,-60.2031,456.3281,3.1406,tremor
35,10300718,-0.7808,-0.2977,1.2648,-63.2656,452.7969,9.8906,tremor
36,10300730,-0.6348,-0.2675,1.1470,-56.5625,421.4219,13.2344,tremor
37,10300741,-0.4233,-0.1840,0.9893,-35.9531,332.4688,3.2031,tremor
38,10300774,-0.0907,0.0239,0.4733,19.4219,-110.3906,-9.9531,tremor
39,10300785,-0.0901,0.0000,0.3658,18.4531,-203.8438,-2.7812,tremor
40,10300797,-0.1206,-0.0614,0.2958,18.8906,-244.2969,-0.6875,tremor
41,10300808,-0.1971,-0.1276,0.3247,19.9844,-247.3438,-5.3438,tremor
42,10300820,-0.3331,-0.1799,0.4413,14.9062,-217.9062,-12.4531,tremor
