sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,10191245,-0.5194,-0.2666,-0.8488,5.7969,13.4688,-4.0312,tremor
1,10191254,-0.5211,-0.2672,-0.8433,5.9219,16.1406,-3.2969,tremor
2,10191264,-0.5260,-0.2676,-0.8378,5.1094,19.0938,-3.3125,tremor
3,10191299,-0.5372,-0.2699,-0.8440,1.9375,21.1562,-2.4219,tremor
4,10191304,-0.5327,-0.2705,-0.8462,1.1250,19.4062,-1.7812,tremor
5,10191309,-0.5267,-0.2710,-0.8483,1.3594,16.5938,-1.5156,tremor
6,10191314,-0.5197,-0.2715,-0.8501,1.5312,14.7188,-1.0781,tremor
7,10191319,-0.5118,-0.2720,-0.8517,1.0781,13.0000,-0.8438,tremor
8,10191324,-0.4724,-0.2725,-0.8529,0.8750,11.8281,-0.3594,tremor
9,10191329,-0.4919,-0.2727,-0.8530,0.9062,11.3594,0.2031,tremor
10,10191343,-0.4749,-0.2731,-0.8503,-0.2812,9.0781,1.2500,tremor
11,10191348,-0.4717,-0.2729,-0.8489,-1.3750,7.0000,2.5156,tremor
12,10191362,-0.4670,-0.2719,-0.8453,-6.9688,-12.0781,4.1875,tremor
13,10191367,-0.4639,-0.2712,-0.8444,-8.6719,-21.6562,5.1562,tremor
14,10191373,-0.4600,-0.2711,-0.8442,-10.1250,-33.5781,6.9375,tremor
15,10191377,-0.4542,-0.2712,-0.8446,-11.7969,-48.8750,8.3906,tremor
16,10191382,-0.4465,-0.2716,-0.8455,-14.3594,-74.9844,10.7500,tremor
17,10191397,-0.4128,-0.2744,-0.8555,-14.9375,-134.7031,15.3906,tremor
18,10191428,-0.3439,-0.2561,-0.8835,1.7500,-242.2031,22.5312,tremor
19,10191433,-0.3470,-0.2488,-0.8807,3.9844,-242.2188,22.6719,tremor
20,10191438,-0.3561,-0.2413,-0.8680,7.0156,-236.4375,21.1719,tremor
21,10191443,-0.3722,-0.2341,-0.8531,10.4375,-223.5469,17.8281,tremor
22,10191448,-0.4275,-0.2251,-0.8329,14.1562,-202.0156,13.5312,tremor
23,10191453,-0.4495,-0.2209,-0.8070,17.1719,-171.0469,8.5469,tremor
24,10191458,-0.4982,-0.2185,-0.7759,19.2031,-133.3125,4.2656,tremor
25,10191462,-0.5588,-0.2177,-0.7402,20.9531,-89.3906,-1.0625,tremor
26,10191467,-0.6321,-0.2185,-0.7013,22.3125,-6.7969,-5.2812,tremor
27,10191472,-0.7183,-0.2208,-0.6609,20.4688,53.9375,-10.3125,tremor
28,10191477,-0.8162,-0.2241,-0.6201,15.3750,114.7344,-15.1094,tremor
29,10191486,-1.0354,-0.2333,-0.5118,1.8750,234.1875,-24.1094,tremor
30,10191491,-1.2091,-0.2413,-0.4943,-6.5469,282.2031,-26.5156,tremor
31,10191496,-1.2959,-0.2466,-0.4689,-15.2500,316.0781,-27.7344,tremor
32,10191501,-1.3717,-0.2513,-0.4510,-21.9531,336.8438,-28.3594,tremor
33,10191506,-1.4188,-0.2552,-0.4415,-27.3438,345.2969,-25.3281,tremor
34,10191516,-1.4022,-0.2601,-0.4501,-38.9844,308.1562,-14.7031,tremor
35,10191521,-1.3326,-0.2616,-0.4999,-41.4531,270.2500,-9.2344,tremor
36,10191548,-0.3600,-0.2783,-0.7609,-10.5000,-58.0938,13.2656,tremor
37,10191553,-0.1934,-0.2792,-0.8608,-2.1406,-102.8906,15.7188,tremor
38,10191558,0.0118,-0.2754,-0.9238,5.3125,-140.3281,17.6250,tremor
39,10191563,0.1058,-0.2688,-0.9796,9.4531,-172.2188,18.1250,tremor
40,10191568,0.1672,-0.2593,-1.0249,10.5469,-199.3594,18.4688,tremor
41,10191572,0.1936,-0.2477,-1.0569,9.9375,-220.9375,18.5781,tremor
42,10191577,0.1865,-0.2352,-1.0736,8.0000,-241.5625,19.0625,tremor
43,10191582,0.1493,-0.2238,-1.0741,3.9688,-248.1406,17.5938,tremor
44,10191592,0.0044,-0.2087,-1.0281,-0.5312,-242.6562,11.2812,tremor
45,10191601,-0.1965,-0.2131,-0.9047,2.7812,-210.3906,3.5312,tremor
46,10191606,-0.3588,-0.2213,-0.8462,8.6406,-185.4844,-1.2500,tremor
47,10191611,-0.4657,-0.2313,-0.7886,17.1875,-154.7031,-4.6875,tremor
48,10191621,-0.6689,-0.2496,-0.6896,29.7031,-79.3125,-13.3594,tremor
49,10191626,-0.7645,-0.2548,-0.6522,31.7812,-10.1562,-13.6094,tremor
50,10191630,-0.8561,-0.2561,-0.6238,28.7969,40.7812,-12.7500,tremor
51,10191645,-1.1014,-0.2405,-0.5768,11.3594,186.0781,-14.4375,tremor
52,10191671,-1.2274,-0.2313,-0.5736,-32.1719,231.2656,-11.1250,tremor
53,10191676,-1.1633,-0.2422,-0.5831,-38.4219,207.5625,-7.9688,tremor
54,10191681,-1.0736,-0.2560,-0.5990,-42.0625,155.3750,-4.7812,tremor
55,10191686,-0.9623,-0.2714,-0.6227,-40.6875,113.8281,-2.5781,tremor
56,10191700,-0.4924,-0.3142,-0.7689,-21.8906,-15.6562,4.4219,tremor
57,10191710,-0.2502,-0.3123,-0.8778,-0.2812,-91.2344,10.5781,tremor
58,10191715,-0.1554,-0.3016,-0.9293,8.3438,-122.5312,12.7656,tremor
59,10191720,-0.0831,-0.2854,-0.9741,19.9062,-161.6250,14.3906,tremor
60,10191725,-0.0352,-0.2653,-1.0084,21.0938,-178.5938,14.4062,tremor
61,10191730,-0.0125,-0.2434,-1.0350,20.8438,-183.4688,13.2812,tremor
62,10191735,-0.0247,-0.2129,-1.0338,20.3750,-177.7969,11.0625,tremor
63,10191740,-0.0621,-0.1971,-1.0171,21.1250,-165.0312,7.3281,tremor
64,10191749,-0.2013,-0.1824,-0.9435,25.6250,-105.7969,-3.0938,tremor
65,10191754,-0.2993,-0.1837,-0.8926,26.5312,-58.4219,-12.2344,tremor
66,10191759,-0.4133,-0.1902,-0.8372,21.3438,18.4688,-18.7344,tremor
67,10191764,-0.5398,-0.2003,-0.7806,16.1562,70.6406,-24.5781,tremor
68,10191769,-0.6743,-0.2440,-0.6997,11.5781,120.5469,-29.0938,tremor
69,10191796,-1.2490,-0.2607,-0.5562,-18.3594,186.8438,-14.1406,tremor
70,10191806,-1.1780,-0.2533,-0.6038,-18.3906,117.6719,-4.1250,tremor
71,10191810,-1.0204,-0.2504,-0.6410,-18.0469,78.7344,0.3438,tremor
72,10191815,-0.8838,-0.2493,-0.6860,-16.6562,41.0000,4.1719,tremor
73,10191820,-0.7281,-0.2504,-0.7366,-14.6719,6.6719,6.7031,tremor
74,10191825,-0.5677,-0.2540,-0.7894,-13.0469,-22.3594,7.2500,tremor
75,10191835,-0.2782,-0.2661,-0.8893,-9.8594,-74.8750,7.8594,tremor
76,10191839,-0.1681,-0.2728,-0.9308,-4.7500,-90.7344,7.6562,tremor
77,10191844,-0.0891,-0.2787,-0.9637,-6.3906,-103.9062,8.0469,tremor
78,10191849,-0.0438,-0.2828,-0.9869,-5.9688,-115.1719,9.5469,tremor
79,10191854,-0.0312,-0.2847,-1.0309,-6.0000,-125.7812,10.7188,tremor
80,10191864,-0.1147,-0.2783,-0.9880,-1.3750,-132.1094,9.4688,tremor
81,10191868,-0.1782,-0.2717,-0.9691,4.1875,-125.7031,6.3906,tremor
82,10191919,-0.9786,-0.2188,-0.6498,-10.3125,204.7656,-25.0312,tremor
83,10191924,-1.0316,-0.2236,-0.6338,-15.6875,210.1094,-23.2500,tremor
84,10191929,-1.0670,-0.2288,-0.6241,-19.1406,203.8438,-17.7656,tremor
85,10191933,-1.0787,-0.2338,-0.6219,-21.5938,172.6094,-12.6250,tremor
86,10191943,-1.0144,-0.2427,-0.6449,-19.5000,95.8906,1.5312,tremor
87,10191958,-0.6378,-0.2555,-0.7784,-8.3750,-32.7031,9.9688,tremor
