sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,9008386,-0.2734,-0.1259,-1.0022,1.3281,2.1406,0.0312,no_tremor
1,9008391,-0.2739,-0.1257,-1.0029,1.7500,1.5000,-0.4844,no_tremor
2,9008400,-0.2738,-0.1252,-1.0057,1.2031,1.3281,-1.0938,no_tremor
3,9008405,-0.2736,-0.1250,-1.0070,0.6562,2.4062,-1.0938,no_tremor
4,9008410,-0.2736,-0.1248,-1.0081,1.2500,2.5625,-1.2656,no_tremor
5,9008415,-0.2739,-0.1246,-1.0089,1.5938,3.0469,-1.8125,no_tremor
6,9008425,-0.2761,-0.1245,-1.0092,1.1406,4.5781,-1.8125,no_tremor
7,9008429,-0.2777,-0.1248,-1.0088,-0.1562,5.5156,-1.5156,no_tremor
8,9008434,-0.2793,-0.1250,-1.0081,-0.2812,5.4688,-0.7188,no_tremor
9,9008444,-0.2814,-0.1262,-1.0057,1.0156,4.6406,-0.6875,no_tremor
10,9008449,-0.2806,-0.1273,-1.0050,1.6094,3.4062,-0.4375,no_tremor
11,9008454,-0.2786,-0.1282,-1.0045,1.8281,2.0781,-0.9219,no_tremor
12,9008478,-0.2571,-0.1311,-1.0101,3.0625,-1.3906,0.4375,no_tremor
13,9008488,-0.2502,-0.1306,-1.0146,3.2031,-1.9062,-0.1406,no_tremor
14,9008493,-0.2498,-0.1301,-1.0165,3.5312,-0.6719,-0.0156,no_tremor
15,9008503,-0.2523,-0.1290,-1.0183,2.6719,0.0469,1.3594,no_tremor
16,9008507,-0.2550,-0.1288,-1.0181,3.1094,0.1719,0.8125,no_tremor
17,9008512,-0.2581,-0.1287,-1.0172,3.2812,0.4844,0.2500,no_tremor
18,9008517,-0.2614,-0.1289,-1.0145,3.3125,0.9219,0.4688,no_tremor
19,9008522,-0.2646,-0.1298,-1.0122,3.4062,1.1719,0.8594,no_tremor
20,9008527,-0.2692,-0.1306,-1.0096,3.1562,1.3281,1.1875,no_tremor
21,9008532,-0.2720,-0.1316,-1.0070,2.7500,2.0000,0.9219,no_tremor
22,9008537,-0.2744,-0.1326,-1.0045,2.6094,2.6406,0.1094,no_tremor
23,9008542,-0.2766,-0.1333,-1.0022,2.4688,3.5000,-0.2344,no_tremor
24,9008547,-0.2784,-0.1338,-1.0002,1.7188,4.3906,-0.1562,no_tremor
