sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,9336109,-0.2944,-0.2761,-0.9467,-3.4062,9.6875,-3.0625,tremor
1,9336113,-0.2988,-0.2772,-0.9424,-3.0938,11.9062,-3.6406,tremor
2,9336118,-0.3065,-0.2778,-0.9382,-2.6250,12.7969,-3.5938,tremor
3,9336123,-0.3115,-0.2782,-0.9347,-3.0000,13.8281,-3.2969,tremor
4,9336128,-0.3157,-0.2784,-0.9321,-2.9531,14.8281,-2.8594,tremor
5,9336133,-0.3185,-0.2784,-0.9307,-2.6562,15.1562,-2.0000,tremor
6,9336138,-0.3197,-0.2784,-0.9305,-2.2188,15.4375,-2.2812,tremor
7,9336143,-0.3193,-0.2782,-0.9318,-1.3594,16.1250,-3.0938,tremor
8,9336148,-0.3174,-0.2778,-0.9341,-0.7500,16.3281,-3.2188,tremor
9,9336152,-0.3145,-0.2770,-0.9395,-0.6875,15.8750,-2.9062,tremor
10,9336157,-0.3092,-0.2762,-0.9440,-0.4219,15.3281,-2.8906,tremor
11,9336162,-0.3059,-0.2751,-0.9489,0.1562,15.8750,-2.5312,tremor
12,9336188,-0.3037,-0.2649,-0.9756,2.5469,17.1406,-4.3438,tremor
13,9336198,-0.3083,-0.2610,-0.9806,3.9219,18.8594,-3.8438,tremor
14,9336203,-0.3109,-0.2593,-0.9812,4.2969,19.2031,-4.4688,tremor
15,9336207,-0.3136,-0.2579,-0.9797,3.6562,19.4844,-5.2188,tremor
16,9336212,-0.3182,-0.2565,-0.9773,2.9844,21.3281,-5.6250,tremor
17,9336217,-0.3218,-0.2556,-0.9739,2.8125,24.4219,-6.0000,tremor
18,9336222,-0.3256,-0.2548,-0.9698,2.8438,27.6250,-6.4375,tremor
19,9336227,-0.3295,-0.2540,-0.9657,2.4219,30.3750,-6.7812,tremor
20,9336232,-0.3330,-0.2532,-0.9619,2.3750,31.5469,-7.0469,tremor
21,9336236,-0.3353,-0.2524,-0.9592,2.8125,31.0469,-5.7812,tremor
22,9336242,-0.3359,-0.2521,-0.9580,2.9219,29.9688,-5.3906,tremor
23,9336246,-0.3339,-0.2522,-0.9598,3.0469,26.9531,-5.2500,tremor
24,9336251,-0.3285,-0.2543,-0.9639,3.1406,21.2500,-4.8281,tremor
25,9336256,-0.3132,-0.2573,-0.9701,3.7969,14.2656,-3.3906,tremor
26,9336261,-0.2981,-0.2618,-0.9783,4.5938,6.5938,-2.0156,tremor
27,9336265,-0.2792,-0.2677,-0.9878,4.6719,-2.1719,-0.7031,tremor
28,9336270,-0.2570,-0.2749,-0.9978,5.1250,-12.4062,1.3594,tremor
29,9336275,-0.2323,-0.2831,-1.0077,6.2188,-22.5781,3.4844,tremor
30,9336280,-0.2061,-0.2917,-1.0165,7.3281,-32.7969,5.0312,tremor
31,9336284,-0.1797,-0.3005,-1.0234,8.2500,-43.9062,6.4375,tremor
32,9336310,-0.0879,-0.3376,-1.0114,2.8594,-103.6250,18.4219,tremor
33,9336315,-0.0853,-0.3433,-0.9943,0.9531,-116.1250,20.7500,tremor
34,9336320,-0.0873,-0.3463,-0.9825,-2.7500,-131.6094,22.5156,tremor
35,9336325,-0.0909,-0.3489,-0.9722,-6.1250,-148.8750,25.5156,tremor
36,9336330,-0.0951,-0.3512,-0.9641,-7.4688,-166.6719,28.5938,tremor
37,9336335,-0.0983,-0.3531,-0.9589,-7.8750,-185.0625,31.1250,tremor
38,9336339,-0.0992,-0.3549,-0.9564,-8.2656,-204.1250,34.3594,tremor
39,9336344,-0.0974,-0.3560,-0.9564,-7.8594,-223.7031,39.3750,tremor
40,9336349,-0.0923,-0.3563,-0.9579,-6.7031,-255.0469,41.5781,tremor
41,9336354,-0.0842,-0.3555,-0.9595,-2.9844,-271.3906,43.7812,tremor
42,9336358,-0.0741,-0.3530,-0.9596,-0.2656,-290.0938,44.9531,tremor
43,9336364,-0.0634,-0.3456,-0.9532,2.7344,-307.7969,45.7188,tremor
44,9336368,-0.0513,-0.3379,-0.9427,5.3281,-322.5625,46.4375,tremor
45,9336373,-0.0496,-0.3282,-0.9260,6.3594,-333.3750,46.8281,tremor
46,9336378,-0.0559,-0.3169,-0.9028,6.5938,-339.5938,46.2031,tremor
47,9336383,-0.0726,-0.3043,-0.8735,6.4375,-340.9375,44.5781,tremor
48,9336387,-0.1017,-0.2910,-0.8387,5.7656,-337.5000,43.1094,tremor
49,9336392,-0.1439,-0.2775,-0.7999,4.9375,-321.2969,40.1094,tremor
50,9336397,-0.2000,-0.2640,-0.7582,3.3594,-307.8906,36.7812,tremor
51,9336402,-0.2693,-0.2511,-0.7152,0.7188,-289.6562,33.0156,tremor
52,9336435,-0.9585,-0.1749,-0.4808,1.3750,-80.1719,2.9219,tremor
53,9336439,-1.0515,-0.1670,-0.4595,3.0312,-41.2031,-1.7031,tremor
54,9336444,-1.1714,-0.1582,-0.4518,4.5938,-1.4375,-7.1094,tremor
55,9336449,-1.2356,-0.1552,-0.4493,7.6719,40.7344,-14.5156,tremor
56,9336454,-1.2863,-0.1547,-0.4520,11.6719,84.7500,-23.4688,tremor
57,9336463,-1.3495,-0.1616,-0.4698,13.8125,167.3594,-40.3125,tremor
58,9336468,-1.3646,-0.1688,-0.4823,14.7031,227.4688,-44.5938,tremor
59,9336473,-1.3711,-0.1779,-0.4948,11.6719,260.3438,-47.0938,tremor
60,9336478,-1.3706,-0.1886,-0.5061,7.4688,287.9062,-48.1562,tremor
61,9336483,-1.3638,-0.2004,-0.5195,3.9375,307.8906,-48.6875,tremor
62,9336488,-1.3405,-0.2200,-0.5262,0.1250,320.3594,-48.1875,tremor
63,9336497,-1.2722,-0.2485,-0.5365,-9.4531,331.9688,-42.8281,tremor
64,9336502,-1.2137,-0.2635,-0.5417,-13.7031,328.0312,-36.5469,tremor
65,9336517,-0.9091,-0.3092,-0.5703,-21.6094,229.7656,-8.6875,tremor
66,9336522,-0.7650,-0.3237,-0.5885,-21.5469,181.4531,-1.9531,tremor
67,9336526,-0.6052,-0.3370,-0.6132,-19.6250,129.8281,5.0469,tremor
68,9336531,-0.4352,-0.3484,-0.6639,-14.9531,75.6250,12.8438,tremor
69,9336558,0.3757,-0.3326,-0.9359,20.9375,-187.6094,37.4844,tremor
