sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,4721568,-0.1553,-0.3027,0.8661,1.2188,-0.8281,1.6562,no_tremor
1,4721579,-0.1548,-0.3024,0.8687,0.7188,-0.1562,2.4062,no_tremor
2,4721590,-0.1554,-0.3030,0.8707,1.0000,-0.0156,2.5781,no_tremor
3,4721613,-0.1578,-0.3040,0.8751,-0.6562,-1.2188,2.8594,no_tremor
4,4721624,-0.1589,-0.3033,0.8765,-1.4219,-0.7031,2.7656,no_tremor
5,4721635,-0.1609,-0.3026,0.8759,-0.0938,-0.7656,2.0469,no_tremor
6,4721657,-0.1676,-0.3025,0.8672,-0.5312,0.0469,1.9688,no_tremor
7,4721689,-0.1718,-0.3105,0.8579,0.9062,-0.3594,-0.3594,no_tremor
8,4721712,-0.1687,-0.3120,0.8562,0.6719,-1.6406,0.0312,no_tremor
9,4721723,-0.1659,-0.3099,0.8572,1.2031,-0.5312,-0.0781,no_tremor
10,4721734,-0.1632,-0.3074,0.8604,0.1094,0.3281,-0.0469,no_tremor
11,4721745,-0.1620,-0.3051,0.8654,-0.1562,0.2031,0.7031,no_tremor
12,4721756,-0.1627,-0.3030,0.8704,-0.0469,1.5625,0.1562,no_tremor
13,4721779,-0.1650,-0.2987,0.8739,-0.0781,0.4688,-0.2500,no_tremor
14,4721810,-0.1582,-0.3000,0.8635,0.1406,0.2969,2.1875,no_tremor
15,4721821,-0.1553,-0.3040,0.8579,1.1719,-0.0625,0.8438,no_tremor
16,4721833,-0.1542,-0.3073,0.8530,0.3281,-0.2656,2.2188,no_tremor
17,4721844,-0.1548,-0.3082,0.8503,1.4219,-0.3906,2.6719,no_tremor
18,4721855,-0.1556,-0.3068,0.8506,1.1250,-0.0938,2.3594,no_tremor
19,4721866,-0.1560,-0.3042,0.8538,1.9219,1.0156,3.0312,no_tremor
20,4721877,-0.1562,-0.3004,0.8584,1.6094,0.4531,2.1875,no_tremor
21,4721888,-0.1566,-0.2971,0.8647,2.6250,0.3594,1.4844,no_tremor
22,4721931,-0.1547,-0.2975,0.8708,2.1094,-2.3125,2.8906,no_tremor
23,4721942,-0.1537,-0.3000,0.8691,2.5156,-2.6094,2.9844,no_tremor
24,4721953,-0.1544,-0.3015,0.8662,1.9844,-1.0781,4.6406,no_tremor
25,4721964,-0.1583,-0.3026,0.8612,2.2500,-0.8438,3.1562,no_tremor
26,4721976,-0.1647,-0.3044,0.8563,0.9062,0.3125,4.2344,no_tremor
27,4721987,-0.1724,-0.3073,0.8523,1.5312,0.0625,2.6562,no_tremor
28,4721998,-0.1799,-0.3094,0.8497,1.3281,-0.1250,2.2812,no_tremor
29,4722009,-0.1871,-0.3093,0.8497,2.1094,0.1094,1.5000,no_tremor
30,4722020,-0.1946,-0.3065,0.8531,2.1250,0.6875,-0.3594,no_tremor
31,4722032,-0.2015,-0.3029,0.8597,1.8438,0.8594,-3.1250,no_tremor
32,4722063,-0.2473,-0.2947,0.8856,-0.0312,9.9062,-12.2188,no_tremor
33,4722074,-0.2745,-0.2963,0.8966,-0.9688,13.6406,-17.4219,no_tremor
34,4722085,-0.3068,-0.2985,0.9075,-3.4531,17.9688,-21.8438,no_tremor
35,4722097,-0.3425,-0.3002,0.9167,-4.0938,20.8125,-28.8438,no_tremor
36,4722108,-0.3815,-0.3010,0.9225,-5.9375,24.7656,-36.5625,no_tremor
37,4722142,-0.4995,-0.3049,0.9146,-10.3125,30.8906,-69.8750,no_tremor
38,4722153,-0.5393,-0.3070,0.9069,-11.0625,32.1250,-83.1406,no_tremor
39,4722185,-0.6322,-0.3074,0.8788,-12.2969,47.6562,-125.6875,no_tremor
40,4722207,-0.6931,-0.3007,0.8772,-14.1719,80.4844,-157.2500,no_tremor
41,4722219,-0.7181,-0.2964,0.8818,-13.0781,94.3750,-174.4688,no_tremor
42,4722230,-0.7343,-0.2883,0.8820,-11.3594,112.1406,-184.0938,no_tremor
43,4722241,-0.7400,-0.2739,0.8750,-10.2031,129.0156,-196.7969,no_tremor
44,4722252,-0.7371,-0.2538,0.8636,-6.6250,144.2812,-209.1719,no_tremor
45,4722263,-0.7225,-0.2358,0.8535,-3.4375,156.9844,-220.2969,no_tremor
46,4722275,-0.6901,-0.2145,0.8514,0.9375,166.0938,-227.6875,no_tremor
47,4722308,-0.4644,-0.1824,0.9166,11.8438,144.2344,-242.1250,no_tremor
48,4722330,-0.3080,-0.1710,0.9812,16.0469,104.9375,-245.2500,no_tremor
49,4722341,-0.2700,-0.1637,1.0009,17.0156,94.1875,-246.1406,no_tremor
50,4722353,-0.2391,-0.1534,1.0023,18.1719,94.6094,-243.8750,no_tremor
51,4722364,-0.2104,-0.1444,0.9849,18.6719,95.1719,-242.4844,no_tremor
52,4722375,-0.1698,-0.1403,0.9556,12.0625,90.9531,-238.9375,no_tremor
53,4722398,-0.0436,-0.1549,0.9139,12.7500,84.0469,-227.2656,no_tremor
54,4722442,0.1719,-0.1873,0.9637,7.6094,41.4062,-174.6250,no_tremor
55,4722454,0.2059,-0.1808,0.9633,5.5781,31.8281,-154.9062,no_tremor
56,4722465,0.2476,-0.1803,0.9515,3.9375,25.1250,-131.9531,no_tremor
57,4722510,0.4604,-0.3030,0.8431,-5.3125,8.7344,-41.2500,no_tremor
58,4722521,0.4626,-0.3420,0.8187,-8.5781,7.0625,-18.0625,no_tremor
59,4722563,0.3531,-0.4125,0.7816,-8.5000,-1.3281,50.7344,no_tremor
60,4722574,0.3391,-0.4115,0.7698,-7.0938,-4.8750,60.8750,no_tremor
61,4722586,0.3339,-0.4094,0.7604,-6.2344,-11.4688,73.9688,no_tremor
62,4722597,0.3258,-0.4094,0.7548,-3.8906,-18.7188,81.8750,no_tremor
63,4722608,0.3097,-0.4120,0.7510,-0.9219,-27.3438,88.7031,no_tremor
64,4722631,0.2290,-0.4199,0.7371,3.8281,-40.9531,97.0938,no_tremor
65,4722642,0.1860,-0.4255,0.7295,5.2344,-44.7188,101.6406,no_tremor
66,4722674,0.1511,-0.4344,0.7319,7.3125,-49.0938,120.2031,no_tremor
67,4722696,0.1504,-0.4208,0.7676,4.5469,-42.6094,133.3438,no_tremor
68,4722707,0.1333,-0.4061,0.7856,3.2656,-38.0781,141.2812,no_tremor
69,4722719,0.1069,-0.3867,0.8011,1.1875,-36.7344,151.0156,no_tremor
70,4722730,0.0791,-0.3630,0.8154,-0.5938,-38.2344,158.9219,no_tremor
71,4722741,0.0608,-0.3363,0.8297,-0.8594,-43.9688,170.2656,no_tremor
72,4722764,0.0370,-0.2841,0.8536,-1.5312,-60.4062,189.4375,no_tremor
73,4722797,-0.0190,-0.2056,0.8694,-1.4844,-85.1406,203.3906,no_tremor
74,4722808,-0.0585,-0.1890,0.8700,-1.8125,-92.8125,205.7500,no_tremor
75,4722819,-0.0991,-0.1783,0.8767,-0.0312,-99.8438,210.5312,no_tremor
76,4722831,-0.1271,-0.1715,0.8934,1.8281,-103.7812,213.8438,no_tremor
77,4722853,-0.1622,-0.1504,0.9447,-2.4062,-92.1562,222.2969,no_tremor
78,4722864,-0.1639,-0.1368,0.9772,-5.7031,-76.4844,227.2656,no_tremor
79,4722876,-0.1665,-0.1219,1.0054,-7.9844,-63.6094,227.4219,no_tremor
80,4722887,-0.1816,-0.1062,1.0245,-11.0938,-57.0469,224.1719,no_tremor
81,4722919,-0.3390,-0.0750,1.0089,-9.6719,-101.4844,199.1250,no_tremor
82,4722931,-0.4203,-0.0770,0.9814,-4.1875,-112.9375,187.7188,no_tremor
83,4722942,-0.4944,-0.0919,0.9521,-0.3594,-118.5312,178.3594,no_tremor
84,4722964,-0.5760,-0.1698,0.9236,-8.6250,-105.5938,153.7656,no_tremor
85,4722976,-0.5869,-0.2231,0.9305,-13.7344,-95.8594,138.7188,no_tremor
86,4722987,-0.5952,-0.2681,0.9434,-13.5781,-81.7500,123.6875,no_tremor
87,4722998,-0.6180,-0.2889,0.9476,-10.9375,-67.3906,105.1719,no_tremor
88,4723009,-0.6581,-0.2932,0.9354,-7.1094,-52.2812,86.9531,no_tremor
89,4723042,-0.7502,-0.2655,0.8259,-8.8281,3.4688,48.7344,no_tremor
90,4723053,-0.7346,-0.2737,0.8113,-10.4688,18.9062,38.7812,no_tremor
91,4723075,-0.6443,-0.2976,0.8221,-7.5781,30.8281,16.5156,no_tremor
92,4723086,-0.5928,-0.2958,0.8395,-3.8750,25.6094,7.6094,no_tremor
93,4723109,-0.4945,-0.2693,0.8695,2.4062,3.0938,-6.8906,no_tremor
94,4723168,-0.3842,-0.3035,0.8353,3.2031,-13.5938,-24.3594,no_tremor
95,4723173,-0.3911,-0.3104,0.8318,3.5938,-8.8125,-23.9688,no_tremor
96,4723178,-0.3955,-0.3165,0.8286,3.7500,-3.5156,-23.5625,no_tremor
97,4723183,-0.3990,-0.3215,0.8259,3.3906,1.4219,-24.0000,no_tremor
98,4723192,-0.4019,-0.3285,0.8212,3.8281,9.4375,-24.5469,no_tremor
99,4723207,-0.3909,-0.3326,0.8167,3.5781,18.6094,-24.3281,no_tremor
100,4723211,-0.3829,-0.3333,0.8162,4.1719,18.6719,-23.3438,no_tremor
101,4723226,-0.3419,-0.3357,0.8203,2.5781,19.5312,-23.0625,no_tremor
102,4723236,-0.3137,-0.3384,0.8265,3.1406,16.9219,-22.1406,no_tremor
103,4723246,-0.2864,-0.3420,0.8348,2.3906,14.9531,-20.7812,no_tremor
104,4723250,-0.2739,-0.3438,0.8394,3.1875,14.0312,-20.6875,no_tremor
105,4723255,-0.2625,-0.3453,0.8438,3.1562,13.4375,-21.0156,no_tremor
106,4723281,-0.2150,-0.3450,0.8638,2.7188,11.2031,-17.8438,no_tremor
107,4723286,-0.2100,-0.3436,0.8652,2.7344,10.3750,-18.0312,no_tremor
108,4723291,-0.2058,-0.3423,0.8660,2.9375,9.8125,-18.0469,no_tremor
109,4723296,-0.2021,-0.3409,0.8662,2.2344,10.4062,-18.5000,no_tremor
110,4723301,-0.1992,-0.3398,0.8661,1.9375,10.1406,-18.3281,no_tremor
111,4723306,-0.1969,-0.3389,0.8655,1.4688,9.9219,-17.2969,no_tremor
112,4723311,-0.1949,-0.3378,0.8643,1.1406,10.0156,-16.7031,no_tremor
113,4723320,-0.1917,-0.3367,0.8619,1.4375,10.0469,-16.0000,no_tremor
114,4723345,-0.1852,-0.3324,0.8534,0.1250,10.7812,-13.4062,no_tremor
115,4723354,-0.1818,-0.3296,0.8503,-1.1875,11.6250,-12.4375,no_tremor
116,4723359,-0.1791,-0.3285,0.8495,-1.1875,11.1719,-12.1719,no_tremor
117,4723369,-0.1754,-0.3265,0.8486,-0.5938,10.6250,-10.5000,no_tremor
118,4723403,-0.1652,-0.3187,0.8488,-0.3438,5.7031,-7.7812,no_tremor
119,4723409,-0.1646,-0.3179,0.8484,-0.4844,4.9531,-7.2344,no_tremor
120,4723418,-0.1638,-0.3167,0.8477,-0.4844,4.5781,-6.2188,no_tremor
