sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,4763203,-0.2208,-0.2233,0.8820,1.0781,-2.3594,4.0000,no_tremor
1,4763208,-0.2220,-0.2228,0.8843,1.3438,-2.3906,3.9375,no_tremor
2,4763212,-0.2230,-0.2219,0.8862,1.7344,-2.9062,4.1562,no_tremor
3,4763217,-0.2241,-0.2208,0.8876,1.9844,-4.3594,3.9844,no_tremor
4,4763222,-0.2250,-0.2195,0.8884,1.8594,-4.8125,4.3750,no_tremor
5,4763227,-0.2257,-0.2181,0.8887,1.4531,-4.3125,0.1719,no_tremor
6,4763231,-0.2261,-0.2168,0.8885,1.8594,-4.3438,2.5938,no_tremor
7,4763236,-0.2262,-0.2156,0.8882,1.9219,-4.7812,3.3750,no_tremor
8,4763241,-0.2261,-0.2148,0.8876,1.5156,-4.9844,3.7344,no_tremor
9,4763246,-0.2257,-0.2145,0.8865,1.2188,-5.4688,3.3125,no_tremor
10,4763276,-0.2225,-0.2223,0.8757,1.0156,-3.5000,4.2812,no_tremor
11,4763281,-0.2229,-0.2234,0.8729,1.2188,-2.3438,4.0781,no_tremor
12,4763286,-0.2235,-0.2241,0.8701,1.8594,-2.1406,3.6094,no_tremor
13,4763291,-0.2245,-0.2246,0.8674,1.8281,-2.5156,3.5000,no_tremor
14,4763300,-0.2274,-0.2242,0.8628,1.7969,-0.9531,2.1094,no_tremor
15,4763305,-0.2291,-0.2236,0.8611,2.4844,-2.1250,1.8438,no_tremor
16,4763310,-0.2310,-0.2229,0.8600,2.6094,-3.0938,2.1094,no_tremor
17,4763315,-0.2327,-0.2213,0.8595,3.0312,-4.2188,3.0781,no_tremor
18,4763320,-0.2350,-0.2202,0.8597,3.1719,-5.8125,3.1250,no_tremor
19,4763325,-0.2365,-0.2190,0.8604,3.5938,-6.6719,2.5156,no_tremor
20,4763330,-0.2378,-0.2177,0.8612,4.1406,-6.9375,2.8594,no_tremor
21,4763335,-0.2391,-0.2162,0.8621,4.3594,-7.5000,2.9844,no_tremor
22,4763339,-0.2405,-0.2147,0.8628,4.8438,-8.4844,2.3125,no_tremor
23,4763344,-0.2422,-0.2133,0.8633,4.9688,-9.1250,2.3750,no_tremor
24,4763349,-0.2443,-0.2118,0.8635,4.7656,-8.4219,2.5625,no_tremor
25,4763354,-0.2469,-0.2104,0.8636,4.9688,-7.2031,2.7344,no_tremor
26,4763359,-0.2504,-0.2094,0.8641,5.1406,-5.1094,2.7188,no_tremor
27,4763363,-0.2548,-0.2083,0.8646,5.3281,-2.7031,3.2188,no_tremor
28,4763368,-0.2635,-0.2079,0.8652,4.7812,-0.3125,3.3438,no_tremor
29,4763373,-0.2710,-0.2079,0.8658,3.8750,2.3125,2.5625,no_tremor
30,4763398,-0.3268,-0.2092,0.8693,2.1562,14.1719,1.9844,no_tremor
31,4763412,-0.3722,-0.2057,0.8750,0.5781,16.7344,3.0938,no_tremor
32,4763417,-0.3837,-0.2034,0.8766,0.5312,15.7500,3.0312,no_tremor
33,4763431,-0.4136,-0.1917,0.8787,1.7031,12.0938,2.0781,no_tremor
34,4763436,-0.4230,-0.1862,0.8776,2.3438,9.5000,-0.6719,no_tremor
35,4763446,-0.4496,-0.1697,0.8705,5.8281,3.2344,-4.4844,no_tremor
36,4763451,-0.4624,-0.1625,0.8663,6.7656,0.6250,-7.4375,no_tremor
37,4763456,-0.4767,-0.1553,0.8621,7.9844,-1.7656,-10.6875,no_tremor
38,4763461,-0.4923,-0.1484,0.8579,9.7812,-3.6094,-14.0781,no_tremor
39,4763466,-0.5089,-0.1423,0.8544,11.2344,-5.8125,-19.4219,no_tremor
40,4763471,-0.5259,-0.1372,0.8517,12.8125,-11.0000,-23.6250,no_tremor
41,4763475,-0.5427,-0.1331,0.8500,13.8906,-14.0156,-28.2969,no_tremor
42,4763485,-0.5729,-0.1288,0.8513,16.5312,-18.5781,-37.8594,no_tremor
43,4763490,-0.5895,-0.1289,0.8546,17.3906,-19.7188,-42.1875,no_tremor
44,4763522,-0.5894,-0.1572,0.9178,13.8594,0.4219,-77.4688,no_tremor
45,4763527,-0.5831,-0.1613,0.9294,13.1719,11.8281,-82.9531,no_tremor
46,4763532,-0.5814,-0.1642,0.9401,12.3281,23.9062,-87.7656,no_tremor
47,4763541,-0.5874,-0.1659,0.9554,12.2188,58.4531,-104.0312,no_tremor
48,4763551,-0.6072,-0.1616,0.9612,10.9844,84.5000,-117.4219,no_tremor
49,4763561,-0.6366,-0.1498,0.9578,9.7500,102.1875,-130.8125,no_tremor
50,4763566,-0.6599,-0.1437,0.9551,8.3750,108.3438,-136.7188,no_tremor
51,4763571,-0.6736,-0.1370,0.9526,8.2500,113.7344,-143.2656,no_tremor
52,4763576,-0.6841,-0.1298,0.9508,8.5312,117.0312,-152.3906,no_tremor
53,4763586,-0.6902,-0.1135,0.9501,9.9219,116.0469,-160.9688,no_tremor
54,4763590,-0.6840,-0.1045,0.9514,11.2188,113.5312,-165.2656,no_tremor
55,4763605,-0.6125,-0.0704,0.9659,12.4688,103.5625,-178.3750,no_tremor
56,4763610,-0.5820,-0.0613,0.9723,12.7656,99.2969,-182.0781,no_tremor
57,4763615,-0.5497,-0.0530,0.9791,13.4844,95.8906,-185.3125,no_tremor
58,4763620,-0.5176,-0.0459,0.9857,13.8438,88.9375,-189.5312,no_tremor
59,4763647,-0.3950,-0.0378,0.9932,14.6094,87.3906,-206.5938,no_tremor
60,4763652,-0.3884,-0.0406,0.9851,15.9062,88.0781,-208.4062,no_tremor
61,4763657,-0.3839,-0.0436,0.9679,17.7500,89.2500,-209.5312,no_tremor
62,4763662,-0.3793,-0.0474,0.9534,19.4531,89.3438,-210.5156,no_tremor
63,4763667,-0.3763,-0.0490,0.9369,20.6875,90.5156,-211.5156,no_tremor
64,4763672,-0.3730,-0.0499,0.9189,22.4219,93.9375,-212.2344,no_tremor
65,4763677,-0.3691,-0.0502,0.8999,24.6875,97.3281,-212.5312,no_tremor
66,4763686,-0.3593,-0.0498,0.8608,29.5469,103.5312,-215.9844,no_tremor
67,4763701,-0.3396,-0.0531,0.8151,32.0625,111.2969,-218.9688,no_tremor
68,4763705,-0.3313,-0.0566,0.8077,30.4688,110.9062,-218.1406,no_tremor
69,4763710,-0.3217,-0.0647,0.8109,28.7969,108.4375,-215.8906,no_tremor
70,4763715,-0.3031,-0.0717,0.8204,27.2812,104.2656,-213.7344,no_tremor
71,4763720,-0.2871,-0.0795,0.8356,26.8750,99.8281,-211.7500,no_tremor
72,4763729,-0.2440,-0.0942,0.8772,28.9062,88.7344,-204.6562,no_tremor
73,4763739,-0.1863,-0.1034,0.9227,33.1250,72.1094,-193.1406,no_tremor
74,4763771,0.0295,-0.0778,0.9719,37.4688,50.0625,-165.8906,no_tremor
75,4763786,0.0652,-0.0773,0.9333,33.1094,58.6250,-154.1094,no_tremor
76,4763791,0.0679,-0.0833,0.9219,31.5625,60.6719,-151.6719,no_tremor
77,4763796,0.0659,-0.0917,0.9127,29.2969,61.6562,-147.5156,no_tremor
78,4763801,0.0620,-0.1023,0.9070,25.8125,62.2344,-142.4531,no_tremor
