sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,4952204,-0.3444,-0.0800,0.8256,-0.5625,-5.5156,0.6250,tremor
1,4952230,-0.3455,-0.0809,0.8337,0.8125,-11.5156,1.0625,tremor
2,4952234,-0.3470,-0.0817,0.8352,1.7969,-10.5625,1.2812,tremor
3,4952239,-0.3495,-0.0824,0.8372,2.6406,-8.3281,1.5469,tremor
4,4952244,-0.3525,-0.0835,0.8381,2.0469,-3.3438,1.5625,tremor
5,4952249,-0.3588,-0.0841,0.8389,1.2344,4.2812,1.3906,tremor
6,4952254,-0.3645,-0.0845,0.8395,1.8594,13.2344,0.9219,tremor
7,4952259,-0.3718,-0.0846,0.8401,3.3281,24.4844,0.1875,tremor
8,4952263,-0.3815,-0.0844,0.8408,4.6562,38.6250,-0.4531,tremor
9,4952268,-0.3947,-0.0836,0.8414,5.3281,64.7500,-3.6406,tremor
10,4952288,-0.5240,-0.0748,0.8480,5.4844,159.0469,-12.2812,tremor
11,4952293,-0.5702,-0.0724,0.8508,2.7500,182.3906,-12.7031,tremor
12,4952303,-0.6698,-0.0697,0.8582,-7.8125,218.8438,-12.1875,tremor
13,4952307,-0.7157,-0.0708,0.8624,-14.3125,225.8438,-10.4844,tremor
14,4952312,-0.7532,-0.0740,0.8668,-20.7031,217.0312,-8.0625,tremor
15,4952317,-0.7777,-0.0796,0.8712,-22.6250,197.2344,-6.7031,tremor
16,4952322,-0.7850,-0.0870,0.8763,-23.7969,168.4062,-6.6875,tremor
17,4952353,-0.2876,-0.1216,0.8505,11.0156,-151.1406,3.6406,tremor
18,4952358,-0.1776,-0.1136,0.8403,21.9844,-188.3281,5.7969,tremor
19,4952363,-0.0763,-0.1017,0.8304,26.4844,-219.0938,6.5312,tremor
20,4952368,0.0098,-0.0867,0.8215,27.9531,-244.2031,7.0156,tremor
21,4952372,0.0751,-0.0388,0.8115,26.5625,-264.3906,7.4062,tremor
22,4952377,0.1243,-0.0475,0.8074,24.5469,-275.9531,5.0312,tremor
23,4952382,0.1199,-0.0372,0.8048,23.5625,-273.9219,-1.7031,tremor
24,4952387,0.0836,-0.0331,0.8038,23.1875,-256.8125,-13.6875,tremor
25,4952392,0.0150,-0.0359,0.8042,23.7500,-226.2031,-29.7344,tremor
26,4952397,-0.0854,-0.0459,0.8060,24.7969,-154.3906,-52.5938,tremor
27,4952402,-0.2155,-0.0621,0.8090,22.5625,-92.1250,-62.9531,tremor
28,4952407,-0.3711,-0.0831,0.8125,18.8438,-19.5625,-68.5625,tremor
29,4952411,-0.5458,-0.1069,0.8160,13.6250,55.5312,-70.2188,tremor
30,4952416,-0.7308,-0.1434,0.8196,6.3281,125.6562,-68.7812,tremor
31,4952426,-1.1665,-0.1848,0.8210,-8.0312,225.6250,-62.6250,tremor
32,4952431,-1.2987,-0.1992,0.8210,-12.7656,245.9844,-60.6094,tremor
33,4952440,-1.4346,-0.2119,0.8209,-15.6250,221.1562,-53.5156,tremor
34,4952445,-1.4257,-0.2098,0.8218,-14.9062,197.1875,-48.9219,tremor
35,4952450,-1.3635,-0.2025,0.8240,-12.8281,164.0000,-42.8906,tremor
36,4952478,-0.2955,-0.0887,0.8573,23.8125,-94.7500,-25.1875,tremor
37,4952482,-0.1198,-0.0658,0.8568,29.5938,-122.7500,-28.7969,tremor
38,4952487,0.0219,-0.0444,0.8514,32.5469,-145.1250,-33.4844,tremor
39,4952497,0.1738,-0.0070,0.8163,32.7500,-173.4219,-44.1250,tremor
40,4952501,0.1630,-0.0023,0.7952,31.2656,-177.9219,-52.1719,tremor
41,4952506,0.1000,-0.0050,0.7720,30.7500,-173.2188,-64.3906,tremor
42,4952521,-0.2819,-0.0563,0.7109,27.6250,-76.6719,-101.0781,tremor
43,4952536,-0.7582,-0.1414,0.7111,16.7500,66.0312,-103.0938,tremor
44,4952540,-0.9568,-0.1764,0.7268,14.2500,110.7344,-99.8594,tremor
45,4952545,-1.0593,-0.1918,0.7473,11.1719,146.9375,-95.4219,tremor
46,4952550,-1.1327,-0.1992,0.7706,7.7812,171.4219,-90.5781,tremor
47,4952555,-1.1742,-0.1985,0.7953,5.9062,182.4844,-85.1562,tremor
48,4952560,-1.1824,-0.1902,0.8195,5.6719,179.2188,-79.5625,tremor
49,4952564,-1.1572,-0.1754,0.8417,6.6562,151.0938,-72.6875,tremor
50,4952569,-1.1005,-0.1556,0.8610,9.7656,121.5625,-69.3125,tremor
51,4952600,-0.1885,-0.0144,0.8906,26.7344,-97.0781,-47.3125,tremor
52,4952605,-0.0679,-0.0051,0.8845,26.2500,-113.4219,-48.4531,tremor
53,4952610,0.0265,0.0000,0.8774,25.5938,-127.0156,-49.9062,tremor
54,4952615,0.0883,0.0007,0.8691,20.1406,-135.6094,-54.2500,tremor
55,4952620,0.1133,-0.0031,0.8590,22.8438,-133.0000,-60.4688,tremor
56,4952625,0.1003,-0.0116,0.8463,22.9844,-123.6719,-70.5469,tremor
57,4952629,0.0513,-0.0245,0.8315,22.3438,-106.3281,-82.3125,tremor
58,4952634,-0.0294,-0.0414,0.8081,20.4375,-81.4375,-92.0469,tremor
59,4952644,-0.3204,-0.0955,0.7874,16.9062,-14.7500,-97.7969,tremor
60,4952654,-0.5750,-0.1388,0.7893,13.2031,62.8438,-92.7188,tremor
61,4952659,-0.6881,-0.1553,0.7987,12.3750,121.3281,-90.5312,tremor
62,4952663,-0.7843,-0.1659,0.8119,13.1094,158.2969,-89.4375,tremor
63,4952668,-0.8600,-0.1693,0.8274,11.7969,187.7500,-88.0156,tremor
64,4952678,-0.9414,-0.1536,0.8689,9.1406,209.8281,-81.6406,tremor
65,4952683,-0.9460,-0.1261,0.8843,8.7812,202.0469,-77.4688,tremor
66,4952688,-0.9084,-0.1039,0.8981,8.6875,183.5469,-72.5469,tremor
67,4952692,-0.8552,-0.0813,0.9099,9.2812,155.8125,-68.4844,tremor
68,4952697,-0.7809,-0.0604,0.9200,11.5469,121.0000,-65.0312,tremor
69,4952725,-0.0768,-0.0160,0.9431,25.7031,-70.5156,-33.6562,tremor
70,4952730,0.0361,-0.0203,0.9403,23.7969,-90.0312,-33.0312,tremor
71,4952734,0.1304,-0.0270,0.9357,21.2656,-115.7031,-33.3906,tremor
72,4952739,0.1992,-0.0359,0.9290,17.6406,-125.5469,-34.4844,tremor
73,4952744,0.2373,-0.0470,0.9193,17.3125,-127.3438,-37.3125,tremor
74,4952749,0.2411,-0.0602,0.9058,19.1094,-123.4844,-43.4062,tremor
75,4952754,0.2097,-0.0752,0.8761,22.3750,-115.2031,-52.5000,tremor
76,4952768,-0.1268,-0.1331,0.7921,28.5625,-65.8594,-75.6719,tremor
77,4952773,-0.2574,-0.1495,0.7646,26.8750,-42.2188,-76.1875,tremor
78,4952778,-0.3860,-0.1654,0.7417,24.5156,-6.2969,-70.8281,tremor
