sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,5047588,-0.6295,-0.1760,0.5653,5.9375,-45.7031,14.3906,tremor
1,5047592,-0.5713,-0.1661,0.5317,6.8750,-71.9219,12.0000,tremor
2,5047597,-0.5004,-0.1577,0.5045,7.7188,-93.1719,8.7031,tremor
3,5047612,-0.3668,-0.1404,0.4718,6.8594,-129.5938,2.1719,tremor
4,5047621,-0.3604,-0.1368,0.4934,5.4844,-136.5000,2.2656,tremor
5,5047626,-0.3813,-0.1384,0.5149,5.1406,-134.1875,2.2344,tremor
6,5047631,-0.4154,-0.1426,0.5413,5.0312,-132.4219,2.0156,tremor
7,5047662,-0.6919,-0.2188,0.7141,2.8594,-130.6094,8.1406,tremor
8,5047667,-0.6996,-0.2271,0.7219,4.0625,-134.4531,8.1562,tremor
9,5047686,-0.6469,-0.2269,0.7119,7.1406,-145.1094,1.1250,tremor
10,5047691,-0.6243,-0.1880,0.7004,6.0781,-146.3750,-3.2812,tremor
11,5047696,-0.5924,-0.2056,0.6935,5.6250,-147.8750,-6.6875,tremor
12,5047706,-0.5603,-0.1887,0.6862,5.7344,-148.5000,-9.9375,tremor
13,5047715,-0.5436,-0.1787,0.6919,4.2500,-146.0312,-12.8594,tremor
14,5047720,-0.5403,-0.1765,0.7002,6.5938,-144.2500,-13.2188,tremor
15,5047725,-0.5394,-0.1759,0.7115,7.4688,-142.5000,-14.0625,tremor
16,5047730,-0.5402,-0.1770,0.7327,7.9219,-140.2812,-15.5938,tremor
17,5047735,-0.5430,-0.1782,0.7479,8.9219,-137.1250,-16.5625,tremor
18,5047740,-0.5449,-0.1797,0.7631,9.7500,-132.1250,-16.8906,tremor
19,5047745,-0.5470,-0.1808,0.7771,10.3438,-125.5469,-17.4219,tremor
20,5047749,-0.5490,-0.1816,0.7897,10.4688,-116.7188,-18.2031,tremor
21,5047781,-0.6417,-0.1748,0.8467,9.7656,101.3438,-26.2500,tremor
22,5047786,-0.6859,-0.1702,0.8549,10.5625,171.7656,-29.2188,tremor
23,5047791,-0.7406,-0.1643,0.8621,7.7188,215.8750,-32.5469,tremor
24,5047796,-0.8040,-0.1576,0.8679,4.4531,255.1562,-34.6719,tremor
25,5047801,-0.9348,-0.1481,0.8730,0.0156,284.5312,-35.0312,tremor
26,5047806,-0.9720,-0.1436,0.8743,-5.6094,300.2344,-33.6719,tremor
27,5047821,-1.0790,-0.1472,0.8658,-16.1406,253.1406,-25.8594,tremor
28,5047830,-1.0197,-0.1626,0.8505,-9.9688,179.0156,-19.0469,tremor
29,5047836,-0.8811,-0.1752,0.8342,-4.1406,126.9531,-15.0781,tremor
30,5047846,-0.6403,-0.1837,0.8059,11.3906,17.4531,-7.5000,tremor
31,5047850,-0.4910,-0.1819,0.7891,19.3281,-35.7500,-7.1406,tremor
32,5047855,-0.3389,-0.1752,0.7710,27.0156,-86.5156,-6.7969,tremor
