sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,8272742,-0.3816,0.0665,0.8599,3.0781,0.1562,-0.0938,no_tremor
1,8272751,-0.3800,0.0667,0.8613,2.4688,-0.9375,-0.3750,no_tremor
2,8272771,-0.3800,0.0664,0.8663,2.4531,-0.6094,-0.7031,no_tremor
3,8272795,-0.3835,0.0669,0.8673,2.1406,1.2969,-0.1562,no_tremor
4,8272840,-0.3820,0.0682,0.8553,3.5625,-0.1562,-0.2812,no_tremor
5,8272855,-0.3777,0.0682,0.8536,3.5625,-1.7500,0.1250,no_tremor
6,8272869,-0.3745,0.0687,0.8531,5.3281,-0.8281,-0.0625,no_tremor
7,8272874,-0.3740,0.0692,0.8528,5.7188,-0.9688,0.2656,no_tremor
8,8272879,-0.3740,0.0699,0.8514,6.3594,-0.5781,0.7812,no_tremor
9,8272884,-0.3746,0.0714,0.8502,6.5469,0.3281,0.6094,no_tremor
10,8272894,-0.3766,0.0735,0.8473,8.0469,-0.2188,0.3750,no_tremor
11,8272898,-0.3778,0.0746,0.8458,8.1406,-0.3594,1.2656,no_tremor
12,8272908,-0.3799,0.0762,0.8440,8.2500,0.0156,0.0938,no_tremor
13,8272918,-0.3806,0.0771,0.8447,8.7500,0.0625,0.0625,no_tremor
14,8272922,-0.3804,0.0773,0.8470,8.6719,-0.1875,0.2031,no_tremor
15,8272967,-0.3760,0.0791,0.8661,7.7188,-0.6406,2.2344,no_tremor
16,8272991,-0.3794,0.0768,0.8795,4.7812,-1.7344,0.5156,no_tremor
17,8272996,-0.3799,0.0746,0.8831,3.7969,-2.0781,1.0469,no_tremor
18,8273001,-0.3807,0.0729,0.8870,2.3281,-2.3750,0.9062,no_tremor
19,8273006,-0.3812,0.0712,0.8909,1.4688,-2.7031,0.1875,no_tremor
20,8273011,-0.3818,0.0692,0.8948,0.7188,-2.9531,-0.4531,no_tremor
21,8273021,-0.3831,0.0653,0.9022,-1.4531,-3.6250,0.5312,no_tremor
22,8273075,-0.4036,0.0271,0.9470,-18.4375,5.6719,-1.3125,no_tremor
23,8273085,-0.4091,0.0203,0.9584,-23.0000,4.1719,-3.2031,no_tremor
24,8273158,-0.4373,-0.0017,1.1296,-52.7344,-1.8281,-13.5469,no_tremor
25,8273162,-0.4427,-0.0042,1.1412,-56.1094,-1.1562,-14.2031,no_tremor
26,8273199,-0.4783,-0.0975,1.3867,-104.7344,-18.7656,-27.3594,no_tremor
27,8273209,-0.4840,-0.1194,1.4589,-111.5781,-26.2969,-31.9844,no_tremor
28,8273218,-0.4834,-0.1278,1.5015,-120.2969,-30.5938,-36.9375,no_tremor
29,8273228,-0.4751,-0.1233,1.5056,-130.9688,-33.5469,-36.6719,no_tremor
30,8273238,-0.4607,-0.1173,1.4785,-144.5938,-29.3125,-31.7812,no_tremor
31,8273243,-0.4567,-0.1162,1.4598,-151.2188,-25.7031,-30.0312,no_tremor
32,8273257,-0.4602,-0.1271,1.4080,-171.6094,-7.0156,-29.7188,no_tremor
33,8273267,-0.4755,-0.1464,1.3895,-188.5312,-2.9844,-29.9219,no_tremor
34,8273271,-0.4844,-0.1589,1.3848,-195.3125,-2.0938,-31.1406,no_tremor
35,8273281,-0.4974,-0.1970,1.3771,-209.0625,-4.2969,-34.5312,no_tremor
36,8273322,-0.3452,-0.3861,1.2014,-320.9062,-25.5312,-18.9375,no_tremor
37,8273327,-0.3291,-0.4088,1.1683,-315.6094,-25.3750,-17.8438,no_tremor
38,8273395,-0.2338,-0.0620,0.6067,-161.5938,-51.6094,-7.6406,no_tremor
39,8273410,-0.2050,-0.1486,0.4696,-154.7969,-38.8906,-1.0938,no_tremor
40,8273415,-0.2030,-0.1825,0.4387,-158.0781,-33.7812,-0.2188,no_tremor
41,8273419,-0.2039,-0.2170,0.4121,-162.3281,-29.2344,1.8750,no_tremor
42,8273461,-0.3153,-0.3711,0.1506,-160.8906,15.4062,-1.2656,no_tremor
43,8273466,-0.3263,-0.3643,0.1074,-153.5625,15.5938,-1.4688,no_tremor
44,8273470,-0.3328,-0.3533,0.0649,-145.3438,13.5469,-0.9531,no_tremor
45,8273475,-0.3339,-0.3387,0.0251,-136.0312,8.8281,-1.0469,no_tremor
46,8273480,-0.3290,-0.3215,-0.0106,-119.8750,4.1875,-0.7344,no_tremor
47,8273485,-0.3181,-0.3025,-0.0415,-107.3594,-0.6875,-0.3438,no_tremor
48,8273544,-0.1357,-0.2454,-0.1317,43.3125,-11.7500,0.0000,no_tremor
49,8273570,-0.2319,-0.3671,-0.1290,78.2656,5.0781,3.8750,no_tremor
50,8273579,-0.2515,-0.4336,-0.1283,91.0781,9.2344,8.8594,no_tremor
51,8273589,-0.2532,-0.4271,-0.1210,102.6406,11.6875,9.0000,no_tremor
52,8273594,-0.2482,-0.4312,-0.1132,107.4688,12.6094,7.6406,no_tremor
53,8273598,-0.2412,-0.4329,-0.1021,112.0156,12.1406,6.6250,no_tremor
54,8273613,-0.2179,-0.4330,-0.0444,127.9531,4.1562,3.4375,no_tremor
55,8273618,-0.2117,-0.4341,-0.0170,132.2188,1.6406,3.0625,no_tremor
56,8273633,-0.2017,-0.4481,0.1024,143.3281,-5.7969,5.7656,no_tremor
57,8273643,-0.2031,-0.4578,0.1730,149.2031,-7.9375,7.8906,no_tremor
58,8273648,-0.2052,-0.4607,0.2041,154.2344,-6.0000,9.5781,no_tremor
59,8273657,-0.2109,-0.4592,0.2517,159.5156,0.2656,10.5312,no_tremor
60,8273693,-0.2806,-0.3600,0.2548,185.9688,32.0625,2.9219,no_tremor
61,8273717,-0.3438,-0.3169,0.3934,198.6406,17.7344,11.8750,no_tremor
