sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,8220243,-0.4185,-0.1101,0.8275,4.3594,0.4375,1.0312,no_tremor
1,8220248,-0.4189,-0.1106,0.8280,4.0156,0.3281,0.9531,no_tremor
2,8220253,-0.4193,-0.1108,0.8284,4.4219,-0.4219,1.2344,no_tremor
3,8220258,-0.4192,-0.1107,0.8287,5.1250,-1.2188,0.7969,no_tremor
4,8220263,-0.4187,-0.1105,0.8290,5.4375,-1.9844,-0.0312,no_tremor
5,8220267,-0.4180,-0.1099,0.8292,5.1719,-2.6875,0.2031,no_tremor
6,8220272,-0.4171,-0.1090,0.8295,4.9531,-2.2188,0.9688,no_tremor
7,8220277,-0.4161,-0.1080,0.8298,5.3281,-1.6094,1.0156,no_tremor
8,8220282,-0.4153,-0.1069,0.8301,5.9062,-1.3438,1.0625,no_tremor
9,8220311,-0.4189,-0.1052,0.8367,4.2969,1.4688,2.1562,no_tremor
10,8220316,-0.4210,-0.1061,0.8381,4.1719,0.9844,1.8750,no_tremor
11,8220321,-0.4231,-0.1072,0.8394,4.7031,0.3906,1.1250,no_tremor
12,8220325,-0.4250,-0.1080,0.8401,5.1719,0.4844,1.4219,no_tremor
13,8220330,-0.4265,-0.1088,0.8406,5.2969,0.9062,1.5938,no_tremor
14,8220335,-0.4272,-0.1091,0.8405,4.9062,0.5625,0.6719,no_tremor
15,8220340,-0.4272,-0.1089,0.8401,4.8281,-0.9688,-0.2969,no_tremor
16,8220345,-0.4264,-0.1082,0.8398,5.3594,-2.5000,-0.0625,no_tremor
17,8220350,-0.4252,-0.1073,0.8396,5.4375,-2.1406,0.3906,no_tremor
18,8220355,-0.4238,-0.1064,0.8397,4.7188,-1.3750,-0.1250,no_tremor
19,8220360,-0.4225,-0.1055,0.8400,3.7656,-0.7812,0.1406,no_tremor
20,8220365,-0.4215,-0.1047,0.8405,3.8125,0.3594,0.0938,no_tremor
21,8220369,-0.4210,-0.1044,0.8408,4.0938,0.3594,-0.3281,no_tremor
22,8220379,-0.4220,-0.1042,0.8408,4.1562,-0.2500,0.4062,no_tremor
23,8220384,-0.4231,-0.1045,0.8405,4.2812,0.4688,-0.0312,no_tremor
24,8220389,-0.4243,-0.1049,0.8397,4.0000,0.6406,-0.1719,no_tremor
25,8220394,-0.4254,-0.1051,0.8387,3.8750,0.4688,-0.0781,no_tremor
26,8220398,-0.4263,-0.1053,0.8376,4.4375,0.3438,-0.6719,no_tremor
27,8220403,-0.4265,-0.1053,0.8365,3.7969,-0.2344,-0.5156,no_tremor
28,8220428,-0.4215,-0.1041,0.8313,4.8125,0.2344,-0.1250,no_tremor
29,8220433,-0.4202,-0.1038,0.8309,4.6094,-0.0938,0.0938,no_tremor
30,8220438,-0.4192,-0.1036,0.8308,4.8906,0.2188,0.3125,no_tremor
31,8220443,-0.4185,-0.1034,0.8308,5.4844,-0.2656,-0.0781,no_tremor
32,8220448,-0.4180,-0.1031,0.8311,5.9219,-0.8750,-0.6250,no_tremor
33,8220453,-0.4177,-0.1029,0.8314,5.5000,-0.3125,-0.5469,no_tremor
34,8220457,-0.4177,-0.1025,0.8320,4.7656,-0.4844,-0.2969,no_tremor
35,8220462,-0.4180,-0.1021,0.8328,4.6250,-0.5469,-0.3438,no_tremor
36,8220467,-0.4182,-0.1014,0.8336,5.2500,0.0625,-0.0781,no_tremor
37,8220472,-0.4186,-0.1007,0.8347,5.5938,-0.1406,0.3594,no_tremor
38,8220477,-0.4189,-0.0999,0.8358,5.2812,0.2344,0.2188,no_tremor
39,8220481,-0.4192,-0.0990,0.8369,4.6094,0.6875,-0.1719,no_tremor
40,8220486,-0.4194,-0.0980,0.8380,4.9219,0.6250,-0.3750,no_tremor
41,8220491,-0.4197,-0.0970,0.8394,5.5781,0.4375,-0.4531,no_tremor
42,8220496,-0.4198,-0.0958,0.8401,5.5781,0.4531,0.0625,no_tremor
43,8220501,-0.4200,-0.0951,0.8406,5.2031,0.5625,0.4375,no_tremor
44,8220506,-0.4202,-0.0945,0.8412,4.9219,0.5781,-0.2344,no_tremor
45,8220510,-0.4203,-0.0940,0.8418,4.7656,1.1250,-0.8750,no_tremor
46,8220520,-0.4205,-0.0935,0.8431,3.9844,0.5625,0.6094,no_tremor
47,8220525,-0.4205,-0.0935,0.8438,3.3594,0.0781,0.4688,no_tremor
48,8220550,-0.4176,-0.0948,0.8461,2.1250,-0.5000,0.4062,no_tremor
49,8220560,-0.4163,-0.0953,0.8458,2.7188,-0.1406,-0.2812,no_tremor
50,8220565,-0.4159,-0.0955,0.8452,2.3750,-0.2969,-0.3594,no_tremor
51,8220569,-0.4156,-0.0957,0.8445,2.9844,-0.6719,0.1562,no_tremor
52,8220574,-0.4158,-0.0958,0.8427,3.5469,-0.6094,0.4844,no_tremor
53,8220579,-0.4160,-0.0961,0.8413,3.1250,-0.2031,0.5781,no_tremor
54,8220583,-0.4167,-0.0963,0.8397,2.8906,-0.3125,0.8750,no_tremor
55,8220588,-0.4175,-0.0967,0.8384,3.4062,-0.6094,0.9062,no_tremor
56,8220593,-0.4181,-0.0972,0.8373,3.5938,-0.2500,0.4375,no_tremor
57,8220603,-0.4196,-0.0986,0.8363,2.3125,0.5469,0.7500,no_tremor
58,8220607,-0.4202,-0.0995,0.8364,2.5000,0.4219,0.5781,no_tremor
59,8220612,-0.4207,-0.1003,0.8369,2.5781,0.3906,0.7188,no_tremor
60,8220617,-0.4209,-0.1012,0.8376,2.4531,0.7812,1.3750,no_tremor
61,8220622,-0.4211,-0.1018,0.8384,2.3281,0.7188,0.8438,no_tremor
62,8220626,-0.4211,-0.1022,0.8390,3.0156,0.6875,0.4531,no_tremor
63,8220631,-0.4210,-0.1023,0.8396,3.0000,0.3438,1.0625,no_tremor
64,8220636,-0.4210,-0.1022,0.8401,2.6250,0.2812,1.4688,no_tremor
65,8220641,-0.4209,-0.1018,0.8407,2.4531,0.5312,0.7656,no_tremor
66,8220646,-0.4207,-0.1012,0.8409,1.8906,0.3125,-0.3281,no_tremor
67,8220680,-0.4240,-0.1010,0.8416,0.4844,1.5156,0.0469,no_tremor
68,8220685,-0.4249,-0.1013,0.8420,-0.1094,1.2188,0.2656,no_tremor
69,8220690,-0.4258,-0.1017,0.8427,-0.4531,0.9531,0.4062,no_tremor
70,8220695,-0.4266,-0.1022,0.8435,-0.2656,0.3906,-0.3125,no_tremor
71,8220700,-0.4272,-0.1028,0.8446,-0.6719,0.4688,-0.9531,no_tremor
72,8220704,-0.4276,-0.1034,0.8458,-1.4688,1.1875,-1.3750,no_tremor
73,8220714,-0.4282,-0.1046,0.8490,-2.0312,0.7812,-0.4844,no_tremor
74,8220719,-0.4283,-0.1051,0.8517,-2.4844,0.7812,-1.0781,no_tremor
75,8220724,-0.4288,-0.1056,0.8535,-3.3594,0.8281,-2.2812,no_tremor
76,8220733,-0.4301,-0.1061,0.8571,-5.0312,0.9375,-2.1719,no_tremor
77,8220738,-0.4308,-0.1063,0.8584,-5.0312,1.5312,-2.5312,no_tremor
78,8220748,-0.4323,-0.1068,0.8604,-4.7656,-0.3438,-3.2344,no_tremor
79,8220752,-0.4329,-0.1071,0.8608,-6.0156,-0.0156,-3.4375,no_tremor
80,8220757,-0.4332,-0.1075,0.8612,-6.4844,0.4688,-3.2812,no_tremor
81,8220762,-0.4333,-0.1082,0.8616,-6.2812,0.4375,-3.2500,no_tremor
82,8220767,-0.4333,-0.1089,0.8624,-6.5469,0.6562,-3.8750,no_tremor
83,8220792,-0.4307,-0.1180,0.8706,-12.2500,-2.2656,-5.8438,no_tremor
84,8220796,-0.4302,-0.1206,0.8734,-13.5312,-2.6250,-5.4062,no_tremor
85,8220843,-0.4453,-0.1489,0.9243,-29.4688,-2.1094,-9.5625,no_tremor
86,8220985,-0.5220,-0.3662,1.1543,-114.1094,-24.5781,-31.8594,no_tremor
87,8220989,-0.5168,-0.3737,1.1448,-119.5781,-27.2188,-31.6094,no_tremor
88,8221019,-0.4666,-0.4425,1.1415,-150.1094,-20.2812,-28.7031,no_tremor
89,8221046,-0.4620,-0.4482,1.0919,-185.8750,4.4062,-37.4062,no_tremor
90,8221051,-0.4664,-0.4435,1.0743,-214.7031,5.3125,-43.7188,no_tremor
91,8221056,-0.4702,-0.4410,1.0492,-232.7500,1.6562,-45.7656,no_tremor
92,8221066,-0.4706,-0.4603,1.0245,-253.8906,-2.1406,-43.2500,no_tremor
93,8221071,-0.4656,-0.4802,1.0172,-265.3750,-2.4688,-40.4844,no_tremor
94,8221076,-0.4576,-0.5051,1.0123,-267.0156,-6.2656,-35.8438,no_tremor
95,8221086,-0.4349,-0.5530,1.0027,-232.7500,-15.0469,-27.2500,no_tremor
96,8221091,-0.4214,-0.5681,0.9895,-214.2812,-15.8594,-25.7969,no_tremor
97,8221096,-0.3997,-0.5613,0.9757,-197.0000,-18.5938,-25.9688,no_tremor
98,8221101,-0.3843,-0.5394,0.9573,-181.3750,-22.4688,-28.0938,no_tremor
99,8221105,-0.3683,-0.5040,0.9337,-166.8125,-27.5625,-30.1562,no_tremor
100,8221120,-0.3147,-0.3550,0.8322,-145.7344,-43.4062,-25.5000,no_tremor
101,8221125,-0.2954,-0.2865,0.7651,-145.3125,-46.2031,-24.2031,no_tremor
102,8221130,-0.2668,-0.2521,0.7158,-143.8906,-46.5781,-21.7188,no_tremor
103,8221135,-0.2489,-0.2292,0.6637,-142.0156,-44.5625,-17.5781,no_tremor
104,8221140,-0.2329,-0.2185,0.6101,-140.9375,-41.7500,-11.1719,no_tremor
105,8221168,-0.2075,-0.3396,0.3210,-132.3125,-10.4375,0.0781,no_tremor
106,8221173,-0.2157,-0.3705,0.2872,-132.4688,-5.5312,0.0625,no_tremor
107,8221178,-0.2260,-0.3989,0.2587,-131.5781,0.2344,-0.0625,no_tremor
108,8221182,-0.2374,-0.4236,0.2247,-130.9062,4.4062,-1.0156,no_tremor
109,8221187,-0.2490,-0.4519,0.2075,-130.2969,7.2656,-3.2031,no_tremor
110,8221192,-0.2599,-0.4650,0.1937,-128.3750,9.1875,-5.0469,no_tremor
111,8221197,-0.2725,-0.4740,0.1829,-124.5938,10.4375,-5.7656,no_tremor
112,8221202,-0.2772,-0.4796,0.1746,-120.5625,11.0312,-5.7656,no_tremor
113,8221211,-0.2758,-0.4835,0.1641,-115.4375,11.6094,-6.0938,no_tremor
114,8221216,-0.2692,-0.4830,0.1610,-111.6719,9.9688,-4.9688,no_tremor
115,8221226,-0.2460,-0.4779,0.1545,-95.9688,5.6562,-3.2500,no_tremor
116,8221231,-0.2233,-0.4746,0.1509,-89.1094,4.3750,-3.3594,no_tremor
117,8221236,-0.2075,-0.4708,0.1461,-81.4219,1.5156,-4.5000,no_tremor
118,8221241,-0.1926,-0.4667,0.1401,-74.4844,-2.2969,-5.5625,no_tremor
119,8221246,-0.1796,-0.4622,0.1333,-67.3594,-5.8594,-6.6719,no_tremor
120,8221251,-0.1691,-0.4575,0.1254,-59.1719,-9.1250,-6.5625,no_tremor
121,8221255,-0.1616,-0.4530,0.1167,-46.8438,-15.0625,-5.0469,no_tremor
122,8221260,-0.1572,-0.4487,0.1069,-38.9688,-18.9062,-3.4375,no_tremor
123,8221265,-0.1559,-0.4448,0.0648,-31.3594,-21.8438,-2.6250,no_tremor
