sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,8533951,-0.4885,0.1405,0.8054,0.3750,0.8281,0.4688,tremor
1,8533962,-0.4868,0.1394,0.8044,1.2188,0.8594,1.5000,tremor
2,8533990,-0.4812,0.1354,0.8018,1.9062,-0.5469,0.6406,tremor
3,8533995,-0.4802,0.1353,0.8020,2.0156,-0.4219,0.9375,tremor
4,8534000,-0.4790,0.1354,0.8026,2.6562,0.5625,0.2344,tremor
5,8534005,-0.4785,0.1359,0.8033,2.6406,0.9375,0.2188,tremor
6,8534030,-0.4805,0.1387,0.8110,0.4062,-0.4219,0.8125,tremor
7,8534044,-0.4821,0.1396,0.8151,0.5000,-0.3281,-0.5156,tremor
8,8534049,-0.4823,0.1400,0.8162,0.2500,-0.8750,-1.1875,tremor
9,8534059,-0.4824,0.1412,0.8176,0.6094,-0.7031,-2.0156,tremor
10,8534069,-0.4827,0.1423,0.8181,-0.0156,-0.3281,-1.7500,tremor
11,8534092,-0.4851,0.1421,0.8173,-1.7031,-0.5469,-2.6719,tremor
12,8534102,-0.4855,0.1409,0.8174,-1.4375,-0.0469,-2.7188,tremor
13,8534107,-0.4854,0.1401,0.8174,-1.3438,-1.2344,-2.7969,tremor
14,8534112,-0.4847,0.1396,0.8173,-0.7656,-1.3750,-3.4688,tremor
15,8534117,-0.4839,0.1392,0.8164,-0.4062,-1.1094,-3.5938,tremor
16,8534126,-0.4805,0.1387,0.8138,-0.7656,-1.3125,-3.4844,tremor
17,8534151,-0.4738,0.1342,0.8013,2.0469,-0.9375,-2.5312,tremor
18,8534166,-0.4719,0.1301,0.7941,3.5938,-1.8750,-1.7812,tremor
19,8534170,-0.4716,0.1292,0.7921,4.2500,-3.1719,-1.9688,tremor
20,8534190,-0.4669,0.1278,0.7904,5.1406,-13.2344,-2.4219,tremor
21,8534209,-0.4517,0.1292,0.8018,5.7500,-35.0156,-5.4375,tremor
22,8534214,-0.4469,0.1296,0.8058,6.4531,-40.2188,-6.4531,tremor
23,8534228,-0.4331,0.1332,0.8162,8.6250,-38.4375,-9.5625,tremor
24,8534238,-0.4297,0.1378,0.8246,10.6562,-13.6250,-7.4844,tremor
25,8534243,-0.4353,0.1416,0.8293,9.1406,1.4531,-6.8281,tremor
26,8534248,-0.4449,0.1437,0.8352,6.6562,18.5156,-5.1250,tremor
27,8534278,-0.5986,0.1262,0.8721,-23.0000,83.1719,12.7656,tremor
28,8534292,-0.6486,0.1074,0.8889,-32.3281,56.0469,8.1406,tremor
29,8534312,-0.5592,0.1058,0.9227,-31.7344,-18.8281,-8.7344,tremor
30,8534322,-0.4510,0.1200,0.9272,-27.9688,-58.2344,-16.2969,tremor
31,8534336,-0.3304,0.1467,0.9153,-16.0000,-115.7188,-32.8594,tremor
32,8534341,-0.3026,0.1538,0.9084,-11.1250,-123.9531,-35.6875,tremor
33,8534346,-0.2836,0.1587,0.9016,-11.3594,-127.5625,-35.4531,tremor
