sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,3884940,-0.4968,-0.4237,0.6754,1.4844,2.4844,-4.2656,no_tremor
1,3884951,-0.4946,-0.4219,0.6770,1.6719,2.2969,-3.2969,no_tremor
2,3884985,-0.4843,-0.4224,0.6809,2.5000,0.9219,-3.5781,no_tremor
3,3885017,-0.4822,-0.4252,0.6787,2.9219,1.9531,-2.4219,no_tremor
4,3885028,-0.4846,-0.4275,0.6769,3.2812,1.8125,-2.8594,no_tremor
5,3885039,-0.4868,-0.4301,0.6753,3.1406,1.9688,-3.7188,no_tremor
6,3885050,-0.4878,-0.4326,0.6744,3.7344,2.2812,-2.9688,no_tremor
7,3885061,-0.4877,-0.4340,0.6746,3.2812,2.0469,-3.6719,no_tremor
8,3885073,-0.4873,-0.4344,0.6748,3.5469,2.1406,-4.2344,no_tremor
9,3885084,-0.4868,-0.4341,0.6742,3.6250,2.4688,-5.0781,no_tremor
10,3885095,-0.4857,-0.4337,0.6726,3.3281,2.7344,-4.9688,no_tremor
11,3885137,-0.4789,-0.4335,0.6704,4.2812,0.9844,-4.9844,no_tremor
12,3885159,-0.4800,-0.4279,0.6748,5.2500,2.0156,-4.7344,no_tremor
13,3885171,-0.4789,-0.4244,0.6759,6.2031,0.7188,-4.4062,no_tremor
14,3885182,-0.4769,-0.4224,0.6757,6.4531,0.6719,-4.8906,no_tremor
15,3885193,-0.4750,-0.4226,0.6752,6.4219,-0.0625,-4.3750,no_tremor
16,3885204,-0.4740,-0.4252,0.6760,6.5938,-0.9219,-4.1250,no_tremor
17,3885215,-0.4740,-0.4280,0.6787,6.7656,-2.5625,-4.2344,no_tremor
18,3885226,-0.4752,-0.4310,0.6819,6.8281,-3.2969,-4.6562,no_tremor
19,3885258,-0.4786,-0.4292,0.6948,6.2500,-4.2656,-4.0625,no_tremor
20,3885269,-0.4802,-0.4270,0.6980,4.7344,-3.2188,-4.7656,no_tremor
21,3885280,-0.4855,-0.4249,0.7010,4.8125,-1.5781,-5.7969,no_tremor
22,3885291,-0.4946,-0.4235,0.7036,5.0625,1.1562,-7.2188,no_tremor
23,3885303,-0.5020,-0.4231,0.7043,3.6562,0.8594,-7.2969,no_tremor
24,3885314,-0.5061,-0.4238,0.7034,5.0469,1.0938,-8.5469,no_tremor
25,3885325,-0.5033,-0.4263,0.7012,4.6406,1.1094,-7.8906,no_tremor
26,3885336,-0.4969,-0.4303,0.6993,4.5625,1.6250,-9.4375,no_tremor
27,3885347,-0.4919,-0.4352,0.6979,4.0625,3.4219,-9.5156,no_tremor
28,3885378,-0.4830,-0.4448,0.6903,4.5625,6.0625,-7.4688,no_tremor
29,3885389,-0.4731,-0.4445,0.6864,5.0312,5.5000,-8.3750,no_tremor
30,3885412,-0.4421,-0.4423,0.6877,3.4375,4.0469,-5.5625,no_tremor
31,3885423,-0.4265,-0.4420,0.6981,3.3125,2.6094,-5.0469,no_tremor
32,3885434,-0.4126,-0.4413,0.7145,2.7500,0.0000,-2.9844,no_tremor
33,3885445,-0.4015,-0.4386,0.7334,1.2188,-2.3438,-0.7344,no_tremor
34,3885456,-0.3853,-0.4352,0.7516,0.0000,-3.4062,3.2344,no_tremor
35,3885468,-0.3654,-0.4314,0.7640,-2.1250,-3.7344,5.7500,no_tremor
36,3885479,-0.3430,-0.4313,0.7776,-6.4219,-2.8906,11.1250,no_tremor
37,3885510,-0.2804,-0.4542,0.8175,-18.1719,-0.5156,26.5781,no_tremor
38,3885532,-0.2347,-0.4636,0.8419,-27.5625,-3.6406,43.6875,no_tremor
39,3885543,-0.2079,-0.4622,0.8496,-33.1406,-7.9688,53.2656,no_tremor
40,3885577,-0.1478,-0.4342,0.8634,-43.7031,-24.4531,87.4688,no_tremor
41,3885588,-0.1334,-0.4203,0.8597,-47.9688,-28.7656,94.8438,no_tremor
42,3885600,-0.1254,-0.4069,0.8528,-52.1719,-32.1094,105.8281,no_tremor
43,3885656,-0.2828,-0.3724,0.7753,-55.7812,-75.0625,121.7969,no_tremor
44,3885667,-0.3287,-0.3738,0.7440,-55.9844,-78.6875,122.7188,no_tremor
45,3885678,-0.3647,-0.3763,0.7203,-56.2656,-76.1406,123.4375,no_tremor
46,3885689,-0.3958,-0.3768,0.7125,-58.4219,-69.4219,123.8594,no_tremor
47,3885712,-0.4811,-0.3612,0.7340,-59.7344,-39.4062,122.4375,no_tremor
48,3885768,-0.5560,-0.2798,0.7236,-66.0469,-13.6094,133.5312,no_tremor
49,3885779,-0.5293,-0.2566,0.7296,-66.0625,-16.5312,137.4062,no_tremor
50,3885790,-0.5096,-0.2355,0.7423,-69.7969,-17.8906,141.9375,no_tremor
51,3885801,-0.5032,-0.2178,0.7589,-73.5469,-19.7969,145.0000,no_tremor
52,3885813,-0.5099,-0.2013,0.7723,-75.0000,-18.6719,145.0781,no_tremor
53,3885824,-0.5332,-0.1868,0.7743,-74.1719,-18.2656,145.6719,no_tremor
54,3885828,-0.5463,-0.1788,0.7712,-73.7188,-18.8594,144.7656,no_tremor
55,3885833,-0.5605,-0.1664,0.7617,-73.2656,-20.5625,143.7969,no_tremor
56,3885838,-0.5831,-0.1580,0.7524,-72.9062,-21.6406,144.0781,no_tremor
57,3885843,-0.5983,-0.1500,0.7412,-71.6094,-22.2344,143.7031,no_tremor
58,3885848,-0.6129,-0.1426,0.7285,-70.3594,-22.6875,142.2188,no_tremor
59,3885875,-0.6776,-0.1216,0.6494,-68.1094,-19.7031,134.0312,no_tremor
60,3885879,-0.6906,-0.1222,0.6394,-67.5781,-19.8594,131.4062,no_tremor
61,3885889,-0.7067,-0.1250,0.6239,-66.8906,-18.7812,127.3281,no_tremor
62,3885894,-0.7147,-0.1267,0.6184,-66.4844,-17.5938,123.3438,no_tremor
63,3885899,-0.7229,-0.1283,0.6143,-65.4062,-17.0781,121.4844,no_tremor
64,3885904,-0.7312,-0.1294,0.6110,-63.6094,-17.6250,118.2656,no_tremor
65,3885909,-0.7399,-0.1300,0.6085,-62.0938,-18.3125,114.4844,no_tremor
66,3885914,-0.7485,-0.1296,0.6052,-60.8594,-18.9375,112.1094,no_tremor
67,3885918,-0.7618,-0.1287,0.6029,-59.1250,-19.3906,109.5312,no_tremor
68,3885928,-0.7793,-0.1255,0.5962,-54.3750,-22.1562,103.5781,no_tremor
69,3885933,-0.7877,-0.1235,0.5917,-52.5938,-23.7656,96.9062,no_tremor
70,3885938,-0.7957,-0.1216,0.5863,-51.0000,-25.0312,96.0000,no_tremor
71,3885943,-0.8031,-0.1199,0.5801,-48.4531,-27.3594,92.9688,no_tremor
72,3885948,-0.8097,-0.1184,0.5734,-46.8906,-29.5156,89.8594,no_tremor
73,3885952,-0.8154,-0.1174,0.5664,-45.0312,-30.5156,86.3281,no_tremor
74,3885962,-0.8254,-0.1168,0.5496,-41.6406,-31.6562,80.0938,no_tremor
75,3885967,-0.8279,-0.1174,0.5439,-39.4531,-32.5469,77.0156,no_tremor
76,3885972,-0.8298,-0.1183,0.5392,-37.1094,-32.4531,73.3125,no_tremor
