sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,3694779,-0.4436,-0.4500,0.7000,0.6719,1.4688,-1.1719,no_tremor
1,3694789,-0.4438,-0.4513,0.6987,0.1875,2.1562,-1.3594,no_tremor
2,3694793,-0.4438,-0.4520,0.6981,0.9375,2.0000,-0.9062,no_tremor
3,3694798,-0.4437,-0.4528,0.6976,0.7031,1.5625,-1.1094,no_tremor
4,3694803,-0.4435,-0.4535,0.6973,0.1719,1.3594,-1.3281,no_tremor
5,3694808,-0.4432,-0.4540,0.6970,0.1719,1.0781,-1.0625,no_tremor
6,3694818,-0.4426,-0.4546,0.6968,0.4844,1.3906,-0.0469,no_tremor
7,3694843,-0.4410,-0.4530,0.6976,0.8281,0.7344,-0.7031,no_tremor
8,3694852,-0.4413,-0.4510,0.6984,0.7812,1.0000,-1.0938,no_tremor
9,3694857,-0.4417,-0.4503,0.6987,0.8281,1.1250,-0.7031,no_tremor
10,3694862,-0.4421,-0.4495,0.6991,0.9375,1.0156,-0.9688,no_tremor
11,3694867,-0.4426,-0.4486,0.6995,0.9844,0.8750,-0.8438,no_tremor
12,3694872,-0.4430,-0.4479,0.7000,1.0000,1.0469,-0.7656,no_tremor
13,3694876,-0.4431,-0.4473,0.7004,0.4062,1.4062,-0.8125,no_tremor
14,3694881,-0.4431,-0.4468,0.7009,0.4375,2.1094,-1.0469,no_tremor
15,3694886,-0.4429,-0.4463,0.7014,0.4844,1.7500,-1.2812,no_tremor
16,3694896,-0.4415,-0.4460,0.7023,-0.0625,0.3594,-1.6562,no_tremor
17,3694901,-0.4409,-0.4462,0.7021,0.6562,1.0625,-1.0938,no_tremor
18,3694906,-0.4404,-0.4464,0.7018,0.9531,1.5469,-0.8750,no_tremor
19,3694910,-0.4401,-0.4468,0.7012,0.7812,1.1562,-1.0625,no_tremor
20,3694915,-0.4399,-0.4471,0.7003,0.5938,0.9062,-0.4688,no_tremor
21,3694920,-0.4398,-0.4476,0.6993,0.3594,1.3906,0.1562,no_tremor
22,3694925,-0.4398,-0.4482,0.6984,0.0938,1.6875,-0.2344,no_tremor
23,3694930,-0.4399,-0.4493,0.6968,-0.0312,1.3750,-0.8125,no_tremor
24,3694935,-0.4402,-0.4501,0.6957,0.2812,1.0625,-1.0469,no_tremor
25,3694940,-0.4404,-0.4509,0.6948,0.3125,1.1250,-1.2031,no_tremor
26,3694964,-0.4406,-0.4547,0.6931,0.7031,0.1875,-0.5312,no_tremor
27,3694969,-0.4406,-0.4552,0.6932,0.8906,0.6250,-0.5781,no_tremor
28,3694974,-0.4406,-0.4554,0.6935,0.0938,0.5000,-0.6562,no_tremor
29,3694978,-0.4406,-0.4554,0.6937,-0.8750,0.0156,-0.9062,no_tremor
30,3694983,-0.4406,-0.4552,0.6940,-1.0000,0.4375,-0.9688,no_tremor
31,3694988,-0.4406,-0.4547,0.6943,-0.1562,1.2188,-0.7969,no_tremor
32,3694993,-0.4407,-0.4541,0.6946,0.4219,1.3281,-0.7812,no_tremor
33,3695008,-0.4414,-0.4523,0.6953,-0.6094,0.9062,-2.3750,no_tremor
34,3695018,-0.4427,-0.4510,0.6957,0.9219,1.0938,-1.4844,no_tremor
35,3695023,-0.4434,-0.4508,0.6958,0.9531,0.5312,-1.4219,no_tremor
36,3695027,-0.4438,-0.4506,0.6958,-0.3750,0.4062,-1.3750,no_tremor
37,3695032,-0.4443,-0.4504,0.6958,-0.8281,0.5938,-1.7500,no_tremor
38,3695037,-0.4446,-0.4502,0.6958,-0.2969,0.5625,-2.1250,no_tremor
39,3695042,-0.4446,-0.4500,0.6958,0.1094,-0.1250,-2.4219,no_tremor
40,3695047,-0.4445,-0.4497,0.6959,-0.1406,0.1406,-2.5625,no_tremor
41,3695052,-0.4440,-0.4495,0.6962,-0.1719,0.6250,-2.0781,no_tremor
42,3695056,-0.4434,-0.4490,0.6964,-0.0625,0.4531,-1.4844,no_tremor
43,3695087,-0.4409,-0.4486,0.6987,-0.1406,0.4688,-2.3594,no_tremor
44,3695092,-0.4410,-0.4487,0.6987,0.1094,0.8906,-2.7500,no_tremor
45,3695096,-0.4412,-0.4489,0.6985,0.4531,0.5156,-2.1875,no_tremor
46,3695101,-0.4413,-0.4489,0.6981,0.3438,0.3125,-1.4688,no_tremor
47,3695106,-0.4413,-0.4490,0.6976,0.5938,0.8438,-1.9688,no_tremor
48,3695111,-0.4412,-0.4491,0.6971,1.1562,0.8281,-1.6875,no_tremor
49,3695116,-0.4409,-0.4493,0.6964,1.3125,0.7344,-1.5156,no_tremor
50,3695120,-0.4407,-0.4496,0.6957,1.0938,0.7500,-1.6562,no_tremor
51,3695125,-0.4404,-0.4500,0.6946,0.8594,0.8594,-1.4531,no_tremor
52,3695135,-0.4398,-0.4503,0.6930,1.3125,0.7500,-1.3438,no_tremor
53,3695140,-0.4395,-0.4504,0.6921,1.3594,0.6719,-1.4219,no_tremor
54,3695144,-0.4392,-0.4504,0.6912,1.5625,0.4688,-1.6562,no_tremor
55,3695149,-0.4387,-0.4504,0.6904,1.5938,0.7031,-1.3594,no_tremor
56,3695154,-0.4384,-0.4506,0.6896,1.2656,1.1875,-0.5312,no_tremor
57,3695159,-0.4380,-0.4507,0.6891,1.1875,1.9688,-1.3750,no_tremor
58,3695164,-0.4377,-0.4509,0.6887,1.6719,1.9219,-1.4375,no_tremor
