sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,3977983,-0.6350,-0.3494,0.5632,7.7969,-13.4375,-5.9375,tremor
1,3977988,-0.6310,-0.3486,0.5597,7.5781,-13.3750,-5.8750,tremor
2,3977993,-0.6283,-0.3492,0.5566,7.1719,-12.8438,-5.9688,tremor
3,3978019,-0.6416,-0.3649,0.5697,6.8750,-4.0625,-8.0781,tremor
4,3978024,-0.6476,-0.3687,0.5737,7.0469,-2.8750,-7.8438,tremor
5,3978033,-0.6598,-0.3756,0.5812,6.8281,3.8594,-9.0625,tremor
6,3978038,-0.6650,-0.3787,0.5842,6.9375,1.0000,-9.5469,tremor
7,3978048,-0.6713,-0.3835,0.5876,8.0781,-0.0938,-8.9531,tremor
8,3978052,-0.6710,-0.3851,0.5878,8.5781,-2.1875,-10.2812,tremor
9,3978057,-0.6682,-0.3866,0.5858,9.9062,-6.1094,-11.5156,tremor
10,3978062,-0.6584,-0.3870,0.5830,11.1719,-11.9844,-12.4844,tremor
11,3978067,-0.6488,-0.3870,0.5795,12.0156,-18.2344,-13.3594,tremor
12,3978072,-0.6373,-0.3867,0.5753,13.4531,-24.0469,-12.9219,tremor
13,3978077,-0.6248,-0.3861,0.5713,15.0781,-29.4062,-11.7969,tremor
14,3978086,-0.5999,-0.3845,0.5662,16.9375,-35.3594,-12.8438,tremor
15,3978091,-0.5891,-0.3838,0.5665,16.0625,-33.1719,-11.5781,tremor
16,3978096,-0.5800,-0.3832,0.5699,14.4062,-27.0938,-9.7188,tremor
17,3978101,-0.5726,-0.3829,0.5818,12.2344,-17.6562,-7.1406,tremor
18,3978110,-0.5621,-0.3840,0.6105,4.4688,17.8125,0.8281,tremor
19,3978115,-0.5608,-0.3850,0.6293,-0.4219,41.3594,5.9688,tremor
20,3978141,-0.6117,-0.3843,0.7495,-35.9844,185.2656,29.8594,tremor
21,3978146,-0.6367,-0.3829,0.7703,-43.7500,205.8281,32.1719,tremor
22,3978150,-0.6667,-0.3822,0.7899,-52.2344,223.6406,35.4844,tremor
23,3978155,-0.7002,-0.3824,0.8080,-61.0938,245.5156,37.8750,tremor
24,3978160,-0.7354,-0.3840,0.8242,-73.0000,258.1250,40.0312,tremor
