sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,4008506,-0.6287,-0.3844,0.5787,-1.2812,0.0312,-7.7656,tremor
1,4008511,-0.6304,-0.3854,0.5750,-0.0781,0.0469,-8.0781,tremor
2,4008516,-0.6320,-0.3866,0.5710,1.5781,-1.2969,-9.8594,tremor
3,4008541,-0.6307,-0.4012,0.5576,6.2344,-8.2656,-14.2344,tremor
4,4008546,-0.6271,-0.4052,0.5576,6.5781,-9.0469,-14.4375,tremor
5,4008550,-0.6221,-0.4091,0.5581,6.5625,-9.7500,-14.4531,tremor
6,4008555,-0.6155,-0.4130,0.5590,7.2188,-9.6406,-13.2656,tremor
7,4008560,-0.6075,-0.4163,0.5603,7.3906,-7.8906,-12.0625,tremor
8,4008565,-0.5980,-0.4189,0.5623,6.8594,-0.8281,-8.6562,tremor
9,4008570,-0.5873,-0.4209,0.5651,6.0781,7.6250,-4.6406,tremor
10,4008574,-0.5757,-0.4219,0.5690,4.4688,17.8594,-0.3281,tremor
11,4008579,-0.5640,-0.4221,0.5745,2.2031,29.6562,5.2031,tremor
12,4008584,-0.5532,-0.4215,0.5862,-1.0156,46.0781,11.6562,tremor
13,4008589,-0.5411,-0.4209,0.5969,-5.9375,67.4375,18.0312,tremor
14,4008594,-0.5374,-0.4205,0.6102,-11.3750,89.0000,24.4375,tremor
15,4008599,-0.5381,-0.4209,0.6262,-16.5000,108.0469,30.2031,tremor
16,4008604,-0.5436,-0.4222,0.6450,-22.1250,131.3438,36.0625,tremor
17,4008609,-0.5536,-0.4246,0.6658,-31.7969,141.7500,37.1562,tremor
18,4008613,-0.5674,-0.4280,0.6877,-37.0156,146.4062,36.5938,tremor
19,4008623,-0.5986,-0.4363,0.7385,-43.9688,132.6875,33.2344,tremor
20,4008628,-0.6162,-0.4375,0.7532,-45.2344,114.8125,33.4375,tremor
21,4008633,-0.6204,-0.4362,0.7627,-44.8594,91.8438,35.7344,tremor
22,4008638,-0.6160,-0.4319,0.7661,-43.0469,65.9375,39.3906,tremor
23,4008664,-0.4302,-0.3638,0.6793,-18.4688,-88.1875,49.7188,tremor
24,4008674,-0.3248,-0.3398,0.6208,-13.8281,-123.8125,46.4531,tremor
25,4008679,-0.2991,-0.3384,0.6033,-13.9375,-134.6719,45.4688,tremor
26,4008684,-0.2875,-0.3424,0.5900,-13.9062,-141.1562,44.1719,tremor
27,4008698,-0.3425,-0.3820,0.5730,-19.4219,-102.9531,37.4531,tremor
28,4008703,-0.3853,-0.4005,0.5740,-23.4219,-74.1875,39.9062,tremor
29,4008708,-0.4352,-0.4196,0.5787,-29.2812,-39.3594,44.7969,tremor
30,4008713,-0.4889,-0.4462,0.5940,-36.8281,-0.4844,50.9688,tremor
