sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,7506062,0.0,0.08424569042792009,-0.3539957998403873,-0.9540177941518541,-9.55669359605121,27.57930349238379,-3.7020334732231706,no_tremor
1,7506067,0.005,0.08508117336881248,-0.35378593128142244,-0.9546863741919211,-10.040112251845459,28.179175754281395,-3.4791673586917136,no_tremor
2,7506072,0.01,0.08625015019653427,-0.3534763002564943,-0.9556856908625411,-10.50875770164552,28.557647460813147,-3.2168483473657203,no_tremor
3,7506076,0.014,0.08778578503202765,-0.3530463183293213,-0.9570891935582392,-10.956325851747405,28.68884191752819,-2.914446698903211,no_tremor
4,7506112,0.05,0.08965985387798377,-0.3524898901063817,-0.9589230128646328,-11.376152345348608,28.546711418441774,-2.5716360161040264,no_tremor
5,7506117,0.055,0.09180845488875054,-0.3518110423506353,-0.9611782093513787,-11.761238485254065,28.105222011212657,-2.1884170612014704,no_tremor
6,7506122,0.06,0.0941575477870397,-0.3510181890196452,-0.9638287582939778,-12.104281162173505,27.338548332009307,-1.7651402275581456,no_tremor
7,7506131,0.069,0.09663731531385662,-0.3501203332796843,-0.9668440642385643,-12.397706752203947,26.22127729776611,-1.3025263596304923,no_tremor
8,7506136,0.074,0.0991871765685302,-0.34912534376743914,-0.9701949936816162,-12.633708921447571,24.728619317916774,-0.801685608886402,no_tremor
9,7506141,0.079,0.10175573143217999,-0.34803954687498945,-0.9738555935031307,-12.804290250318171,22.836625570167815,-0.264134010778003,no_tremor
10,7506146,0.084,0.10429879603289988,-0.34686793532853444,-0.9778026836507988,-12.901307563646126,20.52240977026876,0.30819253209045055,no_tremor
11,7506151,0.089,0.1067771625214271,-0.34561457452995875,-0.9820146939828207,-12.916520823520191,17.764372750780378,0.912927172584589,no_tremor
12,7506156,0.094,0.10915471654948661,-0.34428301149274326,-0.9864704142773977,-12.841645408454745,14.542428049103432,1.5472642538801142,no_tremor
13,7506170,0.108,0.11139705472507963,-0.3428766168222313,-0.9911479153584599,-12.668407564510021,10.838226593299842,2.207954955381604,no_tremor
14,7506175,0.113,0.1134705531594917,-0.3413988478182552,-0.9960237026546965,-12.388602772200295,6.635378468565884,2.891306739300769,no_tremor
15,7506185,0.123,0.11534178783230181,-0.3398534422136134,-1.0010720854837956,-11.99415672844569,1.9196696505036255,3.593186875500294,no_tremor
16,7506189,0.127,0.11697721172620297,-0.3382445571605133,-1.0062647229670085,-11.477188595901138,-3.3207284928837986,4.3090303056002925,no_tremor
17,7506194,0.132,0.11834301357870035,-0.3365768669342045,-1.0115703075698084,-10.83007612337445,-9.095059194878896,5.033852084626857,no_tremor
18,7506199,0.137,0.11940510361277222,-0.33485562993185264,-1.0169543545347648,-10.045522192717744,-15.409792084854583,5.762264609471886,no_tremor
19,7506204,0.142,0.1201291881758603,-0.33308673265374705,-1.0223790736636942,-9.116622302100374,-22.268449098001643,6.488499808620949,no_tremor
20,7506244,0.182,0.12048090730536977,-0.3312767160045222,-1.0278033068697794,-8.036932454534279,-29.671446784610836,7.2064364273667145,no_tremor
21,7506258,0.196,0.12042601759251918,-0.32943278750990124,-1.0331825202049307,-6.800536884522184,-37.61595723509947,7.9096324971265615,no_tremor
22,7506263,0.201,0.11993060829098474,-0.3275628218180759,-1.0384688428327113,-5.402115024924383,-46.09578973017597,8.591363025895678,no_tremor
23,7506273,0.211,0.11896134223664905,-0.3256753510218779,-1.0436111479839205,-3.837007090386922,-55.10129508280875,9.244662887641413,no_tremor
24,7506278,0.216,0.11748571543235233,-0.32377954578883916,-1.0485551726154814,-2.101277632880764,-64.61929446170822,9.862374819893287,no_tremor
25,7506283,0.221,0.11547233054785895,-0.3218851879356924,-1.053243673550018,-0.19177641016878885,-74.63303427385196,10.437202360769565,no_tremor
26,7506287,0.225,0.11289118039132633,-0.3200026348703126,-1.0576166184942188,1.8938040984706834,-85.12216843322206,10.961767470957218,no_tremor
27,7506297,0.235,0.10971393782579875,-0.31814277620557024,-1.0616114106537573,4.156875191001624,-96.06276905294159,11.42867249545576,no_tremor
28,7506302,0.24,0.1059142487674579,-0.31631698279824494,-1.06516314577432,6.5979031019314105,-107.42736627228919,11.830566027039954,no_tremor
29,7506307,0.245,0.10146802490419113,-0.3145370484635693,-1.0682049004062182,9.216365440616443,-119.18501757926035,12.160212141054513,no_tremor
30,7506312,0.25,0.09635373268056101,-0.31281512464932304,-1.0706680500585906,12.010713488293522,-131.30140662791965,12.410562381933504,no_tremor
31,7506316,0.254,0.09055267496034598,-0.31116364841312105,-1.07248261570989,14.978340884965895,-143.7389711901772,12.574829798214102,no_tremor
32,7506321,0.259,0.08404926164285102,-0.3095952641248651,-1.0735776368968968,18.11555918037471,-156.45705953031683,12.646564246425392,no_tremor
33,7506326,0.264,0.07683126540983876,-0.3081227394065894,-1.0738815693314996,21.417580660122795,-169.41211414890526,12.619728115275043,no_tremor
34,7506352,0.29,0.06889005874642778,-0.30675887591803075,-1.0733227047054705,24.878508791281405,-182.55788150991697,12.488771559550441,no_tremor
35,7506357,0.295,0.060220828436589394,-0.3055164156917734,-1.0718296100488656,28.491336564659022,-195.8456460463443,12.24870627913418,no_tremor
36,7506367,0.305,0.050822763900031195,-0.30440794380857816,-1.0693315837178639,32.24795294657848,-209.22448645950556,11.895176837214303,no_tremor
37,7506372,0.31,0.04069921601921759,-0.3034457882718739,-1.0657591248142806,36.13915759366738,-222.64155212800057,11.424528491067012,no_tremor
38,7506377,0.315,0.02985782349388641,-0.3026419179832639,-1.0610444125930005,40.15468392934785,-236.04235735735216,10.833870515591787,no_tremor
39,7506382,0.32,0.018310604231476818,-0.3020078397381468,-1.0551217922036058,44.28323062763355,-249.3710912295411,10.121134035201912,no_tremor
40,7506387,0.325,0.006074009805892379,-0.3015544951590021,-1.0479282629420084,48.51250149600152,-262.57094091980304,9.285123438371599,no_tremor
41,7506391,0.329,-0.006831058429901074,-0.30129215847300445,-1.039403965055446,52.829253693981755,-275.5844264930732,8.32556052267128,no_tremor
42,7506396,0.334,-0.020379272424771368,-0.30123033602857296,-1.0294926610445052,57.21935416837117,-288.3537453382115,7.243120598785248,no_tremor
43,7506401,0.339,-0.03454093997930038,-0.30137766843766306,-1.0181422073315611,61.66784412996057,-300.82112452057646,6.03945986465754,no_tremor
44,7506406,0.344,-0.049282106471941214,-0.30174183622995887,-1.0053050121086184,66.15901133971911,-312.92917941737886,4.717233443045058,no_tremor
45,7506410,0.348,-0.06456469491462377,-0.3023294699126133,-0.9909384751327587,70.67646991306128,-324.6212770338592,3.280103557538561,no_tremor
46,7506415,0.353,-0.08034668296558269,-0.30314606534445565,-0.9750054052008792,75.20324728686695,-335.84190237182577,1.7327374067418304,no_tremor
47,7506420,0.358,-0.09658231504965302,-0.3041959053554613,-0.957474411008122,79.72187792171468,-346.53702612937036,0.0807943892899551,no_tremor
48,7506425,0.363,-0.11322234732847015,-0.3054819885691158,-0.9383202610830141,84.2145032264455,-356.6544718516914,-1.669097560577355,no_tremor
49,7506430,0.368,-0.13021432294660268,-0.3070059664153402,-0.9175242085101064,88.66297708934174,-366.14428043412926,-3.5093766419961763,no_tremor
50,7506435,0.373,-0.14750287477375776,-0.3087680893531436,-0.8950742762179263,93.04897627828194,-374.95906960989635,-5.431592830516799,no_tremor
51,7506440,0.378,-0.1650300527826113,-0.3107671633534697,-0.8709654987525639,97.35411483297233,-383.0543857491039,-7.426464298059077,no_tremor
52,7506445,0.383,-0.1827356732523476,-0.313000517722028,-0.8452001167051778,101.56006141968929,-390.38904496843054,-9.483944226520403,no_tremor
53,7506450,0.388,-0.20055768715837752,-0.31546398536703685,-0.8177877203453665,105.64865845765112,-396.9254602222249,-11.593297430005741,no_tremor
54,7506477,0.415,-0.21843256536612948,-0.3181518966346769,-0.788745339557795,109.60204166269324,-402.6299507399795,-13.743185989080347,no_tremor
55,7506482,0.42,-0.2362956985401637,-0.3210570878400754,-0.7580974779009085,113.40275850342756,-407.47302992489784,-15.921762889723391,no_tremor
56,7506487,0.425,-0.254081809944789,-0.32417092560257293,-0.7258760894935852,117.03388395970505,-411.4296676854144,-18.116772470458606,no_tremor
