sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,7440905,0.0,-0.10833411946720581,-0.24680428755257,-0.9892225204901193,0.43833130517488667,2.836596218464948,-3.1522219617982303,no_tremor
1,7440910,0.005,-0.10809222356923462,-0.2468007048942659,-0.9888649889866867,-0.012378057512187162,4.686263355123978,-3.1880770952152617,no_tremor
2,7440919,0.014,-0.10771087865869228,-0.24678015698598246,-0.9884115514562312,-0.4793592840589072,6.602762052739333,-3.2008551819475004,no_tremor
3,7440924,0.019,-0.10714996309429284,-0.24673118836809266,-0.9878824906467086,-0.9603197003107313,8.573686800707254,-3.1888602258350676,no_tremor
4,7440929,0.024,-0.1063867977818685,-0.24664225788137978,-0.9873256966279774,-1.452682364027264,10.585133554101391,-3.150509179234771,no_tremor
5,7440933,0.028,-0.10541425465764195,-0.24650365241859823,-0.9867994921950903,-1.9535849129449578,12.621700579475991,-3.0843559517471277,no_tremor
6,7440938,0.033,-0.1042348498192913,-0.24630796061037658,-0.9863598309930715,-2.459880410838022,14.66650132539261,-2.9891160433929267,no_tremor
7,7440943,0.038,-0.10285574522314166,-0.24604974928654869,-0.9860548388405359,-2.9681403125491124,16.70118999678417,-2.863691631378977,no_tremor
8,7440952,0.047,-0.10128583508413559,-0.245725041582384,-0.9859241013567458,-3.4746596636270106,18.70600045514176,-2.7071969244626906,no_tremor
9,7440957,0.052,-0.09953451611514814,-0.24533088361955138,-0.9859999408894445,-3.97546464237348,20.65979899893829,-2.5189835844522017,no_tremor
10,7440961,0.056,-0.09761143680700123,-0.24486506722630025,-0.9863090769783859,-4.466322541176571,22.540151499098368,-2.298666000448685,no_tremor
11,7440986,0.081,-0.09552669556421715,-0.2443259849021055,-0.9868740152662353,-4.942754270297145,24.323405271783596,-2.0461461877304887,no_tremor
12,7440991,0.086,-0.09329118643603562,-0.2437125739406727,-0.9877140117934646,-5.400049451007914,25.98478596540993,-1.7616380697443592,no_tremor
13,7440995,0.09,-0.09091695001211188,-0.24302431355194826,-0.9888456572779224,-5.83328414608448,27.498509621852296,-1.4456908891298323,no_tremor
14,7441001,0.096,-0.08841747429833549,-0.24226125051543307,-0.9902831760689225,-6.237341254394741,28.837909945015777,-1.0992114827021982,no_tremor
15,7441006,0.101,-0.08580793156342761,-0.24142403841175322,-0.9920385284686968,-6.6069335733487815,29.975580674663313,-0.7234851460662034,no_tremor
16,7441010,0.105,-0.08310535377665233,-0.24051398178737257,-0.9941213844171274,-6.936629508487066,30.88353281957541,-0.32019480598198485,no_tremor
17,7441015,0.11,-0.08032875433024068,-0.2395330803956738,-0.9965390164066245,-7.2208813831398,31.533366350887757,0.10856178714887581,no_tremor
18,7441020,0.115,-0.07749920399757868,-0.23848407080097087,-0.999296144012318,-7.4540562722968,31.8964557933834,0.5602571380536824,no_tremor
19,7441024,0.119,-0.07463986768540028,-0.23737046379256208,-1.0023947516375742,-7.630469253077974,31.944148980509272,1.031921649773438,no_tremor
20,7441029,0.124,-0.07177600684696864,-0.23619657665960497,-1.0058338939446794,-7.744418929451106,31.647978059895962,1.520134124565899,no_tremor
21,7441033,0.128,-0.06893495093687226,-0.23496755967793073,-1.0096094988723896,-7.790225051957318,30.979881652516937,2.021015414383093,no_tremor
22,7441038,0.133,-0.06614604014201939,-0.23368941630139475,-1.0137141752751233,-7.76226801575326,29.912436882637138,2.5302255090169568,no_tremor
23,7441043,0.138,-0.06344054080905263,-0.2323690166129832,-1.0181370304447854,-7.655029983766635,28.41909980943378,3.042964342705311,no_tremor
24,7441072,0.167,-0.060851534451215564,-0.23101410361794308,-1.0228635016882137,-7.463137346943259,26.474452606522707,3.553976588269537,no_tremor
25,7441077,0.172,-0.05841378089713902,-0.2296332919756094,-1.0278752054660367,-7.181404200496808,24.054455654999607,4.0575606916274864,no_tremor
26,7441106,0.201,-0.05616355598770996,-0.22823605878035413,-1.0331498071827274,-6.804876483779901,21.136702542545496,4.547582378912699,no_tremor
27,7441111,0.206,-0.05413846419437399,-0.2268327260217826,-1.038660914444896,-6.328876402481874,17.700675799615727,5.017492843081414,no_tremor
28,7441115,0.21,-0.052377226592572705,-0.22543443438437694,-1.0443779964060382,-5.749046726446152,13.728001056363302,5.460351786359301,no_tremor
29,7441120,0.215,-0.05091944475461402,-0.22405310809085224,-1.0502663316454408,-5.061394535431305,9.202697171670318,5.8688554594144,no_tremor
30,7441156,0.251,-0.04980534130861582,-0.22270141055407577,-1.0562869868566667,-4.2623339688802195,4.111419769791352,6.235369798477956,no_tremor
31,7441161,0.256,-0.0490754781285946,-0.22139269068008413,-1.0623968284282255,-3.3487275242321006,-1.55630447582614,6.551968718085539,no_tremor
32,7441166,0.261,-0.048770453362635184,-0.22014091975795957,-1.0685485687756577,-2.3179254422072306,-7.807855543107619,6.810477569262806,no_tremor
33,7441175,0.27,-0.048930578762527224,-0.21896061897823255,-1.0746908490266964,-1.1678027181692743,-14.647312520062652,7.002521720377347,no_tremor
34,7441180,0.275,-0.049595539044335134,-0.21786677773709823,-1.0807683593699724,0.10320671319875332,-22.075263606212754,7.119580160776533,no_tremor
35,7441189,0.284,-0.05080403528282235,-0.21687476300675718,-1.0867219980557787,1.4960790581091437,-30.088636419113616,7.153043966659338,no_tremor
36,7441194,0.289,-0.05259341462207851,-0.21600022018083603,-1.0924890696883756,3.011173427989016,-38.680551310879686,7.0942794053549045,no_tremor
37,7441199,0.294,-0.05499928886814268,-0.21525896593620855,-1.098003523076831,4.6482086849972575,-47.84020030329351,6.9346953887530995,no_tremor
38,7441229,0.324,-0.05805514481397022,-0.21466687378618043,-1.103196228518328,6.406244740383155,-57.552754110414504,6.665814918881409,no_tremor
39,7441233,0.328,-0.06179194942965589,-0.2142397531317934,-1.1079952939767241,8.283668647526541,-67.79929953018949,6.279350098229704,no_tremor
40,7441238,0.333,-0.06623775332952744,-0.21399322274390872,-1.1123264191933022,10.278185796766884,-78.55680924886981,5.7672802046339315,no_tremor
41,7441243,0.338,-0.07141729620231188,-0.21394257972404207,-1.1161132863312322,12.386816479870461,-89.79814581477393,5.121932256348135,no_tremor
42,7441248,0.343,-0.0773516181603745,-0.2141026650928959,-1.1192779853158294,14.605898048692463,-101.49210120364461,4.3360634187806575,no_tremor
43,7441257,0.352,-0.0840576812249741,-0.21448772724125276,-1.1217414715927987,16.931092844894124,-113.6034730183019,3.4029445318656073,no_tremor
44,7441262,0.357,-0.09154800540822244,-0.21511128455014167,-1.123424053587256,19.357402024539596,-126.09317794233151,2.3164439679888873,no_tremor
45,7441267,0.362,-0.09983032406780659,-0.21598598854868395,-1.1242459067080166,21.87918534210487,-138.91840260714096,1.0711109666214662,no_tremor
46,7441277,0.372,-0.10890726338525082,-0.21712348903086923,-1.1241276103063957,24.49018689176256,-152.03279154578877,-0.3377424648093231,no_tremor
47,7441282,0.377,-0.11877605094005661,-0.21853430259789616,-1.122990703570894,27.183566728421884,-165.3866714116819,-1.9139620415614285,no_tremor
48,7441287,0.382,-0.12942825840756014,-0.22022768613106994,-1.1207582559255411,29.951938206446247,-178.92731015467464,-3.660475076814172,no_tremor
49,7441292,0.387,-0.14084958338369188,-0.22221151673139503,-1.1173554471103455,32.78741078171819,-192.5992093918738,-5.579218755334183,no_tremor
50,7441297,0.392,-0.15301967521977186,-0.22449217968498042,-1.1127101517696791,35.6816379258036,-206.34442780116925,-7.671073823436696,no_tremor
51,7441301,0.396,-0.16591200952027313,-0.2270744660261866,-1.106753523071497,38.625869703193985,-220.10293300768726,-9.935804698874165,no_tremor
52,7441306,0.401,-0.179493815603438,-0.22996148126985513,-1.09942056963945,41.61100946892562,-233.81297912711193,-12.37200697072966,no_tremor
53,7441311,0.406,-0.1937260607382812,-0.23315456686552957,-1.0906507199129332,44.627674060436625,-247.41150687572176,-14.977063206198537,no_tremor
54,7441315,0.41,-0.2085634943432571,-0.2366532358848084,-1.0803883679680322,47.66625678977109,-260.8345629526628,-17.747107909185154,no_tremor
55,7441320,0.415,-0.22395475455541386,-0.24045512438157152,-1.068583394845092,50.71699249306822,-274.01773523513697,-20.677002386735882,no_tremor
56,7441325,0.42,-0.23984253865159744,-0.24455595975698835,-1.055191659544248,53.77002386423746,-286.89660018704825,-23.76032017559241,no_tremor
57,7441353,0.448,-0.2561638377300872,-0.24894954731007152,-1.0401754540734953,56.815468287934166,-299.4071787543711,-26.98934356520697,no_tremor
58,7441357,0.452,-0.2728502348670237,-0.25362777595417435,-1.0235039172626113,59.8434843916299,-311.4863969032635,-30.35507162966366,no_tremor
59,7441362,0.457,-0.2898282647142431,-0.25858064382784984,-1.0051534024746287,62.844337555399186,-323.07254686018905,-33.84724005551532,no_tremor
60,7441367,0.462,-0.30701983131728444,-0.263796304229477,-0.9851077948228161,65.8084636473815,-334.1057450549259,-37.45435293209121,no_tremor
61,7441372,0.467,-0.32434267992460375,-0.26926113197202656,-0.9633587739983608,68.72653028637173,-344.52838275398256,-41.163726557919915,no_tremor
62,7441377,0.472,-0.34171091780193935,-0.27495980990599056,-0.9399060193070021,71.58949496283641,-354.2855653891883,-44.96154520901696,no_tremor
63,7441382,0.477,-0.3590355785641814,-0.2808754350144794,-0.9147573539945144,74.38865937041851,-363.3255366126983,-48.83292870829165,no_tremor
64,7441386,0.481,-0.37622522425820815,-0.28698964316185255,-0.8879288264154942,77.11571931082587,-371.6000831362754,-52.76201152933988,no_tremor
65,7441391,0.486,-0.3931865793330514,-0.2932827512890795,-0.8594447260756057,79.76280953888457,-379.06491644620553,-56.73203306306511,no_tremor
66,7441396,0.491,-0.40982519067961765,-0.2997339156040611,-0.8293375330642554,82.32254291703099,-385.68002753986366,-60.72543857087292,no_tremor
67,7441401,0.496,-0.42604610807428156,-0.3063213041177495,-0.7976477999048096,84.78804325700573,-391.41001091941666,-64.72399024061772,no_tremor
68,7441406,0.501,-0.4417545795835699,-0.3130222817272215,-0.7644239653976366,87.1529712494919,-396.2243542133694,-68.70888764858874,no_tremor
69,7441411,0.506,-0.45685675674651705,-0.3198136059406098,-0.7297221006346466,89.41154292810153,-400.09768998949056,-72.66089681208032,no_tremor
70,7441416,0.511,-0.47126040461360574,-0.32667163126662874,-0.6936055880428049,91.5585401882839,-403.0100065878216,-76.56048689249378,no_tremor
71,7441421,0.516,-0.48487561195386886,-0.3335725202387244,-0.65614473509124,93.58931298767587,-404.94681515378585,-80.38797347730362,no_tremor
72,7441426,0.521,-0.49761549711338926,-0.34049245899211616,-0.6174163251955094,95.49977299627086,-405.89927049592904,-84.12366722900339,no_tremor
73,7441431,0.526,-0.509396905089853,-0.34740787524111577,-0.5775031093931389,97.2863786498642,-405.8642439256774,-87.74802654068593,no_tremor
74,7441436,0.531,-0.5201410913523213,-0.3542956563945015,-0.5364932435583298,98.9461117946181,-404.84434683861207,-91.24181268505252,no_tremor
75,7441446,0.541,-0.5297743877588381,-0.361133365380924,-0.4944796772700522,100.47644639192212,-402.8479044405099,-94.58624579378275,no_tremor
76,7441451,0.546,-0.5382288455859573,-0.36789945152144204,-0.4515595019287865,101.87531006905098,-399.8888796833784,-97.76315986759411,no_tremor
77,7441480,0.575,-0.5454428501702099,-0.3745734534783046,-0.4078332672867383,103.14103963520813,-395.9867481461625,-100.75515490617238,no_tremor
78,7441494,0.589,-0.5513617009784219,-0.3811361909434507,-0.3634042771117291,104.27233201106023,-391.16632527163125,-103.54574417582211,no_tremor
79,7441499,0.594,-0.5559381501223077,-0.38756994136061157,-0.31837787604725637,105.26819230577235,-385.45754805780336,-106.11949461920062,no_tremor
80,7441504,0.599,-0.5591328915268468,-0.3938585977017021,-0.27286074057204446,106.12788097173197,-378.8952139953737,-108.4621584729383,no_tremor
81,7441509,0.604,-0.5609149923100089,-0.3999878032575355,-0.22696018703563223,106.8508620399064,-371.5186807232017,-110.56079429639769,no_tremor
82,7441523,0.618,-0.561262257579643,-0.405945059629481,-0.18078350895677364,107.436754385467,-363.3715305054798,-112.40387580529496,no_tremor
83,7441528,0.623,-0.5601615198943303,-0.41171980462524077,-0.13443735423060515,107.88528781449396,-354.5012041673015,-113.98138711745653,no_tremor
84,7441533,0.628,-0.5576088451181643,-0.4173034575178124,-0.08802715082193599,108.19626552689392,-344.95860950636467,-115.2849032424093,no_tremor
85,7441538,0.633,-0.5536096473577312,-0.4226894300531842,-0.04165658715276195,108.36953422648045,-334.79770938524905,-116.30765488778742,no_tremor
86,7441543,0.638,-0.5481787071136012,-0.4278731026230683,0.004572849088752842,108.40496283554272,-324.0750946935797,-117.04457691711221,no_tremor
87,7441548,0.643,-0.5413400886719665,-0.43285176609622955,0.05056227243121475,108.30243043313592,-312.8495471878174,-117.49234006452096,no_tremor
88,7441557,0.652,-0.5331269550211658,-0.43762453087731035,0.09621574238700135,108.06182367321526,-301.1815969234383,-117.64936577577593,no_tremor
89,7441567,0.662,-0.5235812810960321,-0.4421922057947514,0.1414405505166773,107.68304355488073,-289.133078632915,-117.5158242902933,no_tremor
90,7441572,0.667,-0.5127534688150192,-0.44655715037465876,0.18614745649449874,107.16602102289438,-276.7666909928634,-117.09361630144245,no_tremor
91,7441599,0.694,-0.5007018700534569,-0.4507231049064473,0.2302508791810516,106.51074048890422,-264.14556227120164,-116.38633872945029,no_tremor
92,7441604,0.699,-0.48749222624147687,-0.45469500342040997,0.27366904957699767,105.71727001178986,-251.33282536147752,-115.39923531064093,no_tremor
93,7441609,0.704,-0.47319703550614367,-0.45847877523387953,0.31632413293164025,104.7857966059159,-238.3912047260063,-114.13913284708792,no_tremor
94,7441614,0.709,-0.4578948599944132,-0.46208114101790737,0.3581423272030359,103.71666500650943,-225.38261732422697,-112.61436407226468,no_tremor
95,7441619,0.714,-0.4416695870603431,-0.4655094093318871,0.39905394454434107,102.51041822583527,-212.36778923199628,-110.83467817356943,no_tremor
96,7441623,0.718,-0.42460965833535974,-0.46877127925219564,0.4389934816010647,101.16783834812352,-199.40588937224723,-108.81114007694613,no_tremor
97,7441629,0.724,-0.4068072804013303,-0.4718746541154663,0.4778996832568904,99.68998617982986,-186.5541815679523,-106.55601964902176,no_tremor
98,7441638,0.733,-0.3883576299846471,-0.47482747056948066,0.5157156031846429,98.0782385528478,-173.86769597716025,-104.0826720154424,no_tremor
99,7441643,0.738,-0.3693580654169452,-0.4776375461466045,0.5523886632595979,96.33432225194083,-161.39892085917631,-101.40541023713818,no_tremor
100,7441653,0.748,-0.34990735468177525,-0.4803124475234163,0.5878707126755737,94.46034369714475,-149.1975155334545,-98.5393716329904,no_tremor
101,7441658,0.753,-0.3301049287968709,-0.48285938058859373,0.6221180865556518,92.45881365655339,-137.31004531313306,-95.500379086167,no_tremor
102,7441662,0.757,-0.31005016767680704,-0.4852851024919496,0.6550916630344247,90.33266639816159,-125.77973911426328,-92.30479871527115,no_tremor
103,7441668,0.763,-0.28984172408213477,-0.4875958550607225,0.686756917241288,88.08527281709114,-114.64627036005265,-88.96939532247407,no_tremor
104,7441672,0.767,-0.269576889870895,-0.4897973183887492,0.7170839703292144,85.72044720249538,-103.9455617261345,-85.51118704517734,no_tremor
105,7441682,0.777,-0.24935100757976053,-0.49189458304125333,0.7460476316299401,83.242447441206,-93.70961422141403,-81.9473006368844,no_tremor
106,7441687,0.782,-0.22925692939608058,-0.49389213915458524,0.7736274321107978,80.65596859505338,-83.966361078411,-78.2948287902134,no_tremor
107,7441692,0.787,-0.20938452483146328,-0.49579388070717373,0.7998076474880823,77.96612993548827,-74.73954693345917,-74.5706908925826,no_tremor
108,7441697,0.792,-0.1898202378420597,-0.49760312334294715,0.8245773095468911,75.17845566989794,-66.04863279412812,-70.79149857467291,no_tremor
109,7441724,0.819,-0.17064669371603453,-0.4993226342842419,0.8479302043681435,72.29884974414493,-57.90872729776635,-66.97342737600475,no_tremor
110,7441729,0.824,-0.15194235571668518,-0.5009546730236321,0.8698648562280367,69.33356524760917,-50.330544739429655,-63.13209581200037,no_tremor
111,7441734,0.829,-0.13378123118651933,-0.5025010415883712,0.8903844958988865,66.28916906666886,-43.32039026280526,-59.282453076313594,no_tremor
112,7441739,0.834,-0.11623262655083952,-0.5039631431986246,0.9094970119613335,63.172502513050304,-36.880172438596155,-55.43867653768276,no_tremor
113,7441743,0.838,-0.09936095039602007,-0.5053420480889523,0.9272148835796515,59.9906386864978,-31.00744320231643,-51.61408008283032,no_tremor
114,7441753,0.848,-0.08322556354599159,-0.506638565157544,0.9435550930448593,56.75083732520616,-25.695464826170774,-47.82103421874588,no_tremor
115,7441758,0.853,-0.0678806748377488,-0.5078533179895621,0.9585390162984458,53.46049786918552,-20.933303308777575,-44.070898688880256,no_tremor
116,7441763,0.858,-0.05337528111057633,-0.5089868237054511,0.9721922896484555,50.12711142253501,-16.705947315800568,-40.37396818659635,no_tremor
117,7441768,0.863,-0.03975314976305705,-0.5100395730367931,0.9845446510087237,46.75821225345039,-12.99445160596474,-36.739431570883404,no_tremor
118,7441773,0.868,-0.0270528420724947,-0.5110121100446172,0.9956297542497045,43.36132941584071,-9.776103729512542,-33.175344809135,no_tremor
119,7441777,0.872,-0.015307775287409942,-0.5119051099690161,1.0054849556457943,39.94393901516444,-7.024612682305242,-29.68861769628926,no_tremor
120,7441782,0.877,-0.004546321276007612,-0.5127194538235613,1.0141510719206805,36.513417576594094,-4.710318127879559,-26.285014234678545,no_tremor
121,7441787,0.882,0.005208060768667179,-0.5134562985049973,1.0216721099980977,33.07699690960689,-2.8004187514692562,-22.969166406838916,no_tremor
122,7441792,0.887,0.01393666040417173,-0.514117141357976,1.0280949692238863,29.64172080295107,-1.2592182754558825,-19.7446009326479,no_tremor
123,7441797,0.892,0.02162532401634018,-0.5147038782982885,1.033469117497684,26.2144038298233,-0.04838763759953241,-16.613778469604036,no_tremor
