sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,7706127,0.0,-0.027623293934584275,-0.1257103123889832,-1.0560502982869475,2.0666280734054245,5.222146140641391,-3.3144212454615474,tremor
1,7706132,0.005,-0.027758268059333895,-0.12593605824225854,-1.0557835879997397,1.773116381993586,6.676952138472424,-3.231258013565748,tremor
2,7706136,0.009,-0.027903359064246583,-0.12623534044489557,-1.055469615692256,1.485958721317591,8.15856948170024,-3.1454522299080914,tremor
3,7706151,0.024,-0.028032176743583822,-0.1266064491851829,-1.0551375632762627,1.2072870362520918,9.656045519668382,-3.0571504946875194,tremor
4,7706156,0.029,-0.02810758305974939,-0.1270319853270507,-1.0548345646094432,0.9392957737911956,11.157471940657256,-2.966519578019675,tremor
5,7706161,0.034,-0.02809158507921855,-0.12748792771924145,-1.0546099325372529,0.6842299381978603,12.650015802775604,-2.8737472281601275,tremor
6,7706166,0.039,-0.02795112160417099,-0.1279509417036925,-1.054505341279288,0.4443721851056567,14.119960172710488,-2.7790429469611944,tremor
7,7706170,0.043,-0.027659654613014815,-0.12840176796511155,-1.0545517785421972,0.22202900647302087,15.552754652729009,-2.6826387182625946,tremor
8,7706180,0.053,-0.02719657741767319,-0.12882589541828904,-1.0547702260576977,0.019516068883082154,16.933076008473023,-2.5847896744780656,tremor
9,7706184,0.057,-0.026545992815182846,-0.1292129929987574,-1.0551735597943055,-0.1608572219651127,18.244899033579053,-2.4857746881703258,tremor
10,7706189,0.062,-0.02569559936800535,-0.12955601541842554,-1.0557684147475606,-0.31680384765519753,19.47157770356855,-2.3858968780836127,tremor
11,7706198,0.071,-0.02463590120899697,-0.1298503854171243,-1.0565566076008444,-0.4460759018256542,20.595936582973703,-2.2854840207636253,tremor
12,7706203,0.076,-0.02335972905163531,-0.1300933681846553,-1.0575360987180686,-0.5464818116183732,21.600372358076662,-2.18488885798083,tremor
13,7706208,0.081,-0.02186199471893868,-0.13028363248435423,-1.0587015978583254,-0.615903945049051,22.46696527358095,-2.084489287182312,tremor
14,7706212,0.085,-0.020139601567083873,-0.13042095669651613,-1.060044928733257,-0.6523164842121657,23.177600154385104,-1.9846884189107628,tremor
15,7706217,0.09,-0.018191451441266195,-0.1305060362054105,-1.061555243783119,-0.6538034342751138,23.714096591936677,-1.8859144828556036,tremor
16,7706242,0.115,-0.016018507424451496,-0.1305403573234964,-1.0632191531340185,-0.6185766277672978,24.058347766410684,-1.788620563096477,tremor
17,7706246,0.119,-0.013623885826683387,-0.1305261128325189,-1.0650208097989142,-0.5449935734071603,24.192467258920985,-1.6932841425713494,tremor
18,7706251,0.124,-0.011012960483727982,-0.13046614229914627,-1.0669419778472762,-0.4315749889904255,24.098943080635866,-1.6004064359967802,tremor
19,7706256,0.129,-0.00819346857128418,-0.13036388617893027,-1.0689621001846543,-0.27702184832996724,23.760798008851225,-1.5105114887913027,tremor
