sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,7790268,0.0,-0.19862311557526802,-0.06430556787611195,-1.0345462957060374,0.9376484708281846,19.097905263553145,-0.427572757255119,tremor
1,7790273,0.005,-0.19784808265626347,-0.06431078597593665,-1.0343091304189802,0.5185913019297645,20.67986169166969,-0.4390508623157049,tremor
2,7790278,0.01,-0.19670604331897476,-0.0642899002616249,-1.0340670240101228,0.11787488057497433,22.222012971182927,-0.4533725252082052,tremor
3,7790283,0.015,-0.19512396081639977,-0.06422394869372541,-1.0338721445650678,-0.26068580284875525,23.707283169496737,-0.4710296418139113,tremor
4,7790288,0.02,-0.19308408015394712,-0.06409413083893563,-1.0337927615229285,-0.6132076937439952,25.117741390191334,-0.4925539191057624,tremor
5,7790292,0.024,-0.19060750084838396,-0.06388555288650914,-1.0338944301779645,-0.9357645569884055,26.43468770925993,-0.518516908334007,tremor
6,7790297,0.029,-0.18773261133239255,-0.0635881943932986,-1.0342300086695018,-1.224413614554741,27.63875127875836,-0.5495297258340607,tremor
7,7790332,0.064,-0.18450077601632797,-0.0631962855532794,-1.0348377080589317,-1.47522382111763,28.710000513429723,-0.586242441732424,tremor
8,7790337,0.069,-0.18094981057712176,-0.0627072647257691,-1.0357429888417409,-1.684305636423174,29.628065157485565,-0.6293431180088859,tremor
9,7790342,0.074,-0.17711240384640473,-0.06212088663911944,-1.0369613495103709,-1.8478421263661975,30.372269899060406,-0.6795564780780186,tremor
10,7790346,0.078,-0.1730168573578072,-0.061438621632786225,-1.038500712560825,-1.962121196126283,30.92177905523711,-0.7376421904573515,tremor
11,7790361,0.093,-0.16868856842521207,-0.06066330476288306,-1.0403630982493102,-2.0235687292402065,31.255751690553556,-0.8043927496568454,tremor
12,7790366,0.098,-0.1641515220967065,-0.059798953411044804,-1.0425456727833116,-2.0287823776331675,31.353506361456382,-0.8806309385996054,tremor
13,7790370,0.102,-0.15942952982467812,-0.05885068412090729,-1.0450413516853414,-1.9745657208970668,31.19469450584222,-0.9672068587164432,tremor
14,7790375,0.107,-0.15454716954667463,-0.05782468151792409,-1.0478391205073994,-1.8579624898673623,30.759481326527983,-1.06499451608875,tremor
15,7790380,0.112,-0.14953046255448876,-0.056728190469358106,-1.0509241906921396,-1.6762905307310412,30.02873285258556,-1.1748879542463566,tremor
16,7790385,0.117,-0.14440734172668404,-0.055569514896222125,-1.0542780684170365,-1.4271751712951672,28.984207702858452,-1.2977969259253725,tremor
17,7790399,0.131,-0.13920796140906772,-0.05435801408775603,-1.0578785853353019,-1.1085816394709542,27.608751921245947,-1.4346420967987363,tremor
18,7790404,0.136,-0.13396488836755294,-0.05310409164404112,-1.0616999210742566,-0.7188461745373238,25.886495104183897,-1.586349773855055,tremor
19,7790409,0.141,-0.12871320239398668,-0.05181917455094686,-1.0657126353888913,-0.25670546445128484,23.803045899093377,-1.7538461500912446,tremor
20,7790414,0.146,-0.12349052635443054,-0.0505156811938179,-1.0698837205408647,0.2786759619331806,21.345684821262132,-1.9380510561587623,tremor
21,7790445,0.177,-0.11833699897331074,-0.04920697783128683,-1.074176680027746,0.8876807597166738,18.503552219203396,-2.139871209411372,tremor
22,7790454,0.186,-0.113295199096199,-0.04790732345604274,-1.078551637079418,1.5702165781959867,15.267829119425734,-2.3601929522458382,tremor
23,7790459,0.191,-0.10841002710697963,-0.04663180321646327,-1.0829654746570723,2.325697015095646,11.631908606542511,-2.599874475162603,tremor
24,7790464,0.196,-0.10372854718331702,-0.045396250740056064,-1.0873720076076938,3.1530260561698866,7.591555349626247,-2.8597375257877333,tremor
25,7790473,0.205,-0.09929979284083634,-0.04421715982549422,-1.0917221868920217,4.050586316796966,3.145050873219823,-3.140558613381578,tremor
26,7790478,0.21,-0.09517453750932632,-0.04311158607433259,-1.095964335269323,5.0162313714942846,-1.7066778103359963,-3.443059729274269,tremor
27,7790483,0.215,-0.09140503153861039,-0.0420970391272382,-1.1000444134006422,6.0472824229777675,-6.9599485436700395,-3.7678986170439313,tremor
28,7790488,0.22,-0.08804470693265148,-0.04119136625899841,-1.1039063149722845,7.140529526434076,-12.608235601016451,-4.115658641391934,tremor
29,7790493,0.225,-0.08514785118002266,-0.040412628174632106,-1.1074921891143958,8.292237547915818,-18.642104643642504,-4.486838320463681,tremor
30,7790498,0.23,-0.08276925173606425,-0.03977896793642362,-1.1107427880803784,9.498156997777619,-25.04917304391744,-4.881840601782691,tremor
31,7790503,0.235,-0.0809638129848054,-0.03930847403822399,-1.1135978378540943,10.753539839745759,-31.814097369461948,-5.3009619765120854,tremor
32,7790508,0.24,-0.07978614784745246,-0.0390190387279813,-1.1159964290603814,12.053160332419997,-38.91858957709744,-5.744381540312575,tremor
33,7790513,0.245,-0.07929014659652771,-0.038928212761216725,-1.1178774252696821,13.391340911509042,-46.341463181590775,-6.212150121346244,tremor
34,7790518,0.25,-0.07952852587136615,-0.039053057846415794,-1.1191798855100479,14.761983066449298,-54.05871033630091,-6.704179606416968,tremor
35,7790523,0.255,-0.0805523613627318,-0.03940999811776973,-1.1198434975306306,16.15860310335716,-62.04361039155737,-7.220232604452239,tremor
36,7790527,0.259,-0.0824106081303862,-0.04001467204134127,-1.1198090181019673,17.574372618369782,-70.26687008217438,-7.759912592757174,tremor
37,7790532,0.264,-0.08514961302135218,-0.04088178622755915,-1.1190187163927792,19.002163434031957,-78.69679503871619,-8.322654696632146,tremor
38,7790537,0.269,-0.08881262414929116,-0.04202497268574649,-1.1174168162346827,20.43459667975474,-87.29949181938433,-8.907717258183055,tremor
39,7790542,0.274,-0.09343930286132707,-0.04345665111430986,-1.1149499328804495,21.864095628029034,-96.03909912306115,-9.514174356019916,tremor
40,7790568,0.3,-0.0990652440488494,-0.04518789787124947,-1.111567499685442,23.282941832433707,-104.8780462735132,-10.140909443541446,tremor
41,7790573,0.305,-0.10572151104533203,-0.047228323309491366,-1.1072221800078248,24.683334052416445,-113.7773364711266,-10.786610278372198,tremor
42,7790582,0.314,-0.11343419168296875,-0.0495859591819157,-1.1018702595539247,26.057449394702633,-122.69685171740795,-11.449765317638851,tremor
43,7790587,0.319,-0.12222398233078198,-0.052267157809770995,-1.0954720144242274,27.397506053877713,-131.59567576794626,-12.128661751597313,tremor
44,7790592,0.324,-0.13210580688895748,-0.05527650465379718,-1.0879920502743323,28.695826996099388,-140.43243099730964,-12.821385341072368,tremor
45,7790602,0.334,-0.14308847774985473,-0.05861674582414601,-1.0793996083062538,29.944903899042156,-149.16562468125673,-13.52582221335885,tremor
46,7790606,0.338,-0.15517440563997675,-0.06228873191452897,-1.06966883423792,31.137460636481705,-157.75399992037663,-14.239662758597461,tremor
47,7790611,0.343,-0.16835936501271925,-0.06629137935303597,-1.0587790069384424,32.266515577037076,-166.15688624978205,-14.960407754730483,tremor
48,7790616,0.348,-0.18263232125089235,-0.07062165023175027,-1.0467147240379424,33.32544195442352,-174.334544915562,-15.685376831671832,tremor
49,7790621,0.353,-0.19797532534424006,-0.07527455131313775,-1.033466042502757,34.308025562072174,-182.2485038643826,-16.411719360157807,tremor
50,7790626,0.358,-0.21436348091892574,-0.08024315261564376,-1.0190285728963864,35.20851902859471,-189.86187769125624,-17.136427814475383,tremor
51,7790630,0.362,-0.2317649875068434,-0.08551862565637325,-1.0034035268163197,36.021691942886285,-197.13966811377853,-17.85635360992172,tremor
52,7790640,0.372,-0.2501412627484228,-0.09109030107867751,-0.986597717802282,36.74287611954472,-204.04904097670322,-18.568225357057695,tremor
53,7790650,0.382,-0.2694471448180077,-0.09694574502318976,-0.9686235168452527,37.368005327678645,-210.55957633150743,-19.268669409870586,tremor
54,7790654,0.386,-0.2896311747383908,-0.10307085322340213,-0.9494987644724886,37.89364885140095,-216.64348878617528,-19.95423252146776,tremor
55,7790664,0.396,-0.31063595640462366,-0.10944996143783098,-0.929246642211319,38.317038314288254,-222.27581609289146,-20.621406369668872,tremor
56,7790692,0.424,-0.33239859007702993,-0.11606597048958633,-0.9078955069992658,38.63608729266705,-227.43457483400186,-21.266653686957987,tremor
57,7790697,0.429,-0.35485117289110907,-0.12290048388844153,-0.8854786927504648,38.84940337504895,-232.10088303304624,-21.886435730655982,tremor
58,7790702,0.434,-0.37792135772677965,-0.12993395577370342,-0.862034283726817,38.95629250442626,-236.25905045123713,-22.477240855333072,tremor
59,7790707,0.439,-0.40153295983806814,-0.1371458467468382,-0.8376048645026475,38.956755660142896,-239.89663809430203,-23.035613985200495,tremor
60,7790711,0.443,-0.4256065992315659,-0.1445147850633464,-0.8122372510937332,38.85147817235323,-243.0044889550358,-23.558186811835608,tremor
61,7790721,0.453,-0.45006036605546573,-0.1520187306203553,-0.7859822072668089,38.641812181130895,-245.5767322433155,-24.041708551938868,tremor
62,7790726,0.458,-0.4748104962435983,-0.15963513920544026,-0.7588941492522983,38.329752926308025,-247.6107633552031,-24.483077089104846,tremor
63,7790731,0.463,-0.4997720452942319,-0.16734112456490838,-0.7310308411789034,37.91790966754474,-249.10720165873562,-24.879370292721497,tremor
64,7790741,0.473,-0.5248595492655973,-0.17511361601558148,-0.702453082652054,37.409472081738514,-250.06982786975104,-25.227877254844028,tremor
65,7790745,0.477,-0.5499876637310506,-0.1829295095743105,-0.6732243891050692,36.80817297090039,-250.50550240629934,-25.526129113404814,tremor
66,7790750,0.482,-0.5750717734190052,-0.19076581091868178,-0.6434106649367167,36.118248051265354,-250.4240657049148,-25.77192904337753,tremor
67,7790755,0.487,-0.6000285674029374,-0.19859976891341133,-0.6130798690669962,35.34439350101611,-249.8382211129174,-25.963380905234363,tremor
68,7790760,0.492,-0.6247765768304365,-0.20640899891948283,-0.5823016724293198,34.49172183515418,-248.76340067790667,-26.098915951834574,tremor
69,7790770,0.502,-0.6492366741190043,-0.21417159561485322,-0.5511471070831,33.56571656400429,-247.2176139629654,-26.177316921665177,tremor
70,7790775,0.507,-0.6733325341503209,-0.22186623555536872,-0.5196882070631804,32.5721859869723,-245.22127994467112,-26.197738801433324,tremor
71,7790779,0.511,-0.6969910591374632,-0.2294722701467019,-0.4879976417465502,31.517216385100195,-242.79704212883672,-26.159725540737014,tremor
72,7790784,0.516,-0.7201427694207437,-0.2369698100373539,-0.4561483433566671,30.407124813001186,-239.96956727667694,-26.06322206204704,tremor
73,7790789,0.521,-0.7427221624051479,-0.24433980214105241,-0.42421313116862197,29.24841165775833,-236.76532858638998,-25.908581037874562,tremor
74,7790817,0.549,-0.7646680411799193,-0.25156410053056144,-0.3922643359407719,28.04771312904414,-233.21237480700336,-25.696564096560333,tremor
75,7790822,0.554,-0.7859238131272352,-0.25862553230949975,-0.36037342898503055,26.81175386740685,-229.34008752888775,-25.428337349368483,tremor
76,7790827,0.559,-0.8064377571972192,-0.2655079592832551,-0.3286106609764745,25.547299902494764,-225.17892972277687,-25.10546137749705,tremor
77,7790832,0.564,-0.8261632567639676,-0.27219633585898123,-0.29704471594725484,24.261112255622194,-220.76018937495627,-24.729876047133107,tremor
78,7790837,0.569,-0.8450589933791548,-0.2786767631691768,-0.2657423857959987,22.95990155343816,-216.11572267068763,-24.30388070845937,tremor
79,7790842,0.574,-0.8630890955378567,-0.28493653899365967,-0.23476827005645823,21.650284088730757,-211.2777015314092,-23.830110471625673,tremor
80,7790847,0.579,-0.8802232358883412,-0.29096420269809575,-0.20418450469018717,20.338739816705413,-206.27837039043698,-23.31150934387233,tremor
81,7790852,0.584,-0.8964366702023605,-0.29674957414805203,-0.17405052241547556,19.031572800435292,-201.14981690311794,-22.75130106330619,tremor
82,7790857,0.589,-0.9117102118991773,-0.30228378542103324,-0.14442284566265784,17.734874613681612,-195.92376084149996,-22.152958477845136,tremor
83,7790866,0.598,-0.9260301370034445,-0.30755930414014765,-0.11535491173663569,16.454491173327543,-190.63136473019452,-21.52017229272809,tremor
84,7790871,0.603,-0.939388016118064,-0.3125699473935443,-0.08689692824555052,15.195993409056136,-185.30306884332103,-20.856819946550228,tremor
85,7790876,0.608,-0.9517804722835281,-0.317310885471564,-0.059095755400858416,13.964652088319044,-179.9684520013524,-20.166935268775376,tremor
86,7790886,0.618,-0.9632088664119072,-0.32177863502505005,-0.03199481050434603,12.765417009653252,-174.65611820453552,-19.45467941085212,tremor
87,7790896,0.628,-0.973678915210623,-0.32597104168774543,-0.005633988924359949,11.602900673075297,-169.39360760702453,-18.724313325617317,tremor
88,7790901,0.633,-0.9832002499530424,-0.3298872526614211,0.01995040474809843,10.481366448078521,-164.2073288392282,-17.980171813905095,tremor
89,7790906,0.638,-0.9917859278211596,-0.3335276801665,0.04472572175915585,9.404721193132046,-159.12250842074798,-17.22663890054623,tremor
90,7790910,0.642,-0.9994519104980871,-0.3368939569419874,0.06866303633421138,8.376512227954294,-154.16315212657165,-16.4681240827665,tremor
91,7790938,0.67,-1.0062165269139307,-0.3399888850842812,0.09173721960571513,7.399928505518912,-149.3520127375847,-15.709038835274137,tremor
92,7790943,0.675,-1.012099938320209,-0.34281637943187554,0.11392702331440771,6.477805757671241,-144.7105586077991,-14.95377266701504,tremor
93,7790948,0.68,-1.0171236240157453,-0.3453814064667951,0.13521517419681217,5.612635282323365,-140.25893788932973,-14.206668016256128,tremor
94,7790953,0.685,-1.0213099049411136,-0.34768991938977756,0.15558847781747445,4.8065758961201945,-136.01593407027505,-13.471993360662319,tremor
95,7790957,0.689,-1.024681519984903,-0.3497487897261004,0.17503792865488826,4.061468405160348,-131.998909670988,-12.753914107621855,tremor
96,7790962,0.694,-1.0272612663933296,-0.3515657356034722,0.19355882168877914,3.378851774864221,-128.22373640239107,-12.056461084704997,tremor
97,7790967,0.699,-1.0290717115070218,-0.353149246743543,0.2111508596130972,2.7599800412411857,-124.70471166424592,-11.383496723858894,tremor
98,7790977,0.709,-1.0301349785736866,-0.35450850622135927,0.2278182490803792,2.2058389284575695,-121.45446282239509,-10.738679291382253,tremor
99,7790981,0.713,-1.0304726049699586,-0.3556533091505249,0.24356977901806143,1.7171611421424695,-118.48384215307256,-10.125425741073874,tremor
100,7790986,0.718,-1.0301054671259962,-0.3565939786138034,0.25841887401002295,1.294439402913622,-115.8018165791244,-9.546873948992754,tremor
101,7790991,0.723,-1.0290537630554155,-0.3573412793413061,0.2723836159916802,0.9379364648360146,-113.41535724515532,-9.005845218097308,tremor
102,7790996,0.728,-1.0273370408586042,-0.35790632980303666,0.28548672805997183,0.6476916110514287,-111.3293345259974,-8.50480802201421,tremor
103,7791000,0.732,-1.0249742599981446,-0.35830051349855424,0.29775551504429704,0.423523407509826,-109.54642424560951,-8.045844000569124,tremor
104,7791005,0.737,-1.0219838715542162,-0.3585353902752234,0.30922175660436707,0.26502879688854264,-108.06703075220547,-7.630617237195966,tremor
105,7791010,0.742,-1.0183839040117202,-0.35862260848225946,0.3199215499838493,0.1715789018430971,-106.88923209166411,-7.260347844223616,tremor
106,7791015,0.747,-1.0141920423417705,-0.3585738186770667,0.3298951011025857,0.14231215780697598,-106.00875186007853,-6.935790851455988,tremor
107,7791019,0.751,-1.009425690130963,-0.3584005894607699,0.3391864643437133,0.17612559529147184,-105.41896139682322,-6.65722132386571,tremor
108,7791024,0.756,-1.0041020071675424,-0.3581143258577474,0.347843233099328,0.2716652335309651,-105.11091480070276,-6.424426507194451,tremor
109,7791029,0.761,-0.9982379180694471,-0.35772619050042637,0.3559161847827348,0.42731663534302494,-105.07341783111846,-6.236705596555192,tremor
110,7791034,0.766,-0.9918500910675203,-0.3572470277662992,0.3634588854921408,0.6411967199886859,-105.29313015569609,-6.092877433938379,tremor
111,7791060,0.792,-0.9849548897485835,-0.356687290964549,0.370527260711037,0.9111479501053678,-105.75469875060931,-5.991296079712874,tremor
112,7791065,0.797,-0.9775683041732625,-0.35605697269952846,0.3771791392446117,1.2347359996675986,-106.44091873410937,-5.929873810981114,tremor
113,7791069,0.801,-0.9697058709451906,-0.35536553864458,0.38347377791550674,1.6092519451051275,-107.3329167314692,-5.906110733347514,tremor
114,7791079,0.811,-0.9613825940293715,-0.3546218651176268,0.3894713743101926,2.0317198566325616,-108.41035120770786,-5.917129907802396,tremor
115,7791084,0.816,-0.952612878949941,-0.353834181019938,0.3952325741114874,2.4989103720529338,-109.65162410977966,-5.959716725192193,tremor
116,7791094,0.826,-0.9434104922667766,-0.35301001484277694,0.4008179784411713,3.0073604217054974,-111.03409851960528,-6.030361213398448,tremor
