sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,9859787,0.0,-0.3344022587777288,-0.033904950612029944,0.8742140366277413,1.026247873410138,-1.1749732022020785,-0.15911603413386988,tremor
1,9859801,0.014,-0.33477845396211203,-0.033809334881509445,0.8743635768184307,0.9749635463853663,-1.4219484171900956,-0.23161845907211187,tremor
2,9859815,0.028,-0.33533694310026435,-0.03367581036500386,0.8745983892257543,0.9128033508294713,-1.5623728495097395,-0.2968162742790619,tremor
3,9859820,0.033,-0.3361165950788924,-0.03350157667638515,0.8749413179028169,0.8392831043581629,-1.5812208293098025,-0.3542506913083391,tremor
4,9859825,0.038,-0.3371284875362988,-0.033291485740713535,0.8754015954925001,0.754285449819043,-1.4655323483024603,-0.4034234390206641,tremor
5,9859839,0.052,-0.3383626775318252,-0.03305469119116761,0.8759749976878429,0.6581283879362506,-1.205194120715719,-0.4437934707973514,tremor
6,9859854,0.067,-0.33979792786636626,-0.032801240476113366,0.8766469289735531,0.5516181968143412,-0.7937677806847528,-0.4747931476503887,tremor
7,9859884,0.097,-0.3414081175224758,-0.032540063107369246,0.8773953049995393,0.43608357724024016,-0.2293351132046928,-0.49586425920403115,tremor
8,9859889,0.102,-0.3431648991519481,-0.03227817461033016,0.8781924017808282,0.3133888423296301,0.484680809248659,-0.5065120292813868,tremor
9,9859893,0.106,-0.3450379555941808,-0.032020566860903286,0.8790058837552475,0.18592476461389573,1.33876804762048,-0.5063733277300909,tremor
10,9859928,0.141,-0.3469941811481139,-0.03177038194124197,0.8797994546381499,0.05657654542062836,2.316704693605463,-0.4952936088438722,tremor
11,9859933,0.146,-0.3489966182198771,-0.031529157559089645,0.8805334781051641,-0.07133059770038407,3.3951153867477157,-0.47340571714260105,tremor
12,9859938,0.151,-0.3510035634399435,-0.031297058906811455,0.8811657671814267,-0.19410669155561464,4.543251577751184,-0.4412030070866885,tremor
13,9859952,0.165,-0.35296801305165965,-0.031073073725007685,0.8816526299666311,-0.3077908635310047,5.723036159585419,-0.39959953479652904,tremor
14,9859957,0.17,-0.35483750044270407,-0.030855171089183606,0.8819501909771782,-0.4082613005744036,6.8894083873577605,-0.3499713031576398,tremor
15,9859977,0.19,-0.35655433432319317,-0.030640431296536694,0.8820159682617603,-0.4913588936024358,7.991000250714492,-0.29417422571813256,tremor
16,9860007,0.22,-0.35805623730522357,-0.030425155754356684,0.8818106641898829,-0.5530222183496466,8.971168856840366,-0.23453623027320986,tremor
17,9860012,0.225,-0.3592773897777292,-0.03020496679994358,0.8813001146439275,-0.5894313247342338,9.769399822577071,-0.17382262333042905,tremor
18,9860079,0.292,-0.3601498902412351,-0.029974909041875573,0.8804573326761574,-0.5971573370478404,10.323084284684311,-0.11517541190740306,tremor
19,9860089,0.302,-0.36060564349546037,-0.029729565593857397,0.8792645758743084,-0.573314250715634,10.569657762747568,-0.06202855207734218,tremor
20,9860094,0.307,-0.3605786795641764,-0.0294632036670045,0.8777153607067415,-0.5157088154845143,10.449073679784657,-0.018001902378671455,tremor
21,9860138,0.351,-0.3600078896187961,-0.029169963890896388,0.8758163423842869,-0.42298429632807294,9.906568559575797,0.013223016611127333,tremor
22,9860158,0.371,-0.35884014251125146,-0.028844106182393494,0.8735889760614591,-0.2947543180526512,8.895660115113643,0.028042406755598208,tremor
23,9860173,0.386,-0.35703371910347625,-0.028480321667159022,0.8710708744766357,-0.13172375591338278,7.381303680677396,0.023081795721944225,tremor
24,9860182,0.395,-0.354561973656079,-0.028074114823804255,0.8683167775419093,0.06420563828531889,5.343116840065056,-0.0046433902574600444,tremor
25,9860187,0.4,-0.3514171044949374,-0.02762225296187141,0.8653990504293287,0.289846795654016,2.7785670434013228,-0.0575627137049707,tremor
26,9860221,0.434,-0.347613892074486,-0.027123272418181826,0.8624076289357683,0.5406580334738086,-0.2939970382331702,-0.13738735906776753,tremor
27,9860225,0.438,-0.3431932425023737,-0.026578023653635086,0.8594493353495991,0.8106952442587839,-3.832602183390197,-0.24495659720348162,tremor
28,9860261,0.474,-0.33822535860091507,-0.02599023124833016,0.8566464951445579,1.092588484565123,-7.76933714908808,-0.38010318989108755,tremor
29,9860266,0.479,-0.33281234833548573,-0.02536703936956992,0.8541347945264979,1.3775464531986845,-12.008616988188313,-0.5415468481071668,tremor
30,9860270,0.483,-0.3270900725462251,-0.02471950840044875,0.8520603314729794,1.6553928088753163,-16.426173503093867,-0.7268240603057156,tremor
31,9860275,0.488,-0.3212290325640473,-0.024063024543688832,0.8505758296822212,1.9146386129202972,-20.8689136851855,-0.9322613642759995,tremor
32,9860280,0.493,-0.3154341063651838,-0.023417582311033885,0.8498360074142177,2.142595353980087,-25.15577401619306,-1.1529976757623654,tremor
33,9860285,0.498,-0.3099429614380668,-0.02280790056838044,0.8499921225023025,2.3255328167760565,-29.079676955394067,-1.3830596593543436,tremor
34,9860299,0.512,-0.3050230039895432,-0.02226333633498299,0.8511857506201576,2.44888523176843,-32.41066686293359,-1.6154923220399726,tremor
35,9860338,0.551,-0.3009667668798458,-0.021817566579984255,0.8535418950824272,2.4975075501706336,-34.9002662018168,-1.8425450281269506,tremor
36,9860393,0.606,-0.29808569146604563,-0.021508016490209222,0.8571615712179672,2.4559813974404108,-36.28704973272056,-2.0559109595493656,tremor
37,9860407,0.62,-0.29670231954417176,-0.021375022740971524,0.8621140541003456,2.3089675184048164,-36.303385784532054,-2.2470156631454863,tremor
38,9860426,0.639,-0.29714097881105794,-0.02146073182174076,0.8684290221034685,2.0415986422109773,-34.68324103157135,-2.407347828746226,tremor
39,9860431,0.644,-0.29971711705969906,-0.021807746137520793,0.8760888677100951,1.6399038641081343,-31.17088992895815,-2.5288230489899934,tremor
40,9860470,0.683,-0.30472551526450986,-0.022457544039365417,0.8850214793430529,1.0912529714775732,-25.530313660282346,-2.6041692271149186,tremor
41,9860501,0.714,-0.3124276858850807,-0.02344871348951645,0.8950938221184482,0.3848067450377552,-17.555018403693516,-2.6273205829854334,tremor
