sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,7076799,0.0,-0.6013160401041415,-0.4480718239310141,-0.6794840284606376,-10.276727704589055,-0.47273876011897875,-4.0584547086770755,no_tremor
1,7076804,0.005,-0.6011748181399114,-0.44767460665108055,-0.680194486600185,-10.40274636086456,-0.7969484566244153,-4.30577713058698,no_tremor
2,7076809,0.01,-0.6009244539346713,-0.4471038607579894,-0.6812648021713192,-10.48474803906319,-1.0926499766596391,-4.529044408329904,no_tremor
3,7076814,0.015,-0.600519613710979,-0.4463311329648214,-0.6827808082913526,-10.517506119263464,-1.3544548137487518,-4.722758867836696,no_tremor
4,7076819,0.02,-0.5999230050700637,-0.4453551880464511,-0.6847798130275716,-10.495735152174095,-1.5768259439515036,-4.881145834283623,no_tremor
5,7076823,0.024,-0.5991079641063556,-0.44419176625048495,-0.6872625420303914,-10.41412513330972,-1.7541093620337134,-4.998176873721129,no_tremor
6,7076828,0.029,-0.5980563300738032,-0.44286225166733667,-0.6902117536298182,-10.267377915123983,-1.8805680317499303,-5.067596630298976,no_tremor
7,7076833,0.034,-0.5967553237806971,-0.4413868335248285,-0.6936055027249393,-10.050245561632018,-1.9504180724637692,-5.082953250054578,no_tremor
8,7076843,0.044,-0.5951951252809009,-0.43978179599774153,-0.6974237258283563,-9.757570424085342,-1.957866974706188,-5.037632347385519,no_tremor
9,7076848,0.049,-0.5933674728929406,-0.43805920465036235,-0.7016502803753574,-9.384326690618538,-1.8971536106320823,-4.924894433867155,no_tremor
10,7076853,0.054,-0.5912650490048025,-0.43622759689627677,-0.7062726922027678,-8.925663137055004,-1.7625897829665593,-4.73791569007137,no_tremor
11,7076857,0.058,-0.5888813393594248,-0.43429291027256317,-0.7112810519417487,-8.376946779670382,-1.5486030390703376,-4.469831919180042,no_tremor
12,7076862,0.063,-0.5862107334082519,-0.43225932450066884,-0.7166667781584725,-7.733807103756749,-1.2497804652225262,-4.113785477733295,no_tremor
13,7076867,0.068,-0.583248726835795,-0.4301299235167861,-0.7224215327335457,-6.992180515463261,-0.8609131681790075,-3.662974935933014,no_tremor
14,7076872,0.073,-0.5799921532947251,-0.42790718044071074,-0.728536363242961,-6.148354640302729,-0.37704114354579304,-3.1107071788756513,no_tremor
15,7076877,0.078,-0.5764394108982085,-0.4255932991061159,-0.7350010611701894,-5.199012071332977,0.20650177877370243,-2.4504516210498473,no_tremor
16,7076901,0.102,-0.572590669113361,-0.4231904488798132,-0.7418036984005681,-4.141273154157028,0.8940432338623828,-1.6758961693999195,no_tremor
17,7076906,0.107,-0.5684480512513523,-0.42070092341386356,-0.7489303027021426,-2.972737384877046,1.6895282026680103,-0.7810045357544928,no_tremor
18,7076911,0.112,-0.5640157918026596,-0.41812724628512904,-0.7563646394159185,-1.6915229909986,2.596475829266777,0.23992553208172215,no_tremor
19,7076916,0.117,-0.5593003692629132,-0.41547223979845344,-0.7640880745326616,-0.29630426366101514,3.6179375494112826,1.3922035601214893,no_tremor
20,7076921,0.122,-0.5543106153188937,-0.4127390681414742,-0.7720795012940018,1.2136537880677283,4.756456925195237,2.680687685579565,no_tremor
21,7076926,0.127,-0.5490578010437664,-0.4099312624402168,-0.7803153178400092,2.8384638840500642,6.014031595987886,4.109726534620061,no_tremor
22,7076931,0.132,-0.5435557004198577,-0.40705273275152254,-0.7887694473322077,4.577588434624758,7.3920777619761076,5.683102177688505,no_tremor
23,7076935,0.136,-0.5378206312052393,-0.40410777032837497,-0.7974133947005875,6.42981541703546,8.891397611670188,7.403974721079529,no_tremor
24,7076940,0.141,-0.5318714729346763,-0.4011010423593859,-0.8062163359926117,8.393238549840202,10.512150089251433,9.274829110318116,no_tremor
25,7076945,0.146,-0.5257296617038054,-0.3980375806335512,-0.8151452374872613,10.465242127211619,12.253825373386315,11.297424732113557,no_tremor
26,7076950,0.151,-0.5194191613203113,-0.39492276509035956,-0.8241650024638942,12.642490849323902,14.115223407913158,13.472748405774201,no_tremor
27,7076955,0.156,-0.5129664104062815,-0.3917623028984885,-0.8332386439189363,14.92092495435146,16.094436788661962,15.800971350515871,no_tremor
28,7076960,0.161,-0.5064002450920834,-0.3885622035071748,-0.842327481698747,17.295760921430627,18.188838271616902,18.281410700656156,no_tremor
29,7076964,0.165,-0.49975179704726846,-0.38532874999570205,-0.851391362531269,19.761497971521585,20.395073126835154,20.91249611553275,no_tremor
30,7076969,0.17,-0.49305436674455344,-0.3820684669839856,-0.8603889013385723,22.311930543716432,22.709056520127003,23.691741995260966,no_tremor
31,7076974,0.175,-0.4863432720475386,-0.3787880853450014,-0.8692777420292429,24.94016686763044,25.125976060306492,26.615725767740642,no_tremor
32,7076984,0.185,-0.47965567245134977,-0.3754945039672067,-0.8780148357268834,27.63865368765369,27.64029960387955,29.680072656993318,no_tremor
33,7076989,0.19,-0.47303036958734423,-0.3721947488447877,-0.8865567341071133,30.39920712185366,30.245788361667355,32.87944727804542,no_tremor
34,7076993,0.194,-0.4665075849263688,-0.3688959298200016,-0.8948598952076895,33.21304955800676,32.935515303771844,36.20755232967756,no_tremor
35,7076998,0.199,-0.4601287159753998,-0.3656051953603622,-0.9028809987631363,36.07085240344275,35.70188881110077,39.65713457457024,no_tremor
36,7077025,0.226,-0.4539360726524977,-0.36232968581972924,-0.9105772678153856,38.96278441585736,38.536681472644304,43.21999820780332,no_tremor
37,7077030,0.231,-0.4479725959326377,-0.3590764857021762,-0.9179067930832242,41.878565250856205,41.43106387595157,46.887025620982584,no_tremor
38,7077039,0.24,-0.4422815612602346,-0.35585257551507554,-0.9248288563552283,44.80752377341356,44.37564318370727,50.64820547540278,no_tremor
39,7077044,0.245,-0.4369062695906936,-0.3526647838552772,-0.9313042490265067,47.738660602570796,47.36050623554168,54.49266791200431,no_tremor
40,7077054,0.255,-0.4318897292195199,-0.34951974041167777,-0.9372955818494593,50.660714298024295,50.37526686586052,58.408726654652085,no_tremor
41,7077059,0.26,-0.4272743317615764,-0.3464238305842072,-0.9427675820200766,53.56223055466001,53.40911708740923,62.38392770544737,no_tremor
42,7077068,0.269,-0.4231015257490547,-0.34338315241286593,-0.9476873738662625,56.43163374338643,56.45088175533085,66.40510428069283,no_tremor
43,7077073,0.274,-0.41941149133001954,-0.34040347648301733,-0.9520247396285008,59.25730012028872,59.489076296138265,70.45843758960459,no_tremor
44,7077078,0.279,-0.416242819481742,-0.3374902094274394,-0.9557523571120223,62.027632018966145,62.51196706045558,74.52952301475337,no_tremor
