sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,7173307,0.0,-0.28020177984696204,-0.13753680601174834,-0.990420273764818,-2.6251474207904413,1.6900129853909327,-3.9279133118488287,no_tremor
1,7173319,0.012,-0.28021350260357414,-0.13732797994481102,-0.9908901797151471,-2.343781203941689,1.6968759086100063,-3.6868871096977305,no_tremor
2,7173330,0.023,-0.2802334689560916,-0.1370278172776463,-0.9915474114228268,-2.061986224350049,1.7085685450825498,-3.423203883230879,no_tremor
3,7173341,0.034,-0.28026258632438017,-0.13662515227492267,-0.9924024813250981,-1.7848415058299925,1.7259881642515316,-3.1357104519964145,no_tremor
4,7173372,0.065,-0.2803013890986653,-0.13612684383568754,-0.9934250743618988,-1.517160816056055,1.749251274056749,-2.824794429674444,no_tremor
5,7173383,0.076,-0.2803521310194792,-0.13555185380161816,-0.9945611256961862,-1.263353615508563,1.7776349220714782,-2.4925838474730226,no_tremor
6,7173395,0.088,-0.2804209127024252,-0.13492417882160163,-0.9957506923925455,-1.0273065347132504,1.8095568788411491,-2.1430577529202157,no_tremor
7,7173406,0.099,-0.28051894691085705,-0.13426827768926428,-0.996938780585702,-0.8122892627080992,1.8426014422727066,-1.782051277942022,no_tremor
8,7173417,0.11,-0.28066280385075126,-0.13360699435428858,-0.9980798182163718,-0.6208872678804435,1.873597469856476,-1.4171425460494582,no_tremor
9,7173428,0.121,-0.28087377436913724,-0.1329609841839812,-0.999138437218728,-0.4549622552426979,1.8987539236701474,-1.0574136527190998,no_tremor
10,7173439,0.132,-0.2811765242084856,-0.13234878286050197,-1.0000886538585085,-0.3156398881964356,1.9138559395883996,-0.7130834637899244,no_tremor
11,7173462,0.155,-0.2815971814108743,-0.13178702475705334,-1.0009125675519701,-0.20332292116234862,1.914521057261728,-0.3950159837817863,no_tremor
12,7173493,0.186,-0.28216098241692283,-0.1312905938592925,-1.001599042674221,-0.11772611835702143,1.8965105451280597,-0.11411466645368762,no_tremor
13,7173504,0.197,-0.2828896111898204,-0.13087263951430028,-1.0021425194251843,-0.05792685920568913,1.8560851007764767,0.11937975331692005,no_tremor
14,7173527,0.22,-0.2837983882304124,-0.13054445354497318,-1.002541986893371,-0.022422380718753455,1.790388446057345,0.29666297409579684,no_tremor
15,7173538,0.231,-0.2848934887990192,-0.13031522522827946,-1.0028001333465306,-0.009182152198469056,1.6978372553190828,0.41118077842039574,no_tremor
16,7173549,0.242,-0.28616938157047656,-0.13019169226896676,-1.0029227005172907,-0.01568311780461147,1.578492262324166,0.45944596141487565,no_tremor
17,7173560,0.253,-0.28760667469459406,-0.13017770408271484,-1.0029180786553302,-0.038917093197089254,1.434384296333931,0.4418191153567461,no_tremor
18,7173583,0.276,-0.2891705350248735,-0.13027371594036447,-1.0027971754431149,-0.07536316853264977,1.269771053617684,0.36321340408740005,no_tremor
19,7173613,0.306,-0.2908098108292018,-0.13047624087954368,-1.002573572632447,-0.12092269967709686,1.09130519779366,0.2336849933405976,no_tremor
20,7173625,0.318,-0.2924569428534663,-0.1307772988401617,-1.00226395242205,-0.17081953552733378,0.9081004726637601,0.0688741197669739,no_tremor
21,7173636,0.329,-0.2940286977265979,-0.13116391504844996,-1.0018887371421472,-0.21947299826983316,0.7316883476550861,-0.10973306632815841,no_tremor
22,7173647,0.34,-0.2954277062354948,-0.13161772790154325,-1.0014728486746751,-0.26035544671913985,0.5758626364937348,-0.27474489592442514,no_tremor
23,7173658,0.351,-0.2965447422783989,-0.13211476783786252,-1.001046465919681,-0.2858497157227541,0.45641400113639113,-0.3930218068407688,no_tremor
