sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,7327311,0.0,-0.15242483457920902,0.018615508815387927,-1.0423103289796358,2.2595783386130557,-3.4975288922273,-5.227969396434008,tremor
1,7327335,0.024,-0.15253585088322794,0.0187610111335957,-1.042298475185812,2.1175859101587755,-3.434378401596311,-5.192076728067322,tremor
2,7327339,0.028,-0.15266831003874506,0.01896843809661303,-1.042284570528068,1.9774504277624234,-3.394003167459968,-5.142795358876079,tremor
3,7327344,0.033,-0.1528128632411813,0.019247101966987226,-1.0422696042038435,1.8399810252639865,-3.3767249326047843,-5.078745823900696,tremor
4,7327374,0.063,-0.15295407195086883,0.01959637903470095,-1.0422550915930067,1.7060195573716095,-3.382639419625812,-4.998528978370049,tremor
5,7327379,0.068,-0.1530766754534893,0.020009667010828205,-1.0422424123230707,1.5764379004464344,-3.4116039164417846,-4.900734812588431,tremor
6,7327384,0.073,-0.15316935767536635,0.020478578235130072,-1.0422324547999513,1.452134870501307,-3.463226543406036,-4.783951853731144,tremor
7,7327389,0.078,-0.1532258002954796,0.020995397932617964,-1.0422255545339878,1.3340327546318393,-3.5368574065986653,-4.646777093988398,tremor
8,7327393,0.082,-0.15324428444835433,0.021554008588720714,-1.0422215757930153,1.223073460531282,-3.631581841367728,-4.487826376420354,tremor
9,7327403,0.092,-0.15322684114301038,0.02214994636877375,-1.042220028258304,1.1202142972478997,-3.746215946208526,-4.305745161805522,tremor
10,7327408,0.097,-0.15317843540677142,0.022780106577670798,-1.0422201702407503,1.0264234094801041,-3.8793046006615794,-4.099219591217575,tremor
11,7327412,0.101,-0.15310633247780078,0.023442375750852448,-1.0422210860871828,0.9426748973448121,-4.029122151512197,-3.866987749934503,tremor
12,7327417,0.106,-0.15301964494745685,0.02413530409520414,-1.0422217402255458,0.8699436627900914,-4.19367593758953,-3.607851028846973,tremor
13,7327422,0.111,-0.1529290150617416,0.024857848611447204,-1.042221014056342,0.8092000315197647,-4.370712803575084,-3.320685470024949,tremor
14,7327427,0.116,-0.15284638471512746,0.025609183177409522,-1.0422177314513386,0.7614042048942041,-4.55772872720439,-3.0044529737708863,tremor
15,7327432,0.121,-0.15278481649615175,0.02638856176018109,-1.0422106771418898,0.7275006000472102,-4.751981652836796,-2.6582122360176808,tremor
16,7327436,0.125,-0.15275834072679936,0.02719522052777757,-1.04219861089595,0.7084121389634617,-4.950507588652846,-2.2811292781491552,tremor
17,7327441,0.13,-0.15278181247213624,0.0280283073094975,-1.0421802793585917,0.7050345486721911,-5.1501399857408465,-1.8724874264159737,tremor
18,7327446,0.135,-0.15287076876152028,0.028886829933101783,-1.0421544267392382,0.7182307348497748,-5.34753237636355,-1.4316965944772468,tremor
19,7327451,0.14,-0.1530412803779471,0.029769617562714425,-1.0421198050793188,0.7488252898958093,-5.539184207546559,-0.9583017193290746,tremor
20,7327456,0.145,-0.15330979521350596,0.03067529110868017,-1.0420751845445466,0.797599194286436,-5.72146976652385,-0.45199019737519347,tremor
21,7327461,0.15,-0.15369297187968597,0.03160224015856472,-1.042019363997696,0.8652847674808031,-5.890670057554162,0.08740183624498392,tremor
22,7327465,0.154,-0.15420750335875005,0.0325486048211542,-1.0419511819825733,0.9525609227491131,-6.043007455516045,0.6598845447770749,tremor
23,7327490,0.179,-0.15486993121567408,0.033512261506061035,-1.041869528164295,1.0600487794951339,-6.174682930189848,1.2653109038529176,tremor
24,7327495,0.184,-0.15569645140045912,0.03449081207643264,-1.0417733552108421,1.1883076866408957,-6.2819156049121805,1.9033748504500083,tremor
25,7327500,0.189,-0.1567027130426631,0.035481576080990125,-1.0416616910574577,1.3378317103391595,-6.360984381591867,2.5736112185717652,tremor
26,7327504,0.193,-0.15790361192399607,0.03648158594303543,-1.041533651463166,1.5090466374581173,-6.408271327446148,3.27539760189381,tremor
27,7327514,0.203,-0.15931308054155935,0.037487585091337226,-1.0413884527434103,1.7023075423482419,-6.420306475125683,4.007958265683218,tremor
28,7327519,0.208,-0.16094387686434036,0.038496029082465744,-1.0412254245411598,1.9178969584742995,-6.393813637791702,4.770370205619013,tremor
29,7327524,0.213,-0.16280737405352286,0.039503089799412826,-1.0410440224780912,2.156023688824295,-6.325756786670608,5.561571420617662,tremor
30,7327528,0.217,-0.1649133535727802,0.04050466282507363,-1.0408438405055425,2.4168222796258467,-6.213386483219785,6.380371431989259,tremor
31,7327533,0.222,-0.16726980426291316,0.04149637808618858,-1.040624622750615,2.700353170764472,-6.0542858037484235,7.225464043459942,tremor
32,7327538,0.227,-0.16988273009630317,0.0424736138468681,-1.0403862746257737,3.0066035232718695,-5.846415143769623,8.095442295816639,tremor
33,7327542,0.231,-0.17275596945734406,0.04343151410330228,-1.0401288729409255,3.335488709019737,-5.588155244344267,8.988815525180346,tremor
34,7327547,0.236,-0.17589102890953898,0.0443650093947722,-1.0398526747260166,3.686854430088468,-5.278347743275366,9.90402838436512,tremor
35,7327561,0.25,-0.1792869345011144,0.045268841002491046,-1.0395581244405674,4.060479415350963,-4.91633251912992,10.839481632583492,tremor
36,7327566,0.255,-0.18294010372039055,0.04613758845880009,-1.0392458592153841,4.456078620262743,-4.501981064637871,11.793554440867014,tremor
37,7327571,0.26,-0.18684424122997606,0.04696570023636849,-1.0389167117425195,4.873306833791402,-4.03572509730599,12.7646279001079,tremor
38,7327576,0.265,-0.1909902614750807,0.0477475274316707,-1.0385717104046042,5.311762574989785,-3.518579588544137,13.751109356317375,tremor
39,7327581,0.27,-0.1953662411684307,0.04847736020021762,-1.0382120762164762,5.770992140988921,-2.952159368271011,14.751457133361253,tremor
40,7327586,0.275,-0.19995740450006075,0.049149466643445744,-1.0378392161428722,6.250493646580839,-2.3386884410034816,15.764205136086535,tremor
41,7327611,0.3,-0.20474614370657945,0.049758133789148756,-1.037454712357596,6.749720870871219,-1.6810011342299924,16.787986755814227,tremor
42,7327616,0.305,-0.20971207736399589,0.05029771024948535,-1.0370603070235604,7.268086697571242,-0.9825341951393195,17.821557427577854,tremor
43,7327629,0.318,-0.21483214843954168,0.050762650084858287,-1.0366578822009593,7.804965903076414,-0.24730896757225473,18.863815120787066,tremor
44,7327649,0.338,-0.2200807637413032,0.051147557352403554,-1.0362494345339612,8.359697013081767,0.5200971657328929,19.913817993412092,tremor
45,7327654,0.343,-0.2254299759167616,0.05144723078036018,-1.035837044425697,8.931582918958135,1.3145907785931015,20.970798417513972,tremor
46,7327684,0.373,-0.23084970853290027,0.05165670799051441,-1.0354228394881366,9.51988992777462,2.1306143424263704,22.034172603977016,tremor
47,7327690,0.379,-0.23630802396963127,0.05177130869495144,-1.0350089521531292,10.12384492759946,2.9622103122307926,23.103545129359883,tremor
48,7327694,0.383,-0.24177143282596414,0.05178667632192366,-1.0345974714681818,10.742630400047128,3.803097099614882,24.178707808933623,tremor
49,7327700,0.389,-0.2472052422466355,0.05169881757652337,-1.034190389299358,11.375377121975252,4.646756044139446,25.259632571293224,tremor
50,7327704,0.393,-0.25257393903089603,0.05150413951052667,-1.0337895414458709,12.021154573418013,5.486527698571708,26.34645826244673,tremor
51,7327742,0.431,-0.25784160162791064,0.05119948375740695,-1.0333965445417392,12.67895929760241,6.315714837635808,27.43947161871547,tremor
52,7327746,0.435,-0.26297233324837954,0.05078215767916998,-1.0330127300599994,13.34770171687598,7.127688690305479,28.53908296695222,tremor
53,7327751,0.44,-0.26793070650463735,0.050249962268615285,-1.0326390771994216,14.026192162545488,7.915994159074998,29.64579749858273,tremor
54,7327756,0.445,-0.2726822084948672,0.049601216751498076,-1.0322761468569823,14.713127086695856,8.674449439528383,30.760183178183446,tremor
55,7327760,0.449,-0.27719367434453823,0.048834779933839716,-1.0319240192046613,15.407076554452056,9.39723561326521,31.882836459814367,tremor
56,7327765,0.454,-0.28143369707668947,0.047950068432962546,-1.0315822375524744,16.10647415144426,10.078972397643856,33.014346997740546,tremor
57,7327775,0.464,-0.28537300232452206,0.046947072006029274,-1.0312497611766578,16.80961039045046,10.71477712562831,34.15526247653246,tremor
58,7327779,0.468,-0.2889847777554091,0.04582636623427069,-1.0309249296251946,17.51463057784204,11.300305045088601,35.30605457402452,tremor
