sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,7253731,0.0,-0.43027492421602026,-0.19200248025615796,-0.9372099321955846,-2.062757172450386,-2.6148417436289737,-2.3290037829206747,tremor
1,7253755,0.024,-0.429939842898835,-0.1918605259125097,-0.9373242989092566,-2.1698207873978212,-2.3888207143016147,-2.4016010372933985,tremor
2,7253760,0.029,-0.42943967304582037,-0.19165853364198307,-0.9375098062691339,-2.249726040832511,-2.2234723321679803,-2.4506155161757284,tremor
3,7253770,0.039,-0.428738507261966,-0.19138767438351756,-0.9377891325756174,-2.3001285564826293,-2.1215078565264704,-2.4740586714448036,tremor
4,7253775,0.044,-0.4278244841386304,-0.19104882466464113,-0.9381767774632056,-2.3187508951186375,-2.0852497876649854,-2.4699866436572098,tremor
5,7253784,0.053,-0.4267034896261886,-0.1906486748516657,-0.9386793085133316,-2.303401582812941,-2.1166025749160484,-2.4365139881696583,tremor
6,7253789,0.058,-0.4253899981838099,-0.19019564105278355,-0.9392979994673357,-2.2519941790922275,-2.2170269180565754,-2.371827408924047,tremor
7,7253794,0.063,-0.4239007022204046,-0.18969748504600134,-0.9400313193612229,-2.1625662182537884,-2.3875180669506086,-2.2741993881925415,tremor
8,7253799,0.068,-0.42225142647396874,-0.18916043157057932,-0.9408765105359115,-2.03329785475186,-2.6285884739656287,-2.1420015955845373,tremor
9,7253804,0.073,-0.4204562220470393,-0.18858912724038215,-0.9418303447345192,-1.8625300424288216,-2.9402550969350787,-1.9737179565741252,tremor
10,7253808,0.077,-0.41852753012945904,-0.1879869357690287,-0.9428893657816233,-1.6487820774581172,-3.322031587968071,-1.7679572598373796,tremor
11,7253813,0.082,-0.416476722621436,-0.18735629962024777,-0.9440498766202476,-1.3907683358051477,-3.772925535180536,-1.5234651842296552,tremor
12,7253818,0.087,-0.4143146824694757,-0.18669905831869338,-0.9453078272285271,-1.0874140377084875,-4.291440850221551,-1.239135630832766,tremor
13,7253823,0.092,-0.4120522945683265,-0.1860166947590626,-0.9466586826452451,-0.7378698747073338,-4.875585313382025,-0.9140212536559456,tremor
14,7253828,0.097,-0.4097008173752909,-0.1853105137869496,-0.9480973051339295,-0.3415253397911544,-5.522883198224615,-0.5473430946362571,tremor
