sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,5785585,0.0,-0.4144894758430333,-0.1390974470001076,-0.8896321525562927,-6.363848787767639,-0.7841909460488952,3.8858566642367816,no_tremor
1,5785590,0.005,-0.4143066797299206,-0.1390641042561688,-0.8890338957222041,-7.474470548103203,-1.0780866860462957,4.3170455018929585,no_tremor
2,5785595,0.01,-0.4141156285159141,-0.1389816765974406,-0.8883063553094324,-8.584416073514182,-1.3740474180685056,4.740495900931483,no_tremor
3,5785599,0.014,-0.41395705250055137,-0.13882241988891336,-0.8875058672946333,-9.685541065342763,-1.6701374167544776,5.151412507759611,no_tremor
4,5785604,0.019,-0.4138872758431573,-0.13855992523629018,-0.8867353880178135,-10.769196973253381,-1.964255225244958,5.544712597475518,no_tremor
5,5785609,0.024,-0.413964071287174,-0.13817278269272779,-0.8861117217963167,-11.82626269066361,-2.254136440574717,5.915046332273006,no_tremor
6,5785634,0.049,-0.4142384585683583,-0.13764497410608567,-0.8857430043943454,-12.847181845467018,-2.5373581836937347,6.256820497296031,no_tremor
7,5785648,0.063,-0.41475248932280345,-0.13696475745805872,-0.8857201748988787,-13.822005720089708,-2.8113453364433156,6.564225713019578,no_tremor
8,5785653,0.068,-0.4155401255635737,-0.13612335175439627,-0.8861168586447501,-14.740441785498215,-3.0733786040254385,6.831267089085126,no_tremor
9,5785658,0.073,-0.41662899503434303,-0.1351139579925129,-0.8869924375310129,-15.591907780387418,-3.3206044370460264,7.051798251921758,no_tremor
10,5785663,0.078,-0.4180419765658968,-0.13393118408065688,-0.8883954647380319,-16.365591209088223,-3.550046824230957,7.21955864678591,no_tremor
11,5785667,0.082,-0.4197983143346387,-0.13257077564468858,-0.8903663666952425,-17.050514069686585,-3.758620945379128,7.328213981275956,no_tremor
12,5785672,0.087,-0.4219142829228583,-0.13102953784334836,-0.8929392603200158,-17.635602557985848,-3.9431486520987815,7.3713996397303285,no_tremor
13,5785676,0.091,-0.4244035166078248,-0.12930536232662204,-0.8961430329605471,-18.10976142410573,-4.100375719480086,7.342766856244105,no_tremor
14,5785758,0.173,-0.4272771150772982,-0.12739730523249593,-0.9000018934766846,-18.461952587301994,-4.226990784215708,7.2360313897021875,no_tremor
15,5785763,0.178,-0.4305436110763838,-0.12530568513766777,-0.9045355736655908,-18.681277541558135,-4.319645853828563,7.045024398604145,no_tremor
16,5785778,0.193,-0.4342088586048174,-0.1230321841325689,-0.9097593116416112,-18.757063010733063,-4.374978239248504,6.763745167684979,no_tremor
17,5785787,0.202,-0.4382758799106948,-0.12057994328816982,-0.9156837071861461,-18.678949239208468,-4.389633732957042,6.386415293511524,no_tremor
18,5785803,0.218,-0.44274469576122877,-0.11795364811498164,-0.9223145086225157,-18.43698023350145,-4.360290832047264,5.907533893345061,no_tremor
