sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,6078460,0.0,-0.41208351562259055,-0.00048021716601973985,-0.9621185121234015,2.1697052323440373,-29.127105546694427,4.432058822595694,tremor
1,6078469,0.009,-0.41239670526019145,-0.00027820710206196233,-0.9625881894905953,2.909237249802366,-31.063473723762353,4.517512003511246,tremor
2,6078474,0.014,-0.4129970470688492,-4.018585152279822e-06,-0.9632342663474138,3.7106621315595754,-32.93360984817802,4.559036337031085,tremor
3,6078499,0.039,-0.41401355313585053,0.0003432787850221975,-0.9640675663901797,4.574290654318245,-34.72094481221364,4.552250558961673,tremor
4,6078504,0.044,-0.41555469857440014,0.0007487042208894301,-0.9650644251607675,5.500061703539378,-36.40874183737393,4.492822748288286,tremor
5,6078523,0.063,-0.4176971690914564,0.0011886740348614918,-0.9661826232397063,6.487524967575612,-37.98024597922487,4.3765071181326896,tremor
6,6078533,0.073,-0.4204897627130535,0.001637600569113624,-0.9673761593318556,7.535826648419759,-39.418843840607295,4.199182113741317,tremor
7,6078537,0.077,-0.42396189800885065,0.002071328970511397,-0.9686031276072619,8.643698520231498,-40.70823241708013,3.9568895173194205,tremor
8,6078542,0.082,-0.42813102469389624,0.002468141839420872,-0.9698281733466919,9.809450637928705,-41.83259576362627,3.6458742237815596,tremor
9,6078552,0.092,-0.43300737349784474,0.0028085352685173694,-0.9710221513332619,11.030967960777492,-42.77678792478943,3.2626243184128225,tremor
10,6078557,0.097,-0.43859641813215494,0.0030745899256045795,-0.9721608179453903,12.305711108647818,-43.5265203138815,2.8039110582540836,tremor
11,6078562,0.102,-0.4448998616677947,0.0032493363848501984,-0.9732234596196327,13.630721410742241,-44.06855146170328,2.2668283341836872,tremor
12,6078566,0.106,-0.45191581935502073,0.0033162541870791094,-0.9741917823831285,15.002630338430016,-44.39087678135227,1.6488311698716056,tremor
13,6078571,0.111,-0.4596386275630827,0.0032589239805827547,-0.9750491154303488,16.417673336300783,-44.482915713808914,0.9477727961692227,tremor
14,6078581,0.121,-0.4680585190363872,0.0030608094334104836,-0.9757798826179396,17.871707980209532,-44.33569333100276,0.16193982403953813,tremor
15,6078591,0.131,-0.4771612866228716,0.0027051372933029373,-0.9763692743779713,19.360236300096126,-43.942013181411255,-0.7099149746840653,tremor
16,6078630,0.17,-0.4869279922445504,0.002174847898735327,-0.9768030595641279,20.87843101173842,-43.296617872879466,-1.668542781020456,tremor
