sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,5944263,0.0,-0.20988011992033978,-0.011670696732562352,-1.0539427513172897,-0.25097952306267723,-15.092462753647766,4.805690070707849,tremor
1,5944268,0.005,-0.2097431508441911,-0.011402305965090127,-1.0528193489146636,-0.4443771381506387,-18.038007402777996,5.026912962354516,tremor
2,5944272,0.009,-0.20962839290922455,-0.011008456727000944,-1.0512345366736888,-0.606607694341791,-21.010308116447685,5.248826297463464,tremor
3,5944297,0.034,-0.20958476515075544,-0.010464837923631842,-1.0491334962702155,-0.7354121058600002,-23.993693749528404,5.470189331621396,tremor
4,5944302,0.039,-0.20967147632330607,-0.009766096192299295,-1.0465426192093066,-0.8286625429577689,-26.97170901178377,5.689695681166607,tremor
5,5944307,0.044,-0.20994382876859025,-0.008919907053189768,-1.0435363244620182,-0.8843794278100215,-29.92721821496481,5.905978946788802,tremor
6,5944312,0.049,-0.2104463964949773,-0.007939446269797854,-1.0402030383213468,-0.9007472507420529,-32.842521845008605,6.117619123850118,tremor
7,5944322,0.059,-0.21121222855027325,-0.006838465866472965,-1.036625565627649,-0.8761290141937005,-35.69948558765329,6.323149782119858,tremor
8,5944327,0.064,-0.21226470195461455,-0.005629085815901752,-1.0328738493002834,-0.8090791179164005,-38.47968127853282,6.521065981824413,tremor
9,5944336,0.073,-0.21361981928622514,-0.0043212844180493155,-1.0290046025868802,-0.6983545034757038,-41.16453907441682,6.709832874773559,tremor
10,5944341,0.078,-0.2152880611399205,-0.002923171147834019,-1.0250636344423765,-0.5429238821604457,-43.7355099426707,6.887894919294822,tremor
11,5944346,0.083,-0.21727563330647678,-0.0014415014478788301,-1.0210886649033517,-0.3419748823570975,-46.17423733669448,7.053685616971243,tremor
12,5944351,0.088,-0.21958521929567826,0.00011781468295764177,-1.017111751400856,-0.0949189744408642,-48.46273666597427,7.205637659137305,tremor
13,5944356,0.093,-0.22221639788784375,0.001749296088569619,-1.013161109130392,0.19860593470650184,-50.58358088412685,7.342193352807636,tremor
14,5944360,0.097,-0.22516585843244621,0.003447578146732855,-1.0092623727108656,0.5387353003443766,-52.52009021299368,7.461815179497425,tremor
15,5944365,0.102,-0.22842750653492722,0.0052071903396521966,-1.005439420487463,0.9253801416601919,-54.25652370258023,7.562996325689242,tremor
16,5944375,0.112,-0.23199251969060497,0.007022403410652574,-1.0017148815828258,1.3582315997478,-55.77827000295006,7.64427100957995,tremor
17,5944380,0.117,-0.2358493895315175,0.008887127730202324,-0.9981104218260601,1.836767746326417,-57.07203440320713,7.7042244147604775,tremor
18,5944385,0.122,-0.23998397276240546,0.010794848471871732,-0.9946468787732425,2.360262478739676,-58.12601888384477,7.741502028271268,tremor
19,5944390,0.127,-0.24437956396471905,0.012738587045186356,-0.9913442947600684,2.9277962768145787,-58.93009164252061,7.754818169415886,tremor
20,5944395,0.132,-0.24901699814104397,0.014710881299069157,-0.9882218812993656,3.538268534591921,-59.47594230037902,7.742963488080039,tremor
21,5944422,0.159,-0.25387478771601407,0.0167037792479568,-0.9852979373237873,4.190411112973412,-59.75721878939188,7.704811208817322,tremor
22,5944432,0.169,-0.25892929677956106,0.01870884262665175,-0.9825897365845131,4.882802687456488,-59.76964179121001,7.639321904759545,tremor
23,5944441,0.178,-0.2641549540666717,0.020717157627101458,-0.9801133948865703,5.613883391059337,-59.511092616779464,7.54554661395083,tremor
24,5944446,0.183,-0.2695245051251405,0.02271935086824251,-0.9778837249445854,6.381969185485103,-58.98167069139748,7.422628170704005,tremor
25,5944451,0.188,-0.27500930306495297,0.024705609122036135,-0.9759140848725055,7.185265351035057,-58.1837174236041,7.269800716391898,tremor
26,5944461,0.198,-0.2805796360516008,0.02666570165245739,-0.974216225244935,8.02187848849204,-57.1218041816882,7.086387463829085,tremor
27,5944465,0.202,-0.2862050882430013,0.02858900427764888,-0.9728001389898222,8.889826488111868,-55.802683293558815,6.871796897924334,tremor
28,5944475,0.212,-0.2918549292019253,0.030464524477922708,-0.9716739178986076,9.787046043959677,-54.23520231966484,6.625517689096101,tremor
29,5944480,0.217,-0.2974985250290849,0.03228092707290681,-0.9708436191510813,10.711397468673074,-52.43018323727834,6.3471126695828195,tremor
30,5944485,0.222,-0.30310576268097794,0.03402656020183363,-0.9703131448827567,11.660666780694648,-50.40026954514765,6.036212275782866,tremor
31,5944490,0.227,-0.30864747730411657,0.035689481574895536,-0.9700841374484114,12.632565274612158,-48.1597455792226,5.692507893819972,tremor
32,5944494,0.231,-0.3140958710706664,0.03725748522324222,-0.9701558926607231,13.624727025393573,-45.72433345162596,5.315745562659947,tremor
